gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,1,Blue,top,Momo,oe:player:555e3934816743f30cdda4c7cc0dfe3,Crest Gaming Act Academy,oe:team:d83c59bf7d6cbaba72f9d6684114336,Sylas,Thresh,Lulu,Viego,Braum,Sett,,,,,,1846,1,4,2,7,17,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5525,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13958.0,453.6728,0.275154,432.0585,331.2351,10.0,0.325,4.0,0.13,6.0,31.0,1.0076,12246,8205.0,266.6847,0.210693,12235.0,,,227.0,223.0,4.0,1.0,0.0,7.3781,3524.0,4841.0,70.0,2733.0,4077.0,66.0,791.0,764.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4959.0,7082.0,105.0,4416.0,6875.0,112.0,543.0,207.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,7242.0,10339.0,148.0,6043.0,9192.0,149.0,1199.0,1147.0,-1.0,3.0,2.0,1.0,0.0,2.0,1.0,9656.0,13733.0,184.0,7200.0,10345.0,169.0,2456.0,3388.0,15.0,3.0,6.0,1.0,0.0,3.0,2.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,2,Blue,jng,Funahwi,oe:player:383a258931b627e75d35c34ef49e94f,Crest Gaming Act Academy,oe:team:d83c59bf7d6cbaba72f9d6684114336,Lee Sin,Thresh,Lulu,Viego,Braum,Sett,,,,,,1846,1,3,0,12,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,9787.0,318.104,0.192931,568.0173,689.61,18.0,0.585,13.0,0.4225,10.0,61.0,1.9827,11114,7073.0,229.8917,0.181623,9900.0,,,180.0,23.0,157.0,96.0,8.0,5.8505,3416.0,3273.0,62.0,3336.0,3771.0,72.0,80.0,-498.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,5311.0,5620.0,102.0,5125.0,5967.0,106.0,186.0,-347.0,-4.0,2.0,0.0,0.0,1.0,0.0,1.0,7112.0,8120.0,134.0,7054.0,7693.0,130.0,58.0,427.0,4.0,2.0,5.0,0.0,2.0,0.0,3.0,9164.0,11161.0,165.0,8928.0,9892.0,168.0,236.0,1269.0,-3.0,2.0,9.0,0.0,3.0,0.0,4.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,3,Blue,mid,Kaito,oe:player:840740728493a3b1a074503ed967f5d,Crest Gaming Act Academy,oe:team:d83c59bf7d6cbaba72f9d6684114336,Irelia,Thresh,Lulu,Viego,Braum,Sett,,,,,,1846,1,5,1,7,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13202.0,429.1008,0.260251,387.5948,321.0618,13.0,0.4225,4.0,0.13,8.0,32.0,1.0401,14942,10901.0,354.312,0.279926,12450.0,,,300.0,272.0,28.0,16.0,4.0,9.7508,3617.0,4971.0,99.0,2811.0,4750.0,70.0,806.0,221.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.0,7810.0,152.0,4549.0,7339.0,123.0,833.0,471.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,8570.0,11295.0,212.0,6378.0,9551.0,161.0,2192.0,1744.0,51.0,2.0,2.0,1.0,1.0,0.0,1.0,11520.0,14450.0,257.0,7894.0,11415.0,195.0,3626.0,3035.0,62.0,3.0,5.0,1.0,1.0,1.0,2.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,4,Blue,bot,chico,oe:player:446ab8975b0d404881263d03beae83a,Crest Gaming Act Academy,oe:team:d83c59bf7d6cbaba72f9d6684114336,Kai'Sa,Thresh,Lulu,Viego,Braum,Sett,,,,,,1846,1,4,2,7,17,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,8590.0,279.1983,0.169334,305.7855,172.7519,11.0,0.3575,10.0,0.325,3.0,38.0,1.2351,12985,8944.0,290.7042,0.229671,11525.0,,,273.0,261.0,12.0,12.0,0.0,8.8732,3321.0,3053.0,86.0,3230.0,3314.0,86.0,91.0,-261.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5264.0,5310.0,149.0,4859.0,5433.0,137.0,405.0,-123.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,7247.0,7425.0,189.0,6520.0,7464.0,176.0,727.0,-39.0,13.0,1.0,4.0,1.0,0.0,2.0,1.0,10143.0,10762.0,236.0,8261.0,9380.0,221.0,1882.0,1382.0,15.0,3.0,6.0,1.0,0.0,3.0,2.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,5,Blue,sup,Primo,oe:player:061327708fd87f586bc099d5d1bf824,Crest Gaming Act Academy,oe:team:d83c59bf7d6cbaba72f9d6684114336,Rell,Thresh,Lulu,Viego,Braum,Sett,,,,,,1846,1,1,1,13,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5191.0,168.7216,0.10233,266.7822,450.9426,33.0,1.0726,7.0,0.2275,12.0,70.0,2.2752,7861,3820.0,124.1603,0.0980863,6425.0,,,31.0,31.0,0.0,0.0,0.0,1.0076,2240.0,2641.0,16.0,2132.0,2473.0,15.0,108.0,168.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3272.0,4269.0,22.0,3161.0,3597.0,22.0,111.0,672.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4266.0,5910.0,24.0,4046.0,5596.0,24.0,220.0,314.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,5920.0,8509.0,27.0,4865.0,7048.0,29.0,1055.0,1461.0,-2.0,1.0,8.0,1.0,0.0,1.0,2.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,6,Red,top,van,oe:player:2c3f8a403e14be63b9f91ade8476f9a,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Jarvan IV,Syndra,LeBlanc,Trundle,Zoe,Leona,,,,,,1846,0,0,3,4,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.195,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5999.0,194.9837,0.172435,338.7107,238.6024,13.0,0.4225,5.0,0.1625,5.0,27.0,0.8776,8399,4358.0,141.6468,0.167137,8050.0,,,185.0,185.0,0.0,0.0,0.0,6.013,2733.0,4077.0,66.0,3524.0,4841.0,70.0,-791.0,-764.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,4416.0,6875.0,112.0,4959.0,7082.0,105.0,-543.0,-207.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,6043.0,9192.0,149.0,7242.0,10339.0,148.0,-1199.0,-1147.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,7200.0,10345.0,169.0,9656.0,13733.0,184.0,-2456.0,-3388.0,-15.0,0.0,3.0,2.0,3.0,6.0,1.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,7,Red,jng,Nesty,oe:player:d51796c7c27a60d20bb30a03ef92124,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Kayn,Syndra,LeBlanc,Trundle,Zoe,Leona,,,,,,1846,0,5,5,0,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10949.0,355.8722,0.314717,990.2275,568.9599,10.0,0.325,7.0,0.2275,5.0,29.0,0.9426,11970,7929.0,257.714,0.304105,10475.0,,,219.0,51.0,168.0,140.0,4.0,7.1181,3336.0,3771.0,72.0,3416.0,3273.0,62.0,-80.0,498.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,5125.0,5967.0,106.0,5311.0,5620.0,102.0,-186.0,347.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,7054.0,7693.0,130.0,7112.0,8120.0,134.0,-58.0,-427.0,-4.0,2.0,0.0,3.0,2.0,5.0,0.0,8928.0,9892.0,168.0,9164.0,11161.0,165.0,-236.0,-1269.0,3.0,3.0,0.0,4.0,2.0,9.0,0.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,8,Red,mid,rre,oe:player:f072b8d92693786d40dfa56ddeac73a,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Akali,Syndra,LeBlanc,Trundle,Zoe,Leona,,,,,,1846,0,1,3,2,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6121.0,198.9491,0.175941,456.208,293.3044,7.0,0.2275,3.0,0.0975,4.0,18.0,0.585,9413,5372.0,174.6046,0.20603,9480.0,,,225.0,220.0,5.0,4.0,0.0,7.3131,2811.0,4750.0,70.0,3617.0,4971.0,99.0,-806.0,-221.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,4549.0,7339.0,123.0,5382.0,7810.0,152.0,-833.0,-471.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,6378.0,9551.0,161.0,8570.0,11295.0,212.0,-2192.0,-1744.0,-51.0,1.0,0.0,1.0,2.0,2.0,1.0,7894.0,11415.0,195.0,11520.0,14450.0,257.0,-3626.0,-3035.0,-62.0,1.0,1.0,2.0,3.0,5.0,1.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,9,Red,bot,Marimo,oe:player:5478b0e422debd17a186095690432bf,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Ezreal,Syndra,LeBlanc,Trundle,Zoe,Leona,,,,,,1846,0,0,3,4,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10037.0,326.2297,0.288502,427.9957,196.3814,10.0,0.325,5.0,0.1625,6.0,22.0,0.7151,10603,6562.0,213.2828,0.251673,10300.0,,,271.0,259.0,12.0,8.0,0.0,8.8082,3230.0,3314.0,86.0,3321.0,3053.0,86.0,-91.0,261.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4859.0,5433.0,137.0,5264.0,5310.0,149.0,-405.0,123.0,-12.0,0.0,0.0,0.0,0.0,1.0,0.0,6520.0,7464.0,176.0,7247.0,7425.0,189.0,-727.0,39.0,-13.0,0.0,2.0,1.0,1.0,4.0,1.0,8261.0,9380.0,221.0,10143.0,10762.0,236.0,-1882.0,-1382.0,-15.0,0.0,3.0,2.0,3.0,6.0,1.0
ESPORTSTMNT01_2250048,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2250048?gameHash=5e95ce9d03fa1991,LJLA,2021,Regular,0,2021-08-30 06:43:27,1.0,11.16,10,Red,sup,Fujimoto,oe:player:c378adf939ee25d9681f47042c0aa8c,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Nautilus,Syndra,LeBlanc,Trundle,Zoe,Leona,,,,,,1846,0,0,3,3,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1684.0,54.7346,0.0484047,331.3001,362.9577,50.0,1.6251,7.0,0.2275,14.0,79.0,2.5677,5894,1853.0,60.2275,0.0710561,5700.0,,,33.0,33.0,0.0,0.0,0.0,1.0726,2132.0,2473.0,15.0,2240.0,2641.0,16.0,-108.0,-168.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,3161.0,3597.0,22.0,3272.0,4269.0,22.0,-111.0,-672.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4046.0,5596.0,24.0,4266.0,5910.0,24.0,-220.0,-314.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,4865.0,7048.0,29.0,5920.0,8509.0,27.0,-1055.0,-1461.0,2.0,0.0,1.0,2.0,1.0,8.0,1.0
