gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,1,Blue,top,Rando,oe:player:5064cc00691ebc4231287c2c7b827e1,AXIZ Academy,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,Gnar,Bel'Veth,Seraphine,Sylas,Senna,Sejuani,,,,,,1853,0,2,3,2,7,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2267,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16505.0,534.4307,0.289882,693.837,678.7804,18.0,0.5828,5.0,0.1619,9.0,34.0,1.1009,11817,7761.0,251.3006,0.26747,11608.0,,,264.0,260.0,4.0,,,8.5483,3262.0,4673.0,83.0,3630.0,4779.0,74.0,-368.0,-106.0,9.0,0.0,0.0,1.0,1.0,2.0,0.0,5418.0,7515.0,136.0,5492.0,7844.0,129.0,-74.0,-329.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,7892.0,11026.0,202.0,7122.0,10472.0,172.0,770.0,554.0,30.0,0.0,0.0,1.0,1.0,2.0,0.0,9875.0,12837.0,228.0,10285.0,14254.0,230.0,-410.0,-1417.0,-2.0,2.0,0.0,1.0,1.0,4.0,0.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,2,Blue,jng,ankochan,oe:player:af84f1c98815a4084ab217947ecd721,AXIZ Academy,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,Lee Sin,Bel'Veth,Seraphine,Sylas,Senna,Sejuani,,,,,,1853,0,1,4,0,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,1.0,3056.0,98.953,0.0536734,673.891,677.2261,13.0,0.4209,8.0,0.259,8.0,30.0,0.9714,9039,4983.0,161.3492,0.171734,7525.0,,,176.0,31.0,145.0,,,5.6989,3599.0,3944.0,74.0,4834.0,4052.0,72.0,-1235.0,-108.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,5076.0,5766.0,106.0,6835.0,6737.0,118.0,-1759.0,-971.0,-12.0,1.0,0.0,1.0,4.0,3.0,0.0,6644.0,8005.0,142.0,8826.0,8739.0,154.0,-2182.0,-734.0,-12.0,1.0,0.0,1.0,5.0,4.0,0.0,8049.0,9774.0,165.0,10633.0,11830.0,192.0,-2584.0,-2056.0,-27.0,1.0,0.0,2.0,5.0,4.0,0.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,3,Blue,mid,Nolisio,oe:player:58dc03802265a41c29505f271385785,AXIZ Academy,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,Corki,Bel'Veth,Seraphine,Sylas,Senna,Sejuani,,,,,,1853,0,1,5,2,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15204.0,492.3044,0.267032,635.6179,438.068,13.0,0.4209,4.0,0.1295,8.0,24.0,0.7771,10533,6477.0,209.7248,0.223221,10125.0,,,248.0,234.0,14.0,,,8.0302,3080.0,4209.0,80.0,3473.0,4490.0,77.0,-393.0,-281.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,4880.0,7307.0,138.0,5526.0,7132.0,128.0,-646.0,175.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,6689.0,9793.0,186.0,8016.0,10381.0,185.0,-1327.0,-588.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,8226.0,12288.0,222.0,10472.0,13567.0,226.0,-2246.0,-1279.0,-4.0,0.0,0.0,3.0,4.0,2.0,0.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,4,Blue,bot,Akabuff,oe:player:ad3bc958961453e183c2d03c48ccdd8,AXIZ Academy,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,Aphelios,Bel'Veth,Seraphine,Sylas,Senna,Sejuani,,,,,,1853,0,2,4,3,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17726.0,573.9665,0.311327,377.9061,508.9477,14.0,0.4533,8.0,0.259,6.0,28.0,0.9066,11232,7176.0,232.3583,0.24731,11250.0,,,254.0,234.0,20.0,,,8.2245,3511.0,2933.0,81.0,3558.0,3279.0,63.0,-47.0,-346.0,18.0,0.0,1.0,2.0,1.0,4.0,0.0,5517.0,5011.0,123.0,5107.0,4849.0,99.0,410.0,162.0,24.0,1.0,1.0,2.0,1.0,4.0,1.0,7493.0,7217.0,180.0,7694.0,7939.0,165.0,-201.0,-722.0,15.0,1.0,1.0,2.0,1.0,6.0,1.0,9291.0,9247.0,222.0,10280.0,10849.0,197.0,-989.0,-1602.0,25.0,1.0,2.0,2.0,2.0,8.0,2.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,5,Blue,sup,AXZ fonix,,AXIZ Academy,oe:team:3b1c9e07a26cdc1ed8b830314e19cfd,Renata Glasc,Bel'Veth,Seraphine,Sylas,Senna,Sejuani,,,,,,1853,0,1,5,5,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2267,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4446.0,143.9611,0.0780863,411.3222,317.5823,35.0,1.1333,5.0,0.1619,12.0,55.0,1.7809,6675,2619.0,84.803,0.0902658,6450.0,,,9.0,9.0,0.0,,,0.2914,2298.0,2904.0,2.0,2480.0,2528.0,6.0,-182.0,376.0,-4.0,0.0,1.0,2.0,0.0,2.0,1.0,3507.0,4555.0,5.0,3643.0,3654.0,10.0,-136.0,901.0,-5.0,0.0,2.0,2.0,0.0,2.0,1.0,4339.0,5536.0,6.0,4605.0,5515.0,13.0,-266.0,21.0,-7.0,0.0,2.0,3.0,0.0,4.0,1.0,5402.0,7223.0,8.0,5957.0,7505.0,17.0,-555.0,-282.0,-9.0,0.0,3.0,4.0,0.0,6.0,2.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,6,Red,top,tol2,oe:player:37868ce320afa69d0c0387124e61968,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Shyvana,Kalista,Zeri,Wukong,Ezreal,Illaoi,,,,,,1853,1,3,1,7,21,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.68,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16308.0,528.0518,0.241146,897.3448,1276.3195,13.0,0.4209,6.0,0.1943,11.0,32.0,1.0362,13602,9546.0,309.0988,0.220258,12625.0,,,268.0,258.0,10.0,,,8.6778,3630.0,4779.0,74.0,3262.0,4673.0,83.0,368.0,106.0,-9.0,1.0,2.0,0.0,0.0,0.0,1.0,5492.0,7844.0,129.0,5418.0,7515.0,136.0,74.0,329.0,-7.0,1.0,2.0,0.0,0.0,0.0,1.0,7122.0,10472.0,172.0,7892.0,11026.0,202.0,-770.0,-554.0,-30.0,1.0,2.0,0.0,0.0,0.0,1.0,10285.0,14254.0,230.0,9875.0,12837.0,228.0,410.0,1417.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,7,Red,jng,Nesty,oe:player:d51796c7c27a60d20bb30a03ef92124,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Viego,Kalista,Zeri,Wukong,Ezreal,Illaoi,,,,,,1853,1,7,0,7,21,7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.68,0.9066,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,1.0,0.0,9733.0,315.1538,0.143922,917.7118,852.4339,10.0,0.3238,13.0,0.4209,14.0,48.0,1.5542,14077,10021.0,324.4792,0.231217,12575.0,,,231.0,29.0,202.0,,,7.4798,4834.0,4052.0,72.0,3599.0,3944.0,74.0,1235.0,108.0,-2.0,4.0,3.0,0.0,1.0,0.0,1.0,6835.0,6737.0,118.0,5076.0,5766.0,106.0,1759.0,971.0,12.0,4.0,3.0,0.0,1.0,0.0,1.0,8826.0,8739.0,154.0,6644.0,8005.0,142.0,2182.0,734.0,12.0,5.0,4.0,0.0,1.0,0.0,1.0,10633.0,11830.0,192.0,8049.0,9774.0,165.0,2584.0,2056.0,27.0,5.0,4.0,0.0,1.0,0.0,2.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,8,Red,mid,DFM Pinnk,,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Azir,Kalista,Zeri,Wukong,Ezreal,Illaoi,,,,,,1853,1,8,0,4,21,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18731.0,606.5084,0.276975,407.469,258.7804,16.0,0.5181,11.0,0.3562,7.0,59.0,1.9104,15002,10946.0,354.4307,0.252559,13575.0,,,283.0,271.0,12.0,,,9.1635,3473.0,4490.0,77.0,3080.0,4209.0,80.0,393.0,281.0,-3.0,1.0,1.0,0.0,0.0,0.0,1.0,5526.0,7132.0,128.0,4880.0,7307.0,138.0,646.0,-175.0,-10.0,1.0,1.0,0.0,0.0,0.0,1.0,8016.0,10381.0,185.0,6689.0,9793.0,186.0,1327.0,588.0,-1.0,2.0,2.0,0.0,0.0,0.0,2.0,10472.0,13567.0,226.0,8226.0,12288.0,222.0,2246.0,1279.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,9,Red,bot,Marimo,oe:player:5478b0e422debd17a186095690432bf,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Ashe,Kalista,Zeri,Wukong,Ezreal,Illaoi,,,,,,1853,1,3,3,12,21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13140.0,425.4722,0.194301,486.5731,289.2499,14.0,0.4533,8.0,0.259,6.0,39.0,1.2628,13169,9113.0,295.0783,0.210267,12700.0,,,225.0,213.0,12.0,,,7.2855,3558.0,3279.0,63.0,3511.0,2933.0,81.0,47.0,346.0,-18.0,1.0,4.0,0.0,0.0,1.0,2.0,5107.0,4849.0,99.0,5517.0,5011.0,123.0,-410.0,-162.0,-24.0,1.0,4.0,1.0,1.0,1.0,2.0,7694.0,7939.0,165.0,7493.0,7217.0,180.0,201.0,722.0,-15.0,1.0,6.0,1.0,1.0,1.0,2.0,10280.0,10849.0,197.0,9291.0,9247.0,222.0,989.0,1602.0,-25.0,2.0,8.0,2.0,1.0,2.0,2.0
ESPORTSTMNT05_2941719,complete,,LJLA,2022,Regular,0,2022-07-14 06:41:14,1,12.12,10,Red,sup,DFM reri,,DetonatioN FocusMe Academy,oe:team:845f7165c7cdaad9d2a2d764375d0df,Zyra,Kalista,Zeri,Wukong,Ezreal,Illaoi,,,,,,1853,1,0,3,8,21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.9066,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9715.0,314.571,0.143656,287.4042,158.5969,36.0,1.1657,6.0,0.1943,12.0,66.0,2.1371,7770,3714.0,120.259,0.0856982,7550.0,,,20.0,20.0,0.0,,,0.6476,2480.0,2528.0,6.0,2298.0,2904.0,2.0,182.0,-376.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,3643.0,3654.0,10.0,3507.0,4555.0,5.0,136.0,-901.0,5.0,0.0,2.0,1.0,0.0,2.0,2.0,4605.0,5515.0,13.0,4339.0,5536.0,6.0,266.0,-21.0,7.0,0.0,4.0,1.0,0.0,2.0,3.0,5957.0,7505.0,17.0,5402.0,7223.0,8.0,555.0,282.0,9.0,0.0,6.0,2.0,0.0,3.0,4.0
