gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,1,Blue,top,NBG f1are,,Nibble Gaming,oe:team:d110cb182784a4ecfe4fd1e242a1eb0,Malphite,Gangplank,Kalista,Lissandra,,,,,,,,2140,1,0,1,7,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4483.0,125.6916,0.049254,500.4673,0.0,18.0,0.5047,5.0,0.1402,2.0,0.0,0.0,11321.0,6700.0,187.8505,0.165507,10150.0,,,200.0,200.0,0.0,0.0,0.0,5.6075,2625.0,4434.0,53.0,3117.0,4552.0,82.0,-492.0,-118.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,4139.0,6741.0,88.0,4823.0,7537.0,136.0,-684.0,-796.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,6017.0,9376.0,133.0,6763.0,10360.0,188.0,-746.0,-984.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,7276.0,10531.0,150.0,8438.0,12483.0,231.0,-1162.0,-1952.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,2,Blue,jng,Ayask,oe:player:38f923dea2124ad77cdb33821ced335,Nibble Gaming,oe:team:d110cb182784a4ecfe4fd1e242a1eb0,Nidalee,Gangplank,Kalista,Lissandra,,,,,,,,2140,1,3,0,6,12,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3364,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17964.0,503.6636,0.197368,620.3551,0.0,21.0,0.5888,26.0,0.729,2.0,0.0,0.0,13089.0,8468.0,237.4206,0.209179,11475.0,,,172.0,64.0,108.0,74.0,34.0,4.8224,3305.0,3568.0,39.0,2929.0,3566.0,43.0,376.0,2.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,5727.0,63.0,4071.0,4944.0,55.0,924.0,783.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6815.0,8156.0,92.0,5859.0,7541.0,86.0,956.0,615.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8327.0,9819.0,114.0,7319.0,9414.0,112.0,1008.0,405.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,3,Blue,mid,Namakemono,oe:player:2f8f61675a0f3d4e9017203078b1f1d,Nibble Gaming,oe:team:d110cb182784a4ecfe4fd1e242a1eb0,Lulu,Gangplank,Kalista,Lissandra,,,,,,,,2140,1,2,0,10,12,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3364,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10894.0,305.4393,0.119691,386.3832,0.0,7.0,0.1963,4.0,0.1121,2.0,0.0,0.0,12927.0,8306.0,232.8785,0.205177,11975.0,,,217.0,206.0,11.0,9.0,2.0,6.0841,3288.0,4538.0,76.0,2823.0,4481.0,66.0,465.0,57.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,5274.0,7212.0,128.0,4294.0,7256.0,107.0,980.0,-44.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,7092.0,9344.0,171.0,5967.0,9786.0,145.0,1125.0,-442.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,8457.0,10322.0,186.0,7109.0,10998.0,162.0,1348.0,-676.0,24.0,0.0,2.0,0.0,0.0,0.0,1.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,4,Blue,bot,Racia,oe:player:bb7caf302a662bb6340e03848c5549b,Nibble Gaming,oe:team:d110cb182784a4ecfe4fd1e242a1eb0,Caitlyn,Gangplank,Kalista,Lissandra,,,,,,,,2140,1,7,0,4,12,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,52572.0,1473.9813,0.5776,529.0654,0.0,11.0,0.3084,8.0,0.2243,0.0,0.0,0.0,16652.0,12031.0,337.3178,0.297191,13400.0,,,359.0,345.0,14.0,13.0,1.0,10.0654,3150.0,2931.0,83.0,3140.0,3040.0,79.0,10.0,-109.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5022.0,4800.0,136.0,4707.0,5022.0,125.0,315.0,-222.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7073.0,7337.0,185.0,6190.0,6711.0,160.0,883.0,626.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9032.0,8308.0,226.0,7871.0,8357.0,190.0,1161.0,-49.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,5,Blue,sup,Pooh,oe:player:1169c0f592ca7cd256ba9a5492d41c1,Nibble Gaming,oe:team:d110cb182784a4ecfe4fd1e242a1eb0,Tahm Kench,Gangplank,Kalista,Lissandra,,,,,,,,2140,1,0,2,10,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5105.0,143.1308,0.0560878,562.4579,0.0,34.0,0.9533,10.0,0.2804,8.0,0.0,0.0,9598.0,4977.0,139.5421,0.122945,9470.0,,,58.0,58.0,0.0,0.0,0.0,1.6262,1941.0,2931.0,10.0,1909.0,2657.0,10.0,32.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442.0,4476.0,23.0,2890.0,3754.0,17.0,552.0,722.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4617.0,5264.0,33.0,4053.0,4633.0,24.0,564.0,631.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6042.0,6476.0,47.0,5149.0,5478.0,28.0,893.0,998.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,6,Red,top,strider,oe:player:1b119348f1f3226d292683cfa7d6a1d,Saikyo Makinyan,oe:team:2f92b845198a2186cc5d73860c14eb9,Vladimir,Gragas,Alistar,Nautilus,,,,,,,,2140,0,0,2,3,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15597.0,437.2991,0.253141,765.1682,0.0,17.0,0.4766,10.0,0.2804,4.0,0.0,0.0,11827.0,7206.0,202.0374,0.247925,11535.0,,,308.0,290.0,18.0,18.0,0.0,8.6355,3117.0,4552.0,82.0,2625.0,4434.0,53.0,492.0,118.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4823.0,7537.0,136.0,4139.0,6741.0,88.0,684.0,796.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6763.0,10360.0,188.0,6017.0,9376.0,133.0,746.0,984.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,8438.0,12483.0,231.0,7276.0,10531.0,150.0,1162.0,1952.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,7,Red,jng,SKM hazer,,Saikyo Makinyan,oe:team:2f92b845198a2186cc5d73860c14eb9,Graves,Gragas,Alistar,Nautilus,,,,,,,,2140,0,0,2,2,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8956.0,251.1028,0.145357,750.2243,0.0,27.0,0.757,3.0,0.0841,2.0,0.0,0.0,10188.0,5567.0,156.0841,0.191537,9575.0,,,141.0,47.0,94.0,92.0,2.0,3.9533,2929.0,3566.0,43.0,3305.0,3568.0,39.0,-376.0,-2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4071.0,4944.0,55.0,4995.0,5727.0,63.0,-924.0,-783.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,5859.0,7541.0,86.0,6815.0,8156.0,92.0,-956.0,-615.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,7319.0,9414.0,112.0,8327.0,9819.0,114.0,-1008.0,-405.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,8,Red,mid,Gariaru,oe:player:c6b497a4ce22932b70f06b255827c6e,Saikyo Makinyan,oe:team:2f92b845198a2186cc5d73860c14eb9,Zilean,Gragas,Alistar,Nautilus,,,,,,,,2140,0,1,2,2,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0841,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15475.0,433.8785,0.25116,537.2243,0.0,17.0,0.4766,7.0,0.1963,2.0,0.0,0.0,10817.0,6196.0,173.7196,0.213177,9835.0,,,247.0,240.0,7.0,7.0,0.0,6.9252,2823.0,4481.0,66.0,3288.0,4538.0,76.0,-465.0,-57.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,4294.0,7256.0,107.0,5274.0,7212.0,128.0,-980.0,44.0,-21.0,0.0,0.0,1.0,0.0,1.0,0.0,5967.0,9786.0,145.0,7092.0,9344.0,171.0,-1125.0,442.0,-26.0,0.0,0.0,1.0,0.0,1.0,0.0,7109.0,10998.0,162.0,8457.0,10322.0,186.0,-1348.0,676.0,-24.0,0.0,0.0,1.0,0.0,2.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,9,Red,bot,SKM Feealing,,Saikyo Makinyan,oe:team:2f92b845198a2186cc5d73860c14eb9,Kog'Maw,Gragas,Alistar,Nautilus,,,,,,,,2140,0,2,2,1,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16188.0,453.8692,0.262733,492.9533,0.0,10.0,0.2804,1.0,0.028,2.0,0.0,0.0,11798.0,7177.0,201.2243,0.246928,10450.0,,,249.0,235.0,14.0,13.0,1.0,6.9813,3140.0,3040.0,79.0,3150.0,2931.0,83.0,-10.0,109.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4707.0,5022.0,125.0,5022.0,4800.0,136.0,-315.0,222.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,6190.0,6711.0,160.0,7073.0,7337.0,185.0,-883.0,-626.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,7871.0,8357.0,190.0,9032.0,8308.0,226.0,-1161.0,49.0,-36.0,0.0,0.0,0.0,1.0,0.0,0.0
TRKR1/970195,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/970195?gameHash=a006720b6aca9e3b,LJLCS,2016,Spring,0,2016-02-25 12:03:15,1,6.03,10,Red,sup,SKM owatank,,Saikyo Makinyan,oe:team:2f92b845198a2186cc5d73860c14eb9,Braum,Gragas,Alistar,Nautilus,,,,,,,,2140,0,0,4,3,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841,0.4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5398.0,151.3458,0.08761,669.2804,0.0,37.0,1.0374,9.0,0.2523,9.0,0.0,0.0,7540.0,2919.0,81.8411,0.100433,7375.0,,,37.0,37.0,0.0,0.0,0.0,1.0374,1909.0,2657.0,10.0,1941.0,2931.0,10.0,-32.0,-274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.0,3754.0,17.0,3442.0,4476.0,23.0,-552.0,-722.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4053.0,4633.0,24.0,4617.0,5264.0,33.0,-564.0,-631.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.0,5478.0,28.0,6042.0,6476.0,47.0,-893.0,-998.0,-19.0,0.0,0.0,1.0,0.0,1.0,0.0
