gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,1,Blue,top,strider,oe:player:1b119348f1f3226d292683cfa7d6a1d,HANAGUMI KAREN,oe:team:4e03a96aba9572295ad53c4bfa7d453,Vladimir,Galio,Malphite,Shyvana,Zyra,Alistar,,,,,,1909,1,1,1,4,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2829,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,15411.0,484.3688,0.284725,534.2797,292.0168,23.0,0.7229,11.0,0.3457,2.0,56.0,1.7601,14068.0,9898.0,311.0948,0.244419,11600.0,,,267.0,255.0,12.0,5.0,4.0,8.3918,3576.0,4758.0,84.0,2822.0,4496.0,67.0,754.0,262.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0,7239.0,135.0,4347.0,7198.0,103.0,1241.0,41.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,8172.0,8978.0,173.0,5764.0,9035.0,135.0,2408.0,-57.0,38.0,0.0,0.0,1.0,0.0,1.0,0.0,10058.0,11062.0,212.0,6807.0,9978.0,156.0,3251.0,1084.0,56.0,0.0,0.0,1.0,0.0,1.0,1.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,2,Blue,jng,HNK eclair,,HANAGUMI KAREN,oe:team:4e03a96aba9572295ad53c4bfa7d453,Zac,Galio,Malphite,Shyvana,Zyra,Alistar,,,,,,1909,1,2,1,5,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2820.0,88.6328,0.0521007,969.5233,730.9691,62.0,1.9487,18.0,0.5657,9.0,113.0,3.5516,10974.0,6804.0,213.8502,0.168017,9775.0,,,183.0,26.0,157.0,89.0,28.0,5.7517,3070.0,3328.0,65.0,3035.0,3737.0,59.0,35.0,-409.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4352.0,4970.0,91.0,4761.0,6119.0,87.0,-409.0,-1149.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6200.0,7318.0,127.0,6381.0,8481.0,111.0,-181.0,-1163.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,7820.0,9289.0,152.0,7761.0,10365.0,144.0,59.0,-1076.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,3,Blue,mid,aripo,oe:player:ed4d32b64dbc57386a514e2c051eeda,HANAGUMI KAREN,oe:team:4e03a96aba9572295ad53c4bfa7d453,Azir,Galio,Malphite,Shyvana,Zyra,Alistar,,,,,,1909,1,4,2,5,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19558.0,614.7093,0.361342,386.6527,171.4196,16.0,0.5029,14.0,0.44,4.0,47.0,1.4772,14284.0,10114.0,317.8837,0.249753,12100.0,,,342.0,322.0,20.0,16.0,4.0,10.7491,3407.0,4899.0,94.0,3108.0,4407.0,80.0,299.0,492.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5325.0,8051.0,159.0,4814.0,7134.0,134.0,511.0,917.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.0,10560.0,212.0,6330.0,9110.0,172.0,1038.0,1450.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,9425.0,13380.0,268.0,8361.0,12109.0,232.0,1064.0,1271.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,4,Blue,bot,HNK Noface,,HANAGUMI KAREN,oe:team:4e03a96aba9572295ad53c4bfa7d453,Xayah,Galio,Malphite,Shyvana,Zyra,Alistar,,,,,,1909,1,2,0,5,9,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12371.0,388.8214,0.228559,188.9261,192.572,9.0,0.2829,4.0,0.1257,1.0,23.0,0.7229,13713.0,9543.0,299.9371,0.235653,11875.0,,,320.0,296.0,24.0,15.0,0.0,10.0576,3233.0,3352.0,87.0,3146.0,3212.0,82.0,87.0,140.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5116.0,5598.0,147.0,4813.0,5063.0,132.0,303.0,535.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7134.0,7290.0,189.0,6808.0,7446.0,187.0,326.0,-156.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9622.0,10403.0,259.0,8476.0,9511.0,239.0,1146.0,892.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,5,Blue,sup,Sir1000,oe:player:45965b99a272fd3a0f6052725e1bb5f,HANAGUMI KAREN,oe:team:4e03a96aba9572295ad53c4bfa7d453,Rakan,Galio,Malphite,Shyvana,Zyra,Alistar,,,,,,1909,1,0,1,7,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3966.0,124.6517,0.0732735,229.5024,263.1325,33.0,1.0372,15.0,0.4715,8.0,69.0,2.1687,8307.0,4137.0,130.0262,0.102159,6125.0,,,19.0,19.0,0.0,0.0,0.0,0.5972,1832.0,2530.0,4.0,1841.0,2888.0,3.0,-9.0,-358.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2718.0,4124.0,4.0,2791.0,4739.0,3.0,-73.0,-615.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4264.0,5005.0,9.0,3961.0,5937.0,9.0,303.0,-932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.0,7227.0,13.0,4824.0,6456.0,11.0,656.0,771.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,6,Red,top,MCG Y6Erin,,Master of Chicken Gaming,oe:team:fa63571a9f777688f079f0ee86f746d,Maokai,Zoe,Shen,Gangplank,Braum,Kalista,,,,,,1909,0,0,2,2,5,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1572,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7828.0,246.0346,0.183601,679.0781,758.0618,17.0,0.5343,3.0,0.0943,4.0,32.0,1.0058,8783.0,4613.0,144.9869,0.175439,8350.0,,,204.0,204.0,0.0,0.0,0.0,6.4117,2822.0,4496.0,67.0,3576.0,4758.0,84.0,-754.0,-262.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4347.0,7198.0,103.0,5588.0,7239.0,135.0,-1241.0,-41.0,-32.0,0.0,1.0,0.0,0.0,0.0,1.0,5764.0,9035.0,135.0,8172.0,8978.0,173.0,-2408.0,57.0,-38.0,0.0,1.0,0.0,0.0,0.0,1.0,6807.0,9978.0,156.0,10058.0,11062.0,212.0,-3251.0,-1084.0,-56.0,0.0,1.0,1.0,0.0,0.0,1.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,7,Red,jng,tete,oe:player:60ca44bd3e9c29e48b9b803454acb86,Master of Chicken Gaming,oe:team:fa63571a9f777688f079f0ee86f746d,Kha'Zix,Zoe,Shen,Gangplank,Braum,Kalista,,,,,,1909,0,2,1,1,5,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1572,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7387.0,232.1739,0.173257,783.1116,421.8229,25.0,0.7858,10.0,0.3143,4.0,46.0,1.4458,9722.0,5552.0,174.4997,0.211151,9275.0,,,185.0,35.0,150.0,109.0,2.0,5.8146,3035.0,3737.0,59.0,3070.0,3328.0,65.0,-35.0,409.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.0,6119.0,87.0,4352.0,4970.0,91.0,409.0,1149.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,6381.0,8481.0,111.0,6200.0,7318.0,127.0,181.0,1163.0,-16.0,2.0,0.0,0.0,0.0,0.0,0.0,7761.0,10365.0,144.0,7820.0,9289.0,152.0,-59.0,1076.0,-8.0,2.0,0.0,0.0,1.0,0.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,8,Red,mid,Aiden,oe:player:cd7ed96a49ca2d76acab41263e8fdac,Master of Chicken Gaming,oe:team:fa63571a9f777688f079f0ee86f746d,Ryze,Zoe,Shen,Gangplank,Braum,Kalista,,,,,,1909,0,2,2,0,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13433.0,422.2001,0.315062,519.319,374.3635,19.0,0.5972,14.0,0.44,5.0,37.0,1.1629,11081.0,6911.0,217.2132,0.262835,10410.0,,,286.0,271.0,15.0,11.0,0.0,8.989,3108.0,4407.0,80.0,3407.0,4899.0,94.0,-299.0,-492.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4814.0,7134.0,134.0,5325.0,8051.0,159.0,-511.0,-917.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,6330.0,9110.0,172.0,7368.0,10560.0,212.0,-1038.0,-1450.0,-40.0,0.0,0.0,0.0,0.0,0.0,1.0,8361.0,12109.0,232.0,9425.0,13380.0,268.0,-1064.0,-1271.0,-36.0,0.0,0.0,0.0,0.0,1.0,1.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,9,Red,bot,Fujimoto,oe:player:c378adf939ee25d9681f47042c0aa8c,Master of Chicken Gaming,oe:team:fa63571a9f777688f079f0ee86f746d,Varus,Zoe,Shen,Gangplank,Braum,Kalista,,,,,,1909,0,0,2,2,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8357.0,262.6611,0.196008,267.187,259.3295,13.0,0.4086,6.0,0.1886,3.0,25.0,0.7858,10865.0,6695.0,210.4243,0.25462,9625.0,,,296.0,284.0,12.0,8.0,0.0,9.3033,3146.0,3212.0,82.0,3233.0,3352.0,87.0,-87.0,-140.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,5063.0,132.0,5116.0,5598.0,147.0,-303.0,-535.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,6808.0,7446.0,187.0,7134.0,7290.0,189.0,-326.0,156.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,9511.0,239.0,9622.0,10403.0,259.0,-1146.0,-892.0,-20.0,0.0,0.0,0.0,0.0,1.0,0.0
ESPORTSTMNT06/560746,complete,https://matchhistory.jp.leagueoflegends.com/ja/#match-details/ESPORTSTMNT06/560746?gameHash=9991d754b93630e3,LJLCS,2018,Spring,0,2018-02-15 09:26:27,1,8.02,10,Red,sup,Melt,oe:player:99876091c84fcbe03a59a4d01be7abe,Master of Chicken Gaming,oe:team:fa63571a9f777688f079f0ee86f746d,Janna,Zoe,Shen,Gangplank,Braum,Kalista,,,,,,1909,0,1,2,2,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5631.0,176.9827,0.132071,282.0849,119.12,50.0,1.5715,17.0,0.5343,13.0,61.0,1.9172,6693.0,2523.0,79.2981,0.0959542,6125.0,,,19.0,19.0,0.0,0.0,0.0,0.5972,1841.0,2888.0,3.0,1832.0,2530.0,4.0,9.0,358.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2791.0,4739.0,3.0,2718.0,4124.0,4.0,73.0,615.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3961.0,5937.0,9.0,4264.0,5005.0,9.0,-303.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824.0,6456.0,11.0,5480.0,7227.0,13.0,-656.0,-771.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
