gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,1,Blue,top,Jirall,oe:player:ff1c2739dbfa8f1dfeccb61919cb9ab,Isurus,oe:team:5737b101780a9835142549164be1ac4,Sett,Rumble,Elise,Ornn,Gragas,Lissandra,,,,,,2405,1,6,1,3,16,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16340.0,407.6507,0.22045,653.1892,1079.4262,12.0,0.2994,13.0,0.3243,6.0,48.0,1.1975,16735,11553.0,288.2245,0.269142,13753.0,,,323.0,315.0,8.0,3.0,0.0,8.0582,3678.0,4825.0,87.0,2849.0,4644.0,68.0,829.0,181.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,5482.0,7250.0,126.0,4483.0,7222.0,116.0,999.0,28.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,7557.0,9621.0,166.0,6253.0,9559.0,159.0,1304.0,62.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,9479.0,11829.0,203.0,8189.0,12483.0,216.0,1290.0,-654.0,-13.0,3.0,0.0,0.0,0.0,0.0,1.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,2,Blue,jng,Oddielan,oe:player:2288a342c01ee930cc535f4cfcf49d8,Isurus,oe:team:5737b101780a9835142549164be1ac4,Karthus,Rumble,Elise,Ornn,Gragas,Lissandra,,,,,,2405,1,6,3,7,16,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13586.0,338.9439,0.183295,747.5925,286.1289,18.0,0.4491,6.0,0.1497,7.0,57.0,1.422,13619,8437.0,210.4865,0.196552,12925.0,,,246.0,46.0,200.0,149.0,4.0,6.1372,3194.0,3446.0,64.0,2932.0,2970.0,56.0,262.0,476.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5342.0,5991.0,102.0,4166.0,4354.0,81.0,1176.0,1637.0,21.0,2.0,1.0,0.0,0.0,0.0,2.0,7130.0,8129.0,134.0,5599.0,6046.0,109.0,1531.0,2083.0,25.0,3.0,1.0,0.0,0.0,0.0,2.0,9105.0,10509.0,164.0,6941.0,7942.0,139.0,2164.0,2567.0,25.0,5.0,2.0,0.0,0.0,0.0,2.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,3,Blue,mid,Seiya,oe:player:7378a82177ee6bee2015ac5d134abe3,Isurus,oe:team:5737b101780a9835142549164be1ac4,LeBlanc,Rumble,Elise,Ornn,Gragas,Lissandra,,,,,,2405,1,1,0,12,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20410.0,509.1892,0.275361,437.6881,179.2765,15.0,0.3742,20.0,0.499,10.0,62.0,1.5468,12562,7380.0,184.1164,0.171928,11150.0,,,266.0,238.0,28.0,21.0,0.0,6.6362,3073.0,4584.0,80.0,3177.0,4703.0,86.0,-104.0,-119.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4613.0,6829.0,117.0,5189.0,7387.0,136.0,-576.0,-558.0,-19.0,0.0,2.0,0.0,0.0,0.0,0.0,6316.0,9158.0,159.0,7061.0,9644.0,182.0,-745.0,-486.0,-23.0,0.0,3.0,0.0,0.0,0.0,1.0,7981.0,11643.0,196.0,8379.0,11654.0,215.0,-398.0,-11.0,-19.0,0.0,6.0,0.0,0.0,0.0,3.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,4,Blue,bot,WARANGELUS,oe:player:c06e32c1b9d774a347e81455f6eeaf4,Isurus,oe:team:5737b101780a9835142549164be1ac4,Xayah,Rumble,Elise,Ornn,Gragas,Lissandra,,,,,,2405,1,3,0,9,16,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18534.0,462.3867,0.250051,255.4927,291.8669,13.0,0.3243,8.0,0.1996,8.0,31.0,0.7734,17038,11856.0,295.7838,0.276201,15050.0,,,392.0,333.0,59.0,41.0,15.0,9.7796,3065.0,3143.0,73.0,3528.0,3129.0,101.0,-463.0,14.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,4893.0,5311.0,122.0,5342.0,5189.0,151.0,-449.0,122.0,-29.0,0.0,2.0,0.0,0.0,0.0,0.0,6831.0,7493.0,175.0,7230.0,7269.0,196.0,-399.0,224.0,-21.0,0.0,2.0,0.0,0.0,0.0,0.0,8937.0,9882.0,227.0,9030.0,9497.0,243.0,-93.0,385.0,-16.0,0.0,4.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,5,Blue,sup,Slow,oe:player:efa5397985b8609a5dbeb430a4bcadd,Isurus,oe:team:5737b101780a9835142549164be1ac4,Rakan,Rumble,Elise,Ornn,Gragas,Lissandra,,,,,,2405,1,0,1,14,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5251.0,131.0021,0.0708436,444.973,767.501,58.0,1.447,24.0,0.5988,19.0,127.0,3.1684,8881,3699.0,92.2827,0.0861762,7725.0,,,49.0,48.0,1.0,0.0,0.0,1.2225,2123.0,2859.0,15.0,2060.0,3069.0,11.0,63.0,-210.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.0,4331.0,25.0,3130.0,4350.0,21.0,185.0,-19.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,4540.0,6189.0,36.0,4372.0,5850.0,32.0,168.0,339.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,5616.0,7682.0,40.0,5209.0,6937.0,37.0,407.0,745.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,6,Red,top,Stray,oe:player:18fb9695f004925012bf3ae5826b780,inf,oe:team:7e3dd5ff49e1a44784d225d2de40260,Aatrox,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,,,,,,2405,0,0,2,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11529.0,287.6258,0.172175,545.0146,517.5468,23.0,0.5738,9.0,0.2245,9.0,52.0,1.2973,14448,9266.0,231.1684,0.236413,14075.0,,,338.0,302.0,36.0,24.0,0.0,8.4324,2849.0,4644.0,68.0,3678.0,4825.0,87.0,-829.0,-181.0,-19.0,0.0,0.0,1.0,1.0,0.0,0.0,4483.0,7222.0,116.0,5482.0,7250.0,126.0,-999.0,-28.0,-10.0,0.0,0.0,1.0,2.0,0.0,0.0,6253.0,9559.0,159.0,7557.0,9621.0,166.0,-1304.0,-62.0,-7.0,0.0,0.0,1.0,2.0,0.0,0.0,8189.0,12483.0,216.0,9479.0,11829.0,203.0,-1290.0,654.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,7,Red,jng,Solid,oe:player:5df80e26e27620b567db59e8567a061,inf,oe:team:7e3dd5ff49e1a44784d225d2de40260,Lee Sin,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,,,,,,2405,0,1,4,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4950.0,123.4927,0.0739236,757.3971,786.1622,24.0,0.5988,9.0,0.2245,12.0,52.0,1.2973,11642,6460.0,161.1642,0.164822,11275.0,,,200.0,18.0,182.0,126.0,3.0,4.9896,2932.0,2970.0,56.0,3194.0,3446.0,64.0,-262.0,-476.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,4166.0,4354.0,81.0,5342.0,5991.0,102.0,-1176.0,-1637.0,-21.0,0.0,0.0,2.0,2.0,1.0,0.0,5599.0,6046.0,109.0,7130.0,8129.0,134.0,-1531.0,-2083.0,-25.0,0.0,0.0,2.0,3.0,1.0,0.0,6941.0,7942.0,139.0,9105.0,10509.0,164.0,-2164.0,-2567.0,-25.0,0.0,0.0,2.0,5.0,2.0,0.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,8,Red,mid,Cotopaco,oe:player:6252fe71513f9bc796f40f41cfeb74e,inf,oe:team:7e3dd5ff49e1a44784d225d2de40260,Zoe,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,,,,,,2405,0,2,5,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,26797.0,668.5322,0.400188,486.3368,171.0437,18.0,0.4491,6.0,0.1497,6.0,45.0,1.1227,13173,7991.0,199.3597,0.203883,12350.0,,,268.0,248.0,20.0,16.0,0.0,6.6861,3177.0,4703.0,86.0,3073.0,4584.0,80.0,104.0,119.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,7387.0,136.0,4613.0,6829.0,117.0,576.0,558.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,7061.0,9644.0,182.0,6316.0,9158.0,159.0,745.0,486.0,23.0,0.0,0.0,1.0,0.0,3.0,0.0,8379.0,11654.0,215.0,7981.0,11643.0,196.0,398.0,11.0,19.0,0.0,0.0,3.0,0.0,6.0,0.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,9,Red,bot,WhiteLotus,oe:player:0c5ad5df75cf72ddf6263f311440242,inf,oe:team:7e3dd5ff49e1a44784d225d2de40260,Senna,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,,,,,,2405,0,1,1,4,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19833.0,494.7942,0.296187,464.9064,253.2225,18.0,0.4491,7.0,0.1746,3.0,46.0,1.1476,16643,11461.0,285.9293,0.292415,16025.0,,,373.0,353.0,20.0,18.0,0.0,9.3056,3528.0,3129.0,101.0,3065.0,3143.0,73.0,463.0,-14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.0,5189.0,151.0,4893.0,5311.0,122.0,449.0,-122.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,7230.0,7269.0,196.0,6831.0,7493.0,175.0,399.0,-224.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,9030.0,9497.0,243.0,8937.0,9882.0,227.0,93.0,-385.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0
ESPORTSTMNT02/1281241,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1281241?gameHash=b806abd6f8dcadaf,LLA,2020,Opening,0,2020-02-15 20:25:39,1,10.03,10,Red,sup,Genthix,oe:player:45299b6d8ad2fe721f4eb3c5d804fec,inf,oe:team:7e3dd5ff49e1a44784d225d2de40260,Tahm Kench,Syndra,Aphelios,Soraka,Rek'Sai,Sejuani,,,,,,2405,0,1,4,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1247,0.5239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3852.0,96.0998,0.057526,496.9148,736.8399,54.0,1.3472,15.0,0.3742,13.0,98.0,2.4449,9198,4016.0,100.1913,0.102467,9075.0,,,41.0,41.0,0.0,0.0,0.0,1.0229,2060.0,3069.0,11.0,2123.0,2859.0,15.0,-63.0,210.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,4350.0,21.0,3315.0,4331.0,25.0,-185.0,19.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,4372.0,5850.0,32.0,4540.0,6189.0,36.0,-168.0,-339.0,-4.0,0.0,0.0,1.0,0.0,3.0,0.0,5209.0,6937.0,37.0,5616.0,7682.0,40.0,-407.0,-745.0,-3.0,0.0,0.0,2.0,0.0,6.0,0.0
