gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,1,Blue,top,Zerito,oe:player:4dc315d81b795cd55c41c10c10507e3,XTEN Esports,oe:team:e2032cdda6a487d10b7be0435e4fb31,Gwen,Twisted Fate,Renekton,Lee Sin,Aphelios,Jinx,,,,,,1815,0,0,1,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,9504.0,314.1818,0.291212,682.1157,634.4132,11.0,0.3636,3.0,0.0992,4.0,19.0,0.6281,10949,6972.0,230.4793,0.250103,11050.0,,,308.0,272.0,36.0,,,10.1818,3317.0,4982.0,93.0,3625.0,5311.0,104.0,-308.0,-329.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5142.0,7790.0,148.0,5504.0,8288.0,160.0,-362.0,-498.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,7106.0,10962.0,210.0,8098.0,12189.0,234.0,-992.0,-1227.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,9396.0,14263.0,271.0,10335.0,15615.0,282.0,-939.0,-1352.0,-11.0,0.0,1.0,0.0,0.0,2.0,0.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,2,Blue,jng,Camilonicolau,oe:player:993d7f137872d18adc42aa9aa508a8b,XTEN Esports,oe:team:e2032cdda6a487d10b7be0435e4fb31,Viego,Twisted Fate,Renekton,Lee Sin,Aphelios,Jinx,,,,,,1815,0,1,3,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,1978.0,65.3884,0.0606079,661.7521,389.9835,13.0,0.4298,17.0,0.562,14.0,49.0,1.6198,8198,4221.0,139.5372,0.151411,7875.0,,,143.0,20.0,123.0,,,4.7273,3245.0,3450.0,68.0,3112.0,3197.0,66.0,133.0,253.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,4419.0,4670.0,89.0,5045.0,5367.0,97.0,-626.0,-697.0,-8.0,0.0,2.0,1.0,1.0,1.0,1.0,6086.0,6981.0,124.0,6555.0,6967.0,127.0,-469.0,14.0,-3.0,0.0,2.0,1.0,1.0,1.0,1.0,7436.0,8435.0,139.0,7913.0,9139.0,138.0,-477.0,-704.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,3,Blue,mid,Keine,oe:player:1b26a8bba6e841f1c375b283db5c1c6,XTEN Esports,oe:team:e2032cdda6a487d10b7be0435e4fb31,Syndra,Twisted Fate,Renekton,Lee Sin,Aphelios,Jinx,,,,,,1815,0,2,3,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,11621.0,384.1653,0.356079,380.2314,172.6281,12.0,0.3967,5.0,0.1653,4.0,23.0,0.7603,11966,7989.0,264.0992,0.286588,10900.0,,,306.0,284.0,22.0,,,10.1157,3775.0,4495.0,93.0,3988.0,4653.0,88.0,-213.0,-158.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,5848.0,7833.0,160.0,5905.0,7757.0,146.0,-57.0,76.0,14.0,1.0,1.0,1.0,1.0,3.0,0.0,8166.0,10983.0,225.0,8227.0,11147.0,218.0,-61.0,-164.0,7.0,1.0,1.0,1.0,1.0,3.0,0.0,9767.0,12891.0,261.0,11041.0,14486.0,260.0,-1274.0,-1595.0,1.0,1.0,2.0,2.0,2.0,5.0,0.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,4,Blue,bot,Archer,oe:player:5a607b1f01f155eae1bd6e2a78763f5,XTEN Esports,oe:team:e2032cdda6a487d10b7be0435e4fb31,Senna,Twisted Fate,Renekton,Lee Sin,Aphelios,Jinx,,,,,,1815,0,1,5,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,5892.0,194.7769,0.180537,470.2149,268.9587,12.0,0.3967,12.0,0.3967,5.0,32.0,1.0579,11108,7131.0,235.7355,0.255807,10625.0,,,274.0,270.0,4.0,,,9.0579,3381.0,2751.0,67.0,4543.0,3267.0,80.0,-1162.0,-516.0,-13.0,1.0,0.0,2.0,4.0,2.0,1.0,5014.0,4666.0,120.0,6709.0,5734.0,137.0,-1695.0,-1068.0,-17.0,1.0,0.0,2.0,4.0,3.0,1.0,7213.0,6920.0,184.0,9250.0,8208.0,200.0,-2037.0,-1288.0,-16.0,1.0,0.0,2.0,4.0,3.0,1.0,9091.0,8778.0,231.0,12750.0,11691.0,255.0,-3659.0,-2913.0,-24.0,1.0,0.0,3.0,8.0,4.0,1.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,5,Blue,sup,Tyr,oe:player:db4ac958be32c137638130a19711ba9,XTEN Esports,oe:team:e2032cdda6a487d10b7be0435e4fb31,Karma,Twisted Fate,Renekton,Lee Sin,Aphelios,Jinx,,,,,,1815,0,0,7,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1322,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3641.0,120.3636,0.111564,574.0496,314.9421,30.0,0.9917,6.0,0.1983,14.0,45.0,1.4876,5541,1564.0,51.7025,0.0560915,5150.0,,,13.0,13.0,0.0,,,0.4298,2007.0,2348.0,2.0,2759.0,2614.0,14.0,-752.0,-266.0,-12.0,0.0,1.0,2.0,1.0,4.0,0.0,2840.0,3674.0,5.0,3943.0,4144.0,23.0,-1103.0,-470.0,-18.0,0.0,1.0,3.0,1.0,5.0,0.0,3697.0,5580.0,7.0,5091.0,5449.0,27.0,-1394.0,131.0,-20.0,0.0,1.0,3.0,1.0,5.0,0.0,4715.0,6935.0,12.0,6446.0,7829.0,29.0,-1731.0,-894.0,-17.0,0.0,2.0,5.0,1.0,9.0,0.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,6,Red,top,Lonely,oe:player:39b7c8fcabea217972326ec1f441b0a,Team Aze,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,Graves,Diana,Caitlyn,LeBlanc,Ezreal,Jayce,,,,,,1815,1,1,0,8,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,13855.0,458.0165,0.233285,468.3967,470.0826,11.0,0.3636,9.0,0.2975,6.0,41.0,1.3554,14198,10221.0,337.8843,0.234337,12500.0,,,347.0,297.0,50.0,,,11.4711,3625.0,5311.0,104.0,3317.0,4982.0,93.0,308.0,329.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5504.0,8288.0,160.0,5142.0,7790.0,148.0,362.0,498.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8098.0,12189.0,234.0,7106.0,10962.0,210.0,992.0,1227.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10335.0,15615.0,282.0,9396.0,14263.0,271.0,939.0,1352.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,7,Red,jng,Dimitry,oe:player:6668aeb76ec30bf3ee3fd35f5f63e1a,Team Aze,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,Xin Zhao,Diana,Caitlyn,LeBlanc,Ezreal,Jayce,,,,,,1815,1,1,2,5,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2781.0,91.9339,0.0468253,691.4711,368.5289,10.0,0.3306,17.0,0.562,10.0,56.0,1.8512,9876,5899.0,195.0083,0.135242,8850.0,,,161.0,28.0,133.0,,,5.3223,3112.0,3197.0,66.0,3245.0,3450.0,68.0,-133.0,-253.0,-2.0,0.0,1.0,1.0,0.0,2.0,1.0,5045.0,5367.0,97.0,4419.0,4670.0,89.0,626.0,697.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,6555.0,6967.0,127.0,6086.0,6981.0,124.0,469.0,-14.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,7913.0,9139.0,138.0,7436.0,8435.0,139.0,477.0,704.0,-1.0,1.0,3.0,2.0,1.0,2.0,2.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,8,Red,mid,Aloned,oe:player:b6c18d4d98745c100d8234a673b0c8a,Team Aze,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,Corki,Diana,Caitlyn,LeBlanc,Ezreal,Jayce,,,,,,1815,1,5,0,9,19,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281,0.7603,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,19648.0,649.5207,0.330825,297.9504,170.0165,17.0,0.562,7.0,0.2314,10.0,39.0,1.2893,14935,10958.0,362.2479,0.251235,12750.0,,,307.0,257.0,50.0,,,10.1488,3988.0,4653.0,88.0,3775.0,4495.0,93.0,213.0,158.0,-5.0,1.0,3.0,0.0,1.0,1.0,1.0,5905.0,7757.0,146.0,5848.0,7833.0,160.0,57.0,-76.0,-14.0,1.0,3.0,0.0,1.0,1.0,1.0,8227.0,11147.0,218.0,8166.0,10983.0,225.0,61.0,164.0,-7.0,1.0,3.0,0.0,1.0,1.0,1.0,11041.0,14486.0,260.0,9767.0,12891.0,261.0,1274.0,1595.0,-1.0,2.0,5.0,0.0,1.0,2.0,2.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,9,Red,bot,5kid,oe:player:49dea036f5b15e39632aaaf1666a28b,Team Aze,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,Jhin,Diana,Caitlyn,LeBlanc,Ezreal,Jayce,,,,,,1815,1,11,1,7,19,4,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6281,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,17338.0,573.157,0.29193,334.4793,146.6116,15.0,0.4959,10.0,0.3306,6.0,35.0,1.157,16672,12695.0,419.6694,0.291061,14050.0,,,310.0,298.0,12.0,,,10.2479,4543.0,3267.0,80.0,3381.0,2751.0,67.0,1162.0,516.0,13.0,4.0,2.0,1.0,1.0,0.0,2.0,6709.0,5734.0,137.0,5014.0,4666.0,120.0,1695.0,1068.0,17.0,4.0,3.0,1.0,1.0,0.0,2.0,9250.0,8208.0,200.0,7213.0,6920.0,184.0,2037.0,1288.0,16.0,4.0,3.0,1.0,1.0,0.0,2.0,12750.0,11691.0,255.0,9091.0,8778.0,231.0,3659.0,2913.0,24.0,8.0,4.0,1.0,1.0,0.0,3.0
ESPORTSTMNT02_2572341,complete,,LLA,2022,Opening,0,2022-01-29 19:29:33,1,12.02,10,Red,sup,Stray,oe:player:18fb9695f004925012bf3ae5826b780,Team Aze,oe:team:0a9aa50beea19fcbc6b939fe6b94f08,Nautilus,Diana,Caitlyn,LeBlanc,Ezreal,Jayce,,,,,,1815,1,1,1,9,19,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6281,0.7603,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5769.0,190.7107,0.0971359,272.6281,363.3388,38.0,1.2562,7.0,0.2314,13.0,60.0,1.9835,7821,3844.0,127.0744,0.0881248,6675.0,,,33.0,33.0,0.0,,,1.0909,2759.0,2614.0,14.0,2007.0,2348.0,2.0,752.0,266.0,12.0,1.0,4.0,0.0,0.0,1.0,2.0,3943.0,4144.0,23.0,2840.0,3674.0,5.0,1103.0,470.0,18.0,1.0,5.0,0.0,0.0,1.0,3.0,5091.0,5449.0,27.0,3697.0,5580.0,7.0,1394.0,-131.0,20.0,1.0,5.0,0.0,0.0,1.0,3.0,6446.0,7829.0,29.0,4715.0,6935.0,12.0,1731.0,894.0,17.0,1.0,9.0,0.0,0.0,2.0,5.0
