gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,1,Blue,top,Guishe,oe:player:ce4c859efeeec017a9972bffbcb0cad,Revenge eSports,oe:team:c23c193a1bb8ae1ef470ae681db8b73,Shen,Nidalee,Vladimir,Gangplank,,,,,,,,1957,0,0,2,3,3,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.092,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6316.0,193.6433,0.129143,579.4277,0.0,18.0,0.5519,7.0,0.2146,4.0,0.0,0.0,9697.0,5450.0,167.0925,0.196943,9100.0,,,214.0,206.0,8.0,8.0,0.0,6.5611,2840.0,4008.0,62.0,3017.0,4402.0,75.0,-177.0,-394.0,-13.0,0.0,1.0,0.0,0.0,0.0,0.0,4352.0,6260.0,93.0,4858.0,8031.0,130.0,-506.0,-1771.0,-37.0,0.0,3.0,1.0,0.0,2.0,0.0,5949.0,8024.0,124.0,6582.0,10351.0,169.0,-633.0,-2327.0,-45.0,0.0,3.0,1.0,0.0,2.0,0.0,7595.0,10239.0,158.0,8357.0,13110.0,216.0,-762.0,-2871.0,-58.0,0.0,3.0,1.0,0.0,4.0,0.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,2,Blue,jng,Quaker,oe:player:6cb31441da040871545b0c53a09054f,Revenge eSports,oe:team:c23c193a1bb8ae1ef470ae681db8b73,Rek'Sai,Nidalee,Vladimir,Gangplank,,,,,,,,1957,0,1,5,2,3,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.092,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6022.0,184.6295,0.123132,1033.4287,0.0,30.0,0.9198,19.0,0.5825,11.0,0.0,0.0,9535.0,5288.0,162.1257,0.191088,9200.0,,,119.0,50.0,69.0,62.0,7.0,3.6484,3240.0,3357.0,34.0,2779.0,2923.0,40.0,461.0,434.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,5124.0,5604.0,58.0,3886.0,4256.0,48.0,1238.0,1348.0,10.0,1.0,2.0,1.0,0.0,2.0,0.0,6488.0,6813.0,79.0,5461.0,6632.0,70.0,1027.0,181.0,9.0,1.0,2.0,1.0,0.0,2.0,0.0,7550.0,8323.0,90.0,6984.0,8389.0,85.0,566.0,-66.0,5.0,1.0,2.0,3.0,0.0,4.0,0.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,3,Blue,mid,rhOm,oe:player:9c4c46683dfbaef8ff36e2786b4c931,Revenge eSports,oe:team:c23c193a1bb8ae1ef470ae681db8b73,Viktor,Nidalee,Vladimir,Gangplank,,,,,,,,1957,0,2,2,1,3,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.092,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17366.0,532.4272,0.355082,361.7169,0.0,16.0,0.4905,7.0,0.2146,4.0,0.0,0.0,11726.0,7479.0,229.2999,0.27027,11450.0,,,289.0,265.0,24.0,24.0,0.0,8.8605,2994.0,4391.0,72.0,3042.0,4511.0,75.0,-48.0,-120.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,5628.0,7043.0,121.0,5861.0,7818.0,135.0,-233.0,-775.0,-14.0,2.0,1.0,1.0,3.0,0.0,2.0,7838.0,9638.0,186.0,7896.0,10440.0,191.0,-58.0,-802.0,-5.0,2.0,1.0,1.0,3.0,0.0,2.0,9323.0,11359.0,226.0,9540.0,12559.0,230.0,-217.0,-1200.0,-4.0,2.0,1.0,1.0,3.0,1.0,2.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,4,Blue,bot,Iruga,oe:player:fb99274a8e3d3660c6d92bda37f2767,Revenge eSports,oe:team:c23c193a1bb8ae1ef470ae681db8b73,Lucian,Nidalee,Vladimir,Gangplank,,,,,,,,1957,0,0,3,1,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,11001.0,337.2816,0.224937,375.3296,0.0,13.0,0.3986,6.0,0.184,2.0,0.0,0.0,10445.0,6198.0,190.0255,0.223975,10400.0,,,278.0,275.0,3.0,3.0,0.0,8.5232,3271.0,3085.0,90.0,3575.0,3479.0,101.0,-304.0,-394.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,4933.0,132.0,5841.0,5905.0,147.0,-891.0,-972.0,-15.0,0.0,1.0,1.0,2.0,1.0,0.0,6936.0,7299.0,192.0,8182.0,8142.0,196.0,-1246.0,-843.0,-4.0,0.0,1.0,1.0,2.0,1.0,0.0,8413.0,9311.0,230.0,11261.0,10893.0,263.0,-2848.0,-1582.0,-33.0,0.0,1.0,1.0,4.0,1.0,0.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,5,Blue,sup,Ghinis,oe:player:221b7992e34277e26c65a273b81e7d9,Revenge eSports,oe:team:c23c193a1bb8ae1ef470ae681db8b73,Karma,Nidalee,Vladimir,Gangplank,,,,,,,,1957,0,0,2,1,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8202.0,251.4665,0.167706,342.7695,0.0,31.0,0.9504,2.0,0.0613,2.0,0.0,0.0,7505.0,3258.0,99.8876,0.117725,7100.0,,,22.0,22.0,0.0,0.0,0.0,0.6745,1993.0,3026.0,0.0,1933.0,3158.0,12.0,60.0,-132.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.0,4331.0,2.0,3116.0,4874.0,19.0,-37.0,-543.0,-17.0,0.0,1.0,1.0,0.0,3.0,1.0,4288.0,5910.0,2.0,4442.0,5564.0,29.0,-154.0,346.0,-27.0,0.0,1.0,1.0,0.0,3.0,1.0,5500.0,7020.0,9.0,5788.0,7052.0,38.0,-288.0,-32.0,-29.0,0.0,1.0,1.0,0.0,5.0,1.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,6,Red,top,Snow,oe:player:1da176224e1c4ffbd8ac2467bd234bf,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Gnar,Jhin,LeBlanc,Irelia,,,,,,,,1957,1,2,0,8,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11448.0,350.9862,0.166507,379.9285,0.0,20.0,0.6132,5.0,0.1533,5.0,0.0,0.0,12508.0,8261.0,253.2754,0.197665,11245.0,,,265.0,258.0,7.0,7.0,0.0,8.1247,3017.0,4402.0,75.0,2840.0,4008.0,62.0,177.0,394.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4858.0,8031.0,130.0,4352.0,6260.0,93.0,506.0,1771.0,37.0,0.0,2.0,0.0,0.0,3.0,1.0,6582.0,10351.0,169.0,5949.0,8024.0,124.0,633.0,2327.0,45.0,0.0,2.0,0.0,0.0,3.0,1.0,8357.0,13110.0,216.0,7595.0,10239.0,158.0,762.0,2871.0,58.0,0.0,4.0,0.0,0.0,3.0,1.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,7,Red,jng,Tarzán,oe:player:5bf6c9769f7df60c6a3e01f3e37cdda,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Gragas,Jhin,LeBlanc,Irelia,,,,,,,,1957,1,0,0,9,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11946.0,366.2545,0.17375,674.8697,0.0,27.0,0.8278,20.0,0.6132,5.0,0.0,0.0,10596.0,6349.0,194.6551,0.151913,9700.0,,,115.0,42.0,73.0,52.0,21.0,3.5258,2779.0,2923.0,40.0,3240.0,3357.0,34.0,-461.0,-434.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3886.0,4256.0,48.0,5124.0,5604.0,58.0,-1238.0,-1348.0,-10.0,0.0,2.0,0.0,1.0,2.0,1.0,5461.0,6632.0,70.0,6488.0,6813.0,79.0,-1027.0,-181.0,-9.0,0.0,2.0,0.0,1.0,2.0,1.0,6984.0,8389.0,85.0,7550.0,8323.0,90.0,-566.0,66.0,-5.0,0.0,4.0,0.0,1.0,2.0,3.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,8,Red,mid,Icytower,oe:player:6078377b92dbf76a7e7aae35fe9f6c7,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Lissandra,Jhin,LeBlanc,Irelia,,,,,,,,1957,1,5,2,5,14,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4292,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20030.0,614.1032,0.291328,339.2437,0.0,12.0,0.3679,4.0,0.1226,2.0,0.0,0.0,14022.0,9775.0,299.6934,0.233893,12850.0,,,296.0,265.0,31.0,23.0,8.0,9.0751,3042.0,4511.0,75.0,2994.0,4391.0,72.0,48.0,120.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5861.0,7818.0,135.0,5628.0,7043.0,121.0,233.0,775.0,14.0,3.0,0.0,2.0,2.0,1.0,1.0,7896.0,10440.0,191.0,7838.0,9638.0,186.0,58.0,802.0,5.0,3.0,0.0,2.0,2.0,1.0,1.0,9540.0,12559.0,230.0,9323.0,11359.0,226.0,217.0,1200.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,9,Red,bot,Xpng,oe:player:5923ac7523b3b605b81239640726b07,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Caitlyn,Jhin,LeBlanc,Irelia,,,,,,,,1957,1,7,0,5,14,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,21122.0,647.583,0.307211,345.4062,0.0,15.0,0.4599,10.0,0.3066,3.0,0.0,0.0,16593.0,12346.0,378.5181,0.295414,15175.0,,,329.0,310.0,19.0,12.0,7.0,10.0869,3575.0,3479.0,101.0,3271.0,3085.0,90.0,304.0,394.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5841.0,5905.0,147.0,4950.0,4933.0,132.0,891.0,972.0,15.0,2.0,1.0,0.0,0.0,1.0,1.0,8182.0,8142.0,196.0,6936.0,7299.0,192.0,1246.0,843.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,11261.0,10893.0,263.0,8413.0,9311.0,230.0,2848.0,1582.0,33.0,4.0,1.0,0.0,0.0,1.0,1.0
TRSA1/1490090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRSA1/1490090?gameHash=5ca8cc877790164e,LLN,2017,,0,2016-08-15 21:19:43,1,6.15,10,Red,sup,Baula,oe:player:9543a90d85dc2083fdfcd1e615abebf,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Braum,Jhin,LeBlanc,Irelia,,,,,,,,1957,1,0,1,12,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4208.0,129.0138,0.0612037,535.5851,0.0,52.0,1.5943,8.0,0.2453,10.0,0.0,0.0,9309.0,5062.0,155.1967,0.121116,8250.0,,,50.0,50.0,0.0,0.0,0.0,1.533,1933.0,3158.0,12.0,1993.0,3026.0,0.0,-60.0,132.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3116.0,4874.0,19.0,3079.0,4331.0,2.0,37.0,543.0,17.0,0.0,3.0,1.0,0.0,1.0,1.0,4442.0,5564.0,29.0,4288.0,5910.0,2.0,154.0,-346.0,27.0,0.0,3.0,1.0,0.0,1.0,1.0,5788.0,7052.0,38.0,5500.0,7020.0,9.0,288.0,32.0,29.0,0.0,5.0,1.0,0.0,1.0,1.0
