gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,1,Blue,top,jer0m,oe:player:541b5c350133471601426be882a8b5b,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Maokai,Evelynn,Zilean,Camille,Poppy,Nautilus,,,,,,1882,1,5,0,6,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15704.0,500.6589,0.236624,516.9182,0.0,13.0,0.4145,2.0,0.0638,2.0,0.0,0.0,14874.0,10780.0,343.6769,0.25374,14020.0,,,306.0,294.0,12.0,0.0,12.0,9.7556,3530.0,4717.0,87.0,2884.0,4146.0,67.0,646.0,571.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,5231.0,7627.0,140.0,4597.0,7050.0,116.0,634.0,577.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,8001.0,10206.0,186.0,6227.0,9119.0,148.0,1774.0,1087.0,38.0,1.0,1.0,0.0,0.0,2.0,0.0,10769.0,13041.0,238.0,7889.0,11726.0,192.0,2880.0,1315.0,46.0,3.0,2.0,0.0,0.0,3.0,0.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,2,Blue,jng,Fénec,oe:player:352528484ad653d3ac9c1fd56c17845,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Rek'Sai,Evelynn,Zilean,Camille,Poppy,Nautilus,,,,,,1882,1,3,0,9,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10966.0,349.6068,0.165233,908.3528,0.0,8.0,0.255,15.0,0.4782,4.0,0.0,0.0,12839.0,8745.0,278.7991,0.205838,11495.0,,,213.0,77.0,136.0,67.0,69.0,6.7906,3074.0,3411.0,52.0,3332.0,3318.0,54.0,-258.0,93.0,-2.0,0.0,1.0,0.0,1.0,0.0,0.0,4860.0,5672.0,78.0,4776.0,5081.0,77.0,84.0,591.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,6984.0,8247.0,118.0,6258.0,6644.0,93.0,726.0,1603.0,25.0,1.0,3.0,0.0,1.0,1.0,1.0,9446.0,11033.0,161.0,7439.0,8538.0,113.0,2007.0,2495.0,48.0,2.0,5.0,0.0,1.0,2.0,3.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,3,Blue,mid,Icytower,oe:player:6078377b92dbf76a7e7aae35fe9f6c7,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Orianna,Evelynn,Zilean,Camille,Poppy,Nautilus,,,,,,1882,1,7,2,4,16,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19095.0,608.7673,0.287718,385.1222,0.0,14.0,0.4463,5.0,0.1594,4.0,0.0,0.0,13690.0,9596.0,305.9299,0.225869,11600.0,,,232.0,217.0,15.0,14.0,1.0,7.3964,2982.0,4395.0,71.0,3224.0,4748.0,82.0,-242.0,-353.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5241.0,7356.0,110.0,4608.0,6794.0,122.0,633.0,562.0,-12.0,2.0,1.0,0.0,0.0,0.0,1.0,7325.0,9054.0,141.0,6767.0,9198.0,150.0,558.0,-144.0,-9.0,2.0,1.0,1.0,2.0,1.0,1.0,9315.0,11449.0,184.0,8525.0,11546.0,185.0,790.0,-97.0,-1.0,2.0,2.0,2.0,3.0,1.0,1.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,4,Blue,bot,Xpng,oe:player:5923ac7523b3b605b81239640726b07,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Varus,Evelynn,Zilean,Camille,Poppy,Nautilus,,,,,,1882,1,1,2,5,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5101,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13596.0,433.4538,0.204861,299.9362,0.0,15.0,0.4782,9.0,0.2869,4.0,0.0,0.0,12728.0,8634.0,275.2604,0.203225,10730.0,,,270.0,254.0,16.0,3.0,13.0,8.6079,3093.0,2826.0,82.0,3006.0,2690.0,72.0,87.0,136.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,4911.0,4933.0,135.0,4452.0,4416.0,111.0,459.0,517.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,7626.0,7262.0,195.0,6322.0,6336.0,159.0,1304.0,926.0,36.0,0.0,1.0,2.0,0.0,2.0,1.0,9048.0,8123.0,212.0,7808.0,8016.0,196.0,1240.0,107.0,16.0,0.0,1.0,2.0,0.0,2.0,2.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,5,Blue,sup,Choisix,oe:player:fb27d854869d677f23afe0195edc5b8,Predators Esports,oe:team:afd3cd4d4c0a7e194f57ffe605f2d0e,Karma,Evelynn,Zilean,Camille,Poppy,Nautilus,,,,,,1882,1,0,1,11,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7006.0,223.3581,0.105565,272.0404,0.0,39.0,1.2434,19.0,0.6057,12.0,0.0,0.0,8824.0,4730.0,150.797,0.111328,7625.0,,,23.0,22.0,1.0,0.0,1.0,0.7333,2078.0,3000.0,3.0,2038.0,2650.0,11.0,40.0,350.0,-8.0,0.0,1.0,0.0,0.0,1.0,0.0,3094.0,4659.0,6.0,2968.0,3696.0,15.0,126.0,963.0,-9.0,0.0,2.0,0.0,0.0,1.0,1.0,4705.0,6167.0,12.0,4577.0,5784.0,19.0,128.0,383.0,-7.0,0.0,2.0,1.0,1.0,2.0,1.0,6167.0,7058.0,17.0,5672.0,6604.0,28.0,495.0,454.0,-11.0,0.0,4.0,1.0,1.0,2.0,1.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,6,Red,top,Relic,oe:player:95bacd099548cd6ef0c33642a7a43cc,Infamous Gaming,oe:team:6d8869cea2b945acacd32c7573f95ac,Shen,Kha'Zix,Thresh,Fiora,Ryze,Caitlyn,,,,,,1882,0,0,2,3,5,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1594,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8509.0,271.2752,0.218168,566.3974,0.0,12.0,0.3826,2.0,0.0638,3.0,0.0,0.0,9552.0,5458.0,174.0064,0.219596,8725.0,,,229.0,229.0,0.0,0.0,0.0,7.3007,2884.0,4146.0,67.0,3530.0,4717.0,87.0,-646.0,-571.0,-20.0,0.0,1.0,0.0,1.0,0.0,0.0,4597.0,7050.0,116.0,5231.0,7627.0,140.0,-634.0,-577.0,-24.0,0.0,1.0,0.0,1.0,1.0,0.0,6227.0,9119.0,148.0,8001.0,10206.0,186.0,-1774.0,-1087.0,-38.0,0.0,2.0,0.0,1.0,1.0,0.0,7889.0,11726.0,192.0,10769.0,13041.0,238.0,-2880.0,-1315.0,-46.0,0.0,3.0,0.0,3.0,2.0,0.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,7,Red,jng,Kenny,oe:player:9b31a1aa38c171efa2404f91bb6aed3,Infamous Gaming,oe:team:6d8869cea2b945acacd32c7573f95ac,Nidalee,Kha'Zix,Thresh,Fiora,Ryze,Caitlyn,,,,,,1882,0,1,5,2,5,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1594,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6870.0,219.0223,0.176145,837.4176,0.0,32.0,1.0202,14.0,0.4463,6.0,0.0,0.0,9110.0,5016.0,159.915,0.201811,8620.0,,,144.0,32.0,112.0,63.0,49.0,4.5909,3332.0,3318.0,54.0,3074.0,3411.0,52.0,258.0,-93.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4776.0,5081.0,77.0,4860.0,5672.0,78.0,-84.0,-591.0,-1.0,1.0,0.0,1.0,1.0,3.0,0.0,6258.0,6644.0,93.0,6984.0,8247.0,118.0,-726.0,-1603.0,-25.0,1.0,1.0,1.0,1.0,3.0,0.0,7439.0,8538.0,113.0,9446.0,11033.0,161.0,-2007.0,-2495.0,-48.0,1.0,2.0,3.0,2.0,5.0,0.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,8,Red,mid,Cotton,oe:player:db547a9a5b84991c24ec850ac0749c0,Infamous Gaming,oe:team:6d8869cea2b945acacd32c7573f95ac,LeBlanc,Kha'Zix,Thresh,Fiora,Ryze,Caitlyn,,,,,,1882,0,3,2,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11550.0,368.2253,0.296139,544.8778,0.0,19.0,0.6057,5.0,0.1594,5.0,0.0,0.0,10056.0,5962.0,190.0744,0.239875,9060.0,,,219.0,215.0,4.0,2.0,2.0,6.9819,3224.0,4748.0,82.0,2982.0,4395.0,71.0,242.0,353.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4608.0,6794.0,122.0,5241.0,7356.0,110.0,-633.0,-562.0,12.0,0.0,0.0,1.0,2.0,1.0,0.0,6767.0,9198.0,150.0,7325.0,9054.0,141.0,-558.0,144.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,8525.0,11546.0,185.0,9315.0,11449.0,184.0,-790.0,97.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,9,Red,bot,2020,oe:player:2025d6d3c2fc24c39a8541b001cb93f,Infamous Gaming,oe:team:6d8869cea2b945acacd32c7573f95ac,Jhin,Kha'Zix,Thresh,Fiora,Ryze,Caitlyn,,,,,,1882,0,0,4,2,5,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1594,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7049.0,224.729,0.180734,333.3475,0.0,12.0,0.3826,0.0,0.0,4.0,0.0,0.0,9554.0,5460.0,174.0701,0.219676,9675.0,,,237.0,233.0,4.0,4.0,0.0,7.5558,3006.0,2690.0,72.0,3093.0,2826.0,82.0,-87.0,-136.0,-10.0,0.0,1.0,1.0,0.0,0.0,1.0,4452.0,4416.0,111.0,4911.0,4933.0,135.0,-459.0,-517.0,-24.0,0.0,1.0,1.0,0.0,1.0,1.0,6322.0,6336.0,159.0,7626.0,7262.0,195.0,-1304.0,-926.0,-36.0,0.0,2.0,1.0,0.0,1.0,2.0,7808.0,8016.0,196.0,9048.0,8123.0,212.0,-1240.0,-107.0,-16.0,0.0,2.0,2.0,0.0,1.0,2.0
ESPORTSTMNT03/30067,complete,http://matchhistory.lan.leagueoflegends.com/es/#match-details/ESPORTSTMNT03/30067?gameHash=5deac917983d8c2e,LLN,2017,,0,2017-01-16 23:15:30,1,7.01,10,Red,sup,Sony,oe:player:2da860f7216f34598e5cdc6fd7e3098,Infamous Gaming,oe:team:6d8869cea2b945acacd32c7573f95ac,Alistar,Kha'Zix,Thresh,Fiora,Ryze,Caitlyn,,,,,,1882,0,1,3,2,5,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1594,0.6695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5024.0,160.17,0.128814,565.8236,0.0,32.0,1.0202,7.0,0.2232,7.0,0.0,0.0,7053.0,2959.0,94.3358,0.119043,6675.0,,,33.0,33.0,0.0,0.0,0.0,1.0521,2038.0,2650.0,11.0,2078.0,3000.0,3.0,-40.0,-350.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,2968.0,3696.0,15.0,3094.0,4659.0,6.0,-126.0,-963.0,9.0,0.0,1.0,1.0,0.0,2.0,0.0,4577.0,5784.0,19.0,4705.0,6167.0,12.0,-128.0,-383.0,7.0,1.0,2.0,1.0,0.0,2.0,1.0,5672.0,6604.0,28.0,6167.0,7058.0,17.0,-495.0,-454.0,11.0,1.0,2.0,1.0,0.0,4.0,1.0
