gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,1,Blue,top,Peluca,oe:player:b4d059c2d83f1f968ec04962a463529,Furious Gaming Academy,oe:team:f6918e6c2a3ca4e775360a7069e972d,Urgot,Akali,Galio,Rakan,Xin Zhao,Alistar,,,,,,2870,1,6,3,10,19,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25138.0,525.5331,0.20019,606.7108,1162.7875,20.0,0.4181,10.0,0.2091,6.0,52.0,1.0871,18250.0,12120.0,253.3798,0.229838,17000.0,,,328.0,308.0,20.0,8.0,0.0,6.8571,3247.0,4690.0,89.0,3300.0,4846.0,91.0,-53.0,-156.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.0,7461.0,132.0,5205.0,7128.0,135.0,-131.0,333.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,6940.0,9986.0,171.0,7039.0,9684.0,180.0,-99.0,302.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,9067.0,13221.0,235.0,8887.0,12560.0,225.0,180.0,661.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,2,Blue,jng,Jara,oe:player:7f74d0f86ad6c0c776acad01c085bda,Furious Gaming Academy,oe:team:f6918e6c2a3ca4e775360a7069e972d,Zac,Akali,Galio,Rakan,Xin Zhao,Alistar,,,,,,2870,1,1,1,9,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11550.0,241.4634,0.0919798,1432.1185,1292.8432,18.0,0.3763,23.0,0.4808,14.0,73.0,1.5261,13766.0,7636.0,159.6376,0.144803,12850.0,,,213.0,55.0,158.0,123.0,2.0,4.453,2636.0,2649.0,43.0,3292.0,3946.0,65.0,-656.0,-1297.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,4063.0,5329.0,75.0,4481.0,5556.0,87.0,-418.0,-227.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5691.0,7986.0,112.0,6216.0,7647.0,123.0,-525.0,339.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,6831.0,9458.0,131.0,7858.0,10017.0,159.0,-1027.0,-559.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,3,Blue,mid,Shales,oe:player:2cd930ab057df44cd4c475119f55eb2,Furious Gaming Academy,oe:team:f6918e6c2a3ca4e775360a7069e972d,Viktor,Akali,Galio,Rakan,Xin Zhao,Alistar,,,,,,2870,1,5,3,8,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,35001.0,731.7282,0.278735,336.2927,380.3833,32.0,0.669,4.0,0.0836,14.0,46.0,0.9617,16728.0,10598.0,221.561,0.200975,15950.0,,,315.0,281.0,34.0,28.0,6.0,6.5854,3288.0,4883.0,88.0,3317.0,4505.0,92.0,-29.0,378.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4848.0,7234.0,127.0,5026.0,6840.0,140.0,-178.0,394.0,-13.0,0.0,1.0,0.0,0.0,0.0,1.0,6499.0,10207.0,170.0,6959.0,9831.0,179.0,-460.0,376.0,-9.0,0.0,2.0,1.0,1.0,0.0,2.0,8144.0,12708.0,213.0,8870.0,12322.0,231.0,-726.0,386.0,-18.0,0.0,2.0,1.0,1.0,0.0,2.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,4,Blue,bot,SryNotSry,oe:player:6fb59f7ad1465ff858ce7e31ea540aa,Furious Gaming Academy,oe:team:f6918e6c2a3ca4e775360a7069e972d,Sivir,Akali,Galio,Rakan,Xin Zhao,Alistar,,,,,,2870,1,7,1,7,19,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,46818.0,978.7735,0.372841,377.1429,395.6028,26.0,0.5436,14.0,0.2927,10.0,69.0,1.4425,21760.0,15630.0,326.7596,0.296402,18900.0,,,453.0,407.0,46.0,33.0,8.0,9.4704,2958.0,3070.0,72.0,3557.0,3453.0,91.0,-599.0,-383.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,4463.0,5444.0,119.0,5960.0,5231.0,137.0,-1497.0,213.0,-18.0,0.0,0.0,0.0,1.0,0.0,0.0,6168.0,7695.0,166.0,7918.0,7681.0,192.0,-1750.0,14.0,-26.0,0.0,0.0,0.0,1.0,0.0,0.0,8311.0,10240.0,227.0,9815.0,10471.0,245.0,-1504.0,-231.0,-18.0,0.0,0.0,0.0,1.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,5,Blue,sup,Gastruks,oe:player:238bc1a8dbba35dbd93e4c7793a20a0,Furious Gaming Academy,oe:team:f6918e6c2a3ca4e775360a7069e972d,Braum,Akali,Galio,Rakan,Xin Zhao,Alistar,,,,,,2870,1,0,3,13,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3972,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7064.0,147.6794,0.056255,408.7526,456.9199,91.0,1.9024,20.0,0.4181,28.0,125.0,2.6132,12879.0,6749.0,141.0941,0.127982,10550.0,,,69.0,69.0,0.0,0.0,0.0,1.4425,2407.0,2716.0,13.0,2675.0,2625.0,13.0,-268.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3455.0,3443.0,21.0,4879.0,4075.0,25.0,-1424.0,-632.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,4826.0,5039.0,33.0,6074.0,5211.0,33.0,-1248.0,-172.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6307.0,6460.0,44.0,7567.0,6407.0,43.0,-1260.0,53.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,6,Red,top,Sabaneti,oe:player:fd5c307c128bb504111658780365fd6,Bring It On,oe:team:a32a2b3523e4b21334396c1d0b6aa11,Sion,Cassiopeia,Irelia,,Ezreal,Kai'Sa,,,,,,2870,0,1,2,6,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12301.0,257.1638,0.108109,1064.0279,2901.1359,22.0,0.4599,8.0,0.1672,7.0,62.0,1.2962,15885.0,9755.0,203.9373,0.194237,14075.0,,,333.0,309.0,24.0,8.0,0.0,6.9617,3300.0,4846.0,91.0,3247.0,4690.0,89.0,53.0,156.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5205.0,7128.0,135.0,5074.0,7461.0,132.0,131.0,-333.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7039.0,9684.0,180.0,6940.0,9986.0,171.0,99.0,-302.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,8887.0,12560.0,225.0,9067.0,13221.0,235.0,-180.0,-661.0,-10.0,0.0,0.0,0.0,2.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,7,Red,jng,Follow,oe:player:3903aab323863bd2e9b68218a7a65eb,Bring It On,oe:team:a32a2b3523e4b21334396c1d0b6aa11,Aatrox,Cassiopeia,Irelia,,Ezreal,Kai'Sa,,,,,,2870,0,1,5,4,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19016.0,397.547,0.167125,912.7735,858.23,16.0,0.3345,31.0,0.6481,14.0,101.0,2.1115,13855.0,7725.0,161.4983,0.153815,13800.0,,,232.0,58.0,174.0,100.0,18.0,4.8502,3292.0,3946.0,65.0,2636.0,2649.0,43.0,656.0,1297.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,5556.0,87.0,4063.0,5329.0,75.0,418.0,227.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6216.0,7647.0,123.0,5691.0,7986.0,112.0,525.0,-339.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7858.0,10017.0,159.0,6831.0,9458.0,131.0,1027.0,559.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,8,Red,mid,Larian,oe:player:40487d8b3e7b582e60d7e64a6b2284f,Bring It On,oe:team:a32a2b3523e4b21334396c1d0b6aa11,Zoe,Cassiopeia,Irelia,,Ezreal,Kai'Sa,,,,,,2870,0,3,5,2,11,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26244.0,548.6551,0.23065,424.1812,222.6481,25.0,0.5226,12.0,0.2509,11.0,59.0,1.2334,16272.0,10142.0,212.0279,0.201943,15750.0,,,343.0,323.0,20.0,12.0,8.0,7.1707,3317.0,4505.0,92.0,3288.0,4883.0,88.0,29.0,-378.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.0,6840.0,140.0,4848.0,7234.0,127.0,178.0,-394.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,6959.0,9831.0,179.0,6499.0,10207.0,170.0,460.0,-376.0,9.0,1.0,0.0,2.0,0.0,2.0,1.0,8870.0,12322.0,231.0,8144.0,12708.0,213.0,726.0,-386.0,18.0,1.0,0.0,2.0,0.0,2.0,1.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,9,Red,bot,Pancake,oe:player:c6b0f5adc051b4f9e86c3ce8b92455d,Bring It On,oe:team:a32a2b3523e4b21334396c1d0b6aa11,Lucian,Cassiopeia,Irelia,,Ezreal,Kai'Sa,,,,,,2870,0,6,2,3,11,19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.23,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,47363.0,990.1672,0.416257,538.9129,551.7491,25.0,0.5226,15.0,0.3136,11.0,88.0,1.8397,22032.0,15902.0,332.446,0.316639,18175.0,,,456.0,397.0,59.0,31.0,11.0,9.5331,3557.0,3453.0,91.0,2958.0,3070.0,72.0,599.0,383.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5960.0,5231.0,137.0,4463.0,5444.0,119.0,1497.0,-213.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,7918.0,7681.0,192.0,6168.0,7695.0,166.0,1750.0,-14.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,9815.0,10471.0,245.0,8311.0,10240.0,227.0,1504.0,231.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT02/981327,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/981327?gameHash=6c09d1b04952be7c,LMF,2019,,0,2019-01-24 21:00:33,1,9.01,10,Red,sup,Hayha,oe:player:d99c1faaba5061813508a061f33bd2a,Bring It On,oe:team:a32a2b3523e4b21334396c1d0b6aa11,Thresh,Cassiopeia,Irelia,,Ezreal,Kai'Sa,,,,,,2870,0,0,5,6,11,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8859.0,185.2056,0.0778587,506.1533,667.2544,81.0,1.6934,19.0,0.3972,22.0,140.0,2.9268,12828.0,6698.0,140.0279,0.133365,10150.0,,,64.0,64.0,0.0,0.0,0.0,1.338,2675.0,2625.0,13.0,2407.0,2716.0,13.0,268.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4879.0,4075.0,25.0,3455.0,3443.0,21.0,1424.0,632.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,6074.0,5211.0,33.0,4826.0,5039.0,33.0,1248.0,172.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7567.0,6407.0,43.0,6307.0,6460.0,44.0,1260.0,-53.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0
