gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,1,Blue,top,Ziv,oe:player:eaa7919421a94315db4b9a09902695c,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,Rumble,Pantheon,Azir,Lissandra,,,,,,,,2212,1,4,1,10,26,7,0,0,0,0,0,0.0,0.0,1.0,0.7052,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15145,410.8047,0.190726,415.0904,0.0,13,0.3526,7,0.1899,1,0,0.0,12977,8470,229.7468,0.202013,11975,,,229.0,223,6,3,3,6.2116,2839,4460,72,3225,4628,71,-386,-168,1,0,0,1,1,0,0,4816,6856,110,4647,6337,91,169,519,19,2,1,1,2,1,0,6744,9424,149,6052,8590,126,692,834,23,2,2,1,2,1,1,8428.0,10940.0,171.0,7502.0,10785.0,163.0,926.0,155.0,8.0,2.0,4.0,1.0,2.0,1.0,3.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,2,Blue,jng,Albis,oe:player:2807decf1b7a6545e949e8715316c12,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,Jarvan IV,Pantheon,Azir,Lissandra,,,,,,,,2212,1,4,3,18,26,7,0,0,0,0,0,0.0,0.0,0.0,0.7052,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9717,263.5714,0.12237,654.4394,0.0,21,0.5696,1,0.0271,6,0,0.0,11448,6941,188.2731,0.165547,10020,,,78.0,8,70,59,11,2.1157,2384,2608,31,2709,2778,32,-325,-170,-1,0,0,0,0,1,0,3653,4157,31,4026,4335,47,-373,-178,-16,1,4,1,1,2,1,5218,5848,44,5025,5481,62,193,367,-18,2,4,1,1,2,1,7201.0,8434.0,59.0,6298.0,7319.0,77.0,903.0,1115.0,-18.0,2.0,9.0,2.0,2.0,2.0,2.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,3,Blue,mid,Westdoor,oe:player:162b96e90e71d9d3c768f451fb0ce59,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,Fizz,Pantheon,Azir,Lissandra,,,,,,,,2212,1,5,1,8,26,7,0,0,0,0,0,0.0,0.0,0.0,0.7052,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16860,457.3237,0.212324,409.774,0.0,6,0.1627,10,0.2712,2,0,0.0,14755,10248,277.9747,0.244418,12875,,,305.0,295,10,7,3,8.2731,2927,4417,74,2845,4204,73,82,213,1,0,0,0,0,0,0,4909,6770,112,3984,5823,97,925,947,15,2,1,0,0,1,3,7181,9589,173,5508,8437,141,1673,1152,32,2,1,0,0,1,3,9838.0,13159.0,223.0,6934.0,10267.0,178.0,2904.0,2892.0,45.0,3.0,3.0,0.0,0.0,1.0,5.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,4,Blue,bot,An,oe:player:978b697963cfc5abfced8a4b611977c,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,Corki,Pantheon,Azir,Lissandra,,,,,,,,2212,1,11,1,9,26,7,2,1,0,0,0,0.0,0.0,0.0,0.7052,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31905,865.4159,0.401791,463.6166,0.0,8,0.217,3,0.0814,3,0,0.0,16377,11870,321.9711,0.283102,14918,,,295.0,276,19,19,0,8.0018,3389,3364,94,2839,2991,72,550,373,22,0,1,0,0,0,1,5239,5868,148,4352,5172,119,887,696,29,0,3,0,0,0,1,7207,7860,204,6073,7415,173,1134,445,31,0,3,0,0,0,1,10395.0,10968.0,230.0,7508.0,9451.0,205.0,2887.0,1517.0,25.0,5.0,4.0,0.0,0.0,1.0,3.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,5,Blue,sup,GreenTea,oe:player:6b35c415404d38ff8782e3532013d84,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,Thresh,Pantheon,Azir,Lissandra,,,,,,,,2212,1,2,1,13,26,7,0,0,0,0,0,0.0,0.0,0.0,0.7052,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5780,156.7812,0.0727895,398.2731,0.0,39,1.0579,9,0.2441,6,0,0.0,8906,4399,119.3219,0.10492,7960,,,27.0,26,1,0,1,0.7324,2173,2965,11,1809,2413,8,364,552,3,1,0,0,0,0,0,3151,4286,17,2541,3558,12,610,728,5,1,3,1,0,0,1,4170,5666,23,3293,5115,16,877,551,7,1,3,1,0,0,1,5912.0,7778.0,25.0,3982.0,6356.0,18.0,1930.0,1422.0,7.0,2.0,6.0,1.0,0.0,0.0,1.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,6,Red,top,HanShao,oe:player:9c276da49ec7177b36f20506846e64d,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,Kennen,Irelia,Zed,Rek'Sai,,,,,,,,2212,0,3,6,3,7,26,0,0,0,0,1,1.0,0.0,0.0,0.1899,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17283,468.7975,0.284827,492.4231,0.0,8,0.217,5,0.1356,2,0,0.0,10676,6169,167.3327,0.240009,10205,,,211.0,199,12,11,1,5.7233,3225,4628,71,2839,4460,72,386,168,-1,1,0,0,0,0,1,4647,6337,91,4816,6856,110,-169,-519,-19,2,1,0,2,1,1,6052,8590,126,6744,9424,149,-692,-834,-23,2,1,1,2,2,1,7502.0,10785.0,163.0,8428.0,10940.0,171.0,-926.0,-155.0,-8.0,2.0,1.0,3.0,2.0,4.0,1.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,7,Red,jng,HanJi,oe:player:2961c0cceffb900a2106f8dcc232519,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,Lee Sin,Irelia,Zed,Rek'Sai,,,,,,,,2212,0,2,5,4,7,26,0,0,0,0,1,0.0,1.0,0.0,0.1899,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6635,179.9729,0.109346,733.9693,0.0,45,1.2206,9,0.2441,6,0,0.0,8882,4375,118.6709,0.170215,8170,,,106.0,49,57,52,5,2.8752,2709,2778,32,2384,2608,31,325,170,1,0,1,0,0,0,0,4026,4335,47,3653,4157,31,373,178,16,1,2,1,1,4,1,5025,5481,62,5218,5848,44,-193,-367,18,1,2,1,2,4,1,6298.0,7319.0,77.0,7201.0,8434.0,59.0,-903.0,-1115.0,18.0,2.0,2.0,2.0,2.0,9.0,2.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,8,Red,mid,LeeMid,oe:player:6b0ead7f8a6316873738570387ba740,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,Jayce,Irelia,Zed,Rek'Sai,,,,,,,,2212,0,1,7,1,7,26,0,0,0,0,0,0.0,0.0,0.0,0.1899,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14389,390.2984,0.237133,578.2731,0.0,12,0.3255,5,0.1356,2,0,0.0,11102,6595,178.8879,0.256583,11005,,,274.0,249,25,20,5,7.4322,2845,4204,73,2927,4417,74,-82,-213,-1,0,0,0,0,0,0,3984,5823,97,4909,6770,112,-925,-947,-15,0,1,3,2,1,0,5508,8437,141,7181,9589,173,-1673,-1152,-32,0,1,3,2,1,0,6934.0,10267.0,178.0,9838.0,13159.0,223.0,-2904.0,-2892.0,-45.0,0.0,1.0,5.0,3.0,3.0,0.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,9,Red,bot,HoneyRain,oe:player:e37012e3fa0cf975883af139e42899b,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,Ezreal,Irelia,Zed,Rek'Sai,,,,,,,,2212,0,1,5,2,7,26,0,0,0,0,0,0.0,0.0,0.0,0.1899,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,16412,445.1718,0.270472,492.9114,0.0,7,0.1899,3,0.0814,1,0,0.0,11599,7092,192.3689,0.275918,10853,,,287.0,274,13,13,0,7.7848,2839,2991,72,3389,3364,94,-550,-373,-22,0,0,1,0,1,0,4352,5172,119,5239,5868,148,-887,-696,-29,0,0,1,0,3,0,6073,7415,173,7207,7860,204,-1134,-445,-31,0,0,1,0,3,0,7508.0,9451.0,205.0,10395.0,10968.0,230.0,-2887.0,-1517.0,-25.0,0.0,1.0,3.0,5.0,4.0,0.0
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,10,Red,sup,Melon,oe:player:08ff3497d795b3da96ce9f3944dc4e5,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,Braum,Irelia,Zed,Rek'Sai,,,,,,,,2212,0,0,3,0,7,26,0,0,0,0,0,0.0,0.0,0.0,0.1899,0.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5960,161.6637,0.0982218,478.2911,0.0,32,0.868,4,0.1085,4,0,0.0,5979,1472,39.9277,0.0572751,5670,,,30.0,30,0,0,0,0.8137,1809,2413,8,2173,2965,11,-364,-552,-3,0,0,0,1,0,0,2541,3558,12,3151,4286,17,-610,-728,-5,0,0,1,1,3,1,3293,5115,16,4170,5666,23,-877,-551,-7,0,0,1,1,3,1,3982.0,6356.0,18.0,5912.0,7778.0,25.0,-1930.0,-1422.0,-7.0,0.0,0.0,1.0,2.0,6.0,1.0
