gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,1,Blue,top,MapleSnow,oe:player:31552a172f28c370c205b460f1b0817,Hong Kong Esports,oe:team:f6916bcaf8f0e2930832c306d5476a3,Kennen,Ryze,Jhin,Rengar,Syndra,Maokai,,,,,,2829,0,0,6,6,7,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1485,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,24240.0,514.1039,0.39473,549.4168,0.0,28.0,0.5938,12.0,0.2545,6.0,0.0,0.0,15218.0,9192.0,194.9523,0.20105,14800.0,,,347.0,332.0,15.0,4.0,11.0,7.3595,3078.0,4509.0,75.0,2644.0,4119.0,56.0,434.0,390.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.0,6843.0,120.0,4029.0,6172.0,88.0,1276.0,671.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,6739.0,9012.0,152.0,6161.0,9462.0,151.0,578.0,-450.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7940.0,10446.0,173.0,9070.0,12909.0,189.0,-1130.0,-2463.0,-16.0,0.0,2.0,2.0,2.0,4.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,2,Blue,jng,Gemini,oe:player:766cc4dd4d5005652e8514e3513683f,Hong Kong Esports,oe:team:f6916bcaf8f0e2930832c306d5476a3,Lee Sin,Ryze,Jhin,Rengar,Syndra,Maokai,,,,,,2829,0,1,1,3,7,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1485,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5783.0,122.6511,0.0941719,453.4252,0.0,58.0,1.2301,18.0,0.3818,19.0,0.0,0.0,13546.0,7520.0,159.491,0.164478,13125.0,,,183.0,70.0,113.0,77.0,36.0,3.8812,2706.0,3101.0,37.0,3146.0,3664.0,58.0,-440.0,-563.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,5198.0,56.0,4619.0,5539.0,82.0,281.0,-341.0,-26.0,1.0,0.0,0.0,0.0,0.0,0.0,6543.0,7314.0,83.0,6288.0,8399.0,103.0,255.0,-1085.0,-20.0,1.0,0.0,0.0,1.0,0.0,0.0,7867.0,8962.0,109.0,7962.0,10239.0,123.0,-95.0,-1277.0,-14.0,1.0,0.0,1.0,1.0,0.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,3,Blue,mid,Gear,oe:player:fb845762a66c26782f477febab5344d,Hong Kong Esports,oe:team:f6916bcaf8f0e2930832c306d5476a3,Orianna,Ryze,Jhin,Rengar,Syndra,Maokai,,,,,,2829,0,4,1,2,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9604.0,203.6903,0.156394,123.7328,0.0,20.0,0.4242,9.0,0.1909,1.0,0.0,0.0,19573.0,13547.0,287.3171,0.296307,18225.0,,,496.0,465.0,31.0,31.0,0.0,10.5196,3122.0,4654.0,77.0,3050.0,4334.0,76.0,72.0,320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5165.0,7544.0,133.0,4999.0,7460.0,135.0,166.0,84.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.0,10075.0,191.0,6644.0,9841.0,188.0,550.0,234.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9449.0,12512.0,234.0,10066.0,14146.0,252.0,-617.0,-1634.0,-18.0,2.0,0.0,1.0,3.0,2.0,0.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,4,Blue,bot,GodKwai,oe:player:77f282e54c0ca2da2d5e4144275cd75,Hong Kong Esports,oe:team:f6916bcaf8f0e2930832c306d5476a3,Varus,Ryze,Jhin,Rengar,Syndra,Maokai,,,,,,2829,0,2,2,3,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,20276.0,430.0318,0.33018,295.5885,0.0,15.0,0.3181,3.0,0.0636,2.0,0.0,0.0,16643.0,10617.0,225.175,0.232219,15350.0,,,382.0,362.0,20.0,19.0,1.0,8.1018,2820.0,2970.0,65.0,3210.0,3213.0,85.0,-390.0,-243.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,4741.0,4748.0,103.0,5480.0,5624.0,147.0,-739.0,-876.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,6610.0,7156.0,155.0,6979.0,7710.0,188.0,-369.0,-554.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,8348.0,9805.0,196.0,9103.0,10473.0,220.0,-755.0,-668.0,-24.0,0.0,2.0,1.0,0.0,4.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,5,Blue,sup,Nestea,oe:player:971f9ffdc8948bb946a7ceccfb54665,Hong Kong Esports,oe:team:f6916bcaf8f0e2930832c306d5476a3,Tahm Kench,Ryze,Jhin,Rengar,Syndra,Maokai,,,,,,2829,0,0,2,4,7,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1485,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1506.0,31.9406,0.0245241,312.1315,0.0,87.0,1.8452,26.0,0.5514,27.0,0.0,0.0,10870.0,4844.0,102.7359,0.105946,10045.0,,,63.0,63.0,0.0,0.0,0.0,1.3362,2056.0,2554.0,17.0,1830.0,2716.0,1.0,226.0,-162.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3322.0,3389.0,20.0,2910.0,3783.0,5.0,412.0,-394.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,4553.0,4563.0,26.0,3940.0,4680.0,11.0,613.0,-117.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,5674.0,5749.0,34.0,5651.0,7961.0,16.0,23.0,-2212.0,18.0,0.0,2.0,1.0,0.0,3.0,0.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,6,Red,top,Morning,oe:player:b311a3fe13ac9b0ee02985f4759a2e4,J Team,oe:team:b41d715b166da7092724123264e4560,Camille,LeBlanc,Corki,Vi,Jayce,Shen,,,,,,2829,1,6,4,4,12,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2545,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,21898.0,464.4327,0.382104,867.3807,0.0,24.0,0.509,11.0,0.2333,4.0,0.0,0.0,20690.0,14664.0,311.0074,0.245346,18383.0,,,402.0,378.0,24.0,4.0,20.0,8.526,2644.0,4119.0,56.0,3078.0,4509.0,75.0,-434.0,-390.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.0,6172.0,88.0,5305.0,6843.0,120.0,-1276.0,-671.0,-32.0,0.0,0.0,1.0,0.0,1.0,0.0,6161.0,9462.0,151.0,6739.0,9012.0,152.0,-578.0,450.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,9070.0,12909.0,189.0,7940.0,10446.0,173.0,1130.0,2463.0,16.0,2.0,4.0,1.0,0.0,2.0,2.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,7,Red,jng,Achie,oe:player:10af333f184178919cb92c2c75e4b95,J Team,oe:team:b41d715b166da7092724123264e4560,Kha'Zix,LeBlanc,Corki,Vi,Jayce,Shen,,,,,,2829,1,1,2,1,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5699.0,120.8696,0.0994434,657.8579,0.0,24.0,0.509,24.0,0.509,19.0,0.0,0.0,16383.0,10357.0,219.6607,0.173283,14050.0,,,217.0,69.0,148.0,80.0,68.0,4.6023,3146.0,3664.0,58.0,2706.0,3101.0,37.0,440.0,563.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4619.0,5539.0,82.0,4900.0,5198.0,56.0,-281.0,341.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,6288.0,8399.0,103.0,6543.0,7314.0,83.0,-255.0,1085.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,7962.0,10239.0,123.0,7867.0,8962.0,109.0,95.0,1277.0,14.0,1.0,0.0,1.0,1.0,0.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,8,Red,mid,FoFo,oe:player:568fe19f3078824aeca0056e28081bb,J Team,oe:team:b41d715b166da7092724123264e4560,Katarina,LeBlanc,Corki,Vi,Jayce,Shen,,,,,,2829,1,4,0,3,12,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10201.0,216.3521,0.178,297.2004,0.0,26.0,0.5514,8.0,0.1697,2.0,0.0,0.0,19532.0,13506.0,286.4475,0.225971,17550.0,,,426.0,394.0,32.0,19.0,13.0,9.035,3050.0,4334.0,76.0,3122.0,4654.0,77.0,-72.0,-320.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.0,7460.0,135.0,5165.0,7544.0,133.0,-166.0,-84.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6644.0,9841.0,188.0,7194.0,10075.0,191.0,-550.0,-234.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,10066.0,14146.0,252.0,9449.0,12512.0,234.0,617.0,1634.0,18.0,3.0,2.0,0.0,2.0,0.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,9,Red,bot,BeBe,oe:player:f6d8075535e2d9f9d58bd0efd5a9847,J Team,oe:team:b41d715b166da7092724123264e4560,Ashe,LeBlanc,Corki,Vi,Jayce,Shen,,,,,,2829,1,0,1,5,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11681.0,247.7413,0.203825,220.4242,0.0,14.0,0.2969,20.0,0.4242,2.0,0.0,0.0,20439.0,14413.0,305.684,0.241146,18600.0,,,465.0,419.0,46.0,26.0,20.0,9.8621,3210.0,3213.0,85.0,2820.0,2970.0,65.0,390.0,243.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.0,5624.0,147.0,4741.0,4748.0,103.0,739.0,876.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,6979.0,7710.0,188.0,6610.0,7156.0,155.0,369.0,554.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,9103.0,10473.0,220.0,8348.0,9805.0,196.0,755.0,668.0,24.0,0.0,4.0,1.0,0.0,2.0,1.0
TRTW/1030151,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/1030151?gameHash=7ad337c334dfebc6,LMS,2017,Spring,0,2017-02-10 07:59:25,1,7.02,10,Red,sup,Chieh,oe:player:e0c3b0526a8b0ca8604e3bae81876ca,J Team,oe:team:b41d715b166da7092724123264e4560,Malzahar,LeBlanc,Corki,Vi,Jayce,Shen,,,,,,2829,1,1,0,4,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7830.0,166.0657,0.136628,135.3128,0.0,74.0,1.5695,22.0,0.4666,18.0,0.0,0.0,12855.0,6829.0,144.8356,0.114254,10900.0,,,31.0,31.0,0.0,0.0,0.0,0.6575,1830.0,2716.0,1.0,2056.0,2554.0,17.0,-226.0,162.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,2910.0,3783.0,5.0,3322.0,3389.0,20.0,-412.0,394.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,3940.0,4680.0,11.0,4553.0,4563.0,26.0,-613.0,117.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,5651.0,7961.0,16.0,5674.0,5749.0,34.0,-23.0,2212.0,-18.0,0.0,3.0,0.0,0.0,2.0,1.0
