gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,1,Blue,top,Mouse,oe:player:f2a47c6809d88e175dade0ef7b16aa1,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Trundle,Nidalee,Alistar,Maokai,,,,,,,,2569,1,2,1,7,14,8,,,0.0,0.0,,0.0,,,0.327,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11044.0,257.9369,0.0937275,1043.1218,,19.0,0.4438,4.0,0.0934,4.0,,,14136.0,8640.0,201.7906,0.171221,,,,218.0,202.0,16.0,12.0,4.0,5.0915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,2,Blue,jng,Clearlove,oe:player:9148a2e81dfb2432807b6738829a1b2,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Rek'Sai,Nidalee,Alistar,Maokai,,,,,,,,2569,1,4,0,9,14,8,,,0.0,0.0,,0.0,,,0.327,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15329.0,358.0148,0.130093,1117.0417,,35.0,0.8174,26.0,0.6072,5.0,,,16114.0,10618.0,247.9875,0.21042,,,,211.0,80.0,131.0,82.0,49.0,4.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,3,Blue,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Azir,Nidalee,Alistar,Maokai,,,,,,,,2569,1,4,4,8,14,8,,,0.0,0.0,,0.0,,,0.327,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629.0,855.4846,0.31086,490.7902,,23.0,0.5372,5.0,0.1168,2.0,,,17764.0,12268.0,286.5239,0.243118,,,,358.0,304.0,54.0,39.0,15.0,8.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Caitlyn,Nidalee,Alistar,Maokai,,,,,,,,2569,1,3,2,10,14,8,,,0.0,0.0,,0.0,,,0.327,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43326.0,1011.8957,0.367696,428.5948,,17.0,0.397,22.0,0.5138,4.0,,,17748.0,12252.0,286.1503,0.242801,,,,380.0,328.0,52.0,37.0,15.0,8.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,5,Blue,sup,Meiko,oe:player:bda7cc061d7a1576f1dcad33dd505cd,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Karma,Nidalee,Alistar,Maokai,,,,,,,,2569,1,1,1,12,14,8,,,0.0,0.0,,0.0,,,0.327,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11503.0,268.6571,0.0976229,295.7493,,61.0,1.4247,20.0,0.4671,10.0,,,12179.0,6683.0,156.0841,0.132439,,,,34.0,32.0,2.0,0.0,2.0,0.7941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,6,Red,top,V,oe:player:5206560a306a2e085a437fd258eb57c,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,Swain,Ekko,Ryze,Kindred,,,,,,,,2569,0,2,4,3,8,14,,,0.0,0.0,,0.0,,,0.1868,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32907.0,768.5559,0.313971,963.9237,,20.0,0.4671,7.0,0.1635,6.0,,,15965.0,10469.0,244.5076,0.215918,,,,354.0,350.0,4.0,3.0,1.0,8.2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,7,Red,jng,Swift,oe:player:ae832e9b5bda2699db45f3fa6aa8c55,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,Lee Sin,Ekko,Ryze,Kindred,,,,,,,,2569,0,2,2,5,8,14,,,0.0,0.0,,0.0,,,0.1868,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11097.0,259.1748,0.105878,867.0689,,38.0,0.8875,23.0,0.5372,6.0,,,14032.0,8536.0,199.3616,0.176051,,,,180.0,77.0,103.0,90.0,13.0,4.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,8,Red,mid,dade,oe:player:73fd5ac9aca9c8627b8e851c99f49c4,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,Viktor,Ekko,Ryze,Kindred,,,,,,,,2569,0,3,4,2,8,14,,,0.0,0.0,,0.0,,,0.1868,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34628.0,808.7505,0.330391,474.1144,,19.0,0.4438,5.0,0.1168,2.0,,,18037.0,12541.0,292.9,0.258652,,,,440.0,420.0,20.0,20.0,0.0,10.2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,9,Red,bot,Happy,oe:player:ef97b40b2245d3690c745cd6e8c663d,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,Lucian,Ekko,Ryze,Kindred,,,,,,,,2569,0,1,2,4,8,14,,,0.0,0.0,,1.0,,,0.1868,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210.0,472.0125,0.192827,506.9988,,12.0,0.2803,7.0,0.1635,0.0,,,16461.0,10965.0,256.0919,0.226148,,,,396.0,386.0,10.0,10.0,0.0,9.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747-784,partial,https://lpl.qq.com/es/stats.shtml?bmid=747,LPL,2016,Summer,0,2016-05-26 09:22:19,1,6.1,10,Red,sup,Mor,oe:player:3a51d2dae2a4c583a3f70ceed2e17ff,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,Braum,Ekko,Ryze,Kindred,,,,,,,,2569,0,0,2,6,8,14,,,0.0,0.0,,0.0,,,0.1868,0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967.0,139.3616,0.0569321,770.0973,,61.0,1.4247,18.0,0.4204,11.0,,,11471.0,5975.0,139.5485,0.123232,,,,76.0,75.0,1.0,1.0,0.0,1.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
