gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,1,Blue,top,AmazingJ,oe:player:98c980a76febd0efa3407295d69b244,I May,oe:team:2f758c15b9c1781b2d4032011ae1628,Maokai,Syndra,Malzahar,Ashe,Karma,Poppy,,,,,,1688,1,1,2,11,15,5,,,0.0,0.0,,0.0,,,0.5332,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15681.0,557.3815,0.219174,777.0498,,14.0,0.4976,4.0,0.1422,2.0,,,10368.0,6669.0,237.0498,0.184181,,,,212.0,212.0,0.0,0.0,0.0,7.5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,2,Blue,jng,Ben4,oe:player:59a57d41e6e55c904ef0865e441d4c3,I May,oe:team:2f758c15b9c1781b2d4032011ae1628,Kha'Zix,Syndra,Malzahar,Ashe,Karma,Poppy,,,,,,1688,1,3,1,6,15,5,,,0.0,0.0,,0.0,,,0.5332,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12081.0,429.4194,0.168856,824.3246,,22.0,0.782,10.0,0.3555,5.0,,,9648.0,5949.0,211.4573,0.164298,,,,95.0,20.0,75.0,52.0,23.0,3.3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,3,Blue,mid,Athena,oe:player:582ca45acfd3e21caca8b786c141385,I May,oe:team:2f758c15b9c1781b2d4032011ae1628,Cassiopeia,Syndra,Malzahar,Ashe,Karma,Poppy,,,,,,1688,1,6,0,5,15,5,,,0.0,0.0,,0.0,,,0.5332,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13906.0,494.2891,0.194364,456.3981,,16.0,0.5687,10.0,0.3555,5.0,,,13541.0,9842.0,349.8341,0.271808,,,,295.0,284.0,11.0,10.0,1.0,10.4858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,4,Blue,bot,Jinjiao,oe:player:efced9552c6030d0beaf318ee62926a,I May,oe:team:2f758c15b9c1781b2d4032011ae1628,Varus,Syndra,Malzahar,Ashe,Karma,Poppy,,,,,,1688,1,3,0,8,15,5,,,0.0,0.0,,0.0,,,0.5332,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22467.0,798.59,0.314022,374.7512,,12.0,0.4265,7.0,0.2488,2.0,,,12685.0,8986.0,319.4076,0.248168,,,,265.0,251.0,14.0,8.0,6.0,9.4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,5,Blue,sup,Road,,I May,oe:team:2f758c15b9c1781b2d4032011ae1628,Tahm Kench,Syndra,Malzahar,Ashe,Karma,Poppy,,,,,,1688,1,2,2,10,15,5,,,0.0,0.0,,0.0,,,0.5332,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7411.0,263.4242,0.103584,773.3531,,34.0,1.2085,12.0,0.4265,10.0,,,8462.0,4763.0,169.3009,0.131545,,,,42.0,42.0,0.0,0.0,0.0,1.4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,6,Red,top,Letme,oe:player:ed551dce192327346be794c8b312186,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,Kled,Camille,Rengar,Zyra,Elise,Rek'Sai,,,,,,1688,0,1,4,3,5,15,,,0.0,0.0,,0.0,,,0.1777,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17465.0,620.7938,0.269318,934.7986,,13.0,0.4621,0.0,0.0,2.0,,,9019.0,5320.0,189.0995,0.208308,,,,202.0,202.0,0.0,0.0,0.0,7.1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,7,Red,jng,Mlxg,oe:player:71fb72e750329576210775b19d912e6,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,Lee Sin,Camille,Rengar,Zyra,Elise,Rek'Sai,,,,,,1688,0,1,4,4,5,15,,,0.0,0.0,,1.0,,,0.1777,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8768.0,311.6588,0.135206,871.0308,,20.0,0.7109,6.0,0.2133,6.0,,,8201.0,4502.0,160.0237,0.176281,,,,114.0,10.0,104.0,71.0,33.0,4.0521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,8,Red,mid,Xiaohu,oe:player:beea9fe15bff6a7ab0b3913d3d5fde6,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,Ryze,Camille,Rengar,Zyra,Elise,Rek'Sai,,,,,,1688,0,2,2,0,5,15,,,0.0,0.0,,0.0,,,0.1777,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14856.0,528.0569,0.229086,536.2678,,18.0,0.6398,9.0,0.3199,8.0,,,10414.0,6715.0,238.6848,0.262928,,,,272.0,259.0,13.0,13.0,0.0,9.6682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,9,Red,bot,Uzi,oe:player:52e418c848e0f05f1ae3d63fb2f806a,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,Caitlyn,Camille,Rengar,Zyra,Elise,Rek'Sai,,,,,,1688,0,1,2,3,5,15,,,0.0,0.0,,0.0,,,0.1777,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18010.0,640.1659,0.277722,426.6825,,11.0,0.391,3.0,0.1066,2.0,,,10299.0,6600.0,234.5972,0.258425,,,,284.0,273.0,11.0,3.0,8.0,10.0948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506-1540,partial,https://lpl.qq.com/es/stats.shtml?bmid=1506,LPL,2017,Spring,0,2017-01-19 09:45:22,1,7.01,10,Red,sup,Ming,oe:player:4e09acc2529add19ff0686b1341e3d0,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,Nautilus,Camille,Rengar,Zyra,Elise,Rek'Sai,,,,,,1688,0,0,3,3,5,15,,,0.0,0.0,,0.0,,,0.1777,0.7109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5750.0,204.3839,0.0886675,591.7536,,36.0,1.2796,4.0,0.1422,8.0,,,6101.0,2402.0,85.3791,0.094058,,,,33.0,33.0,0.0,0.0,0.0,1.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
