gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,1,Blue,top,Spoice,oe:player:8be30b5f9d11e6fa65a82e2a82543d1,Boavista FC,oe:team:07837648624136cfa442f4d3bf29de0,Akali,Cassiopeia,Lucian,Galio,Ezreal,Xayah,,,,,,1556,0,1,3,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8197.0,316.0797,0.297294,559.9743,257.6992,11.0,0.4242,2.0,0.0771,3.0,18.0,0.6941,7371.0,3921.0,151.1954,0.214825,6875.0,,,177.0,177.0,0.0,0.0,0.0,6.8252,3253.0,4480.0,70.0,3658.0,4844.0,81.0,-405.0,-364.0,-11.0,1.0,0.0,1.0,1.0,2.0,0.0,4948.0,7380.0,122.0,5340.0,7777.0,129.0,-392.0,-397.0,-7.0,1.0,0.0,1.0,1.0,2.0,0.0,6236.0,9223.0,153.0,7720.0,11010.0,172.0,-1484.0,-1787.0,-19.0,1.0,0.0,2.0,2.0,2.0,0.0,7256.0,10698.0,177.0,9264.0,13313.0,191.0,-2008.0,-2615.0,-14.0,1.0,0.0,3.0,2.0,3.0,0.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,2,Blue,jng,Time,oe:player:550fa477eff3885416f22c0b3f2fc88,Boavista FC,oe:team:07837648624136cfa442f4d3bf29de0,Xin Zhao,Cassiopeia,Lucian,Galio,Ezreal,Xayah,,,,,,1556,0,1,6,2,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6126.0,236.2211,0.222182,991.6195,531.671,6.0,0.2314,4.0,0.1542,6.0,25.0,0.964,7698.0,4248.0,163.8046,0.23274,7525.0,,,125.0,6.0,119.0,69.0,20.0,4.8201,3001.0,3198.0,51.0,3335.0,3391.0,54.0,-334.0,-193.0,-3.0,0.0,1.0,1.0,1.0,1.0,1.0,4574.0,5417.0,79.0,5407.0,5888.0,84.0,-833.0,-471.0,-5.0,0.0,2.0,3.0,2.0,4.0,1.0,5820.0,7509.0,104.0,6969.0,7982.0,113.0,-1149.0,-473.0,-9.0,0.0,2.0,4.0,2.0,5.0,1.0,7583.0,9852.0,125.0,9339.0,11147.0,137.0,-1756.0,-1295.0,-12.0,1.0,2.0,5.0,4.0,7.0,2.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,3,Blue,mid,Burnie,oe:player:4567c1b46e2b715a37167c6a8a90bd4,Boavista FC,oe:team:07837648624136cfa442f4d3bf29de0,Sion,Cassiopeia,Lucian,Galio,Ezreal,Xayah,,,,,,1556,0,0,2,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5683.0,219.1388,0.206115,778.4576,859.4344,13.0,0.5013,3.0,0.1157,5.0,18.0,0.6941,7451.0,4001.0,154.2802,0.219208,7400.0,,,175.0,174.0,1.0,0.0,1.0,6.7481,3006.0,4798.0,73.0,3778.0,5013.0,91.0,-772.0,-215.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0,4442.0,7165.0,115.0,5862.0,8163.0,144.0,-1420.0,-998.0,-29.0,0.0,0.0,1.0,2.0,1.0,0.0,6054.0,9345.0,158.0,7431.0,10529.0,186.0,-1377.0,-1184.0,-28.0,0.0,0.0,1.0,2.0,1.0,0.0,7241.0,11144.0,174.0,9916.0,12945.0,210.0,-2675.0,-1801.0,-36.0,0.0,1.0,1.0,4.0,2.0,0.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,4,Blue,bot,Tragao,oe:player:ed795a0b5ff0968fccd05781b9b13c8,Boavista FC,oe:team:07837648624136cfa442f4d3bf29de0,Varus,Cassiopeia,Lucian,Galio,Ezreal,Xayah,,,,,,1556,0,2,4,0,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1542,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4470.0,172.365,0.162121,390.9254,193.4576,6.0,0.2314,3.0,0.1157,2.0,12.0,0.4627,8190.0,4740.0,182.7763,0.259695,8100.0,,,191.0,189.0,2.0,2.0,0.0,7.365,2816.0,2523.0,66.0,3450.0,3305.0,83.0,-634.0,-782.0,-17.0,0.0,0.0,1.0,0.0,1.0,0.0,4903.0,4510.0,108.0,6013.0,5891.0,143.0,-1110.0,-1381.0,-35.0,2.0,0.0,2.0,1.0,3.0,1.0,6621.0,6331.0,154.0,8080.0,8386.0,197.0,-1459.0,-2055.0,-43.0,2.0,0.0,2.0,2.0,3.0,1.0,8061.0,8164.0,190.0,10118.0,11204.0,229.0,-2057.0,-3040.0,-39.0,2.0,0.0,3.0,3.0,4.0,1.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,5,Blue,sup,Feedarias,oe:player:ac9be3f72046aca1f6f14ffaeb4c8b8,Boavista FC,oe:team:07837648624136cfa442f4d3bf29de0,Gragas,Cassiopeia,Lucian,Galio,Ezreal,Xayah,,,,,,1556,0,0,4,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3096.0,119.383,0.112288,539.1902,452.6221,15.0,0.5784,4.0,0.1542,5.0,26.0,1.0026,4792.0,1342.0,51.7481,0.0735317,4325.0,,,12.0,12.0,0.0,0.0,0.0,0.4627,1968.0,2789.0,4.0,2548.0,3165.0,1.0,-580.0,-376.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2880.0,4487.0,6.0,4077.0,5347.0,4.0,-1197.0,-860.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,3713.0,6349.0,8.0,5055.0,7031.0,7.0,-1342.0,-682.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,4615.0,7064.0,11.0,6985.0,9442.0,12.0,-2370.0,-2378.0,-1.0,0.0,1.0,3.0,2.0,7.0,1.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,6,Red,top,Frozen,oe:player:61202f4c81d676dd59cadefaede329d,For The Win Esports,oe:team:ecaf2adae2ff7f9511c9f662f18ffe7,Ornn,Aatrox,Irelia,Lissandra,Alistar,Kai'Sa,,,,,,1556,1,3,0,5,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11456.0,441.7481,0.174167,408.6632,473.5219,7.0,0.2699,2.0,0.0771,1.0,14.0,0.5398,10006.0,6556.0,252.8021,0.203843,9025.0,,,192.0,192.0,0.0,0.0,0.0,7.4036,3658.0,4844.0,81.0,3253.0,4480.0,70.0,405.0,364.0,11.0,1.0,2.0,0.0,1.0,0.0,1.0,5340.0,7777.0,129.0,4948.0,7380.0,122.0,392.0,397.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,7720.0,11010.0,172.0,6236.0,9223.0,153.0,1484.0,1787.0,19.0,2.0,2.0,0.0,1.0,0.0,2.0,9264.0,13313.0,191.0,7256.0,10698.0,177.0,2008.0,2615.0,14.0,2.0,3.0,0.0,1.0,0.0,3.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,7,Red,jng,Own3r,oe:player:c52d1f6b94c909ec3b822acff420409,For The Win Esports,oe:team:ecaf2adae2ff7f9511c9f662f18ffe7,Kha'Zix,Aatrox,Irelia,Lissandra,Alistar,Kai'Sa,,,,,,1556,1,5,2,7,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10101.0,389.4987,0.153567,697.7892,391.6195,10.0,0.3856,6.0,0.2314,7.0,34.0,1.3111,10213.0,6763.0,260.7841,0.210279,8600.0,,,146.0,17.0,129.0,63.0,37.0,5.6298,3335.0,3391.0,54.0,3001.0,3198.0,51.0,334.0,193.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5407.0,5888.0,84.0,4574.0,5417.0,79.0,833.0,471.0,5.0,2.0,4.0,1.0,0.0,2.0,3.0,6969.0,7982.0,113.0,5820.0,7509.0,104.0,1149.0,473.0,9.0,2.0,5.0,1.0,0.0,2.0,4.0,9339.0,11147.0,137.0,7583.0,9852.0,125.0,1756.0,1295.0,12.0,4.0,7.0,2.0,1.0,2.0,5.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,8,Red,mid,Xaky,oe:player:afb7dcf3c4fa584007cb4bc62e85886,For The Win Esports,oe:team:ecaf2adae2ff7f9511c9f662f18ffe7,Urgot,Aatrox,Irelia,Lissandra,Alistar,Kai'Sa,,,,,,1556,1,5,0,2,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18277.0,704.7686,0.277867,336.8252,626.8766,11.0,0.4242,2.0,0.0771,2.0,22.0,0.8483,10513.0,7063.0,272.3522,0.219607,9600.0,,,219.0,214.0,5.0,0.0,5.0,8.4447,3778.0,5013.0,91.0,3006.0,4798.0,73.0,772.0,215.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,5862.0,8163.0,144.0,4442.0,7165.0,115.0,1420.0,998.0,29.0,2.0,1.0,0.0,0.0,0.0,1.0,7431.0,10529.0,186.0,6054.0,9345.0,158.0,1377.0,1184.0,28.0,2.0,1.0,0.0,0.0,0.0,1.0,9916.0,12945.0,210.0,7241.0,11144.0,174.0,2675.0,1801.0,36.0,4.0,2.0,0.0,0.0,1.0,1.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,9,Red,bot,Afm,oe:player:c85554f6483e4aab17cfad9b6f3229d,For The Win Esports,oe:team:ecaf2adae2ff7f9511c9f662f18ffe7,Heimerdinger,Aatrox,Irelia,Lissandra,Alistar,Kai'Sa,,,,,,1556,1,4,1,5,19,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7326,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18156.0,700.1028,0.276028,235.5656,164.4216,8.0,0.3085,5.0,0.1928,4.0,26.0,1.0026,11087.0,7637.0,294.4859,0.237453,9850.0,,,237.0,225.0,12.0,4.0,0.0,9.1388,3450.0,3305.0,83.0,2816.0,2523.0,66.0,634.0,782.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,6013.0,5891.0,143.0,4903.0,4510.0,108.0,1110.0,1381.0,35.0,1.0,3.0,1.0,2.0,0.0,2.0,8080.0,8386.0,197.0,6621.0,6331.0,154.0,1459.0,2055.0,43.0,2.0,3.0,1.0,2.0,0.0,2.0,10118.0,11204.0,229.0,8061.0,8164.0,190.0,2057.0,3040.0,39.0,3.0,4.0,1.0,2.0,0.0,3.0
ESPORTSTMNT05/1071034,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1071034?gameHash=3391f9f91a83fc01,LPLOL,2019,Spring,0,2019-01-28 19:44:51,1,9.01,10,Red,sup,Plasma,oe:player:b20a4217acaf4316739c6a5f6679ef6,For The Win Esports,oe:team:ecaf2adae2ff7f9511c9f662f18ffe7,Rakan,Aatrox,Irelia,Lissandra,Alistar,Kai'Sa,,,,,,1556,1,2,1,10,19,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7326,0.8869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7786.0,300.2314,0.118371,237.1851,456.671,22.0,0.8483,11.0,0.4242,6.0,53.0,2.0437,7593.0,4143.0,159.7558,0.128818,6500.0,,,12.0,12.0,0.0,0.0,0.0,0.4627,2548.0,3165.0,1.0,1968.0,2789.0,4.0,580.0,376.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,4077.0,5347.0,4.0,2880.0,4487.0,6.0,1197.0,860.0,-2.0,2.0,2.0,1.0,0.0,1.0,1.0,5055.0,7031.0,7.0,3713.0,6349.0,8.0,1342.0,682.0,-1.0,2.0,3.0,1.0,0.0,1.0,1.0,6985.0,9442.0,12.0,4615.0,7064.0,11.0,2370.0,2378.0,1.0,2.0,7.0,1.0,0.0,1.0,3.0
