gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,1,Blue,top,Putin,oe:player:ba2b37f19ba735f23ce71cb133ea4e5,Saprissa Esports,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,Poppy,Nautilus,Lucian,Gragas,Gwen,Darius,,,,,,1640,1,7,2,11,27,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,22110.0,808.9024,0.239262,858.5122,1295.0122,8.0,0.2927,2.0,0.0732,4.0,20.0,0.7317,11579,7958,291.1463,0.213094,9600.0,,,187.0,187.0,0.0,,,6.8415,3834.0,4959.0,76.0,3226.0,4532.0,83.0,608.0,427.0,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,5772.0,7642.0,128.0,5290.0,7461.0,134.0,482.0,181.0,-6.0,1.0,0.0,0.0,0.0,1.0,0.0,7353.0,9201.0,140.0,7814.0,9728.0,166.0,-461.0,-527.0,-26.0,2.0,4.0,2.0,2.0,3.0,1.0,9435.0,11862.0,179.0,9574.0,11828.0,201.0,-139.0,34.0,-22.0,3.0,7.0,2.0,3.0,3.0,2.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,2,Blue,jng,Ganks,oe:player:0cae306fd021751c70ab9f75123b561,Saprissa Esports,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,Sejuani,Nautilus,Lucian,Gragas,Gwen,Darius,,,,,,1640,1,1,3,18,27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878,1.3171,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,16076.0,588.1463,0.173966,1177.8293,1397.6707,13.0,0.4756,11.0,0.4024,12.0,51.0,1.8659,10067,6446,235.8293,0.172606,8950.0,,,169.0,25.0,144.0,,,6.1829,3269.0,3340.0,72.0,3024.0,2883.0,47.0,245.0,457.0,25.0,0.0,1.0,1.0,0.0,3.0,1.0,5288.0,5669.0,110.0,4406.0,4779.0,79.0,882.0,890.0,31.0,1.0,1.0,1.0,0.0,3.0,1.0,6908.0,7723.0,128.0,6429.0,6809.0,102.0,479.0,914.0,26.0,1.0,6.0,2.0,1.0,6.0,3.0,8549.0,9947.0,154.0,7350.0,7721.0,111.0,1199.0,2226.0,43.0,1.0,11.0,3.0,1.0,6.0,4.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,3,Blue,mid,Cotopaco,oe:player:6252fe71513f9bc796f40f41cfeb74e,Saprissa Esports,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,K'Sante,Nautilus,Lucian,Gragas,Gwen,Darius,,,,,,1640,1,7,0,14,27,9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19476.0,712.5366,0.210759,776.4146,1256.8537,7.0,0.2561,2.0,0.0732,3.0,17.0,0.622,12231,8610,315.0,0.230554,11225.0,,,185.0,181.0,4.0,,,6.7683,3046.0,4424.0,75.0,3738.0,4668.0,84.0,-692.0,-244.0,-9.0,0.0,1.0,0.0,1.0,0.0,0.0,5156.0,7478.0,126.0,5270.0,6960.0,124.0,-114.0,518.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,8044.0,10068.0,162.0,6710.0,8064.0,131.0,1334.0,2004.0,31.0,3.0,7.0,0.0,2.0,4.0,2.0,10305.0,11919.0,182.0,7974.0,9310.0,153.0,2331.0,2609.0,29.0,6.0,8.0,0.0,2.0,5.0,4.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,4,Blue,bot,Xpontaneous,oe:player:cf6fe510c03373735615d343e21c662,Saprissa Esports,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,Zeri,Nautilus,Lucian,Gragas,Gwen,Darius,,,,,,1640,1,11,2,12,27,9,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,28853.0,1055.5976,0.312231,476.561,377.6707,9.0,0.3293,9.0,0.3293,3.0,32.0,1.1707,14022,10401,380.5244,0.278513,11708.0,,,254.0,230.0,24.0,,,9.2927,3212.0,3157.0,83.0,3734.0,2952.0,71.0,-522.0,205.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,5453.0,5521.0,143.0,5896.0,5331.0,125.0,-443.0,190.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,8382.0,7974.0,177.0,8236.0,7120.0,158.0,146.0,854.0,19.0,4.0,4.0,2.0,3.0,4.0,2.0,11121.0,11021.0,223.0,9690.0,8536.0,197.0,1431.0,2485.0,26.0,7.0,7.0,2.0,3.0,4.0,3.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,5,Blue,sup,Yerikan,oe:player:7f74c1fc50f80a06152c610c4a3b034,Saprissa Esports,oe:team:1f75fda1d2b3b7aea236e4fd8a5dd4c,Renata Glasc,Nautilus,Lucian,Gragas,Gwen,Darius,,,,,,1640,1,1,2,21,27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9878,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5894.0,215.6341,0.0637817,249.3659,185.6707,46.0,1.6829,14.0,0.5122,13.0,97.0,3.5488,7551,3930,143.7805,0.105232,6335.0,,,38.0,38.0,0.0,,,1.3902,2130.0,2067.0,15.0,2243.0,2604.0,16.0,-113.0,-537.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,3293.0,3619.0,25.0,3290.0,3712.0,27.0,3.0,-93.0,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,4804.0,4940.0,33.0,4451.0,4852.0,30.0,353.0,88.0,3.0,0.0,7.0,2.0,0.0,7.0,2.0,6123.0,6601.0,37.0,5193.0,5856.0,31.0,930.0,745.0,6.0,0.0,13.0,2.0,0.0,7.0,4.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,6,Red,top,Mayhem,oe:player:a2bc15a0a3749d65c09d28e4e5b1ffe,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Renekton,Neeko,Milio,Graves,Lulu,Leona,,,,,,1640,0,3,4,3,9,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19898.0,727.9756,0.289758,1436.9268,1147.5732,9.0,0.3293,1.0,0.0366,4.0,28.0,1.0244,10034,6413,234.622,0.268419,9400.0,,,212.0,208.0,4.0,,,7.7561,3226.0,4532.0,83.0,3834.0,4959.0,76.0,-608.0,-427.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,5290.0,7461.0,134.0,5772.0,7642.0,128.0,-482.0,-181.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,7814.0,9728.0,166.0,7353.0,9201.0,140.0,461.0,527.0,26.0,2.0,3.0,1.0,2.0,4.0,2.0,9574.0,11828.0,201.0,9435.0,11862.0,179.0,139.0,-34.0,22.0,3.0,3.0,2.0,3.0,7.0,2.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,7,Red,jng,WS SlayerSupre,,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Vi,Neeko,Milio,Graves,Lulu,Leona,,,,,,1640,0,1,6,6,9,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3293,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,7575.0,277.1341,0.110309,894.2927,907.1707,8.0,0.2927,8.0,0.2927,8.0,30.0,1.0976,7722,4101,150.0366,0.171646,7450.0,,,116.0,18.0,98.0,,,4.2439,3024.0,2883.0,47.0,3269.0,3340.0,72.0,-245.0,-457.0,-25.0,0.0,3.0,1.0,0.0,1.0,1.0,4406.0,4779.0,79.0,5288.0,5669.0,110.0,-882.0,-890.0,-31.0,0.0,3.0,1.0,1.0,1.0,1.0,6429.0,6809.0,102.0,6908.0,7723.0,128.0,-479.0,-914.0,-26.0,1.0,6.0,3.0,1.0,6.0,2.0,7350.0,7721.0,111.0,8549.0,9947.0,154.0,-1199.0,-2226.0,-43.0,1.0,6.0,4.0,1.0,11.0,3.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,8,Red,mid,Zerkxz,oe:player:39c532cecb979acba3c261f7f924de1,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Annie,Neeko,Milio,Graves,Lulu,Leona,,,,,,1640,0,2,6,5,9,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,22629.0,827.8902,0.329528,485.0122,404.0488,9.0,0.3293,3.0,0.1098,4.0,20.0,0.7317,8464,4843,177.1829,0.202704,8235.0,,,157.0,157.0,0.0,,,5.7439,3738.0,4668.0,84.0,3046.0,4424.0,75.0,692.0,244.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,5270.0,6960.0,124.0,5156.0,7478.0,126.0,114.0,-518.0,-2.0,1.0,0.0,1.0,0.0,2.0,0.0,6710.0,8064.0,131.0,8044.0,10068.0,162.0,-1334.0,-2004.0,-31.0,2.0,4.0,2.0,3.0,7.0,0.0,7974.0,9310.0,153.0,10305.0,11919.0,182.0,-2331.0,-2609.0,-29.0,2.0,5.0,4.0,6.0,8.0,0.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,9,Red,bot,Demy,oe:player:dac3ebed07ccecf0b97a0cfb027f1e3,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Jinx,Neeko,Milio,Graves,Lulu,Leona,,,,,,1640,0,3,5,4,9,27,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3293,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,15118.0,553.0976,0.220151,492.5122,301.4268,14.0,0.5122,6.0,0.2195,6.0,27.0,0.9878,10241,6620,242.1951,0.277083,10250.0,,,206.0,194.0,12.0,,,7.5366,3734.0,2952.0,71.0,3212.0,3157.0,83.0,522.0,-205.0,-12.0,2.0,0.0,0.0,0.0,0.0,1.0,5896.0,5331.0,125.0,5453.0,5521.0,143.0,443.0,-190.0,-18.0,2.0,0.0,0.0,0.0,0.0,1.0,8236.0,7120.0,158.0,8382.0,7974.0,177.0,-146.0,-854.0,-19.0,3.0,4.0,2.0,4.0,4.0,2.0,9690.0,8536.0,197.0,11121.0,11021.0,223.0,-1431.0,-2485.0,-26.0,3.0,4.0,3.0,7.0,7.0,2.0
ESPORTSTMNT03_3154831,complete,,LRN,2023,Closing,0,2023-05-28 00:09:07,1,13.1,10,Red,sup,Zeypher,oe:player:7e02979fd0ef649653419a704ba461c,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Rakan,Neeko,Milio,Graves,Lulu,Leona,,,,,,1640,0,0,6,7,9,27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3293,1.3171,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3451.0,126.2561,0.0502541,625.5366,618.8415,39.0,1.4268,8.0,0.2927,12.0,81.0,2.9634,5536,1915,70.061,0.0801473,4875.0,,,31.0,31.0,0.0,,,1.1341,2243.0,2604.0,16.0,2130.0,2067.0,15.0,113.0,537.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3290.0,3712.0,27.0,3293.0,3619.0,25.0,-3.0,93.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4451.0,4852.0,30.0,4804.0,4940.0,33.0,-353.0,-88.0,-3.0,0.0,7.0,2.0,0.0,7.0,2.0,5193.0,5856.0,31.0,6123.0,6601.0,37.0,-930.0,-745.0,-6.0,0.0,7.0,4.0,0.0,13.0,2.0
