gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,1,Blue,top,Steellar,oe:player:f576de1bd567e8091d2860822f4fd17,PÊEK Gaming,oe:team:db4e98d03fec12b08cb7a80b739c446,Renekton,Lucian,Rell,Orianna,Malphite,Aatrox,,,,,,1640,0,1,2,0,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,9421,344.6707,0.218079,803.2683,591.5122,12,0.439,3,0.1098,7,30,1.0976,8763,5142,188.122,0.218085,8880,,,213.0,213.0,0,,,7.7927,3622.0,5165.0,88.0,3009.0,4327.0,72.0,613.0,838.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5393.0,7732.0,137.0,4612.0,6969.0,118.0,781.0,763.0,19.0,1.0,0.0,0.0,0.0,2.0,1.0,6877.0,9795.0,175.0,6819.0,9868.0,166.0,58.0,-73.0,9.0,1.0,0.0,1.0,0.0,3.0,1.0,8245.0,11501.0,201.0,9409.0,13095.0,200.0,-1164.0,-1594.0,1.0,1.0,0.0,2.0,1.0,6.0,1.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,2,Blue,jng,Follow,oe:player:3903aab323863bd2e9b68218a7a65eb,PÊEK Gaming,oe:team:db4e98d03fec12b08cb7a80b739c446,Vi,Lucian,Rell,Orianna,Malphite,Aatrox,,,,,,1640,0,0,7,3,5,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1829,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5621,205.6463,0.130116,1034.0488,1162.7195,12,0.439,5,0.1829,10,41,1.5,8085,4464,163.3171,0.189329,7675,,,165.0,26.0,139,,,6.0366,3143.0,3254.0,67.0,2843.0,2908.0,57.0,300.0,346.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,4691.0,5132.0,96.0,4475.0,5480.0,97.0,216.0,-348.0,-1.0,0.0,2.0,2.0,0.0,3.0,2.0,6332.0,7436.0,132.0,6137.0,7786.0,128.0,195.0,-350.0,4.0,0.0,3.0,4.0,0.0,7.0,3.0,7488.0,8685.0,153.0,8443.0,11001.0,150.0,-955.0,-2316.0,3.0,0.0,3.0,6.0,0.0,14.0,3.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,3,Blue,mid,Skyy,oe:player:f7d8c1fd03b11c456966e4f1ee056f1,PÊEK Gaming,oe:team:db4e98d03fec12b08cb7a80b739c446,Taliyah,Lucian,Rell,Orianna,Malphite,Aatrox,,,,,,1640,0,0,6,4,5,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1829,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,12700,464.6341,0.293981,609.5122,441.1463,14,0.5122,8,0.2927,4,29,1.061,9079,5458,199.6829,0.231488,8450,,,213.0,213.0,0,,,7.7927,3538.0,4254.0,86.0,3205.0,4861.0,83.0,333.0,-607.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5135.0,6792.0,132.0,4985.0,7436.0,130.0,150.0,-644.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,6808.0,9023.0,172.0,7121.0,10154.0,166.0,-313.0,-1131.0,6.0,0.0,4.0,3.0,1.0,8.0,1.0,8370.0,10404.0,197.0,10251.0,13001.0,206.0,-1881.0,-2597.0,-9.0,0.0,4.0,5.0,4.0,10.0,1.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,4,Blue,bot,Grimm,oe:player:8c278813428305efdc3890f23eb9e37,PÊEK Gaming,oe:team:db4e98d03fec12b08cb7a80b739c446,Jinx,Lucian,Rell,Orianna,Malphite,Aatrox,,,,,,1640,0,3,2,0,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12768,467.122,0.295556,344.3049,153.2561,6,0.2195,10,0.3659,1,23,0.8415,9557,5936,217.1707,0.251762,9275,,,221.0,219.0,2,,,8.0854,3186.0,3664.0,88.0,3418.0,3112.0,93.0,-232.0,552.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5454.0,6047.0,135.0,6158.0,6047.0,147.0,-704.0,0.0,-12.0,2.0,0.0,0.0,3.0,1.0,0.0,7288.0,7829.0,170.0,10204.0,9394.0,210.0,-2916.0,-1565.0,-40.0,3.0,0.0,1.0,8.0,1.0,0.0,8713.0,9353.0,201.0,13792.0,12547.0,244.0,-5079.0,-3194.0,-43.0,3.0,0.0,1.0,11.0,5.0,0.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,5,Blue,sup,Crecre,oe:player:84e640911c6d6f172d4cf1c7cc78a67,PÊEK Gaming,oe:team:db4e98d03fec12b08cb7a80b739c446,Alistar,Lucian,Rell,Orianna,Malphite,Aatrox,,,,,,1640,0,1,4,3,5,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1829,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2690,98.4146,0.0622685,528.6951,836.0122,43,1.5732,9,0.3293,9,74,2.7073,6199,2578,94.3171,0.109335,5675,,,31.0,31.0,0,,,1.1341,2415.0,2004.0,17.0,2175.0,2471.0,14.0,240.0,-467.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3787.0,3606.0,24.0,3686.0,3926.0,21.0,101.0,-320.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,4834.0,4474.0,28.0,4925.0,5817.0,23.0,-91.0,-1343.0,5.0,1.0,3.0,1.0,1.0,8.0,0.0,5782.0,4823.0,29.0,7410.0,8232.0,28.0,-1628.0,-3409.0,1.0,1.0,3.0,3.0,1.0,14.0,0.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,6,Red,top,Keii,oe:player:c70b6e57e597809a8561caa79c5db8f,Tomorrow Esports,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,Jax,Poppy,Rumble,Sejuani,Nautilus,Lulu,,,,,,1640,1,2,1,9,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,18136,663.5122,0.243593,619.5,455.2317,9,0.3293,4,0.1463,1,19,0.6951,10306,6685,244.5732,0.184485,9358,,,205.0,201.0,4,,,7.5,3009.0,4327.0,72.0,3622.0,5165.0,88.0,-613.0,-838.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,4612.0,6969.0,118.0,5393.0,7732.0,137.0,-781.0,-763.0,-19.0,0.0,2.0,1.0,1.0,0.0,0.0,6819.0,9868.0,166.0,6877.0,9795.0,175.0,-58.0,73.0,-9.0,0.0,3.0,1.0,1.0,0.0,1.0,9409.0,13095.0,200.0,8245.0,11501.0,201.0,1164.0,1594.0,-1.0,1.0,6.0,1.0,1.0,0.0,2.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,7,Red,jng,SlayerSupr,oe:player:722978adc4010454403b3720a0df189,Tomorrow Esports,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,Maokai,Poppy,Rumble,Sejuani,Nautilus,Lulu,,,,,,1640,1,0,3,16,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7683,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10932,399.9512,0.146833,1046.0854,1052.7439,9,0.3293,9,0.3293,7,38,1.3902,9007,5386,197.0488,0.148635,8425,,,153.0,35.0,118,,,5.5976,2843.0,2908.0,57.0,3143.0,3254.0,67.0,-300.0,-346.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,4475.0,5480.0,97.0,4691.0,5132.0,96.0,-216.0,348.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,6137.0,7786.0,128.0,6332.0,7436.0,132.0,-195.0,350.0,-4.0,0.0,7.0,3.0,0.0,3.0,4.0,8443.0,11001.0,150.0,7488.0,8685.0,153.0,955.0,2316.0,-3.0,0.0,14.0,3.0,0.0,3.0,6.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,8,Red,mid,Icytower,oe:player:6078377b92dbf76a7e7aae35fe9f6c7,Tomorrow Esports,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,Aurelion Sol,Poppy,Rumble,Sejuani,Nautilus,Lulu,,,,,,1640,1,7,1,11,21,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683,0.9512,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,19014,695.6341,0.255386,565.7561,306.439,10,0.3659,3,0.1098,3,18,0.6585,11755,8134,297.5854,0.224474,10175,,,221.0,197.0,24,,,8.0854,3205.0,4861.0,83.0,3538.0,4254.0,86.0,-333.0,607.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,4985.0,7436.0,130.0,5135.0,6792.0,132.0,-150.0,644.0,-2.0,0.0,3.0,1.0,0.0,3.0,2.0,7121.0,10154.0,166.0,6808.0,9023.0,172.0,313.0,1131.0,-6.0,1.0,8.0,1.0,0.0,4.0,3.0,10251.0,13001.0,206.0,8370.0,10404.0,197.0,1881.0,2597.0,9.0,4.0,10.0,1.0,0.0,4.0,5.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,9,Red,bot,Fatorix,oe:player:4f7a70e4a2d3a81289bd3efad09b915,Tomorrow Esports,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,Zeri,Poppy,Rumble,Sejuani,Nautilus,Lulu,,,,,,1640,1,11,0,8,21,5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7683,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20849,762.7683,0.280033,269.4878,166.0976,14,0.5122,11,0.4024,7,45,1.6463,15249,11628,425.4146,0.3209,13925,,,282.0,265.0,17,,,10.3171,3418.0,3112.0,93.0,3186.0,3664.0,88.0,232.0,-552.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6158.0,6047.0,147.0,5454.0,6047.0,135.0,704.0,0.0,12.0,3.0,1.0,0.0,2.0,0.0,0.0,10204.0,9394.0,210.0,7288.0,7829.0,170.0,2916.0,1565.0,40.0,8.0,1.0,0.0,3.0,0.0,1.0,13792.0,12547.0,244.0,8713.0,9353.0,201.0,5079.0,3194.0,43.0,11.0,5.0,0.0,3.0,0.0,1.0
LOLTMNT02_69285,complete,,LRN,2024,2024,0,2024-04-02 00:05:57,1,14.06,10,Red,sup,Ichiwin,oe:player:4d8833619c7d2128cd31d6098e7e4f3,Tomorrow Esports,oe:team:65f7d8b9f9b44f3476f64abf64c3c19,Rakan,Poppy,Rumble,Sejuani,Nautilus,Lulu,,,,,,1640,1,1,0,17,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683,0.9512,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5521,201.9878,0.0741552,423.3293,704.9634,61,2.2317,12,0.439,7,115,4.2073,8024,4403,161.0854,0.121507,7325,,,30.0,30.0,0,,,1.0976,2175.0,2471.0,14.0,2415.0,2004.0,17.0,-240.0,467.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,3686.0,3926.0,21.0,3787.0,3606.0,24.0,-101.0,320.0,-3.0,1.0,3.0,0.0,1.0,2.0,0.0,4925.0,5817.0,23.0,4834.0,4474.0,28.0,91.0,1343.0,-5.0,1.0,8.0,0.0,1.0,3.0,1.0,7410.0,8232.0,28.0,5782.0,4823.0,29.0,1628.0,3409.0,-1.0,1.0,14.0,0.0,1.0,3.0,3.0
