gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,1,Blue,top,FUE Devost,,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Ambessa,Ziggs,Zyra,Karthus,Akali,Poppy,,,,,,2673,0,6,5,10,21,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4714,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,3.0,31552,708.2379,0.253428,1000.0,1555.2189,18,0.404,5,0.1122,5,33,0.7407,17195,11466,257.3737,0.214702,16700,,,322.0,322.0,0,,,7.2278,3352.0,4581.0,70.0,3076.0,4275.0,54.0,276.0,306.0,16.0,0.0,2.0,0.0,1.0,0.0,1.0,5024.0,6913.0,109.0,4857.0,7032.0,109.0,167.0,-119.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,6910.0,8697.0,142.0,7393.0,10139.0,153.0,-483.0,-1442.0,-11.0,1.0,4.0,2.0,2.0,2.0,1.0,8187.0,10340.0,171.0,9799.0,13008.0,189.0,-1612.0,-2668.0,-18.0,1.0,4.0,3.0,2.0,5.0,1.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,2,Blue,jng,Booki,oe:player:bc5b7cd82bc9e26b3bbdeddeb73c7d8,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Maokai,Ziggs,Zyra,Karthus,Akali,Poppy,,,,,,2673,0,2,5,10,21,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4714,0.9877,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,1.0,13272,297.9125,0.106602,1075.8025,1437.8227,13,0.2918,10,0.2245,11,50,1.1223,12865,7136,160.1796,0.133626,12425,,,175.0,26.0,149,,,3.9282,3540.0,3091.0,56.0,3065.0,3154.0,60.0,475.0,-63.0,-4.0,2.0,0.0,1.0,0.0,1.0,1.0,5137.0,4816.0,78.0,4488.0,5241.0,87.0,649.0,-425.0,-9.0,2.0,2.0,1.0,0.0,2.0,2.0,7125.0,7080.0,108.0,6146.0,8394.0,123.0,979.0,-1314.0,-15.0,2.0,4.0,1.0,0.0,4.0,2.0,8336.0,9025.0,132.0,8635.0,11136.0,161.0,-299.0,-2111.0,-29.0,2.0,4.0,2.0,3.0,5.0,2.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,3,Blue,mid,Zelt,oe:player:288d8e1e6e78a857421f10ee40d3fba,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Azir,Ziggs,Zyra,Karthus,Akali,Poppy,,,,,,2673,0,10,4,6,21,23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,54333,1219.596,0.436406,600.9428,591.6498,15,0.3367,9,0.202,2,38,0.853,24090,18361,412.1437,0.343807,20500,,,478.0,455.0,23,,,10.7295,3641.0,4976.0,100.0,3300.0,4820.0,90.0,341.0,156.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6185.0,8053.0,165.0,6112.0,8398.0,153.0,73.0,-345.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,8799.0,10738.0,211.0,8461.0,11496.0,200.0,338.0,-758.0,11.0,2.0,0.0,1.0,2.0,3.0,1.0,10289.0,12697.0,244.0,10254.0,15827.0,240.0,35.0,-3130.0,4.0,2.0,0.0,2.0,2.0,7.0,1.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,4,Blue,bot,Gavotto,oe:player:c92846465f8656d027f9148726b2b5c,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Kalista,Ziggs,Zyra,Karthus,Akali,Poppy,,,,,,2673,0,3,5,9,21,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,18237,409.3603,0.146481,705.0056,520.2694,15,0.3367,13,0.2918,5,51,1.1448,18069,12340,276.9921,0.231067,17975,,,406.0,370.0,36,,,9.1134,3028.0,3280.0,76.0,3419.0,3927.0,84.0,-391.0,-647.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5095.0,5575.0,129.0,5247.0,6050.0,139.0,-152.0,-475.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,7302.0,7870.0,178.0,8253.0,9122.0,186.0,-951.0,-1252.0,-8.0,1.0,1.0,2.0,2.0,2.0,0.0,9107.0,9804.0,230.0,10806.0,12684.0,249.0,-1699.0,-2880.0,-19.0,1.0,1.0,2.0,3.0,3.0,0.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,5,Blue,sup,Shiku,oe:player:5a63f3e7e2b4282f07785cdc895d624,Fuego,oe:team:0f0f407ca567fc73cc83d541ef45731,Alistar,Ziggs,Zyra,Karthus,Akali,Poppy,,,,,,2673,0,0,4,15,21,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4714,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,7107,159.5286,0.0570839,619.6184,949.9214,70,1.5713,10,0.2245,20,138,3.0976,9830,4101,92.0539,0.0767975,9150,,,28.0,28.0,0,,,0.6285,2120.0,2286.0,11.0,2033.0,2120.0,10.0,87.0,166.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3268.0,3466.0,15.0,3234.0,3603.0,20.0,34.0,-137.0,-5.0,0.0,2.0,0.0,0.0,0.0,1.0,4479.0,4520.0,17.0,4737.0,5563.0,29.0,-258.0,-1043.0,-12.0,0.0,4.0,1.0,1.0,2.0,2.0,5385.0,6735.0,20.0,5622.0,6192.0,30.0,-237.0,543.0,-10.0,0.0,4.0,2.0,1.0,3.0,2.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,6,Red,top,HAKA,oe:player:feef3ba4f8d3fa6c075bf4d585bc40a,Icon Esports (Mexican Team),,Camille,Ashe,Vi,Jayce,Neeko,Renata Glasc,,,,,,2673,1,6,4,7,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5163,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,3.0,0.0,34684,778.541,0.258394,918.5859,1530.6397,17,0.3816,11,0.2469,12,51,1.1448,20631,14902,334.5006,0.256085,16233,,,377.0,356.0,21,,,8.4624,3076.0,4275.0,54.0,3352.0,4581.0,70.0,-276.0,-306.0,-16.0,1.0,0.0,1.0,0.0,2.0,0.0,4857.0,7032.0,109.0,5024.0,6913.0,109.0,-167.0,119.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,7393.0,10139.0,153.0,6910.0,8697.0,142.0,483.0,1442.0,11.0,2.0,2.0,1.0,1.0,4.0,2.0,9799.0,13008.0,189.0,8187.0,10340.0,171.0,1612.0,2668.0,18.0,2.0,5.0,1.0,1.0,4.0,3.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,7,Red,jng,Feng,oe:player:4d10f9a1263936ae396ac674a6ed8e9,Icon Esports (Mexican Team),,Sejuani,Ashe,Vi,Jayce,Neeko,Renata Glasc,,,,,,2673,1,3,5,12,23,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163,0.9877,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,0.0,16631,373.3109,0.1239,1177.2166,1772.3681,17,0.3816,18,0.404,15,71,1.5937,14629,8900,199.7755,0.152947,12525,,,239.0,45.0,194,,,5.3648,3065.0,3154.0,60.0,3540.0,3091.0,56.0,-475.0,63.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,4488.0,5241.0,87.0,5137.0,4816.0,78.0,-649.0,425.0,9.0,0.0,2.0,2.0,2.0,2.0,1.0,6146.0,8394.0,123.0,7125.0,7080.0,108.0,-979.0,1314.0,15.0,0.0,4.0,2.0,2.0,4.0,1.0,8635.0,11136.0,161.0,8336.0,9025.0,132.0,299.0,2111.0,29.0,3.0,5.0,2.0,2.0,4.0,2.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,8,Red,mid,Loers,oe:player:54c7fafa62a6b38cb0eaec1dd6638db,Icon Esports (Mexican Team),,Ryze,Ashe,Vi,Jayce,Neeko,Renata Glasc,,,,,,2673,1,4,4,14,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,37632,844.7138,0.280357,779.4837,741.2121,17,0.3816,4,0.0898,6,45,1.0101,19143,13414,301.0999,0.230515,16450,,,401.0,369.0,32,,,9.0011,3300.0,4820.0,90.0,3641.0,4976.0,100.0,-341.0,-156.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,6112.0,8398.0,153.0,6185.0,8053.0,165.0,-73.0,345.0,-12.0,1.0,0.0,0.0,1.0,0.0,0.0,8461.0,11496.0,200.0,8799.0,10738.0,211.0,-338.0,758.0,-11.0,2.0,3.0,1.0,2.0,0.0,1.0,10254.0,15827.0,240.0,10289.0,12697.0,244.0,-35.0,3130.0,-4.0,2.0,7.0,1.0,2.0,0.0,2.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,9,Red,bot,Andreus,oe:player:d8a477552cb02146ead3ed134a0b001,Icon Esports (Mexican Team),,Tristana,Ashe,Vi,Jayce,Neeko,Renata Glasc,,,,,,2673,1,9,4,6,23,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163,0.9877,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,37485,841.4141,0.279262,467.0707,495.9371,15,0.3367,8,0.1796,3,32,0.7183,21471,15742,353.3558,0.27052,18775,,,413.0,373.0,40,,,9.2705,3419.0,3927.0,84.0,3028.0,3280.0,76.0,391.0,647.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5247.0,6050.0,139.0,5095.0,5575.0,129.0,152.0,475.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,8253.0,9122.0,186.0,7302.0,7870.0,178.0,951.0,1252.0,8.0,2.0,2.0,0.0,1.0,1.0,2.0,10806.0,12684.0,249.0,9107.0,9804.0,230.0,1699.0,2880.0,19.0,3.0,3.0,0.0,1.0,1.0,2.0
LOLTMNT02_234618,complete,,LRN,2025,Split 1,0,2025-03-24 19:23:39,1,15.06,10,Red,sup,BetaTwinz,oe:player:c2a90baf58e14e224415293a8ad34ff,Icon Esports (Mexican Team),,Rell,Ashe,Vi,Jayce,Neeko,Renata Glasc,,,,,,2673,1,1,4,13,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5163,0.9877,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,7797,175.0168,0.0580873,541.8631,1027.0034,74,1.6611,18,0.404,16,168,3.771,10962,5233,117.4635,0.0899325,8400,,,47.0,47.0,0,,,1.055,2033.0,2120.0,10.0,2120.0,2286.0,11.0,-87.0,-166.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3234.0,3603.0,20.0,3268.0,3466.0,15.0,-34.0,137.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,4737.0,5563.0,29.0,4479.0,4520.0,17.0,258.0,1043.0,12.0,1.0,2.0,2.0,0.0,4.0,1.0,5622.0,6192.0,30.0,5385.0,6735.0,20.0,237.0,-543.0,10.0,1.0,3.0,2.0,0.0,4.0,2.0
