gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,1,Blue,top,Wolfy,oe:player:48a5b8a90d0b85ef4d26e66982f2be5,Undead Gaming,oe:team:22e3ecae7af241c9c5be021c855885e,Ornn,Lucian,Wukong,K'Sante,Blitzcrank,Darius,,,,,,2457,0,1,3,5,13,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3175,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,12899.0,314.9939,0.134359,1011.5751,1639.9267,8.0,0.1954,3.0,0.0733,3.0,23.0,0.5617,12615,7327,178.9255,0.167755,11325.0,,,270.0,270.0,0.0,,,6.5934,3196.0,5112.0,86.0,3286.0,4712.0,88.0,-90.0,400.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4868.0,7980.0,137.0,5329.0,7825.0,147.0,-461.0,155.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,6503.0,10505.0,179.0,8156.0,11337.0,210.0,-1653.0,-832.0,-31.0,0.0,1.0,0.0,0.0,0.0,0.0,7827.0,12428.0,208.0,9437.0,12970.0,240.0,-1610.0,-542.0,-32.0,0.0,1.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,2,Blue,jng,Trashy,oe:player:6fcdabd738f406125579024dbe435d4,Undead Gaming,oe:team:22e3ecae7af241c9c5be021c855885e,Gragas,Lucian,Wukong,K'Sante,Blitzcrank,Darius,,,,,,2457,0,5,2,3,13,12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3175,0.6105,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,19055.0,465.3236,0.198481,1129.2063,783.3455,18.0,0.4396,5.0,0.1221,19.0,53.0,1.2943,13733,8445,206.2271,0.193351,13175.0,,,207.0,16.0,191.0,,,5.0549,3245.0,3633.0,73.0,3037.0,3021.0,56.0,208.0,612.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4507.0,5362.0,100.0,4912.0,5696.0,100.0,-405.0,-334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.0,8338.0,129.0,6569.0,7743.0,130.0,-214.0,595.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,7481.0,9918.0,149.0,8101.0,9858.0,159.0,-620.0,60.0,-10.0,0.0,2.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,3,Blue,mid,Daedra,oe:player:941ddfdc65e77e0758fdd69fbde3b1e,Undead Gaming,oe:team:22e3ecae7af241c9c5be021c855885e,Aurelion Sol,Lucian,Wukong,K'Sante,Blitzcrank,Darius,,,,,,2457,0,4,2,3,13,12,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3175,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,27230.0,664.9573,0.283634,577.0696,397.3626,19.0,0.464,6.0,0.1465,5.0,36.0,0.8791,17586,12298,300.3175,0.281566,17025.0,,,380.0,362.0,18.0,,,9.2796,3282.0,4893.0,93.0,3654.0,5230.0,107.0,-372.0,-337.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5065.0,7862.0,150.0,5798.0,8262.0,166.0,-733.0,-400.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,7324.0,10264.0,196.0,7330.0,10112.0,197.0,-6.0,152.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,9251.0,13079.0,248.0,8723.0,11837.0,235.0,528.0,1242.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,4,Blue,bot,UBK deftsu3,,Undead Gaming,oe:team:22e3ecae7af241c9c5be021c855885e,Jinx,Lucian,Wukong,K'Sante,Blitzcrank,Darius,,,,,,2457,0,3,3,7,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,35135.0,857.9976,0.365974,718.5836,380.3663,16.0,0.3907,17.0,0.4151,5.0,50.0,1.221,17702,12414,303.1502,0.284222,17425.0,,,408.0,353.0,55.0,,,9.9634,3360.0,3117.0,90.0,3161.0,2897.0,83.0,199.0,220.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,5150.0,143.0,5702.0,5039.0,139.0,-207.0,111.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7930.0,7915.0,202.0,7474.0,6918.0,187.0,456.0,997.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,10086.0,9960.0,268.0,9221.0,8818.0,235.0,865.0,1142.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,5,Blue,sup,Kea,oe:player:483eb090f5bff6eb65358c10494d66b,Undead Gaming,oe:team:22e3ecae7af241c9c5be021c855885e,Milio,Lucian,Wukong,K'Sante,Blitzcrank,Darius,,,,,,2457,0,0,2,9,13,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3175,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,1685.0,41.1477,0.0175514,435.9707,235.2869,58.0,1.4164,12.0,0.293,17.0,118.0,2.8816,8481,3193,77.9731,0.0731066,8125.0,,,18.0,18.0,0.0,,,0.4396,1966.0,2960.0,3.0,2047.0,2713.0,2.0,-81.0,247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2769.0,3978.0,3.0,2970.0,4453.0,6.0,-201.0,-475.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3766.0,5400.0,6.0,4169.0,5911.0,13.0,-403.0,-511.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4514.0,6499.0,7.0,5066.0,7207.0,21.0,-552.0,-708.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,6,Red,top,Sunblast,oe:player:fc89421a5b3f5cbef82f93eed2a1f95,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Gwen,Vi,Neeko,Zeri,Annie,Sejuani,,,,,,2457,1,4,2,3,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,22706.0,554.4811,0.17661,832.5763,850.696,11.0,0.2686,1.0,0.0244,5.0,38.0,0.928,18708,13420,327.7167,0.271571,17925.0,,,390.0,370.0,20.0,,,9.5238,3286.0,4712.0,88.0,3196.0,5112.0,86.0,90.0,-400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5329.0,7825.0,147.0,4868.0,7980.0,137.0,461.0,-155.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8156.0,11337.0,210.0,6503.0,10505.0,179.0,1653.0,832.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,9437.0,12970.0,240.0,7827.0,12428.0,208.0,1610.0,542.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,7,Red,jng,Funky Dog,oe:player:e125fd5aae78be68687e3ee2fc95f11,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Maokai,Vi,Neeko,Zeri,Annie,Sejuani,,,,,,2457,1,2,4,5,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.293,0.6105,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,27486.0,671.2088,0.213789,1070.5495,717.0208,14.0,0.3419,18.0,0.4396,13.0,70.0,1.7094,14493,9205,224.7863,0.186276,14050.0,,,234.0,41.0,193.0,,,5.7143,3037.0,3021.0,56.0,3245.0,3633.0,73.0,-208.0,-612.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4912.0,5696.0,100.0,4507.0,5362.0,100.0,405.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6569.0,7743.0,130.0,6355.0,8338.0,129.0,214.0,-595.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,8101.0,9858.0,159.0,7481.0,9918.0,149.0,620.0,-60.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,8,Red,mid,Chordy,oe:player:b146d01b1c50e07ca869c04c700b926,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Jayce,Vi,Neeko,Zeri,Annie,Sejuani,,,,,,2457,1,1,3,4,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,28036.0,684.6398,0.218067,480.1465,305.7143,17.0,0.4151,10.0,0.2442,7.0,58.0,1.4164,15218,9930,242.4908,0.200947,14025.0,,,327.0,301.0,26.0,,,7.9853,3654.0,5230.0,107.0,3282.0,4893.0,93.0,372.0,337.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5798.0,8262.0,166.0,5065.0,7862.0,150.0,733.0,400.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7330.0,10112.0,197.0,7324.0,10264.0,196.0,6.0,-152.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8723.0,11837.0,235.0,9251.0,13079.0,248.0,-528.0,-1242.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,9,Red,bot,Lac,oe:player:736b6039f07dc28432644d2a9997abe,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Aphelios,Vi,Neeko,Zeri,Annie,Sejuani,,,,,,2457,1,5,2,4,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,46803.0,1142.9304,0.364039,568.1074,718.4127,18.0,0.4396,6.0,0.1465,7.0,38.0,0.928,18082,12794,312.4298,0.258903,17050.0,,,378.0,351.0,27.0,,,9.2308,3161.0,2897.0,83.0,3360.0,3117.0,90.0,-199.0,-220.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5702.0,5039.0,139.0,5495.0,5150.0,143.0,207.0,-111.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,7474.0,6918.0,187.0,7930.0,7915.0,202.0,-456.0,-997.0,-15.0,0.0,0.0,0.0,1.0,0.0,0.0,9221.0,8818.0,235.0,10086.0,9960.0,268.0,-865.0,-1142.0,-33.0,0.0,0.0,0.0,1.0,0.0,0.0
ESPORTSTMNT03_3160809,complete,,LRS,2023,Closing,0,2023-06-01 21:22:07,1,13.1,10,Red,sup,Fortu,oe:player:33bf44e514be6f41d30b041c0afcd4a,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Lulu,Vi,Neeko,Zeri,Annie,Sejuani,,,,,,2457,1,0,2,10,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293,0.6105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3535.0,86.3248,0.0274956,353.8217,200.8059,43.0,1.0501,17.0,0.4151,11.0,117.0,2.8571,9355,4067,99.3162,0.0823027,8175.0,,,29.0,29.0,0.0,,,0.7082,2047.0,2713.0,2.0,1966.0,2960.0,3.0,81.0,-247.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.0,4453.0,6.0,2769.0,3978.0,3.0,201.0,475.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4169.0,5911.0,13.0,3766.0,5400.0,6.0,403.0,511.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5066.0,7207.0,21.0,4514.0,6499.0,7.0,552.0,708.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
