gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,1,Blue,top,Sydux,oe:player:4a89d5ca1cb775edbe3417d9cb4a4f4,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Renekton,Senna,Aatrox,Tristana,Twisted Fate,Azir,,,,,,2236,1,3,1,8,26,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6977,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,12236,328.3363,0.115533,961.5564,837.424,20,0.5367,6,0.161,10,40,1.0733,13986,9149,245.5009,0.19666,12850,,,258.0,242.0,16,,,6.9231,2330.0,3795.0,44.0,3718.0,5284.0,92.0,-1388.0,-1489.0,-48.0,0.0,0.0,1.0,1.0,0.0,0.0,3739.0,6203.0,83.0,5782.0,8319.0,148.0,-2043.0,-2116.0,-65.0,0.0,0.0,1.0,1.0,0.0,0.0,6115.0,9259.0,144.0,7288.0,10116.0,176.0,-1173.0,-857.0,-32.0,0.0,0.0,1.0,1.0,2.0,0.0,7836.0,11729.0,185.0,8908.0,12444.0,219.0,-1072.0,-715.0,-34.0,0.0,1.0,1.0,1.0,2.0,1.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,2,Blue,jng,GuatacaJr,oe:player:08104b1584c5664a5708088bc7ac9fd,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Rell,Senna,Aatrox,Tristana,Twisted Fate,Azir,,,,,,2236,1,1,2,23,26,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6977,0.9392,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,8715,233.8551,0.0822876,869.8927,1902.9338,10,0.2683,8,0.2147,8,54,1.449,11674,6837,183.4615,0.146962,11100,,,164.0,10.0,154,,,4.4007,3307.0,3580.0,74.0,2956.0,3191.0,63.0,351.0,389.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,4824.0,5633.0,108.0,4479.0,5392.0,102.0,345.0,241.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,6163.0,7545.0,135.0,6812.0,7526.0,136.0,-649.0,19.0,-1.0,0.0,3.0,1.0,1.0,1.0,1.0,7364.0,9223.0,144.0,7850.0,8677.0,151.0,-486.0,546.0,-7.0,0.0,6.0,1.0,1.0,1.0,3.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,3,Blue,mid,Lord,oe:player:54f94ee334d6c7e7ccec18ed04cc487,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Akali,Senna,Aatrox,Tristana,Twisted Fate,Azir,,,,,,2236,1,8,2,9,26,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6977,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,31301,839.9195,0.295546,920.2326,574.6959,15,0.4025,12,0.322,11,59,1.5832,15427,10590,284.1682,0.227634,14575,,,262.0,262.0,0,,,7.0304,3108.0,4932.0,77.0,3188.0,4651.0,80.0,-80.0,281.0,-3.0,0.0,1.0,0.0,0.0,0.0,1.0,4906.0,7893.0,131.0,5265.0,7695.0,141.0,-359.0,198.0,-10.0,0.0,1.0,0.0,0.0,0.0,1.0,6949.0,10076.0,170.0,7857.0,10762.0,194.0,-908.0,-686.0,-24.0,0.0,1.0,0.0,2.0,1.0,1.0,9212.0,13357.0,209.0,9094.0,12438.0,227.0,118.0,919.0,-18.0,2.0,2.0,0.0,2.0,1.0,2.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,4,Blue,bot,Kindless,oe:player:d6512817657af74944409f9db236876,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Lucian,Senna,Aatrox,Tristana,Twisted Fate,Azir,,,,,,2236,1,13,3,7,26,9,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6977,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,44746,1200.6977,0.422495,622.7818,307.5939,12,0.322,11,0.2952,2,30,0.805,19584,14747,395.7156,0.31699,17100,,,335.0,307.0,28,,,8.9893,4278.0,3408.0,89.0,2938.0,2793.0,69.0,1340.0,615.0,20.0,2.0,1.0,0.0,0.0,0.0,1.0,6787.0,5873.0,149.0,4502.0,4780.0,115.0,2285.0,1093.0,34.0,3.0,1.0,0.0,0.0,0.0,1.0,8620.0,7678.0,192.0,6586.0,7453.0,170.0,2034.0,225.0,22.0,3.0,1.0,2.0,0.0,2.0,1.0,11769.0,10281.0,249.0,8602.0,9296.0,228.0,3167.0,985.0,21.0,5.0,2.0,2.0,0.0,2.0,1.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,5,Blue,sup,Hayha,oe:player:d99c1faaba5061813508a061f33bd2a,WAP Esports,oe:team:65140c73015d004b0456fb43ba373a4,Nami,Senna,Aatrox,Tristana,Twisted Fate,Azir,,,,,,2236,1,1,1,24,26,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6977,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8911,239.1145,0.0841383,338.3184,120.1342,62,1.6637,17,0.4562,16,119,3.1932,10036,5199,139.5081,0.111753,9200,,,36.0,36.0,0,,,0.966,2749.0,2630.0,13.0,2218.0,2389.0,16.0,531.0,241.0,-3.0,1.0,2.0,0.0,0.0,0.0,0.0,3958.0,3775.0,17.0,3406.0,3457.0,26.0,552.0,318.0,-9.0,1.0,3.0,0.0,0.0,0.0,1.0,4862.0,4769.0,18.0,4566.0,5274.0,29.0,296.0,-505.0,-11.0,1.0,3.0,0.0,0.0,3.0,1.0,6105.0,6638.0,24.0,5454.0,6423.0,32.0,651.0,215.0,-8.0,1.0,6.0,0.0,0.0,3.0,1.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,6,Red,top,Izaenk,oe:player:c664a24ea7c8c455fdfef7304cfc5f3,Eclipse Gaming,oe:team:df307a715ef3aff2837cf96bfa86685,Rumble,Ashe,Kalista,Varus,Sejuani,Taliyah,,,,,,2236,0,4,5,2,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,27970,750.5367,0.268829,630.9123,530.9839,18,0.483,3,0.0805,6,29,0.7782,14535,9698,260.2326,0.273014,13850,,,303.0,295.0,8,,,8.1306,3718.0,5284.0,92.0,2330.0,3795.0,44.0,1388.0,1489.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,5782.0,8319.0,148.0,3739.0,6203.0,83.0,2043.0,2116.0,65.0,1.0,0.0,0.0,0.0,0.0,1.0,7288.0,10116.0,176.0,6115.0,9259.0,144.0,1173.0,857.0,32.0,1.0,2.0,0.0,0.0,0.0,1.0,8908.0,12444.0,219.0,7836.0,11729.0,185.0,1072.0,715.0,34.0,1.0,2.0,1.0,0.0,1.0,1.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,7,Red,jng,Style,oe:player:521276891920ab2e3789006e79a53f8,Eclipse Gaming,oe:team:df307a715ef3aff2837cf96bfa86685,Xin Zhao,Ashe,Kalista,Varus,Sejuani,Taliyah,,,,,,2236,0,1,7,5,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,11683,313.4973,0.112289,1418.1843,1285.3846,11,0.2952,16,0.4293,9,57,1.5295,10311,5474,146.8873,0.154101,10225,,,172.0,16.0,156,,,4.6154,2956.0,3191.0,63.0,3307.0,3580.0,74.0,-351.0,-389.0,-11.0,0.0,0.0,1.0,0.0,2.0,0.0,4479.0,5392.0,102.0,4824.0,5633.0,108.0,-345.0,-241.0,-6.0,0.0,0.0,1.0,0.0,3.0,0.0,6812.0,7526.0,136.0,6163.0,7545.0,135.0,649.0,-19.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,7850.0,8677.0,151.0,7364.0,9223.0,144.0,486.0,-546.0,7.0,1.0,1.0,3.0,0.0,6.0,1.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,8,Red,mid,Termo,oe:player:d458d24a79e0fc44a1421acceca3424,Eclipse Gaming,oe:team:df307a715ef3aff2837cf96bfa86685,Ahri,Ashe,Kalista,Varus,Sejuani,Taliyah,,,,,,2236,0,3,7,4,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23719,636.4669,0.227971,692.2272,367.6208,8,0.2147,9,0.2415,3,35,0.9392,12764,7927,212.7102,0.223158,11825,,,292.0,292.0,0,,,7.8354,3188.0,4651.0,80.0,3108.0,4932.0,77.0,80.0,-281.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5265.0,7695.0,141.0,4906.0,7893.0,131.0,359.0,-198.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,7857.0,10762.0,194.0,6949.0,10076.0,170.0,908.0,686.0,24.0,2.0,1.0,1.0,0.0,1.0,0.0,9094.0,12438.0,227.0,9212.0,13357.0,209.0,-118.0,-919.0,18.0,2.0,1.0,2.0,2.0,2.0,0.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,9,Red,bot,Fateware,oe:player:bd2f95f1b93aa2f98315bf3dfc08f28,Eclipse Gaming,oe:team:df307a715ef3aff2837cf96bfa86685,Aphelios,Ashe,Kalista,Varus,Sejuani,Taliyah,,,,,,2236,0,1,3,5,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2415,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,36028,966.7621,0.346277,361.9857,606.1181,12,0.322,7,0.1878,1,24,0.644,14192,9355,251.0286,0.263358,13625,,,342.0,304.0,38,,,9.1771,2938.0,2793.0,69.0,4278.0,3408.0,89.0,-1340.0,-615.0,-20.0,0.0,0.0,1.0,2.0,1.0,0.0,4502.0,4780.0,115.0,6787.0,5873.0,149.0,-2285.0,-1093.0,-34.0,0.0,0.0,1.0,3.0,1.0,0.0,6586.0,7453.0,170.0,8620.0,7678.0,192.0,-2034.0,-225.0,-22.0,0.0,2.0,1.0,3.0,1.0,2.0,8602.0,9296.0,228.0,11769.0,10281.0,249.0,-3167.0,-985.0,-21.0,0.0,2.0,1.0,5.0,2.0,2.0
LOLTMNT02_68492,complete,,LRS,2024,2024,0,2024-04-02 21:08:54,1,14.06,10,Red,sup,Woohee,oe:player:5a98ba300e1c781d7e91e1ac52902e2,Eclipse Gaming,oe:team:df307a715ef3aff2837cf96bfa86685,Milio,Ashe,Kalista,Varus,Sejuani,Taliyah,,,,,,2236,0,0,4,8,9,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2415,0.9392,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4644,124.6154,0.044635,509.195,315.6172,60,1.61,13,0.3488,19,121,3.2469,7905,3068,82.3256,0.0863684,7475,,,37.0,37.0,0,,,0.9928,2218.0,2389.0,16.0,2749.0,2630.0,13.0,-531.0,-241.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3406.0,3457.0,26.0,3958.0,3775.0,17.0,-552.0,-318.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0,4566.0,5274.0,29.0,4862.0,4769.0,18.0,-296.0,505.0,11.0,0.0,3.0,1.0,1.0,3.0,0.0,5454.0,6423.0,32.0,6105.0,6638.0,24.0,-651.0,-215.0,8.0,0.0,3.0,1.0,1.0,6.0,0.0
