gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,1,Blue,top,Sky,oe:player:4acbd46236c507b878554ddea8e2064,2144 Gaming,oe:team:11d06b1fb262e1879c0df46fa28499c,Poppy,Fiora,Graves,Miss Fortune,,,,,,,,2635,1,6,4,8,20,16,,,0.0,0.0,,0.0,,,0.4554,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14110.0,321.2903,0.120208,721.0247,,23.0,0.5237,2.0,0.0455,1.0,,,16404.0,10773.0,245.3055,0.202736,,,,259.0,235.0,24.0,24.0,0.0,5.8975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,2,Blue,jng,Nova,oe:player:eef564a9057e0139a62ffc6d008b44c,2144 Gaming,oe:team:11d06b1fb262e1879c0df46fa28499c,Rek'Sai,Fiora,Graves,Miss Fortune,,,,,,,,2635,1,3,3,13,20,16,,,0.0,0.0,,0.0,,,0.4554,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14894.0,339.1423,0.126887,959.4991,,33.0,0.7514,21.0,0.4782,6.0,,,15158.0,9527.0,216.9336,0.179289,,,,169.0,73.0,96.0,92.0,4.0,3.8482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,3,Blue,mid,Awei,oe:player:c0afb32c54ffbfaa143e87bc761783e,2144 Gaming,oe:team:11d06b1fb262e1879c0df46fa28499c,Lulu,Fiora,Graves,Miss Fortune,,,,,,,,2635,1,3,1,16,20,16,,,0.0,0.0,,1.0,,,0.4554,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31181.0,710.0038,0.265642,293.9431,,30.0,0.6831,11.0,0.2505,6.0,,,18930.0,13299.0,302.8235,0.250271,,,,343.0,322.0,21.0,17.0,4.0,7.8102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,4,Blue,bot,Scardorz,oe:player:8473f433367c71fc35d861ef9fcac3f,2144 Gaming,oe:team:11d06b1fb262e1879c0df46fa28499c,Tristana,Fiora,Graves,Miss Fortune,,,,,,,,2635,1,7,3,12,20,16,,,0.0,0.0,,0.0,,,0.4554,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52587.0,1197.4269,0.448006,561.222,,20.0,0.4554,11.0,0.2505,2.0,,,19049.0,13418.0,305.5332,0.25251,,,,353.0,323.0,30.0,27.0,3.0,8.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,5,Blue,sup,Tselin,oe:player:7d98c764c1407e17c569d842f5ef001,2144 Gaming,oe:team:11d06b1fb262e1879c0df46fa28499c,Alistar,Fiora,Graves,Miss Fortune,,,,,,,,2635,1,1,5,16,20,16,,,0.0,0.0,,0.0,,,0.4554,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608.0,104.926,0.0392571,613.6622,,50.0,1.1385,14.0,0.3188,14.0,,,11752.0,6121.0,139.3776,0.115194,,,,41.0,41.0,0.0,0.0,0.0,0.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,6,Red,top,PLL,oe:player:2d3f51fd7ed4d50ac21dec9ef605d45,2144 Danmu Gaming,oe:team:001f05f3618c2ed84a6b43434753bd8,Gnar,Kindred,Ryze,Gangplank,,,,,,,,2635,0,5,2,6,16,20,,,0.0,0.0,,0.0,,,0.3643,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30312.0,690.2163,0.291649,892.7135,,23.0,0.5237,11.0,0.2505,3.0,,,16882.0,11251.0,256.1898,0.224637,,,,321.0,303.0,18.0,18.0,0.0,7.3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,7,Red,jng,papillon,oe:player:71029a3249c3cec9a0c897538954736,2144 Danmu Gaming,oe:team:001f05f3618c2ed84a6b43434753bd8,Lee Sin,Kindred,Ryze,Gangplank,,,,,,,,2635,0,0,3,11,16,20,,,0.0,0.0,,0.0,,,0.3643,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7382.0,168.0911,0.0710265,816.8197,,38.0,0.8653,18.0,0.4099,8.0,,,14105.0,8474.0,192.9564,0.169194,,,,154.0,57.0,97.0,81.0,16.0,3.5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,8,Red,mid,Satan,oe:player:b3f894165d6166da47d52ffbf77b5d8,2144 Danmu Gaming,oe:team:001f05f3618c2ed84a6b43434753bd8,Ekko,Kindred,Ryze,Gangplank,,,,,,,,2635,0,1,6,6,16,20,,,0.0,0.0,,0.0,,,0.3643,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23289.0,530.2998,0.224077,705.4042,,25.0,0.5693,9.0,0.2049,4.0,,,16206.0,10575.0,240.797,0.211141,,,,341.0,307.0,34.0,31.0,3.0,7.7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,9,Red,bot,Natz,oe:player:ee933e0209116546891ec86d983fba7,2144 Danmu Gaming,oe:team:001f05f3618c2ed84a6b43434753bd8,Kalista,Kindred,Ryze,Gangplank,,,,,,,,2635,0,10,3,5,16,20,,,0.0,0.0,,0.0,,,0.3643,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37449.0,852.7287,0.360319,508.9412,,18.0,0.4099,16.0,0.3643,4.0,,,20181.0,14550.0,331.3093,0.290503,,,,394.0,357.0,37.0,30.0,7.0,8.9715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218-247,partial,https://lpl.qq.com/es/stats.shtml?bmid=218,LSPL,2016,Spring,0,2016-01-18 04:23:41,1,5.24,10,Red,sup,Naruto,oe:player:c74564637eb56c889501ab90d1efcfe,2144 Danmu Gaming,oe:team:001f05f3618c2ed84a6b43434753bd8,Thresh,Kindred,Ryze,Gangplank,,,,,,,,2635,0,0,6,10,16,20,,,0.0,0.0,,0.0,,,0.3643,0.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5501.0,125.26,0.0529283,560.8805,,57.0,1.2979,23.0,0.5237,7.0,,,10866.0,5235.0,119.203,0.104526,,,,50.0,49.0,1.0,0.0,1.0,1.1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
