gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,1,Blue,top,Fudge,oe:player:f02f1c8275084050765b4b6414bdfda,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,Jax,Zyra,Vi,Kalista,Braum,Azir,,,,,,1588,0,1,4,2,5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,10683,403.6398,0.220423,819.2191,643.5264,12,0.4534,2,0.0756,2,21,0.7935,8264,4749,179.4332,0.219172,8383,,,174.0,174.0,0,,,6.5743,2970.0,4434.0,68.0,3149.0,4570.0,71.0,-179.0,-136.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,6946.0,109.0,6051.0,7616.0,127.0,-1601.0,-670.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,6302.0,9303.0,136.0,7366.0,9228.0,138.0,-1064.0,75.0,-2.0,1.0,1.0,1.0,1.0,1.0,2.0,8080.0,11669.0,174.0,9332.0,12378.0,172.0,-1252.0,-709.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,2,Blue,jng,Contractz,oe:player:8a5dbe19794784cfd0553556844f045,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,Skarner,Zyra,Vi,Kalista,Braum,Azir,,,,,,1588,0,1,5,3,5,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1889,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,7760,293.199,0.160112,1167.4307,1630.3904,8,0.3023,3,0.1134,6,27,1.0202,7654,4139,156.3854,0.191019,7150,,,146.0,17.0,129,,,5.5164,2914.0,2949.0,56.0,3171.0,3411.0,66.0,-257.0,-462.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,4330.0,5137.0,89.0,4768.0,5329.0,96.0,-438.0,-192.0,-7.0,0.0,1.0,1.0,0.0,3.0,0.0,5917.0,7771.0,123.0,6453.0,8243.0,126.0,-536.0,-472.0,-3.0,0.0,3.0,1.0,0.0,6.0,0.0,7339.0,9213.0,142.0,8553.0,11457.0,158.0,-1214.0,-2244.0,-16.0,1.0,3.0,4.0,0.0,12.0,0.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,3,Blue,mid,Palafox,oe:player:fddde6d256bee26713f64ad9b2a9394,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,Hwei,Zyra,Vi,Kalista,Braum,Azir,,,,,,1588,0,1,3,2,5,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1889,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,8942,337.8589,0.1845,425.932,189.8237,12,0.4534,9,0.3401,3,32,1.2091,8550,5035,190.2393,0.232371,8325,,,205.0,205.0,0,,,7.7456,3576.0,4720.0,85.0,3749.0,5111.0,100.0,-173.0,-391.0,-15.0,1.0,1.0,0.0,0.0,0.0,0.0,5477.0,7485.0,144.0,5832.0,7515.0,144.0,-355.0,-30.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,6960.0,9603.0,185.0,7979.0,10678.0,190.0,-1019.0,-1075.0,-5.0,1.0,1.0,1.0,1.0,4.0,0.0,8341.0,11553.0,204.0,11162.0,13972.0,236.0,-2821.0,-2419.0,-32.0,1.0,2.0,2.0,3.0,7.0,0.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,4,Blue,bot,Bvoy,oe:player:494fc60dffbb5da1caa2226baef0ec7,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,Varus,Zyra,Vi,Kalista,Braum,Azir,,,,,,1588,0,2,2,1,5,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1889,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,16738,632.4181,0.345356,359.6977,158.8791,9,0.3401,6,0.2267,4,20,0.7557,9281,5766,217.8589,0.266109,8850,,,222.0,222.0,0,,,8.3879,3663.0,3080.0,82.0,3033.0,3457.0,77.0,630.0,-377.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,5183.0,5103.0,129.0,5389.0,5890.0,127.0,-206.0,-787.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,7166.0,7331.0,172.0,7743.0,8553.0,178.0,-577.0,-1222.0,-6.0,2.0,1.0,1.0,3.0,3.0,1.0,8822.0,9457.0,212.0,11225.0,11779.0,218.0,-2403.0,-2322.0,-6.0,2.0,1.0,2.0,9.0,5.0,1.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,5,Blue,sup,Zeyzal,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Shopify Rebellion,oe:team:b360f1d729b0a8e0f29a5243c4200fa,Leona,Zyra,Vi,Kalista,Braum,Azir,,,,,,1588,0,0,5,4,5,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1889,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,4343,164.0932,0.0896092,607.1411,632.8338,43,1.6247,9,0.3401,12,89,3.3627,5494,1979,74.7733,0.0913298,5350,,,27.0,27.0,0,,,1.0202,2181.0,2544.0,16.0,2134.0,2257.0,15.0,47.0,287.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3321.0,3201.0,22.0,3476.0,3268.0,25.0,-155.0,-67.0,-3.0,0.0,1.0,1.0,0.0,3.0,1.0,4339.0,4846.0,25.0,4997.0,4764.0,31.0,-658.0,82.0,-6.0,0.0,3.0,2.0,1.0,5.0,1.0,5270.0,6244.0,27.0,6444.0,7386.0,39.0,-1174.0,-1142.0,-12.0,0.0,4.0,4.0,1.0,11.0,1.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,6,Red,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Urgot,K'Sante,Jayce,Yone,Rakan,Orianna,,,,,,1588,1,2,3,6,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,20754,784.1562,0.286088,920.5919,965.4786,14,0.529,6,0.2267,6,37,1.398,10755,7240,273.5516,0.200321,9150,,,180.0,172.0,8,,,6.801,3149.0,4570.0,71.0,2970.0,4434.0,68.0,179.0,136.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6051.0,7616.0,127.0,4450.0,6946.0,109.0,1601.0,670.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7366.0,9228.0,138.0,6302.0,9303.0,136.0,1064.0,-75.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,9332.0,12378.0,172.0,8080.0,11669.0,174.0,1252.0,709.0,-2.0,2.0,3.0,3.0,1.0,2.0,3.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,7,Red,jng,Inspired,oe:player:a8307167f3a1c933295bb9e3d43700e,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Ivern,K'Sante,Jayce,Yone,Rakan,Orianna,,,,,,1588,1,1,0,15,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.9068,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,6350,239.9244,0.0875331,176.0327,245.6297,10,0.3778,7,0.2645,1,30,1.1335,10089,6574,248.3879,0.181893,8425,,,163.0,7.0,156,,,6.1587,3171.0,3411.0,66.0,2914.0,2949.0,56.0,257.0,462.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4768.0,5329.0,96.0,4330.0,5137.0,89.0,438.0,192.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,6453.0,8243.0,126.0,5917.0,7771.0,123.0,536.0,472.0,3.0,0.0,6.0,0.0,0.0,3.0,1.0,8553.0,11457.0,158.0,7339.0,9213.0,142.0,1214.0,2244.0,16.0,0.0,12.0,0.0,1.0,3.0,4.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,8,Red,mid,Quad,oe:player:e9017664588010860a92ceb5f8fcb82,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Cassiopeia,K'Sante,Jayce,Yone,Rakan,Orianna,,,,,,1588,1,4,0,10,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,20348,768.8161,0.280492,390.9446,302.0781,15,0.5668,4,0.1511,8,26,0.9824,12506,8991,339.7103,0.24877,11175,,,239.0,231.0,8,,,9.0302,3749.0,5111.0,100.0,3576.0,4720.0,85.0,173.0,391.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,5832.0,7515.0,144.0,5477.0,7485.0,144.0,355.0,30.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,7979.0,10678.0,190.0,6960.0,9603.0,185.0,1019.0,1075.0,5.0,1.0,4.0,0.0,1.0,1.0,1.0,11162.0,13972.0,236.0,8341.0,11553.0,204.0,2821.0,2419.0,32.0,3.0,7.0,0.0,1.0,2.0,2.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,9,Red,bot,Massu,oe:player:c145139d26813639b8fe6f4d0b28228,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Ashe,K'Sante,Jayce,Yone,Rakan,Orianna,,,,,,1588,1,10,1,7,19,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,18203,687.7708,0.250924,527.0403,329.3955,11,0.4156,3,0.1134,4,23,0.869,12618,9103,343.9421,0.251868,11325,,,228.0,216.0,12,,,8.6146,3033.0,3457.0,77.0,3663.0,3080.0,82.0,-630.0,377.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0,5389.0,5890.0,127.0,5183.0,5103.0,129.0,206.0,787.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,7743.0,8553.0,178.0,7166.0,7331.0,172.0,577.0,1222.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,11225.0,11779.0,218.0,8822.0,9457.0,212.0,2403.0,2322.0,6.0,9.0,5.0,1.0,2.0,1.0,2.0
LOLTMNT01_191712,complete,,LTA N,2025,Split 1,0,2025-01-25 21:14:31,1,15.02,10,Red,sup,Busio,oe:player:3e722c8ede909c83af9342c41805a16,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Rell,K'Sante,Jayce,Yone,Rakan,Orianna,,,,,,1588,1,2,1,14,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7179,0.9068,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,6889,260.2897,0.0949631,429.1058,736.2091,46,1.738,14,0.529,9,91,3.4383,7749,4234,159.9748,0.117148,6275,,,41.0,39.0,2,,,1.5491,2134.0,2257.0,15.0,2181.0,2544.0,16.0,-47.0,-287.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,3476.0,3268.0,25.0,3321.0,3201.0,22.0,155.0,67.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,4997.0,4764.0,31.0,4339.0,4846.0,25.0,658.0,-82.0,6.0,1.0,5.0,1.0,0.0,3.0,2.0,6444.0,7386.0,39.0,5270.0,6244.0,27.0,1174.0,1142.0,12.0,1.0,11.0,1.0,0.0,4.0,4.0
