gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,1,Blue,top,Robo,oe:player:3085815ef497539cb1d93b3c9a16624,LOUD,oe:team:658a021a796aa5501503220adb38cf4,K'Sante,Yone,Maokai,Ambessa,Rakan,Kai'Sa,,,,,,2193,1,5,1,9,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,15325,419.2886,0.180704,703.2558,1462.8181,16,0.4378,6,0.1642,9,32,0.8755,14039,9290,254.1724,0.222997,12875,,,255.0,255.0,0,,,6.9767,3322.0,4865.0,87.0,3733.0,4871.0,100.0,-411.0,-6.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5335.0,7540.0,134.0,5725.0,7871.0,161.0,-390.0,-331.0,-27.0,1.0,0.0,1.0,0.0,2.0,0.0,7251.0,10462.0,185.0,8034.0,11090.0,223.0,-783.0,-628.0,-38.0,1.0,2.0,1.0,0.0,2.0,0.0,8753.0,13046.0,213.0,9981.0,13481.0,268.0,-1228.0,-435.0,-55.0,1.0,3.0,1.0,0.0,2.0,0.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,2,Blue,jng,Wiz,oe:player:3d6241a697bf77c402bad659fb172ab,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Sejuani,Yone,Maokai,Ambessa,Rakan,Kai'Sa,,,,,,2193,1,2,2,12,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5198,0.7661,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,14918,408.1532,0.175905,1257.2093,1481.6963,14,0.383,26,0.7114,13,80,2.1888,12300,7551,206.5937,0.181252,11375,,,209.0,41.0,168,,,5.7182,3489.0,3531.0,70.0,3364.0,3906.0,79.0,125.0,-375.0,-9.0,1.0,0.0,1.0,0.0,1.0,0.0,4876.0,5495.0,99.0,5108.0,5936.0,103.0,-232.0,-441.0,-4.0,1.0,1.0,2.0,0.0,4.0,1.0,6457.0,7594.0,134.0,6973.0,8284.0,142.0,-516.0,-690.0,-8.0,1.0,4.0,2.0,0.0,5.0,1.0,8256.0,9423.0,160.0,8383.0,10153.0,171.0,-127.0,-730.0,-11.0,2.0,5.0,2.0,0.0,5.0,2.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,3,Blue,mid,tinowns,oe:player:ae770d2c942cee6dbcfbd1832015231,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Azir,Yone,Maokai,Ambessa,Rakan,Kai'Sa,,,,,,2193,1,2,2,9,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,18716,512.0657,0.220689,649.9042,474.5554,14,0.383,19,0.5198,8,56,1.5321,13863,9114,249.357,0.218772,12950,,,281.0,253.0,28,,,7.6881,3313.0,4717.0,82.0,3680.0,4254.0,85.0,-367.0,463.0,-3.0,0.0,1.0,0.0,1.0,0.0,1.0,5060.0,7412.0,130.0,6759.0,7150.0,139.0,-1699.0,262.0,-9.0,0.0,2.0,1.0,4.0,0.0,1.0,7882.0,10249.0,175.0,8734.0,9674.0,186.0,-852.0,575.0,-11.0,2.0,2.0,1.0,4.0,1.0,1.0,9911.0,12757.0,221.0,10479.0,11387.0,221.0,-568.0,1370.0,0.0,2.0,4.0,1.0,4.0,1.0,2.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,4,Blue,bot,Route,oe:player:9405c3aff9112c3c60d03b94792877d,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Ezreal,Yone,Maokai,Ambessa,Rakan,Kai'Sa,,,,,,2193,1,7,2,8,19,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.0,0.0,28925,791.3817,0.341069,632.8591,407.7155,15,0.4104,3,0.0821,5,23,0.6293,15099,10350,283.1737,0.248442,14158,,,285.0,279.0,6,,,7.7975,3134.0,3324.0,84.0,3744.0,3887.0,85.0,-610.0,-563.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,4853.0,5600.0,133.0,5324.0,5806.0,120.0,-471.0,-206.0,13.0,0.0,1.0,0.0,1.0,3.0,0.0,6536.0,7927.0,171.0,7488.0,7919.0,163.0,-952.0,8.0,8.0,0.0,4.0,1.0,2.0,3.0,2.0,9443.0,10405.0,214.0,9549.0,10077.0,207.0,-106.0,328.0,7.0,2.0,5.0,1.0,2.0,3.0,2.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,5,Blue,sup,Winsome,oe:player:f7ead1102c4739cf2a094369019fff5,LOUD,oe:team:658a021a796aa5501503220adb38cf4,Rell,Yone,Maokai,Ambessa,Rakan,Kai'Sa,,,,,,2193,1,3,2,15,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,6923,189.4118,0.0816324,549.1655,789.8495,78,2.1341,12,0.3283,23,132,3.6115,10104,5355,146.5116,0.128538,8975,,,32.0,32.0,0,,,0.8755,2198.0,2274.0,13.0,2231.0,2454.0,17.0,-33.0,-180.0,-4.0,0.0,1.0,1.0,0.0,2.0,0.0,3338.0,3172.0,18.0,3345.0,3170.0,22.0,-7.0,2.0,-4.0,0.0,2.0,1.0,0.0,4.0,0.0,4637.0,5133.0,22.0,4532.0,4592.0,28.0,105.0,541.0,-6.0,1.0,4.0,1.0,0.0,5.0,1.0,5991.0,7163.0,25.0,5403.0,5491.0,30.0,588.0,1672.0,-5.0,1.0,7.0,1.0,0.0,5.0,2.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,6,Red,top,Wizer,oe:player:840d0b77e71408d3da84e4f0cae4b73,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Gnar,Skarner,Kalista,Varus,Xin Zhao,Leona,,,,,,2193,0,2,0,3,9,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2462,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,28601,782.5171,0.294352,565.0889,770.9986,11,0.301,19,0.5198,5,64,1.751,15970,11221,307.0041,0.290297,13258,,,348.0,322.0,26,,,9.5212,3733.0,4871.0,100.0,3322.0,4865.0,87.0,411.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5725.0,7871.0,161.0,5335.0,7540.0,134.0,390.0,331.0,27.0,0.0,2.0,0.0,1.0,0.0,1.0,8034.0,11090.0,223.0,7251.0,10462.0,185.0,783.0,628.0,38.0,0.0,2.0,0.0,1.0,2.0,1.0,9981.0,13481.0,268.0,8753.0,13046.0,213.0,1228.0,435.0,55.0,0.0,2.0,0.0,1.0,3.0,1.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,7,Red,jng,CarioK,oe:player:5e07433d52dbc7bbc4faaf9492dbd2c,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Nocturne,Skarner,Kalista,Varus,Xin Zhao,Leona,,,,,,2193,0,0,6,8,9,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2462,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,12220,334.3365,0.125764,1277.7018,1019.316,14,0.383,11,0.301,11,48,1.3133,11204,6455,176.6074,0.166993,10625,,,216.0,25.0,191,,,5.9097,3364.0,3906.0,79.0,3489.0,3531.0,70.0,-125.0,375.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,5108.0,5936.0,103.0,4876.0,5495.0,99.0,232.0,441.0,4.0,0.0,4.0,1.0,1.0,1.0,2.0,6973.0,8284.0,142.0,6457.0,7594.0,134.0,516.0,690.0,8.0,0.0,5.0,1.0,1.0,4.0,2.0,8383.0,10153.0,171.0,8256.0,9423.0,160.0,127.0,730.0,11.0,0.0,5.0,2.0,2.0,5.0,2.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Orianna,Skarner,Kalista,Varus,Xin Zhao,Leona,,,,,,2193,0,4,5,4,9,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2462,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,19741,540.1094,0.203168,443.3653,282.4897,17,0.4651,12,0.3283,8,42,1.1491,13113,8364,228.8372,0.216382,12800,,,259.0,259.0,0,,,7.0862,3680.0,4254.0,85.0,3313.0,4717.0,82.0,367.0,-463.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,6759.0,7150.0,139.0,5060.0,7412.0,130.0,1699.0,-262.0,9.0,4.0,0.0,1.0,0.0,2.0,1.0,8734.0,9674.0,186.0,7882.0,10249.0,175.0,852.0,-575.0,11.0,4.0,1.0,1.0,2.0,2.0,1.0,10479.0,11387.0,221.0,9911.0,12757.0,221.0,568.0,-1370.0,0.0,4.0,1.0,2.0,2.0,4.0,1.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,9,Red,bot,TitaN,oe:player:1c010180887360e5d6ab967fd93693d,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Corki,Skarner,Kalista,Varus,Xin Zhao,Leona,,,,,,2193,0,2,4,3,9,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2462,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,31097,850.8071,0.32004,578.6047,356.9631,18,0.4925,20,0.5472,7,62,1.6963,14173,9424,257.8386,0.243806,13608,,,321.0,303.0,18,,,8.7825,3744.0,3887.0,85.0,3134.0,3324.0,84.0,610.0,563.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5324.0,5806.0,120.0,4853.0,5600.0,133.0,471.0,206.0,-13.0,1.0,3.0,0.0,0.0,1.0,0.0,7488.0,7919.0,163.0,6536.0,7927.0,171.0,952.0,-8.0,-8.0,2.0,3.0,2.0,0.0,4.0,1.0,9549.0,10077.0,207.0,9443.0,10405.0,214.0,106.0,-328.0,-7.0,2.0,3.0,2.0,2.0,5.0,1.0
LOLTMNT01_191597,complete,,LTA S,2025,Split 1,0,2025-01-25 16:17:11,1,15.02,10,Red,sup,Kuri,oe:player:87b0ff8e56b0ce96bc0a82ea5dc9a7e,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Alistar,Skarner,Kalista,Varus,Xin Zhao,Leona,,,,,,2193,0,1,4,7,9,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2462,0.7661,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,5507,150.6703,0.0566762,575.4036,1027.7975,83,2.2709,7,0.1915,24,138,3.7756,7939,3190,87.2777,0.0825222,7400,,,34.0,34.0,0,,,0.9302,2231.0,2454.0,17.0,2198.0,2274.0,13.0,33.0,180.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,3345.0,3170.0,22.0,3338.0,3172.0,18.0,7.0,-2.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,4532.0,4592.0,28.0,4637.0,5133.0,22.0,-105.0,-541.0,6.0,0.0,5.0,1.0,1.0,4.0,1.0,5403.0,5491.0,30.0,5991.0,7163.0,25.0,-588.0,-1672.0,5.0,0.0,5.0,2.0,1.0,7.0,1.0
