gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,1,Blue,top,Sniper,oe:player:007be3acd5669d100711b13d79e2336,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,K'Sante,Rumble,Ambessa,Skarner,Gnar,Jax,,,,,,1932,1,2,2,3,18,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10673,331.4596,0.142993,775.2795,1402.1118,14,0.4348,9,0.2795,8,39,1.2112,11616,7399,229.7826,0.17317,11675,,,220.0,220.0,0,,,6.8323,2839.0,4465.0,63.0,2970.0,4261.0,71.0,-131.0,204.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,4553.0,7164.0,111.0,4589.0,7200.0,119.0,-36.0,-36.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,6247.0,9946.0,157.0,6510.0,10215.0,175.0,-263.0,-269.0,-18.0,0.0,0.0,1.0,0.0,1.0,0.0,8500.0,12475.0,185.0,7941.0,11876.0,200.0,559.0,599.0,-15.0,1.0,1.0,2.0,0.0,4.0,2.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,2,Blue,jng,River,oe:player:7c3395efccd48fe73592001501bef83,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Sejuani,Rumble,Ambessa,Skarner,Gnar,Jax,,,,,,1932,1,1,1,12,18,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.8385,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,17515,543.9441,0.23466,1560.528,1406.4286,9,0.2795,12,0.3727,8,45,1.3975,12047,7830,243.1677,0.183257,11900,,,218.0,50.0,168,,,6.7702,3618.0,4282.0,91.0,3676.0,4088.0,81.0,-58.0,194.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,4947.0,6026.0,121.0,5493.0,6433.0,122.0,-546.0,-407.0,-1.0,0.0,1.0,1.0,1.0,3.0,0.0,6628.0,8619.0,160.0,7129.0,8641.0,158.0,-501.0,-22.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,9305.0,11621.0,191.0,8760.0,10674.0,183.0,545.0,947.0,8.0,1.0,8.0,1.0,1.0,6.0,1.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,3,Blue,mid,Quid,oe:player:8f8eaac8e99c203ee76e57c5c81c91f,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Yone,Rumble,Ambessa,Skarner,Gnar,Jax,,,,,,1932,1,9,1,3,18,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,25093,779.2857,0.336187,992.7329,963.1056,10,0.3106,6,0.1863,8,33,1.0248,17247,13030,404.6584,0.304958,15380,,,345.0,310.0,35,,,10.7143,3376.0,4856.0,90.0,3295.0,4558.0,88.0,81.0,298.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4915.0,7582.0,137.0,5438.0,6913.0,132.0,-523.0,669.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,6998.0,10948.0,200.0,7281.0,9745.0,184.0,-283.0,1203.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,11509.0,15109.0,269.0,9836.0,11796.0,219.0,1673.0,3313.0,50.0,4.0,2.0,1.0,3.0,2.0,2.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,4,Blue,bot,FBI,oe:player:73d2b65353d7b00e0f198ffdc085edc,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Ashe,Rumble,Ambessa,Skarner,Gnar,Jax,,,,,,1932,1,5,2,7,18,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.559,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16762,520.559,0.224571,491.3043,342.2981,15,0.4658,6,0.1863,6,36,1.118,14178,9961,309.3478,0.233131,12710,,,293.0,277.0,16,,,9.0994,3709.0,2943.0,76.0,3717.0,3700.0,78.0,-8.0,-757.0,-2.0,2.0,0.0,1.0,2.0,0.0,2.0,5489.0,5443.0,123.0,6078.0,6547.0,127.0,-589.0,-1104.0,-4.0,2.0,1.0,1.0,4.0,1.0,3.0,7500.0,8427.0,182.0,8357.0,9451.0,190.0,-857.0,-1024.0,-8.0,2.0,1.0,1.0,4.0,1.0,3.0,10310.0,11366.0,228.0,10191.0,12106.0,238.0,119.0,-740.0,-10.0,4.0,5.0,2.0,4.0,2.0,4.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,5,Blue,sup,Eyla,oe:player:dbe844fcbbc7f54654e54242e79acac,100 Thieves,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,Rakan,Rumble,Ambessa,Skarner,Gnar,Jax,,,,,,1932,1,1,3,11,18,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.559,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4597,142.764,0.061589,481.6149,524.0683,57,1.7702,36,1.118,15,150,4.6584,8724,4507,139.9689,0.105485,7825,,,60.0,60.0,0,,,1.8634,2435.0,2272.0,24.0,2541.0,2527.0,15.0,-106.0,-255.0,9.0,0.0,2.0,1.0,0.0,2.0,0.0,3845.0,3048.0,32.0,4097.0,3080.0,19.0,-252.0,-32.0,13.0,1.0,2.0,2.0,1.0,3.0,0.0,4938.0,3842.0,42.0,5145.0,4421.0,24.0,-207.0,-579.0,18.0,1.0,2.0,2.0,1.0,3.0,0.0,6593.0,6190.0,50.0,6047.0,6108.0,28.0,546.0,82.0,22.0,1.0,9.0,3.0,1.0,4.0,2.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,6,Red,top,Wizer,oe:player:840d0b77e71408d3da84e4f0cae4b73,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Aurora,Poppy,Jayce,Kalista,Kai'Sa,Ezreal,,,,,,1932,0,0,2,4,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17227,535.0,0.168099,496.8012,331.1801,12,0.3727,5,0.1553,8,35,1.087,10364,6147,190.9006,0.194261,9300,,,243.0,243.0,0,,,7.5466,2970.0,4261.0,71.0,2839.0,4465.0,63.0,131.0,-204.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4589.0,7200.0,119.0,4553.0,7164.0,111.0,36.0,36.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,6510.0,10215.0,175.0,6247.0,9946.0,157.0,263.0,269.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,7941.0,11876.0,200.0,8500.0,12475.0,185.0,-559.0,-599.0,15.0,0.0,4.0,2.0,1.0,1.0,2.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,7,Red,jng,CarioK,oe:player:5e07433d52dbc7bbc4faaf9492dbd2c,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Zyra,Poppy,Jayce,Kalista,Kai'Sa,Ezreal,,,,,,1932,0,1,1,6,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,23663,734.8758,0.230901,587.8882,333.0124,9,0.2795,13,0.4037,6,41,1.2733,10793,6576,204.2236,0.207818,9250,,,223.0,37.0,186,,,6.9255,3676.0,4088.0,81.0,3618.0,4282.0,91.0,58.0,-194.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,5493.0,6433.0,122.0,4947.0,6026.0,121.0,546.0,407.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,7129.0,8641.0,158.0,6628.0,8619.0,160.0,501.0,22.0,-2.0,1.0,3.0,0.0,0.0,1.0,1.0,8760.0,10674.0,183.0,9305.0,11621.0,191.0,-545.0,-947.0,-8.0,1.0,6.0,1.0,1.0,8.0,1.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Corki,Poppy,Jayce,Kalista,Kai'Sa,Ezreal,,,,,,1932,0,3,4,2,9,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,28112,873.0435,0.274314,718.6646,513.6335,16,0.4969,2,0.0621,6,29,0.9006,11862,7645,237.4224,0.241601,11268,,,250.0,240.0,10,,,7.764,3295.0,4558.0,88.0,3376.0,4856.0,90.0,-81.0,-298.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5438.0,6913.0,132.0,4915.0,7582.0,137.0,523.0,-669.0,-5.0,0.0,2.0,0.0,0.0,0.0,1.0,7281.0,9745.0,184.0,6998.0,10948.0,200.0,283.0,-1203.0,-16.0,0.0,2.0,0.0,0.0,0.0,1.0,9836.0,11796.0,219.0,11509.0,15109.0,269.0,-1673.0,-3313.0,-50.0,3.0,2.0,2.0,4.0,2.0,1.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,9,Red,bot,TitaN,oe:player:1c010180887360e5d6ab967fd93693d,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Varus,Poppy,Jayce,Kalista,Kai'Sa,Ezreal,,,,,,1932,0,4,6,2,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2795,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,27522,854.7205,0.268557,599.2857,363.5404,20,0.6211,13,0.4037,8,45,1.3975,12475,8258,256.4596,0.260973,11750,,,289.0,277.0,12,,,8.9752,3717.0,3700.0,78.0,3709.0,2943.0,76.0,8.0,757.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,6078.0,6547.0,127.0,5489.0,5443.0,123.0,589.0,1104.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,8357.0,9451.0,190.0,7500.0,8427.0,182.0,857.0,1024.0,8.0,4.0,1.0,3.0,2.0,1.0,1.0,10191.0,12106.0,238.0,10310.0,11366.0,228.0,-119.0,740.0,10.0,4.0,2.0,4.0,4.0,5.0,2.0
LOLTMNT02_217276,complete,,LTA,2025,,1,2025-02-15 19:12:10,1,15.03,10,Red,sup,Kuri,oe:player:87b0ff8e56b0ce96bc0a82ea5dc9a7e,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,Rell,Poppy,Jayce,Kalista,Kai'Sa,Ezreal,,,,,,1932,0,1,5,4,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795,0.8385,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5957,185.0,0.0581278,573.7578,808.354,73,2.2671,12,0.3727,23,129,4.0062,7234,3017,93.6957,0.0953469,6750,,,30.0,30.0,0,,,0.9317,2541.0,2527.0,15.0,2435.0,2272.0,24.0,106.0,255.0,-9.0,0.0,2.0,0.0,0.0,2.0,1.0,4097.0,3080.0,19.0,3845.0,3048.0,32.0,252.0,32.0,-13.0,1.0,3.0,0.0,1.0,2.0,2.0,5145.0,4421.0,24.0,4938.0,3842.0,42.0,207.0,579.0,-18.0,1.0,3.0,0.0,1.0,2.0,2.0,6047.0,6108.0,28.0,6593.0,6190.0,50.0,-546.0,-82.0,-22.0,1.0,4.0,2.0,1.0,9.0,3.0
