gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,1,Blue,top,Marky,oe:player:197e012fb5163375e24dbbfdae34911,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,Jayce,Lucian,Diana,Draven,Malphite,Ornn,,,,,,2095,0,1,4,8,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17654.0,505.6038,0.219799,488.506,364.7542,15.0,0.4296,5.0,0.1432,6.0,24.0,0.6874,10823,6273.0,179.6563,0.177626,10675.0,,,231.0,207.0,24.0,,,6.6158,2947.0,3496.0,57.0,2877.0,3646.0,67.0,70.0,-150.0,-10.0,1.0,0.0,0.0,0.0,1.0,1.0,4609.0,5816.0,104.0,4467.0,6237.0,117.0,142.0,-421.0,-13.0,1.0,0.0,1.0,0.0,2.0,2.0,6069.0,7624.0,138.0,6068.0,8279.0,148.0,1.0,-655.0,-10.0,1.0,0.0,2.0,0.0,2.0,4.0,7662.0,10163.0,163.0,8145.0,11368.0,180.0,-483.0,-1205.0,-17.0,1.0,5.0,3.0,0.0,3.0,5.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,2,Blue,jng,Kadir,oe:player:4b453f6bfc22f3d73412ce9478d3da3,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,Talon,Lucian,Diana,Draven,Malphite,Ornn,,,,,,2095,0,2,5,4,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,12659.0,362.5489,0.157609,722.3198,475.8186,7.0,0.2005,8.0,0.2291,5.0,34.0,0.9737,11129,6579.0,188.42,0.18629,10875.0,,,188.0,41.0,147.0,,,5.3842,3159.0,3566.0,66.0,3039.0,3170.0,57.0,120.0,396.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,5797.0,6046.0,110.0,4623.0,4858.0,83.0,1174.0,1188.0,27.0,1.0,0.0,1.0,0.0,5.0,2.0,7928.0,8967.0,150.0,6545.0,7632.0,114.0,1383.0,1335.0,36.0,2.0,1.0,2.0,0.0,8.0,2.0,9116.0,10464.0,166.0,8261.0,9759.0,133.0,855.0,705.0,33.0,2.0,3.0,3.0,0.0,9.0,3.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,3,Blue,mid,xKenzuke,oe:player:5f76f198cbbf171d85c94220ba63eaf,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,Vex,Lucian,Diana,Draven,Malphite,Ornn,,,,,,2095,0,3,6,7,14,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.401,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,26821.0,768.1432,0.333931,539.685,555.0931,14.0,0.401,13.0,0.3723,5.0,40.0,1.1456,13592,9042.0,258.9594,0.256029,13575.0,,,266.0,265.0,1.0,,,7.6181,3385.0,4256.0,72.0,3701.0,4756.0,81.0,-316.0,-500.0,-9.0,1.0,1.0,2.0,2.0,1.0,0.0,5152.0,6534.0,112.0,6023.0,7655.0,127.0,-871.0,-1121.0,-15.0,1.0,2.0,3.0,4.0,2.0,0.0,7491.0,9546.0,170.0,8002.0,10350.0,170.0,-511.0,-804.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,10260.0,12580.0,210.0,10013.0,12273.0,189.0,247.0,307.0,21.0,2.0,7.0,4.0,5.0,5.0,1.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,4,Blue,bot,Tazaku,oe:player:8dd84a9df0dc0ec74ebe4547e05a7ad,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,Jhin,Lucian,Diana,Draven,Malphite,Ornn,,,,,,2095,0,7,0,4,14,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,18889.0,540.9737,0.235175,233.7279,129.6516,17.0,0.4869,8.0,0.2291,10.0,40.0,1.1456,14937,10387.0,297.4797,0.294112,13200.0,,,291.0,268.0,23.0,,,8.3341,3074.0,3219.0,78.0,3640.0,3587.0,92.0,-566.0,-368.0,-14.0,0.0,1.0,0.0,1.0,0.0,0.0,5217.0,5368.0,118.0,6786.0,6481.0,153.0,-1569.0,-1113.0,-35.0,0.0,2.0,0.0,2.0,1.0,0.0,7478.0,8081.0,172.0,10165.0,9545.0,222.0,-2687.0,-1464.0,-50.0,1.0,2.0,0.0,5.0,1.0,0.0,10371.0,10081.0,203.0,13053.0,11939.0,259.0,-2682.0,-1858.0,-56.0,5.0,2.0,0.0,7.0,2.0,1.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,5,Blue,sup,Pyrka,oe:player:3e68fd564e4e518b8aed89b9a0bf855,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,Leona,Lucian,Diana,Draven,Malphite,Ornn,,,,,,2095,0,1,6,9,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4296.0,123.0358,0.0534867,604.7542,764.105,49.0,1.4033,9.0,0.2578,12.0,87.0,2.4916,7585,3035.0,86.9212,0.0859437,7350.0,,,33.0,33.0,0.0,,,0.9451,2087.0,2066.0,14.0,1951.0,2156.0,2.0,136.0,-90.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,3186.0,2950.0,20.0,3412.0,3461.0,4.0,-226.0,-511.0,16.0,0.0,2.0,2.0,1.0,3.0,0.0,4217.0,4399.0,26.0,4795.0,5444.0,7.0,-578.0,-1045.0,19.0,0.0,2.0,2.0,1.0,6.0,0.0,5369.0,6953.0,31.0,6565.0,7354.0,9.0,-1196.0,-401.0,22.0,0.0,7.0,3.0,1.0,9.0,1.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,6,Red,top,Satorius,oe:player:422d7cc4063f8801a9427860bfd855b,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,Sion,Twisted Fate,Caitlyn,Thresh,Yuumi,Ezreal,,,,,,2095,1,0,5,9,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7003.0,200.5632,0.104768,866.9785,1396.0668,26.0,0.7446,7.0,0.2005,15.0,52.0,1.4893,11205,6655.0,190.5967,0.160074,10675.0,,,217.0,213.0,4.0,,,6.2148,2877.0,3646.0,67.0,2947.0,3496.0,57.0,-70.0,150.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,4467.0,6237.0,117.0,4609.0,5816.0,104.0,-142.0,421.0,13.0,0.0,2.0,2.0,1.0,0.0,1.0,6068.0,8279.0,148.0,6069.0,7624.0,138.0,-1.0,655.0,10.0,0.0,2.0,4.0,1.0,0.0,2.0,8145.0,11368.0,180.0,7662.0,10163.0,163.0,483.0,1205.0,17.0,0.0,3.0,5.0,1.0,5.0,3.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,7,Red,jng,bluerzor,oe:player:0973ddfd8ce96a62e85badbe503d163,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,Xin Zhao,Twisted Fate,Caitlyn,Thresh,Yuumi,Ezreal,,,,,,2095,1,3,3,12,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6014,1.0024,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,9252.0,264.9737,0.138414,1028.7064,730.7971,13.0,0.3723,9.0,0.2578,14.0,41.0,1.1742,11986,7436.0,212.9642,0.178858,10700.0,,,169.0,25.0,144.0,,,4.8401,3039.0,3170.0,57.0,3159.0,3566.0,66.0,-120.0,-396.0,-9.0,0.0,2.0,2.0,0.0,0.0,1.0,4623.0,4858.0,83.0,5797.0,6046.0,110.0,-1174.0,-1188.0,-27.0,0.0,5.0,2.0,1.0,0.0,1.0,6545.0,7632.0,114.0,7928.0,8967.0,150.0,-1383.0,-1335.0,-36.0,0.0,8.0,2.0,2.0,1.0,2.0,8261.0,9759.0,133.0,9116.0,10464.0,166.0,-855.0,-705.0,-33.0,0.0,9.0,3.0,2.0,3.0,3.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,8,Red,mid,Zwyroo,oe:player:1806cb4175771800d1d1ace2817103c,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,Syndra,Twisted Fate,Caitlyn,Thresh,Yuumi,Ezreal,,,,,,2095,1,6,3,7,21,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,17544.0,502.4535,0.262466,567.1504,254.2912,16.0,0.4582,5.0,0.1432,9.0,31.0,0.8878,13281,8731.0,250.0525,0.210006,17485.0,,,225.0,221.0,4.0,,,6.4439,3701.0,4756.0,81.0,3385.0,4256.0,72.0,316.0,500.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,6023.0,7655.0,127.0,5152.0,6534.0,112.0,871.0,1121.0,15.0,4.0,2.0,0.0,1.0,2.0,3.0,8002.0,10350.0,170.0,7491.0,9546.0,170.0,511.0,804.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,10013.0,12273.0,189.0,10260.0,12580.0,210.0,-247.0,-307.0,-21.0,5.0,5.0,1.0,2.0,7.0,4.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,9,Red,bot,Jackspektra,oe:player:bd4cd28808d1d55b27edc2bea622d35,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,Jinx,Twisted Fate,Caitlyn,Thresh,Yuumi,Ezreal,,,,,,2095,1,11,1,5,21,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,29595.0,847.5895,0.442754,441.7661,299.9427,12.0,0.3437,23.0,0.6587,1.0,68.0,1.9475,18635,14085.0,403.389,0.33878,17275.0,,,348.0,306.0,42.0,,,9.9666,3640.0,3587.0,92.0,3074.0,3219.0,78.0,566.0,368.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,6786.0,6481.0,153.0,5217.0,5368.0,118.0,1569.0,1113.0,35.0,2.0,1.0,0.0,0.0,2.0,0.0,10165.0,9545.0,222.0,7478.0,8081.0,172.0,2687.0,1464.0,50.0,5.0,1.0,0.0,1.0,2.0,0.0,13053.0,11939.0,259.0,10371.0,10081.0,203.0,2682.0,1858.0,56.0,7.0,2.0,1.0,5.0,2.0,0.0
ESPORTSTMNT01_2700416,complete,,LVP SL,2022,Spring,0,2022-01-10 16:37:13,1,12.01,10,Red,sup,whiteinn,oe:player:821b8540f3adc05a30edd06f1d877e6,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,Lulu,Twisted Fate,Caitlyn,Thresh,Yuumi,Ezreal,,,,,,2095,1,1,3,17,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6014,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3449.0,98.778,0.0515985,320.7064,134.5489,44.0,1.2601,6.0,0.1718,15.0,76.0,2.1766,9218,4668.0,133.6897,0.112282,8600.0,,,9.0,9.0,0.0,,,0.2578,1951.0,2156.0,2.0,2087.0,2066.0,14.0,-136.0,90.0,-12.0,0.0,1.0,0.0,0.0,1.0,0.0,3412.0,3461.0,4.0,3186.0,2950.0,20.0,226.0,511.0,-16.0,1.0,3.0,0.0,0.0,2.0,2.0,4795.0,5444.0,7.0,4217.0,4399.0,26.0,578.0,1045.0,-19.0,1.0,6.0,0.0,0.0,2.0,2.0,6565.0,7354.0,9.0,5369.0,6953.0,31.0,1196.0,401.0,-22.0,1.0,9.0,1.0,0.0,7.0,3.0
