gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,1,Blue,top,WhiteKnight,oe:player:480168c20218f1b2e9b34785a3baf27,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,K'Sante,Gwen,Jax,Nocturne,Renata Glasc,Rell,,,,,,1791,0,0,4,4,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10912,365.5611,0.188606,680.3685,889.1122,12,0.402,6,0.201,6,33,1.1055,9732,5803,194.4054,0.17472,9385,,,220.0,220.0,0,,,7.3702,3445.0,5150.0,97.0,3272.0,5174.0,91.0,173.0,-24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.0,7831.0,141.0,5369.0,7838.0,138.0,-349.0,-7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6439.0,9803.0,174.0,7877.0,10516.0,185.0,-1438.0,-713.0,-11.0,0.0,0.0,2.0,1.0,2.0,0.0,8129.0,11709.0,204.0,11399.0,13651.0,219.0,-3270.0,-1942.0,-15.0,0.0,0.0,3.0,6.0,5.0,0.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,2,Blue,jng,Pridestalkr,oe:player:99594a251af944b3571fe7f37363303,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Vi,Gwen,Jax,Nocturne,Renata Glasc,Rell,,,,,,1791,0,5,4,3,13,23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4355,1.206,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,8072,270.4188,0.139519,806.6332,1240.871,7,0.2345,3,0.1005,6,26,0.871,11580,7651,256.3149,0.230363,12300,,,205.0,20.0,185,,,6.8677,3763.0,3776.0,77.0,3579.0,3544.0,64.0,184.0,232.0,13.0,1.0,1.0,0.0,2.0,0.0,0.0,5731.0,6078.0,116.0,5325.0,5811.0,99.0,406.0,267.0,17.0,2.0,2.0,1.0,2.0,2.0,1.0,7421.0,8443.0,156.0,7392.0,8226.0,135.0,29.0,217.0,21.0,2.0,2.0,1.0,3.0,3.0,1.0,8678.0,9725.0,173.0,10388.0,12449.0,178.0,-1710.0,-2724.0,-5.0,2.0,3.0,3.0,5.0,8.0,1.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,3,Blue,mid,SAJATOR,oe:player:a6fed46f5e3d5e2e68356d7ac85a971,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Orianna,Gwen,Jax,Nocturne,Renata Glasc,Rell,,,,,,1791,0,2,4,5,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,15321,513.2663,0.264813,482.4121,450.2848,11,0.3685,7,0.2345,2,28,0.938,11914,7985,267.5042,0.240419,11250,,,262.0,258.0,4,,,8.7772,3485.0,5043.0,95.0,3361.0,5035.0,86.0,124.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5572.0,8129.0,152.0,5130.0,8058.0,137.0,442.0,71.0,15.0,0.0,2.0,1.0,0.0,2.0,0.0,8326.0,10739.0,200.0,7210.0,10745.0,178.0,1116.0,-6.0,22.0,0.0,2.0,1.0,1.0,4.0,0.0,10141.0,12597.0,234.0,9992.0,14017.0,213.0,149.0,-1420.0,21.0,1.0,2.0,2.0,1.0,9.0,1.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,4,Blue,bot,Legolas,oe:player:5cfc41b7eccda649db08ead84343554,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Varus,Gwen,Jax,Nocturne,Renata Glasc,Rell,,,,,,1791,0,5,6,3,13,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4355,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17479,585.5611,0.302112,483.9531,234.7739,9,0.3015,6,0.201,1,27,0.9045,12521,8592,287.8392,0.258696,11375,,,226.0,226.0,0,,,7.5712,3524.0,3610.0,77.0,3432.0,2917.0,85.0,92.0,693.0,-8.0,1.0,1.0,1.0,0.0,0.0,2.0,5459.0,6368.0,137.0,5794.0,5776.0,143.0,-335.0,592.0,-6.0,1.0,1.0,1.0,1.0,0.0,2.0,7157.0,8067.0,182.0,8319.0,7932.0,184.0,-1162.0,135.0,-2.0,1.0,1.0,2.0,2.0,2.0,2.0,8566.0,9574.0,208.0,11326.0,11887.0,228.0,-2760.0,-2313.0,-20.0,1.0,1.0,4.0,3.0,9.0,2.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,5,Blue,sup,Hustlin,oe:player:566e0849f6b96ad25981ba1c79ce1a7,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,Alistar,Gwen,Jax,Nocturne,Renata Glasc,Rell,,,,,,1791,0,1,5,9,13,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4355,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6072,203.4171,0.10495,502.9816,866.1642,43,1.4405,3,0.1005,11,78,2.6131,7111,3182,106.5997,0.0958021,6625,,,23.0,23.0,0,,,0.7705,2235.0,2266.0,13.0,2527.0,3025.0,18.0,-292.0,-759.0,-5.0,0.0,2.0,1.0,0.0,1.0,0.0,3643.0,3204.0,16.0,4063.0,4401.0,26.0,-420.0,-1197.0,-10.0,1.0,2.0,1.0,1.0,2.0,1.0,4691.0,4752.0,20.0,5347.0,5742.0,28.0,-656.0,-990.0,-8.0,1.0,2.0,2.0,1.0,5.0,1.0,5808.0,5887.0,22.0,7367.0,8348.0,35.0,-1559.0,-2461.0,-13.0,1.0,3.0,4.0,1.0,13.0,1.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,6,Red,top,Badlulu,oe:player:099ef5da25e9e7b76e69776eee28f35,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,Malphite,Rumble,Lucian,Azir,Heimerdinger,Poppy,,,,,,1791,1,6,2,11,23,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,17927,600.5695,0.245811,533.6013,1883.1156,9,0.3015,6,0.201,6,27,0.9045,13182,9253,309.9832,0.228837,11625,,,238.0,238.0,0,,,7.9732,3272.0,5174.0,91.0,3445.0,5150.0,97.0,-173.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5369.0,7838.0,138.0,5020.0,7831.0,141.0,349.0,7.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,7877.0,10516.0,185.0,6439.0,9803.0,174.0,1438.0,713.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,11399.0,13651.0,219.0,8129.0,11709.0,204.0,3270.0,1942.0,15.0,6.0,5.0,0.0,0.0,0.0,3.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,7,Red,jng,MAXI,oe:player:09df7e1c00d361f40c47542ae02f736,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,Xin Zhao,Rumble,Lucian,Azir,Heimerdinger,Poppy,,,,,,1791,1,6,2,12,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705,1.206,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,13771,461.34,0.188825,1057.8559,703.1491,8,0.268,6,0.201,7,33,1.1055,12249,8320,278.727,0.205763,9425,,,194.0,19.0,175,,,6.4992,3579.0,3544.0,64.0,3763.0,3776.0,77.0,-184.0,-232.0,-13.0,2.0,0.0,0.0,1.0,1.0,0.0,5325.0,5811.0,99.0,5731.0,6078.0,116.0,-406.0,-267.0,-17.0,2.0,2.0,1.0,2.0,2.0,1.0,7392.0,8226.0,135.0,7421.0,8443.0,156.0,-29.0,-217.0,-21.0,3.0,3.0,1.0,2.0,2.0,1.0,10388.0,12449.0,178.0,8678.0,9725.0,173.0,1710.0,2724.0,5.0,5.0,8.0,1.0,2.0,3.0,3.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,8,Red,mid,Javier,oe:player:ab02fceb9689114b1cd1844e456c069,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,Neeko,Rumble,Lucian,Azir,Heimerdinger,Poppy,,,,,,1791,1,4,3,10,23,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16083,538.794,0.220527,544.8241,330.2848,18,0.603,4,0.134,8,43,1.4405,12083,8154,273.1658,0.201657,12410,,,221.0,219.0,2,,,7.4037,3361.0,5035.0,86.0,3485.0,5043.0,95.0,-124.0,-8.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,5130.0,8058.0,137.0,5572.0,8129.0,152.0,-442.0,-71.0,-15.0,0.0,2.0,0.0,0.0,2.0,1.0,7210.0,10745.0,178.0,8326.0,10739.0,200.0,-1116.0,6.0,-22.0,1.0,4.0,0.0,0.0,2.0,1.0,9992.0,14017.0,213.0,10141.0,12597.0,234.0,-149.0,1420.0,-21.0,1.0,9.0,1.0,1.0,2.0,2.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,9,Red,bot,DenVoksne,oe:player:ccfb5c69ebcc2008b1dca4ef5c56142,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,Kalista,Rumble,Lucian,Azir,Heimerdinger,Poppy,,,,,,1791,1,5,4,12,23,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7705,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16404,549.5477,0.224928,487.9062,409.2127,12,0.402,9,0.3015,6,42,1.407,13532,9603,321.7085,0.237493,11510,,,253.0,245.0,8,,,8.4757,3432.0,2917.0,85.0,3524.0,3610.0,77.0,-92.0,-693.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,5794.0,5776.0,143.0,5459.0,6368.0,137.0,335.0,-592.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,8319.0,7932.0,184.0,7157.0,8067.0,182.0,1162.0,-135.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,11326.0,11887.0,228.0,8566.0,9574.0,208.0,2760.0,2313.0,20.0,3.0,9.0,2.0,1.0,1.0,4.0
LOLTMNT02_22425,complete,,LVP SL,2024,Spring,0,2024-01-17 17:04:42,1,14.01,10,Red,sup,Rhuckz,oe:player:7cc60efc7908ef535a0488a811996a4,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,Blitzcrank,Rumble,Lucian,Azir,Heimerdinger,Poppy,,,,,,1791,1,2,2,18,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705,1.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8745,292.9648,0.11991,352.5963,345.1256,48,1.608,13,0.4355,10,116,3.8861,9034,5105,171.0218,0.12625,7400,,,36.0,36.0,0,,,1.206,2527.0,3025.0,18.0,2235.0,2266.0,13.0,292.0,759.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,4063.0,4401.0,26.0,3643.0,3204.0,16.0,420.0,1197.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,5347.0,5742.0,28.0,4691.0,4752.0,20.0,656.0,990.0,8.0,1.0,5.0,1.0,1.0,2.0,2.0,7367.0,8348.0,35.0,5808.0,5887.0,22.0,1559.0,2461.0,13.0,1.0,13.0,1.0,1.0,3.0,4.0
