gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,1,Blue,top,Khan,oe:player:b9972f46c1e52797d66236b118d2970,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Vladimir,Sett,Trundle,Ornn,Taric,Thresh,,,,,,1674,0,2,2,1,7,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12143.0,435.233,0.260932,681.1111,533.3333,14.0,0.5018,1.0,0.0358,5.0,19.0,0.681,9562,5871.0,210.4301,0.215417,9675.0,,,221.0,213.0,8.0,3.0,0.0,7.9211,3297.0,4975.0,90.0,3625.0,5140.0,98.0,-328.0,-165.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4866.0,7544.0,135.0,5709.0,8058.0,151.0,-843.0,-514.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,6328.0,9763.0,166.0,7745.0,10410.0,198.0,-1417.0,-647.0,-32.0,0.0,1.0,0.0,0.0,0.0,1.0,8839.0,12361.0,210.0,9786.0,13333.0,257.0,-947.0,-972.0,-47.0,2.0,1.0,1.0,0.0,2.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,2,Blue,jng,Tian,oe:player:0da0eeb199e8fa3ab773cf84f9de9ab,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Kindred,Sett,Trundle,Ornn,Taric,Thresh,,,,,,1674,0,0,4,2,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2509,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6772.0,242.724,0.145519,689.6416,365.1254,9.0,0.3226,16.0,0.5735,11.0,34.0,1.2186,8006,4315.0,154.6595,0.158329,8000.0,,,148.0,31.0,117.0,96.0,4.0,5.3047,3284.0,3683.0,70.0,3119.0,3514.0,69.0,165.0,169.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4973.0,5489.0,103.0,4846.0,5819.0,102.0,127.0,-330.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,6159.0,6599.0,119.0,6463.0,7880.0,134.0,-304.0,-1281.0,-15.0,0.0,1.0,2.0,0.0,4.0,1.0,7333.0,7928.0,143.0,8259.0,10163.0,161.0,-926.0,-2235.0,-18.0,0.0,1.0,3.0,1.0,5.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,3,Blue,mid,Doinb,oe:player:9b73925063fe3714ebb4e8c10f551c0,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Karma,Sett,Trundle,Ornn,Taric,Thresh,,,,,,1674,0,1,2,5,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13263.0,475.3763,0.284999,420.0,435.8423,13.0,0.4659,3.0,0.1075,3.0,23.0,0.8244,9977,6286.0,225.3047,0.230643,9875.0,,,225.0,209.0,16.0,16.0,0.0,8.0645,3440.0,5075.0,99.0,3571.0,4991.0,102.0,-131.0,84.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.0,7104.0,136.0,6192.0,8159.0,161.0,-670.0,-1055.0,-25.0,1.0,1.0,1.0,1.0,3.0,0.0,7320.0,9620.0,179.0,9457.0,10805.0,214.0,-2137.0,-1185.0,-35.0,1.0,2.0,1.0,2.0,3.0,0.0,9234.0,12632.0,218.0,11492.0,13031.0,256.0,-2258.0,-399.0,-38.0,1.0,4.0,1.0,3.0,4.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,4,Blue,bot,Lwx,oe:player:ce76a8fc639b0cc96da48c76bc0bbeb,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Aphelios,Sett,Trundle,Ornn,Taric,Thresh,,,,,,1674,0,4,3,0,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10189.0,365.1971,0.218944,349.6057,294.2294,12.0,0.4301,10.0,0.3584,5.0,29.0,1.0394,12038,8347.0,299.1756,0.306258,12155.0,,,268.0,244.0,24.0,22.0,0.0,9.6057,3268.0,3127.0,83.0,3429.0,3387.0,97.0,-161.0,-260.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,6046.0,5961.0,134.0,6018.0,5440.0,135.0,28.0,521.0,-1.0,2.0,0.0,0.0,3.0,0.0,1.0,8633.0,7969.0,183.0,7926.0,7688.0,180.0,707.0,281.0,3.0,3.0,0.0,0.0,3.0,1.0,1.0,10753.0,10420.0,248.0,10457.0,11525.0,251.0,296.0,-1105.0,-3.0,3.0,0.0,1.0,3.0,4.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,5,Blue,sup,Crisp,oe:player:6059545b206c4b230b97fd3651b473a,FunPlus Phoenix,oe:team:33d17f3717f58e12a3da80b377221fb,Nautilus,Sett,Trundle,Ornn,Taric,Thresh,,,,,,1674,0,0,3,4,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4170.0,149.4624,0.0896061,375.1971,661.6487,36.0,1.2903,12.0,0.4301,14.0,73.0,2.6165,6126,2435.0,87.276,0.0893536,6000.0,,,37.0,36.0,1.0,1.0,0.0,1.3262,2159.0,2556.0,17.0,2042.0,2633.0,12.0,117.0,-77.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3337.0,3588.0,22.0,3335.0,4162.0,20.0,2.0,-574.0,2.0,0.0,3.0,1.0,0.0,4.0,1.0,4585.0,4919.0,30.0,4551.0,5064.0,29.0,34.0,-145.0,1.0,0.0,3.0,2.0,0.0,5.0,1.0,5563.0,6762.0,36.0,5800.0,6557.0,34.0,-237.0,205.0,2.0,0.0,4.0,2.0,1.0,6.0,2.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,6,Red,top,Canna,oe:player:7577c239c73fa5f3011cd7b5503e75e,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Jayce,Elise,Graves,Varus,Irelia,Wukong,,,,,,1674,1,1,1,5,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14724.0,527.7419,0.280869,425.8423,334.3369,10.0,0.3584,5.0,0.1792,2.0,23.0,0.8244,11771,8080.0,289.6057,0.214192,10575.0,,,280.0,270.0,10.0,9.0,0.0,10.0358,3625.0,5140.0,98.0,3297.0,4975.0,90.0,328.0,165.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5709.0,8058.0,151.0,4866.0,7544.0,135.0,843.0,514.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7745.0,10410.0,198.0,6328.0,9763.0,166.0,1417.0,647.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,9786.0,13333.0,257.0,8839.0,12361.0,210.0,947.0,972.0,47.0,0.0,2.0,1.0,2.0,1.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,7,Red,jng,Cuzz,oe:player:f9fe6d28d5b67bf9ac673b2cc8edf15,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Olaf,Elise,Graves,Varus,Irelia,Wukong,,,,,,1674,1,2,1,8,14,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5018,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5883.0,210.8602,0.112222,1042.8315,847.957,13.0,0.4659,12.0,0.4301,12.0,51.0,1.828,10127,6436.0,230.681,0.170614,8750.0,,,171.0,23.0,148.0,75.0,4.0,6.129,3119.0,3514.0,69.0,3284.0,3683.0,70.0,-165.0,-169.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4846.0,5819.0,102.0,4973.0,5489.0,103.0,-127.0,330.0,-1.0,0.0,4.0,1.0,0.0,1.0,2.0,6463.0,7880.0,134.0,6159.0,6599.0,119.0,304.0,1281.0,15.0,0.0,4.0,1.0,0.0,1.0,2.0,8259.0,10163.0,161.0,7333.0,7928.0,143.0,926.0,2235.0,18.0,1.0,5.0,1.0,0.0,1.0,3.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Elise,Graves,Varus,Irelia,Wukong,,,,,,1674,1,5,2,4,14,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5018,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13983.0,501.1828,0.266734,494.3011,287.9211,14.0,0.5018,12.0,0.4301,6.0,59.0,2.1147,13313,9622.0,344.8746,0.255067,13133.0,,,267.0,239.0,28.0,25.0,0.0,9.5699,3571.0,4991.0,102.0,3440.0,5075.0,99.0,131.0,-84.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6192.0,8159.0,161.0,5522.0,7104.0,136.0,670.0,1055.0,25.0,1.0,3.0,0.0,1.0,1.0,1.0,9457.0,10805.0,214.0,7320.0,9620.0,179.0,2137.0,1185.0,35.0,2.0,3.0,0.0,1.0,2.0,1.0,11492.0,13031.0,256.0,9234.0,12632.0,218.0,2258.0,399.0,38.0,3.0,4.0,1.0,1.0,4.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,9,Red,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Kalista,Elise,Graves,Varus,Irelia,Wukong,,,,,,1674,1,3,2,9,14,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5018,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9704.0,347.8136,0.18511,382.6165,292.9032,24.0,0.8602,7.0,0.2509,6.0,45.0,1.6129,13198,9507.0,340.7527,0.252018,13000.0,,,293.0,261.0,32.0,25.0,4.0,10.5018,3429.0,3387.0,97.0,3268.0,3127.0,83.0,161.0,260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6018.0,5440.0,135.0,6046.0,5961.0,134.0,-28.0,-521.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,7926.0,7688.0,180.0,8633.0,7969.0,183.0,-707.0,-281.0,-3.0,3.0,1.0,1.0,3.0,0.0,0.0,10457.0,11525.0,251.0,10753.0,10420.0,248.0,-296.0,1105.0,3.0,3.0,4.0,1.0,3.0,0.0,1.0
ESPORTSTMNT03/1392104,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1392104?gameHash=c60dc016a6c2540b,MSC,2020,,0,2020-05-28 04:36:28,1,10.1,10,Red,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Gragas,Elise,Graves,Varus,Irelia,Wukong,,,,,,1674,1,3,3,9,14,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5018,0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8129.0,291.362,0.155066,508.6738,317.0251,48.0,1.7204,10.0,0.3584,13.0,75.0,2.6882,7769,4078.0,146.1649,0.108109,6225.0,,,35.0,35.0,0.0,0.0,0.0,1.2545,2042.0,2633.0,12.0,2159.0,2556.0,17.0,-117.0,77.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,3335.0,4162.0,20.0,3337.0,3588.0,22.0,-2.0,574.0,-2.0,0.0,4.0,1.0,0.0,3.0,1.0,4551.0,5064.0,29.0,4585.0,4919.0,30.0,-34.0,145.0,-1.0,0.0,5.0,1.0,0.0,3.0,2.0,5800.0,6557.0,34.0,5563.0,6762.0,36.0,237.0,-205.0,-2.0,1.0,6.0,2.0,0.0,4.0,2.0
