gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,1,Blue,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Urgot,Vi,Ahri,Kalista,Xin Zhao,Wukong,,,,,,2640,0,6,2,3,12,13,,,,,,0.0,,,0.2727,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13294,302.1364,0.146837,1095.0227,,18,0.4091,10,0.2273,10,50,1.1364,15639,9978,226.7727,0.214318,15008,,,227.0,218.0,9,8.0,0.0,5.1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,2,Blue,jng,Inspired,oe:player:a8307167f3a1c933295bb9e3d43700e,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Sejuani,Vi,Ahri,Kalista,Xin Zhao,Wukong,,,,,,2640,0,1,1,10,12,13,,,,,,1.0,,,0.2727,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10662,242.3182,0.117768,1271.0,,18,0.4091,11,0.25,13,69,1.5682,13106,7445,169.2045,0.159911,12414,,,235.0,28.0,207,141.0,22.0,5.3409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,3,Blue,mid,Jensen,oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Taliyah,Vi,Ahri,Kalista,Xin Zhao,Wukong,,,,,,2640,0,0,3,9,12,13,,,,,,0.0,,,0.2727,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26364,599.1818,0.291211,367.2273,,9,0.2045,10,0.2273,7,42,0.9545,17493,11832,268.9091,0.254141,17338,,,426.0,410.0,16,9.0,0.0,9.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,4,Blue,bot,Massu,oe:player:c145139d26813639b8fe6f4d0b28228,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Jinx,Vi,Ahri,Kalista,Xin Zhao,Wukong,,,,,,2640,0,4,1,5,12,13,,,,,,0.0,,,0.2727,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35601,809.1136,0.393236,534.0,,15,0.3409,13,0.2955,4,58,1.3182,18962,13301,302.2955,0.285695,18368,,,440.0,384.0,56,40.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,5,Blue,sup,Busio,oe:player:3e722c8ede909c83af9342c41805a16,FlyQuest,oe:team:2e66da41dc460dd378e3bcc57042d31,Nautilus,Vi,Ahri,Kalista,Xin Zhao,Wukong,,,,,,2640,0,1,6,6,12,13,,,,,,0.0,,,0.2727,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612,104.8182,0.0509481,487.4545,,87,1.9773,15,0.3409,26,152,3.4545,9662,4001,90.9318,0.0859352,9305,,,39.0,39.0,0,0.0,0.0,0.8864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,6,Red,top,Azhi,oe:player:72bd7f020390328891f8595b5a2136f,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Rumble,Lee Sin,Renekton,Varus,Viego,Poppy,,,,,,2640,1,0,3,7,13,12,,,,,,0.0,,,0.2955,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21633,491.6591,0.164879,368.6136,,27,0.6136,4,0.0909,10,61,1.3864,13975,8314,188.9545,0.168326,12449,,,273.0,261.0,12,11.0,0.0,6.2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,7,Red,jng,JunJia,oe:player:a22a6d1fe8786cf83675e2d932fbffe,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Jarvan IV,Lee Sin,Renekton,Varus,Viego,Poppy,,,,,,2640,1,1,3,12,13,12,,,,,,0.0,,,0.2955,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12192,277.0909,0.0929195,1265.1364,,16,0.3636,16,0.3636,16,65,1.4773,14068,8407,191.0682,0.170209,13104,,,250.0,35.0,215,155.0,0.0,5.6818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,8,Red,mid,Maple,oe:player:e3aa452243a476669824e52c1b7fc6b,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Azir,Lee Sin,Renekton,Varus,Viego,Poppy,,,,,,2640,1,2,2,6,13,12,,,,,,0.0,,,0.2955,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32922,748.2273,0.250914,380.7273,,26,0.5909,13,0.2955,10,69,1.5682,18603,12942,294.1364,0.262028,17438,,,466.0,460.0,6,2.0,0.0,10.5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,9,Red,bot,Betty,oe:player:7e754adda86a60e0a39d7204ba60424,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Senna,Lee Sin,Renekton,Varus,Viego,Poppy,,,,,,2640,1,9,0,3,13,12,,,,,,0.0,,,0.2955,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58684,1333.7273,0.447261,307.6364,,74,1.6818,27,0.6136,9,165,3.75,17461,11800,268.1818,0.238906,14364,,,103.0,82.0,21,12.0,9.0,2.3409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11038-11038_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11038,MSI,2024,,0,2024-05-01 08:16:45,1,14.08,10,Red,sup,Woody,oe:player:31b5f1d49f55acb4ee7624813bda6b2,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Tahm Kench,Lee Sin,Renekton,Varus,Viego,Poppy,,,,,,2640,1,1,4,7,13,12,,,,,,0.0,,,0.2955,0.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5777,131.2955,0.0440264,789.5455,,16,0.3636,7,0.1591,1,42,0.9545,13590,7929,180.2045,0.160531,12419,,,247.0,245.0,2,0.0,0.0,5.6136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
