gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,1,Blue,top,Yazuki,oe:player:51328a2a6c14ebd0aae5dc0ca4bc98d,Cloud9 Tempest,oe:team:83c568e535f5a821e452a9a6cf2e267,Renekton,Kayle,Kha'Zix,Kassadin,,,,,,,,2513,0,2,2,5,10,16,0,0,0,0,0,0.0,0.0,0.0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17745,423.6769,0.273598,664.5842,0.0,15,0.3581,0,0.0,0,0,0.0,13246,8167,194.994,0.249273,9305,,,317.0,287,30,21,9,7.5686,2809,4463,75,2658,4367,64,151,96,11,0,0,0,0,0,0,4895,7512,128,4035,6469,99,860,1043,29,0,1,0,0,0,1,7482,11207,184,5922,8840,126,1560,2367,58,1,4,0,1,1,2,8865.0,13039.0,221.0,8300.0,11362.0,150.0,565.0,1677.0,71.0,1.0,5.0,1.0,2.0,7.0,2.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,2,Blue,jng,Kez,oe:player:0b67490a351b7df0e20733078787d89,Cloud9 Tempest,oe:team:83c568e535f5a821e452a9a6cf2e267,Olaf,Kayle,Kha'Zix,Kassadin,,,,,,,,2513,0,5,3,1,10,16,1,0,0,0,1,0.0,1.0,0.0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9238,220.5651,0.142434,571.731,0.0,21,0.5014,8,0.191,8,0,0.0,11281,6202,148.078,0.189299,8875,,,139.0,39,100,93,7,3.3187,2443,3237,39,2401,3535,46,42,-298,-7,0,1,0,0,0,0,3680,5423,65,3923,6033,73,-243,-610,-8,0,1,0,0,0,0,5826,7012,73,5226,7568,94,600,-556,-21,3,1,0,0,1,1,7644.0,9011.0,87.0,7411.0,10017.0,110.0,233.0,-1006.0,-23.0,5.0,1.0,1.0,1.0,6.0,1.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,3,Blue,mid,Bischu,oe:player:c541ae4fcc65c55338f2e22b3997de6,Cloud9 Tempest,oe:team:83c568e535f5a821e452a9a6cf2e267,Gragas,Kayle,Kha'Zix,Kassadin,,,,,,,,2513,0,1,5,6,10,16,0,0,0,0,0,0.0,0.0,0.0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17560,419.2598,0.270745,357.2304,0.0,18,0.4298,3,0.0716,1,0,0.0,11866,6787,162.0454,0.207154,10320,,,262.0,223,39,34,5,6.2555,2440,3885,51,2625,3913,65,-185,-28,-14,0,0,0,0,0,0,4411,6694,102,4287,6615,116,124,79,-14,1,0,0,0,0,0,6108,8958,130,6212,8829,152,-104,129,-22,1,3,2,1,1,1,7600.0,11074.0,164.0,9692.0,11589.0,184.0,-2092.0,-515.0,-20.0,1.0,5.0,4.0,6.0,3.0,2.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,4,Blue,bot,Altec,oe:player:4046e5819c6e57ec8fa00b56834d8aa,Cloud9 Tempest,oe:team:83c568e535f5a821e452a9a6cf2e267,Caitlyn,Kayle,Kha'Zix,Kassadin,,,,,,,,2513,0,1,4,6,10,16,0,0,0,0,1,0.0,1.0,0.0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,12578,300.3104,0.193931,322.0374,0.0,8,0.191,8,0.191,1,0,0.0,12927,7848,187.3776,0.239537,9470,,,290.0,272,18,17,1,6.924,2838,2546,72,2340,2625,49,498,-79,23,0,1,0,0,0,0,4743,4312,125,3863,4181,91,880,131,34,0,1,0,0,0,0,7377,7373,171,5486,6159,130,1891,1214,41,1,4,0,0,1,1,8796.0,9366.0,200.0,8039.0,9418.0,172.0,757.0,-52.0,28.0,1.0,5.0,2.0,0.0,8.0,1.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,5,Blue,sup,Gleeb,oe:player:55f34f04d081791209353b573e85f84,Cloud9 Tempest,oe:team:83c568e535f5a821e452a9a6cf2e267,Annie,Kayle,Kha'Zix,Kassadin,,,,,,,,2513,0,1,2,7,10,16,0,0,0,0,1,1.0,0.0,0.0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7737,184.7274,0.119291,201.9658,0.0,53,1.2654,7,0.1671,5,0,0.0,8838,3759,89.7493,0.114737,6500,,,9.0,9,0,0,0,0.2149,2026,2399,0,1689,1973,0,337,426,0,1,0,0,0,0,1,3013,4106,1,2643,3468,1,370,638,0,1,0,0,0,0,1,4735,6133,4,3751,5093,2,984,1040,2,1,4,0,0,1,2,5761.0,7022.0,5.0,5517.0,7383.0,5.0,244.0,-361.0,0.0,1.0,6.0,1.0,0.0,7.0,3.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,6,Red,top,Jezie,oe:player:a04cd6ab81c8aab5a611ed8542931a4,Dadslammers,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,Shen,Ziggs,Thresh,Elise,,,,,,,,2513,1,3,3,13,16,10,0,0,0,0,0,0.0,0.0,0.0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12176,290.7123,0.205776,576.9359,0.0,11,0.2626,2,0.0478,1,0,0.0,15379,10300,245.9212,0.223185,12650,,,278.0,268,10,9,1,6.6375,2658,4367,64,2809,4463,75,-151,-96,-11,0,0,0,0,0,0,4035,6469,99,4895,7512,128,-860,-1043,-29,0,0,1,0,1,0,5922,8840,126,7482,11207,184,-1560,-2367,-58,1,1,2,1,4,0,8300.0,11362.0,150.0,8865.0,13039.0,221.0,-565.0,-1677.0,-71.0,2.0,7.0,2.0,1.0,5.0,1.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,7,Red,jng,Nk Inc,oe:player:af90ee8b2a5913366ba00f6ae19cb9e,Dadslammers,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,Vi,Ziggs,Thresh,Elise,,,,,,,,2513,1,1,1,13,16,10,0,0,0,0,0,0.0,0.0,0.0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7810,186.4704,0.13199,582.6184,0.0,20,0.4775,3,0.0716,2,0,0.0,12678,7599,181.4326,0.16466,8795,,,163.0,81,82,71,11,3.8918,2401,3535,46,2443,3237,39,-42,298,7,0,0,0,0,1,0,3923,6033,73,3680,5423,65,243,610,8,0,0,0,0,1,0,5226,7568,94,5826,7012,73,-600,556,21,0,1,1,3,1,0,7411.0,10017.0,110.0,7644.0,9011.0,87.0,-233.0,1006.0,23.0,1.0,6.0,1.0,5.0,1.0,1.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,8,Red,mid,Goldenglue,oe:player:88b2fc44169f986bdffd0ffdb0b534a,Dadslammers,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,Akali,Ziggs,Thresh,Elise,,,,,,,,2513,1,9,2,6,16,10,3,0,0,0,0,0.0,0.0,0.0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19311,461.0665,0.326359,523.1198,0.0,20,0.4775,3,0.0716,0,0,0.0,16750,11671,278.655,0.252891,9895,,,292.0,261,31,20,11,6.9717,2625,3913,65,2440,3885,51,185,28,14,0,0,0,0,0,0,4287,6615,116,4411,6694,102,-124,-79,14,0,0,0,1,0,0,6212,8829,152,6108,8958,130,104,-129,22,1,1,1,1,3,2,9692.0,11589.0,184.0,7600.0,11074.0,164.0,2092.0,515.0,20.0,6.0,3.0,2.0,1.0,5.0,4.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,9,Red,bot,Mabrey,oe:player:f3b06de41d67cad14c2fa83a4eb79c1,Dadslammers,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,Sivir,Ziggs,Thresh,Elise,,,,,,,,2513,1,3,1,12,16,10,0,0,0,0,0,0.0,0.0,0.0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15100,360.5253,0.255193,310.8874,0.0,5,0.1194,2,0.0478,0,0,0.0,16435,11356,271.1341,0.246066,11480,,,338.0,309,29,28,1,8.07,2340,2625,49,2838,2546,72,-498,79,-23,0,0,0,0,1,0,3863,4181,91,4743,4312,125,-880,-131,-34,0,0,0,0,1,0,5486,6159,130,7377,7373,171,-1891,-1214,-41,0,1,1,1,4,0,8039.0,9418.0,172.0,8796.0,9366.0,200.0,-757.0,52.0,-28.0,0.0,8.0,1.0,1.0,5.0,2.0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,10,Red,sup,Nisker,oe:player:b93c778b97358ddfbcd8ab16928733b,Dadslammers,oe:team:43ad0e3e1fc0eefeb2ceb9f4f58adf8,Leona,Ziggs,Thresh,Elise,,,,,,,,2513,1,0,3,13,16,10,0,0,0,0,0,0.0,0.0,1.0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4774,113.9833,0.0806814,366.5181,0.0,56,1.337,6,0.1433,4,0,0.0,10303,5224,124.7274,0.113199,9060,,,10.0,10,0,0,0,0.2388,1689,1973,0,2026,2399,0,-337,-426,0,0,0,1,1,0,0,2643,3468,1,3013,4106,1,-370,-638,0,0,0,1,1,0,0,3751,5093,2,4735,6133,4,-984,-1040,-2,0,1,2,1,4,0,5517.0,7383.0,5.0,5761.0,7022.0,5.0,-244.0,361.0,0.0,0.0,7.0,3.0,1.0,6.0,1.0
