gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,1,Blue,top,Rohammers,oe:player:8cb287c5610fa2be96511c090bb8985,Team Frostbite,oe:team:d846b19a0131d2b0c3e931f2d4e9f14,Malphite,Nidalee,Ryze,Lulu,,,,,,,,1815,0,2,4,3,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8771.0,289.9504,0.138163,673.7851,0.0,11.0,0.3636,2.0,0.0661,3.0,0.0,0.0,9136.0,5178.0,171.1736,0.183487,8325.0,,,163.0,154.0,9.0,9.0,0.0,5.3884,2850.0,3364.0,50.0,2526.0,3319.0,32.0,324.0,45.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4008.0,4449.0,68.0,4211.0,5367.0,60.0,-203.0,-918.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,5876.0,7347.0,103.0,5892.0,7583.0,92.0,-16.0,-236.0,11.0,1.0,2.0,1.0,0.0,3.0,1.0,7558.0,9661.0,143.0,8025.0,11353.0,130.0,-467.0,-1692.0,13.0,1.0,2.0,1.0,0.0,7.0,1.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,2,Blue,jng,Zary,oe:player:60e1ec7fbf74abfbefa19137ba86940,Team Frostbite,oe:team:d846b19a0131d2b0c3e931f2d4e9f14,Kindred,Nidalee,Ryze,Lulu,,,,,,,,1815,0,1,5,6,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11675.0,385.9504,0.183908,645.9504,0.0,10.0,0.3306,11.0,0.3636,2.0,0.0,0.0,8846.0,4888.0,161.5868,0.173211,8225.0,,,111.0,50.0,61.0,53.0,8.0,3.6694,2597.0,2533.0,33.0,3685.0,3988.0,48.0,-1088.0,-1455.0,-15.0,0.0,0.0,0.0,1.0,0.0,0.0,4097.0,4397.0,59.0,5541.0,6544.0,71.0,-1444.0,-2147.0,-12.0,0.0,0.0,1.0,1.0,1.0,0.0,5927.0,7540.0,83.0,7212.0,8780.0,93.0,-1285.0,-1240.0,-10.0,0.0,4.0,1.0,1.0,2.0,1.0,7387.0,8875.0,102.0,9189.0,12070.0,113.0,-1802.0,-3195.0,-11.0,0.0,6.0,2.0,1.0,6.0,1.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,3,Blue,mid,Wolfe,oe:player:0b68ac457a26959211f0f624459a328,Team Frostbite,oe:team:d846b19a0131d2b0c3e931f2d4e9f14,Xerath,Nidalee,Ryze,Lulu,,,,,,,,1815,0,6,7,2,11,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3636,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,21655.0,715.8678,0.341115,595.5372,0.0,13.0,0.4298,6.0,0.1983,5.0,0.0,0.0,11908.0,7950.0,262.8099,0.281712,10725.0,,,214.0,211.0,3.0,3.0,0.0,7.0744,3197.0,4368.0,75.0,3587.0,4716.0,78.0,-390.0,-348.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,4932.0,6217.0,112.0,6036.0,7194.0,132.0,-1104.0,-977.0,-20.0,0.0,0.0,2.0,2.0,2.0,0.0,7689.0,8194.0,148.0,7901.0,9147.0,169.0,-212.0,-953.0,-21.0,3.0,2.0,3.0,3.0,2.0,2.0,9956.0,10045.0,183.0,11331.0,12626.0,220.0,-1375.0,-2581.0,-37.0,5.0,2.0,4.0,7.0,2.0,3.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,4,Blue,bot,Cody Sun,oe:player:9a877004ae6373d34cd9ba93decbbd9,Team Frostbite,oe:team:d846b19a0131d2b0c3e931f2d4e9f14,Corki,Nidalee,Ryze,Lulu,,,,,,,,1815,0,2,3,6,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,15631.0,516.7273,0.246223,605.7851,0.0,18.0,0.595,2.0,0.0661,5.0,0.0,0.0,11081.0,7123.0,235.4711,0.252408,10975.0,,,236.0,227.0,9.0,9.0,0.0,7.8017,3012.0,2720.0,67.0,3459.0,4143.0,90.0,-447.0,-1423.0,-23.0,0.0,0.0,1.0,0.0,1.0,0.0,5059.0,5174.0,113.0,6272.0,6706.0,140.0,-1213.0,-1532.0,-27.0,0.0,0.0,1.0,2.0,2.0,0.0,7641.0,7987.0,165.0,8787.0,9317.0,195.0,-1146.0,-1330.0,-30.0,2.0,2.0,2.0,3.0,2.0,0.0,9129.0,9827.0,193.0,10762.0,12057.0,235.0,-1633.0,-2230.0,-42.0,2.0,3.0,3.0,3.0,5.0,0.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,5,Blue,sup,Hakuho,oe:player:cbfc4c587ee049e419eefd386c1acd3,Team Frostbite,oe:team:d846b19a0131d2b0c3e931f2d4e9f14,Braum,Nidalee,Ryze,Lulu,,,,,,,,1815,0,0,3,9,11,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5751.0,190.1157,0.0905912,556.9587,0.0,25.0,0.8264,9.0,0.2975,6.0,0.0,0.0,7039.0,3081.0,101.8512,0.109181,5600.0,,,27.0,27.0,0.0,0.0,0.0,0.8926,2055.0,2131.0,10.0,1867.0,1659.0,2.0,188.0,472.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3136.0,3195.0,15.0,3257.0,2907.0,4.0,-121.0,288.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,4475.0,4912.0,19.0,4755.0,3686.0,8.0,-280.0,1226.0,11.0,0.0,5.0,0.0,0.0,6.0,2.0,5795.0,5905.0,25.0,6329.0,5692.0,10.0,-534.0,213.0,15.0,0.0,7.0,1.0,0.0,10.0,3.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,6,Red,top,dshao,oe:player:68cc2f153c9e91dcf24c6a18d1120c5,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Shen,Gangplank,Trundle,Dr. Mundo,,,,,,,,1815,1,1,1,17,22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7273,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9849.0,325.5868,0.129676,668.595,0.0,13.0,0.4298,0.0,0.0,1.0,0.0,0.0,10907.0,6949.0,229.719,0.164653,10175.0,,,137.0,134.0,3.0,3.0,0.0,4.5289,2526.0,3319.0,32.0,2850.0,3364.0,50.0,-324.0,-45.0,-18.0,0.0,1.0,0.0,0.0,0.0,0.0,4211.0,5367.0,60.0,4008.0,4449.0,68.0,203.0,918.0,-8.0,0.0,3.0,0.0,0.0,0.0,1.0,5892.0,7583.0,92.0,5876.0,7347.0,103.0,16.0,236.0,-11.0,0.0,3.0,1.0,1.0,2.0,1.0,8025.0,11353.0,130.0,7558.0,9661.0,143.0,467.0,1692.0,-13.0,0.0,7.0,1.0,1.0,2.0,1.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,7,Red,jng,Dardoch,oe:player:a2de87eae98d0ab3b85567026561a51,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Rek'Sai,Gangplank,Trundle,Dr. Mundo,,,,,,,,1815,1,3,2,11,22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7273,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12859.0,425.0909,0.169307,921.2893,0.0,17.0,0.562,7.0,0.2314,5.0,0.0,0.0,12214.0,8256.0,272.9256,0.195621,11050.0,,,137.0,28.0,109.0,73.0,36.0,4.5289,3685.0,3988.0,48.0,2597.0,2533.0,33.0,1088.0,1455.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5541.0,6544.0,71.0,4097.0,4397.0,59.0,1444.0,2147.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,7212.0,8780.0,93.0,5927.0,7540.0,83.0,1285.0,1240.0,10.0,1.0,2.0,1.0,0.0,4.0,1.0,9189.0,12070.0,113.0,7387.0,8875.0,102.0,1802.0,3195.0,11.0,1.0,6.0,1.0,0.0,6.0,2.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,8,Red,mid,Youngbin,oe:player:8a6953558cbfd7c9a52c518fa3e9022,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Viktor,Gangplank,Trundle,Dr. Mundo,,,,,,,,1815,1,13,3,6,22,11,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7273,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,22977.0,759.5702,0.302524,520.8595,0.0,17.0,0.562,3.0,0.0992,3.0,0.0,0.0,15663.0,11705.0,386.9421,0.277342,14975.0,,,250.0,221.0,29.0,20.0,9.0,8.2645,3587.0,4716.0,78.0,3197.0,4368.0,75.0,390.0,348.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6036.0,7194.0,132.0,4932.0,6217.0,112.0,1104.0,977.0,20.0,2.0,2.0,0.0,0.0,0.0,2.0,7901.0,9147.0,169.0,7689.0,8194.0,148.0,212.0,953.0,21.0,3.0,2.0,2.0,3.0,2.0,3.0,11331.0,12626.0,220.0,9956.0,10045.0,183.0,1375.0,2581.0,37.0,7.0,2.0,3.0,5.0,2.0,4.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,9,Red,bot,fabbbyyy,oe:player:67a78ddef9beb8b6316dfb488a42521,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Miss Fortune,Gangplank,Trundle,Dr. Mundo,,,,,,,,1815,1,5,1,12,22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7273,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,23802.0,786.843,0.313386,422.4132,0.0,16.0,0.5289,6.0,0.1983,1.0,0.0,0.0,14563.0,10605.0,350.5785,0.251278,14275.0,,,274.0,265.0,9.0,7.0,2.0,9.0579,3459.0,4143.0,90.0,3012.0,2720.0,67.0,447.0,1423.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,6272.0,6706.0,140.0,5059.0,5174.0,113.0,1213.0,1532.0,27.0,2.0,2.0,0.0,0.0,0.0,1.0,8787.0,9317.0,195.0,7641.0,7987.0,165.0,1146.0,1330.0,30.0,3.0,2.0,0.0,2.0,2.0,2.0,10762.0,12057.0,235.0,9129.0,9827.0,193.0,1633.0,2230.0,42.0,3.0,5.0,0.0,2.0,3.0,3.0
FRA1TMNT1/850223,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/850223?gameHash=982396a8de092a95,NA CS,2016,Spring,0,2016-01-14 01:50:33,1,5.24,10,Red,sup,Matt Elento,oe:player:d405d30cc615b2947aa5af369ad9fba,Team Liquid Academy,oe:team:3406c21f701022dbe9d9bf397b41465,Morgana,Gangplank,Trundle,Dr. Mundo,,,,,,,,1815,1,0,4,16,22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7273,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6464.0,213.686,0.0851075,445.5868,0.0,35.0,1.157,12.0,0.3967,8.0,0.0,0.0,8647.0,4689.0,155.0083,0.111105,8100.0,,,12.0,12.0,0.0,0.0,0.0,0.3967,1867.0,1659.0,2.0,2055.0,2131.0,10.0,-188.0,-472.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,3257.0,2907.0,4.0,3136.0,3195.0,15.0,121.0,-288.0,-11.0,0.0,4.0,0.0,0.0,0.0,0.0,4755.0,3686.0,8.0,4475.0,4912.0,19.0,280.0,-1226.0,-11.0,0.0,6.0,2.0,0.0,5.0,0.0,6329.0,5692.0,10.0,5795.0,5905.0,25.0,534.0,-213.0,-15.0,0.0,10.0,3.0,0.0,7.0,1.0
