gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,1,Blue,top,BalIs,oe:player:3136a9f696493782b8b07c895377f81,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Renekton,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,4,0,7,17,9,1,0,0,0,0,0.0,0.0,0.0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15825,333.3919,0.162294,784.2978,0.0,9,0.1896,6,0.1264,1,0,0.0,18403,12688,267.3034,0.209605,12585,,,361.0,320,41,26,15,7.6053,2773,3332,63,2467,2961,46,306,371,17,0,0,0,0,0,0,4699,6198,121,4048,5681,98,651,517,23,0,0,0,0,0,0,6953,9164,172,5898,8020,126,1055,1144,46,1,0,0,1,2,1,9583.0,12352.0,234.0,7708.0,11258.0,186.0,1875.0,1094.0,48.0,3.0,0.0,0.0,1.0,2.0,1.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,2,Blue,jng,Meteos,oe:player:b728b4a88e70fe2d0f10aae80e56ee1,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Vi,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,4,2,11,17,9,1,0,0,0,0,0.0,0.0,0.0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11058,232.9635,0.113406,511.8329,0.0,10,0.2107,10,0.2107,0,0,0.0,16752,11037,232.5211,0.18233,11405,,,173.0,60,113,88,25,3.6447,2464,2993,35,2250,2518,31,214,475,4,0,0,0,0,0,0,4009,5200,57,3539,4922,51,470,278,6,0,2,1,0,3,1,5488,7318,72,5009,6537,72,479,781,0,0,3,2,0,4,1,7127.0,9587.0,91.0,6203.0,8602.0,85.0,924.0,985.0,6.0,0.0,5.0,2.0,0.0,4.0,2.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,3,Blue,mid,Hai,oe:player:486a694eed702562985d71457d55481,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Teemo,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,3,3,10,17,9,1,0,0,0,0,0.0,0.0,0.0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,38544,812.0225,0.395291,407.6966,0.0,120,2.5281,2,0.0421,1,0,0.0,18372,12657,266.6503,0.209093,12445,,,326.0,313,13,8,5,6.868,2727,3766,55,2748,4502,63,-21,-736,-8,0,0,0,0,0,0,4763,6246,96,4926,7387,116,-163,-1141,-20,1,0,1,1,3,0,6282,8387,127,7260,10204,165,-978,-1817,-38,1,1,3,3,4,1,7737.0,10427.0,156.0,9060.0,12974.0,229.0,-1323.0,-2547.0,-73.0,1.0,2.0,3.0,3.0,4.0,1.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,4,Blue,bot,Sneaky,oe:player:267b730dd2e2dcb97182a2795935491,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Caitlyn,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,6,2,9,17,9,1,1,0,0,0,0.0,0.0,0.0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27327,575.7093,0.280254,350.4143,0.0,8,0.1685,2,0.0421,0,0,0.0,21601,15886,334.677,0.262436,12665,,,447.0,420,27,12,15,9.4171,3270,3060,85,3128,3426,80,142,-366,5,0,0,0,0,0,0,5221,4931,127,5231,5584,115,-10,-653,12,1,1,1,2,2,1,7558,7519,175,7624,8564,171,-66,-1045,4,2,2,1,3,2,1,9767.0,10217.0,241.0,9266.0,11403.0,221.0,501.0,-1186.0,20.0,2.0,4.0,1.0,3.0,2.0,1.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,5,Blue,sup,LemonNation,oe:player:0108d7db35e786901358382563a9e47,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Thresh,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,0,2,17,17,9,0,0,0,0,0,0.0,0.0,1.0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4754,100.1545,0.048755,268.5253,0.0,40,0.8427,13,0.2739,2,0,0.0,13980,8265,174.1222,0.136536,8960,,,22.0,21,1,0,1,0.4635,2033,2483,4,1761,1944,1,272,539,3,0,0,0,0,0,0,3420,3697,6,2769,3568,2,651,129,4,0,2,1,1,1,0,4882,5092,10,4304,5847,10,578,-755,0,0,4,2,1,4,0,6197.0,6491.0,13.0,5028.0,6213.0,11.0,1169.0,278.0,2.0,0.0,6.0,2.0,1.0,4.0,1.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,6,Red,top,Dyrus,oe:player:b2519d0e84a4cbe1ddb3d71bc6d96ea,TSM,oe:team:a22510a4756fa424cb0771b13261139,Nasus,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,1,5,3,9,17,0,0,0,0,0,0.0,0.0,0.0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,10361,218.2795,0.138387,955.0702,0.0,18,0.3792,1,0.0211,0,0,0.0,13119,7404,155.9831,0.198648,8615,,,290.0,280,10,6,4,6.1096,2467,2961,46,2773,3332,63,-306,-371,-17,0,0,0,0,0,0,4048,5681,98,4699,6198,121,-651,-517,-23,0,0,0,0,0,0,5898,8020,126,6953,9164,172,-1055,-1144,-46,1,2,1,1,0,0,7708.0,11258.0,186.0,9583.0,12352.0,234.0,-1875.0,-1094.0,-48.0,1.0,2.0,1.0,3.0,0.0,0.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,7,Red,jng,TheOddOne,oe:player:a44cee5b114d4250c5b5613d0da66e1,TSM,oe:team:a22510a4756fa424cb0771b13261139,Nunu & Willump,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,0,4,5,9,17,0,0,0,0,1,0.0,1.0,0.0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5931,124.9508,0.0792173,611.3553,0.0,46,0.9691,14,0.2949,7,0,0.0,10451,4736,99.7753,0.127064,7685,,,135.0,61,74,68,6,2.8441,2250,2518,31,2464,2993,35,-214,-475,-4,0,0,0,0,0,0,3539,4922,51,4009,5200,57,-470,-278,-6,0,3,1,0,2,1,5009,6537,72,5488,7318,72,-479,-781,0,0,4,1,0,3,2,6203.0,8602.0,85.0,7127.0,9587.0,91.0,-924.0,-985.0,-6.0,0.0,4.0,2.0,0.0,5.0,2.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,8,Red,mid,Bjergsen,oe:player:63ba5c5e5bb73ace706183b5e05a27e,TSM,oe:team:a22510a4756fa424cb0771b13261139,Gragas,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,4,3,4,9,17,0,0,0,0,1,0.0,1.0,0.0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,32732,689.5787,0.437184,416.6713,0.0,9,0.1896,2,0.0421,0,0,0.0,17027,11312,238.3146,0.303501,12765,,,440.0,404,36,36,0,9.2697,2748,4502,63,2727,3766,55,21,736,8,0,0,0,0,0,0,4926,7387,116,4763,6246,96,163,1141,20,1,3,0,1,0,1,7260,10204,165,6282,8387,127,978,1817,38,3,4,1,1,1,3,9060.0,12974.0,229.0,7737.0,10427.0,156.0,1323.0,2547.0,73.0,3.0,4.0,1.0,1.0,2.0,3.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,9,Red,bot,WildTurtle,oe:player:91a74fa03f163055a19da5b16363fc8,TSM,oe:team:a22510a4756fa424cb0771b13261139,Lucian,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,3,2,3,9,17,1,0,0,0,1,1.0,0.0,0.0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18923,398.6587,0.252745,533.4059,0.0,3,0.0632,10,0.2107,0,0,0.0,16244,10529,221.8188,0.282493,10348,,,401.0,354,47,40,7,8.448,3128,3426,80,3270,3060,85,-142,366,-5,0,0,0,0,0,0,5231,5584,115,5221,4931,127,10,653,-12,2,2,1,1,1,1,7624,8564,171,7558,7519,175,66,1045,-4,3,2,1,2,2,1,9266.0,11403.0,221.0,9767.0,10217.0,241.0,-501.0,1186.0,-20.0,3.0,2.0,1.0,2.0,4.0,1.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,10,Red,sup,Xpecial,oe:player:de502f5aaf4b17f9e8a0f4899d596b4,TSM,oe:team:a22510a4756fa424cb0771b13261139,Annie,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,1,3,5,9,17,0,0,0,0,0,0.0,0.0,0.0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6923,145.8497,0.0924669,303.6025,0.0,43,0.9059,6,0.1264,2,0,0.0,9006,3291,69.3329,0.0882939,8260,,,23.0,21,2,2,0,0.4846,1761,1944,1,2033,2483,4,-272,-539,-3,0,0,0,0,0,0,2769,3568,2,3420,3697,6,-651,-129,-4,1,1,0,0,2,1,4304,5847,10,4882,5092,10,-578,755,0,1,4,0,0,4,2,5028.0,6213.0,11.0,6197.0,6491.0,13.0,-1169.0,-278.0,-2.0,1.0,4.0,1.0,0.0,6.0,2.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,100,Blue,team,,,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,,Dr. Mundo,Shyvana,Olaf,,,,,,,,2848,1,17,9,54,17,9,4,1,0,0,0,,,,0.3581,0.5478,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,1.0,3.0,0.0,1.0,11.0,4.0,1.0,1.0,,,5,0,97508,2054.2416,,2322.7669,0.0,187,3.9396,33,0.6952,4,0,0.0,89108,60532,1275.2528,,58060,0.196476,3.05,,1134,195,134,61,27.9986,13267,15634,242,12354,15351,221,913,283,21,0,0,0,0,0,0,22112,26272,407,20513,27142,382,1599,-870,25,2,5,4,4,9,2,31163,37480,556,30095,39172,544,1068,-1692,12,4,10,8,8,16,4,40411.0,49074.0,735.0,37265.0,50450.0,732.0,3146.0,-1376.0,3.0,6.0,17.0,8.0,8.0,16.0,6.0
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,200,Red,team,,,TSM,oe:team:a22510a4756fa424cb0771b13261139,,Kassadin,Kha'Zix,Elise,,,,,,,,2848,0,9,17,20,9,17,1,0,0,0,1,,,,0.1896,0.5478,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,3.0,0.0,4.0,11.0,0.0,0.0,,,0,5,74870,1577.3174,,2820.1053,0.0,119,2.507,33,0.6952,9,0,0.0,65847,37271,785.2037,,47673,-0.196476,-3.05,,1120,169,152,17,27.1559,12354,15351,221,13267,15634,242,-913,-283,-21,0,0,0,0,0,0,20513,27142,382,22112,26272,407,-1599,870,-25,4,9,2,2,5,4,30095,39172,544,31163,37480,556,-1068,1692,-12,8,16,4,4,10,8,37265.0,50450.0,732.0,40411.0,49074.0,735.0,-3146.0,1376.0,-3.0,8.0,16.0,6.0,6.0,17.0,8.0
