gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,1,Blue,top,Hauntzer,oe:player:20aba59cf47a04a6cf10436ce1946ac,TSM,oe:team:a22510a4756fa424cb0771b13261139,Dr. Mundo,Fiora,Olaf,Gangplank,,,,,,,,2659,0,3,4,5,13,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2933,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,28694.0,647.4765,0.274744,1006.2129,0.0,25.0,0.5641,7.0,0.158,3.0,0.0,0.0,14779.0,9099.0,205.3178,0.18641,14325.0,,,298.0,281.0,17.0,16.0,1.0,6.7243,2735.0,3074.0,49.0,3140.0,3345.0,56.0,-405.0,-271.0,-7.0,0.0,0.0,1.0,0.0,2.0,0.0,4407.0,5761.0,86.0,4955.0,5805.0,98.0,-548.0,-44.0,-12.0,0.0,2.0,1.0,0.0,2.0,1.0,6484.0,8724.0,141.0,7217.0,9189.0,161.0,-733.0,-465.0,-20.0,0.0,2.0,1.0,0.0,2.0,1.0,8952.0,12164.0,205.0,9548.0,12860.0,217.0,-596.0,-696.0,-12.0,1.0,2.0,1.0,0.0,4.0,2.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,2,Blue,jng,Svenskeren,oe:player:c271341160441d375411fef9bf2f9ef,TSM,oe:team:a22510a4756fa424cb0771b13261139,Elise,Fiora,Olaf,Gangplank,,,,,,,,2659,0,3,7,8,13,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19668.0,443.8059,0.18832,668.6875,0.0,48.0,1.0831,27.0,0.6093,5.0,0.0,0.0,14422.0,8742.0,197.2621,0.179096,13650.0,,,172.0,76.0,96.0,78.0,18.0,3.8812,3095.0,3244.0,35.0,2971.0,3336.0,37.0,124.0,-92.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5025.0,5328.0,55.0,5036.0,5966.0,62.0,-11.0,-638.0,-7.0,2.0,2.0,2.0,1.0,2.0,0.0,6603.0,7676.0,74.0,6600.0,7584.0,86.0,3.0,92.0,-12.0,2.0,3.0,2.0,1.0,2.0,0.0,8429.0,10289.0,94.0,8649.0,10299.0,95.0,-220.0,-10.0,-1.0,3.0,3.0,3.0,2.0,4.0,0.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,3,Blue,mid,Bjergsen,oe:player:63ba5c5e5bb73ace706183b5e05a27e,TSM,oe:team:a22510a4756fa424cb0771b13261139,Twisted Fate,Fiora,Olaf,Gangplank,,,,,,,,2659,0,1,3,9,13,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26579.0,599.7518,0.254493,466.5288,0.0,19.0,0.4287,6.0,0.1354,3.0,0.0,0.0,18149.0,12469.0,281.3614,0.255447,17725.0,,,375.0,339.0,36.0,33.0,3.0,8.4618,4212.0,4543.0,92.0,3658.0,4607.0,87.0,554.0,-64.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6671.0,7283.0,144.0,5903.0,7295.0,136.0,768.0,-12.0,8.0,1.0,3.0,0.0,2.0,0.0,1.0,8901.0,9555.0,198.0,7726.0,9899.0,182.0,1175.0,-344.0,16.0,1.0,3.0,0.0,2.0,0.0,2.0,10961.0,11890.0,244.0,10319.0,13538.0,233.0,642.0,-1648.0,11.0,1.0,4.0,1.0,2.0,1.0,2.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,4,Blue,bot,Doublelift,oe:player:f25df399390d86b9a1e83216dae597b,TSM,oe:team:a22510a4756fa424cb0771b13261139,Tristana,Fiora,Olaf,Gangplank,,,,,,,,2659,0,6,4,3,13,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,25815.0,582.5122,0.247178,472.6439,0.0,23.0,0.519,22.0,0.4964,4.0,0.0,0.0,18843.0,13163.0,297.0214,0.269664,17300.0,,,429.0,393.0,36.0,28.0,8.0,9.6803,3255.0,2846.0,72.0,3638.0,3604.0,73.0,-383.0,-758.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,5361.0,5436.0,123.0,5483.0,5417.0,112.0,-122.0,19.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,7772.0,8779.0,176.0,7537.0,7272.0,167.0,235.0,1507.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,9413.0,10700.0,218.0,10373.0,10697.0,224.0,-960.0,3.0,-6.0,2.0,2.0,2.0,2.0,3.0,1.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,5,Blue,sup,YellOwStaR,oe:player:5ebcf3b41dc66e5839da4c5f58bd907,TSM,oe:team:a22510a4756fa424cb0771b13261139,Alistar,Fiora,Olaf,Gangplank,,,,,,,,2659,0,0,4,9,13,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2933,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3683.0,83.1064,0.0352646,657.9015,0.0,52.0,1.1734,11.0,0.2482,9.0,0.0,0.0,11019.0,5339.0,120.4739,0.109383,9975.0,,,65.0,64.0,1.0,1.0,0.0,1.4667,2268.0,2009.0,10.0,1944.0,1505.0,1.0,324.0,504.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3349.0,3545.0,14.0,3222.0,3379.0,1.0,127.0,166.0,13.0,0.0,3.0,0.0,0.0,3.0,1.0,4585.0,4466.0,21.0,4498.0,5336.0,4.0,87.0,-870.0,17.0,0.0,3.0,0.0,0.0,3.0,1.0,5808.0,5916.0,33.0,6401.0,8119.0,7.0,-593.0,-2203.0,26.0,0.0,4.0,0.0,1.0,5.0,2.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,6,Red,top,Darshan,oe:player:5e79b66b78498aa1aec126b0b4ca1a1,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Jax,Tahm Kench,Ryze,Corki,,,,,,,,2659,1,3,3,12,22,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4964,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,28926.0,652.7115,0.264287,928.8153,0.0,21.0,0.4739,11.0,0.2482,3.0,0.0,0.0,19772.0,14092.0,317.9842,0.233945,17775.0,,,421.0,386.0,35.0,17.0,18.0,9.4998,3140.0,3345.0,56.0,2735.0,3074.0,49.0,405.0,271.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,4955.0,5805.0,98.0,4407.0,5761.0,86.0,548.0,44.0,12.0,0.0,2.0,1.0,0.0,2.0,1.0,7217.0,9189.0,161.0,6484.0,8724.0,141.0,733.0,465.0,20.0,0.0,2.0,1.0,0.0,2.0,1.0,9548.0,12860.0,217.0,8952.0,12164.0,205.0,596.0,696.0,12.0,0.0,4.0,2.0,1.0,2.0,1.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,7,Red,jng,Xmithie,oe:player:419bc348a61e7433593ea741189d833,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Rek'Sai,Tahm Kench,Ryze,Corki,,,,,,,,2659,1,3,1,14,22,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4964,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10200.0,230.1617,0.0931941,1010.6807,0.0,38.0,0.8575,17.0,0.3836,8.0,0.0,0.0,15290.0,9610.0,216.8484,0.159541,13975.0,,,145.0,44.0,101.0,83.0,18.0,3.2719,2971.0,3336.0,37.0,3095.0,3244.0,35.0,-124.0,92.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5036.0,5966.0,62.0,5025.0,5328.0,55.0,11.0,638.0,7.0,1.0,2.0,0.0,2.0,2.0,2.0,6600.0,7584.0,86.0,6603.0,7676.0,74.0,-3.0,-92.0,12.0,1.0,2.0,0.0,2.0,3.0,2.0,8649.0,10299.0,95.0,8429.0,10289.0,94.0,220.0,10.0,1.0,2.0,4.0,0.0,3.0,3.0,3.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,8,Red,mid,huhi,oe:player:9191e392e93a6ef011ef76b5b83ee6c,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Lissandra,Tahm Kench,Ryze,Corki,,,,,,,,2659,1,6,4,7,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24356.0,549.5901,0.222533,476.6153,0.0,26.0,0.5867,10.0,0.2256,4.0,0.0,0.0,19592.0,13912.0,313.9225,0.230957,19600.0,,,416.0,397.0,19.0,15.0,4.0,9.387,3658.0,4607.0,87.0,4212.0,4543.0,92.0,-554.0,64.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,5903.0,7295.0,136.0,6671.0,7283.0,144.0,-768.0,12.0,-8.0,2.0,0.0,1.0,1.0,3.0,0.0,7726.0,9899.0,182.0,8901.0,9555.0,198.0,-1175.0,344.0,-16.0,2.0,0.0,2.0,1.0,3.0,0.0,10319.0,13538.0,233.0,10961.0,11890.0,244.0,-642.0,1648.0,-11.0,2.0,1.0,2.0,1.0,4.0,1.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,9,Red,bot,Stixxay,oe:player:51d421a31ce72460198ef946995fb11,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Kalista,Tahm Kench,Ryze,Corki,,,,,,,,2659,1,8,1,11,22,13,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4964,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32632.0,736.337,0.298148,388.161,0.0,24.0,0.5416,19.0,0.4287,4.0,0.0,0.0,20716.0,15036.0,339.2854,0.249616,18100.0,,,408.0,384.0,24.0,18.0,6.0,9.2065,3638.0,3604.0,73.0,3255.0,2846.0,72.0,383.0,758.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5483.0,5417.0,112.0,5361.0,5436.0,123.0,122.0,-19.0,-11.0,1.0,1.0,1.0,1.0,1.0,1.0,7537.0,7272.0,167.0,7772.0,8779.0,176.0,-235.0,-1507.0,-9.0,1.0,1.0,1.0,2.0,1.0,1.0,10373.0,10697.0,224.0,9413.0,10700.0,218.0,960.0,-3.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0
TRLH1/1001520070,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001520070?gameHash=e5a089b1818d40b0,NA LCS,2016,Spring,0,2016-01-16 19:50:24,1,6.01,10,Red,sup,aphromoo,oe:player:f48c70640770b42b5d7dd72aa21e005,Counter Logic Gaming,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,Bard,Tahm Kench,Ryze,Corki,,,,,,,,2659,1,2,4,18,22,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4964,0.7898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13335.0,300.9026,0.121838,488.3716,0.0,34.0,0.7672,10.0,0.2256,5.0,0.0,0.0,13266.0,7586.0,171.1771,0.125941,12075.0,,,19.0,18.0,1.0,1.0,0.0,0.4287,1944.0,1505.0,1.0,2268.0,2009.0,10.0,-324.0,-504.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,3222.0,3379.0,1.0,3349.0,3545.0,14.0,-127.0,-166.0,-13.0,0.0,3.0,1.0,0.0,3.0,0.0,4498.0,5336.0,4.0,4585.0,4466.0,21.0,-87.0,870.0,-17.0,0.0,3.0,1.0,0.0,3.0,0.0,6401.0,8119.0,7.0,5808.0,5916.0,33.0,593.0,2203.0,-26.0,1.0,5.0,2.0,0.0,4.0,0.0
