gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,1,Blue,top,Niles,oe:player:c49aafa1ffe9c24aa459e5cf851ddfc,Team Cloud Drake,oe:team:f6fd2177acca4512dc0b8abbe67351a,Ornn,Nidalee,Lillia,Kindred,Jax,Camille,,,,,,2041,0,2,6,5,18,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10178.0,299.2063,0.143706,758.1872,1230.632,16.0,0.4704,0.0,0.0,9.0,28.0,0.8231,11652,7213.0,212.0431,0.203682,11100.0,,,231.0,225.0,6.0,5.0,0.0,6.7908,3490.0,3697.0,55.0,3337.0,3902.0,65.0,153.0,-205.0,-10.0,2.0,3.0,1.0,1.0,1.0,2.0,4940.0,6030.0,92.0,5190.0,6741.0,117.0,-250.0,-711.0,-25.0,2.0,3.0,2.0,1.0,2.0,2.0,6798.0,8792.0,141.0,7465.0,9528.0,164.0,-667.0,-736.0,-23.0,2.0,3.0,3.0,1.0,4.0,2.0,8650.0,11100.0,169.0,9557.0,11715.0,182.0,-907.0,-615.0,-13.0,2.0,4.0,4.0,3.0,6.0,4.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,2,Blue,jng,RoseThorn,oe:player:b1608dc23a218a150a431be676f3fe4,Team Cloud Drake,oe:team:f6fd2177acca4512dc0b8abbe67351a,Rek'Sai,Nidalee,Lillia,Kindred,Jax,Camille,,,,,,2041,0,4,13,9,18,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5292,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7774.0,228.535,0.109764,964.3802,559.5786,22.0,0.6467,10.0,0.294,10.0,50.0,1.4699,10380,5941.0,174.6497,0.167762,9525.0,,,155.0,24.0,131.0,87.0,19.0,4.5566,3443.0,2631.0,47.0,3024.0,3188.0,59.0,419.0,-557.0,-12.0,2.0,4.0,3.0,0.0,1.0,2.0,4936.0,4792.0,84.0,5221.0,5515.0,94.0,-285.0,-723.0,-10.0,2.0,4.0,5.0,2.0,2.0,2.0,6508.0,6708.0,110.0,7502.0,8489.0,119.0,-994.0,-1781.0,-9.0,3.0,4.0,7.0,4.0,5.0,2.0,8354.0,9500.0,124.0,9515.0,11260.0,132.0,-1161.0,-1760.0,-8.0,4.0,7.0,9.0,6.0,8.0,3.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,3,Blue,mid,CptShrimps,oe:player:df4f91120caa080682bf595c5f7f2d3,Team Cloud Drake,oe:team:f6fd2177acca4512dc0b8abbe67351a,Karthus,Nidalee,Lillia,Kindred,Jax,Camille,,,,,,2041,0,6,9,11,18,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,27773.0,816.4527,0.392136,556.5507,354.1499,13.0,0.3822,2.0,0.0588,6.0,24.0,0.7055,13976,9537.0,280.3626,0.26931,13450.0,,,231.0,222.0,9.0,7.0,0.0,6.7908,3945.0,4024.0,63.0,4106.0,4577.0,88.0,-161.0,-553.0,-25.0,3.0,4.0,2.0,2.0,4.0,0.0,5489.0,6619.0,110.0,6045.0,7070.0,141.0,-556.0,-451.0,-31.0,3.0,4.0,2.0,2.0,5.0,0.0,7534.0,9649.0,139.0,9353.0,10866.0,203.0,-1819.0,-1217.0,-64.0,4.0,5.0,4.0,4.0,6.0,2.0,9889.0,12257.0,172.0,12668.0,14279.0,251.0,-2779.0,-2022.0,-79.0,5.0,8.0,6.0,7.0,7.0,3.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,4,Blue,bot,AndyBendy,oe:player:f38b290539da4d4463b98ec1a3d2194,Team Cloud Drake,oe:team:f6fd2177acca4512dc0b8abbe67351a,Ezreal,Nidalee,Lillia,Kindred,Jax,Camille,,,,,,2041,0,4,4,4,18,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17298.0,508.5154,0.244236,610.9946,417.1485,16.0,0.4704,9.0,0.2646,7.0,44.0,1.2935,13048,8609.0,253.0818,0.243104,12358.0,,,284.0,272.0,12.0,4.0,8.0,8.3488,3172.0,3700.0,78.0,4213.0,3408.0,67.0,-1041.0,292.0,11.0,0.0,2.0,0.0,4.0,1.0,1.0,5112.0,5858.0,127.0,6369.0,6046.0,121.0,-1257.0,-188.0,6.0,0.0,2.0,0.0,4.0,3.0,1.0,7248.0,8164.0,182.0,8921.0,8997.0,178.0,-1673.0,-833.0,4.0,0.0,2.0,0.0,6.0,4.0,1.0,9730.0,10836.0,228.0,11644.0,12945.0,221.0,-1914.0,-2109.0,7.0,2.0,3.0,1.0,6.0,10.0,1.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,5,Blue,sup,Auto,oe:player:06b9281e396db002010bde1de57262e,Team Cloud Drake,oe:team:f6fd2177acca4512dc0b8abbe67351a,Sett,Nidalee,Lillia,Kindred,Jax,Camille,,,,,,2041,0,2,6,8,18,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7802.0,229.3582,0.110159,640.9211,796.4625,36.0,1.0583,15.0,0.441,8.0,85.0,2.4988,8552,4113.0,120.9113,0.116141,8280.0,,,38.0,38.0,0.0,0.0,0.0,1.1171,2142.0,1725.0,10.0,2339.0,1761.0,9.0,-197.0,-36.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,3408.0,3238.0,18.0,4029.0,3479.0,19.0,-621.0,-241.0,-1.0,0.0,4.0,1.0,1.0,7.0,2.0,4588.0,4631.0,25.0,5320.0,5119.0,26.0,-732.0,-488.0,-1.0,0.0,4.0,2.0,1.0,10.0,2.0,6501.0,7208.0,31.0,6908.0,7568.0,27.0,-407.0,-360.0,4.0,1.0,6.0,3.0,1.0,16.0,3.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,6,Red,top,Tony Top,oe:player:89a68bddd0541e0f26fc044c711eb92,Team Infernal Drake,oe:team:858117e8241051433bcfacf5fdac547,Vladimir,Samira,Gangplank,Graves,Zed,Renekton,,,,,,2041,1,3,5,11,38,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1171,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18862.0,554.4929,0.200696,886.5066,400.9505,14.0,0.4116,6.0,0.1764,3.0,43.0,1.2641,13482,9043.0,265.8403,0.179126,11965.0,,,256.0,245.0,11.0,5.0,1.0,7.5257,3337.0,3902.0,65.0,3490.0,3697.0,55.0,-153.0,205.0,10.0,1.0,1.0,2.0,2.0,3.0,1.0,5190.0,6741.0,117.0,4940.0,6030.0,92.0,250.0,711.0,25.0,1.0,2.0,2.0,2.0,3.0,2.0,7465.0,9528.0,164.0,6798.0,8792.0,141.0,667.0,736.0,23.0,1.0,4.0,2.0,2.0,3.0,3.0,9557.0,11715.0,182.0,8650.0,11100.0,169.0,907.0,615.0,13.0,3.0,6.0,4.0,2.0,4.0,4.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,7,Red,jng,Tomio,oe:player:6ebdf3a3b56c113137109c45c2abc8f,Team Infernal Drake,oe:team:858117e8241051433bcfacf5fdac547,Evelynn,Samira,Gangplank,Graves,Zed,Renekton,,,,,,2041,1,11,4,16,38,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1171,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21187.0,622.8417,0.225434,676.6389,355.855,12.0,0.3528,2.0,0.0588,5.0,38.0,1.1171,13631,9192.0,270.2205,0.182077,12325.0,,,161.0,9.0,152.0,103.0,13.0,4.733,3024.0,3188.0,59.0,3443.0,2631.0,47.0,-419.0,557.0,12.0,0.0,1.0,2.0,2.0,4.0,3.0,5221.0,5515.0,94.0,4936.0,4792.0,84.0,285.0,723.0,10.0,2.0,2.0,2.0,2.0,4.0,5.0,7502.0,8489.0,119.0,6508.0,6708.0,110.0,994.0,1781.0,9.0,4.0,5.0,2.0,3.0,4.0,7.0,9515.0,11260.0,132.0,8354.0,9500.0,124.0,1161.0,1760.0,8.0,6.0,8.0,3.0,4.0,7.0,9.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,8,Red,mid,Copy,oe:player:42db31f0aa88a0167fb7651422efbcf,Team Infernal Drake,oe:team:858117e8241051433bcfacf5fdac547,Lucian,Samira,Gangplank,Graves,Zed,Renekton,,,,,,2041,1,12,3,8,38,18,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1171,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,22056.0,648.388,0.234681,635.5708,338.0696,17.0,0.4998,12.0,0.3528,7.0,48.0,1.4111,18941,14502.0,426.3204,0.287261,18655.0,,,360.0,287.0,73.0,22.0,29.0,10.583,4106.0,4577.0,88.0,3945.0,4024.0,63.0,161.0,553.0,25.0,2.0,4.0,0.0,3.0,4.0,2.0,6045.0,7070.0,141.0,5489.0,6619.0,110.0,556.0,451.0,31.0,2.0,5.0,0.0,3.0,4.0,2.0,9353.0,10866.0,203.0,7534.0,9649.0,139.0,1819.0,1217.0,64.0,4.0,6.0,2.0,4.0,5.0,4.0,12668.0,14279.0,251.0,9889.0,12257.0,172.0,2779.0,2022.0,79.0,7.0,7.0,3.0,5.0,8.0,6.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,9,Red,bot,Shoryu,oe:player:9129215e2b3c4ffb00f2de34e68c7fb,Team Infernal Drake,oe:team:858117e8241051433bcfacf5fdac547,Jhin,Samira,Gangplank,Graves,Zed,Renekton,,,,,,2041,1,11,2,16,38,18,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1171,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23247.0,683.4003,0.247353,437.5502,178.9711,17.0,0.4998,5.0,0.147,9.0,45.0,1.3229,16870,12431.0,365.4385,0.246238,15675.0,,,291.0,258.0,33.0,22.0,0.0,8.5546,4213.0,3408.0,67.0,3172.0,3700.0,78.0,1041.0,-292.0,-11.0,4.0,1.0,1.0,0.0,2.0,0.0,6369.0,6046.0,121.0,5112.0,5858.0,127.0,1257.0,188.0,-6.0,4.0,3.0,1.0,0.0,2.0,0.0,8921.0,8997.0,178.0,7248.0,8164.0,182.0,1673.0,833.0,-4.0,6.0,4.0,1.0,0.0,2.0,0.0,11644.0,12945.0,221.0,9730.0,10836.0,228.0,1914.0,2109.0,-7.0,6.0,10.0,1.0,2.0,3.0,1.0
ESPORTSTMNT02/1610087,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1610087?gameHash=6100f4d857e5dadc,NASG,2020,,0,2020-11-10 23:49:55,1,10.22,10,Red,sup,Shady,oe:player:35d2ca59893919e79b8611473b36021,Team Infernal Drake,oe:team:858117e8241051433bcfacf5fdac547,Rakan,Samira,Gangplank,Graves,Zed,Renekton,,,,,,2041,1,1,4,31,38,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1171,1.6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8631.0,253.7286,0.0918358,463.0965,854.4341,44.0,1.2935,8.0,0.2352,13.0,82.0,2.4106,9755,5316.0,156.2763,0.105298,8475.0,,,31.0,31.0,0.0,0.0,0.0,0.9113,2339.0,1761.0,9.0,2142.0,1725.0,10.0,197.0,36.0,-1.0,0.0,6.0,2.0,0.0,4.0,1.0,4029.0,3479.0,19.0,3408.0,3238.0,18.0,621.0,241.0,1.0,1.0,7.0,2.0,0.0,4.0,1.0,5320.0,5119.0,26.0,4588.0,4631.0,25.0,732.0,488.0,1.0,1.0,10.0,2.0,0.0,4.0,2.0,6908.0,7568.0,27.0,6501.0,7208.0,31.0,407.0,360.0,-4.0,1.0,16.0,3.0,1.0,6.0,3.0
