gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,1,Blue,top,Thien,oe:player:8e422c119fcc0bdb1e78777d4febaaf,CLG Academy,oe:team:fe409cbd7c72eb621d9c4e7eac75936,Aatrox,Gnar,Renekton,Rell,Yone,Twisted Fate,,,,,,2067,1,4,5,8,21,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6096,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18753.0,544.3541,0.232613,735.5588,555.5007,17.0,0.4935,0.0,0.0,8.0,31.0,0.8999,14090,9598.0,278.6067,0.220665,12950.0,,,265.0,243.0,22.0,5.0,8.0,7.6923,3274.0,4709.0,70.0,3060.0,4633.0,66.0,214.0,76.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,4804.0,6911.0,112.0,5162.0,7381.0,103.0,-358.0,-470.0,9.0,1.0,0.0,3.0,0.0,3.0,1.0,7009.0,9329.0,157.0,6512.0,9007.0,130.0,497.0,322.0,27.0,1.0,2.0,4.0,0.0,6.0,2.0,10027.0,13036.0,201.0,7704.0,10431.0,156.0,2323.0,2605.0,45.0,2.0,4.0,4.0,0.0,6.0,4.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,2,Blue,jng,Keel,oe:player:4ef00a200b9361cd76bb7e612b171c4,CLG Academy,oe:team:fe409cbd7c72eb621d9c4e7eac75936,Gragas,Gnar,Renekton,Rell,Yone,Twisted Fate,,,,,,2067,1,6,0,12,21,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19323.0,560.8999,0.239683,817.5907,779.7678,11.0,0.3193,8.0,0.2322,12.0,38.0,1.103,12608,8116.0,235.5878,0.186591,11550.0,,,189.0,26.0,163.0,87.0,9.0,5.4862,3131.0,3448.0,64.0,3962.0,4377.0,89.0,-831.0,-929.0,-25.0,0.0,1.0,0.0,1.0,0.0,0.0,4877.0,5600.0,100.0,6409.0,7071.0,132.0,-1532.0,-1471.0,-32.0,0.0,2.0,0.0,3.0,0.0,0.0,6659.0,7230.0,120.0,8072.0,9445.0,167.0,-1413.0,-2215.0,-47.0,1.0,3.0,0.0,3.0,1.0,1.0,9169.0,11158.0,143.0,9073.0,10559.0,184.0,96.0,599.0,-41.0,4.0,6.0,0.0,3.0,1.0,2.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,3,Blue,mid,RJS,oe:player:023b976c0fc6ba4d350f2c06d333f62,CLG Academy,oe:team:fe409cbd7c72eb621d9c4e7eac75936,Seraphine,Gnar,Renekton,Rell,Yone,Twisted Fate,,,,,,2067,1,2,1,14,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11452.0,332.4238,0.142051,239.4194,221.7126,14.0,0.4064,6.0,0.1742,5.0,41.0,1.1901,14400,9908.0,287.6052,0.227792,13225.0,,,313.0,293.0,20.0,12.0,4.0,9.0856,3556.0,5260.0,103.0,3078.0,4753.0,74.0,478.0,507.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,5591.0,8097.0,162.0,5225.0,7719.0,131.0,366.0,378.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,7608.0,11077.0,213.0,8089.0,10411.0,178.0,-481.0,666.0,35.0,0.0,2.0,1.0,2.0,4.0,0.0,10494.0,14632.0,257.0,8989.0,11065.0,191.0,1505.0,3567.0,66.0,1.0,6.0,1.0,2.0,4.0,1.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,4,Blue,bot,Katsurii,oe:player:361927eda56522d04e1ef6819002389,CLG Academy,oe:team:fe409cbd7c72eb621d9c4e7eac75936,Miss Fortune,Gnar,Renekton,Rell,Yone,Twisted Fate,,,,,,2067,1,8,2,8,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,25138.0,729.6952,0.311812,223.9768,332.7431,20.0,0.5806,9.0,0.2612,9.0,43.0,1.2482,16441,11949.0,346.8505,0.274717,14325.0,,,314.0,270.0,44.0,31.0,8.0,9.1147,3328.0,3338.0,90.0,3046.0,2835.0,81.0,282.0,503.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5711.0,5576.0,146.0,4798.0,4556.0,129.0,913.0,1020.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,8561.0,8377.0,193.0,6991.0,7096.0,170.0,1570.0,1281.0,23.0,3.0,0.0,1.0,2.0,1.0,2.0,11037.0,11492.0,227.0,8790.0,9268.0,220.0,2247.0,2224.0,7.0,4.0,3.0,1.0,2.0,1.0,3.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,5,Blue,sup,Auto,oe:player:06b9281e396db002010bde1de57262e,CLG Academy,oe:team:fe409cbd7c72eb621d9c4e7eac75936,Nautilus,Gnar,Renekton,Rell,Yone,Twisted Fate,,,,,,2067,1,1,1,13,21,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5953.0,172.8012,0.0738412,280.4354,680.7257,50.0,1.4514,17.0,0.4935,13.0,105.0,3.0479,8417,3925.0,113.9332,0.0902347,7575.0,,,38.0,38.0,0.0,0.0,0.0,1.103,2066.0,2450.0,12.0,2006.0,2617.0,13.0,60.0,-167.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3051.0,3489.0,19.0,3074.0,3957.0,22.0,-23.0,-468.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,4354.0,5008.0,28.0,4140.0,6005.0,27.0,214.0,-997.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,6004.0,7333.0,31.0,4892.0,7126.0,29.0,1112.0,207.0,2.0,1.0,5.0,1.0,0.0,3.0,2.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,6,Red,top,Lawrence,oe:player:27adb0b3f92d9b8f7fa4cb55b60114c,Cloud9 Amateur,oe:team:0ceefa1371cd26b24911fa299937e9e,Sion,Hecarim,Udyr,Tristana,Camille,Lillia,,,,,,2067,0,0,7,7,9,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2612,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10714.0,311.0015,0.237687,1140.3483,1879.2453,13.0,0.3774,5.0,0.1451,1.0,24.0,0.6967,9863,5371.0,155.9071,0.173167,8875.0,,,189.0,181.0,8.0,0.0,4.0,5.4862,3060.0,4633.0,66.0,3274.0,4709.0,70.0,-214.0,-76.0,-4.0,0.0,1.0,1.0,1.0,0.0,1.0,5162.0,7381.0,103.0,4804.0,6911.0,112.0,358.0,470.0,-9.0,0.0,3.0,1.0,1.0,0.0,3.0,6512.0,9007.0,130.0,7009.0,9329.0,157.0,-497.0,-322.0,-27.0,0.0,6.0,2.0,1.0,2.0,4.0,7704.0,10431.0,156.0,10027.0,13036.0,201.0,-2323.0,-2605.0,-45.0,0.0,6.0,4.0,2.0,4.0,4.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,7,Red,jng,eXyu,oe:player:08936c56ab5a6453c58974a619651c3,Cloud9 Amateur,oe:team:0ceefa1371cd26b24911fa299937e9e,Nidalee,Hecarim,Udyr,Tristana,Camille,Lillia,,,,,,2067,0,3,4,2,9,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2612,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11954.0,346.9956,0.265197,897.939,515.9652,9.0,0.2612,17.0,0.4935,10.0,49.0,1.4224,11301,6809.0,197.6488,0.219533,11085.0,,,224.0,41.0,183.0,134.0,16.0,6.5022,3962.0,4377.0,89.0,3131.0,3448.0,64.0,831.0,929.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,6409.0,7071.0,132.0,4877.0,5600.0,100.0,1532.0,1471.0,32.0,3.0,0.0,0.0,0.0,2.0,0.0,8072.0,9445.0,167.0,6659.0,7230.0,120.0,1413.0,2215.0,47.0,3.0,1.0,1.0,1.0,3.0,0.0,9073.0,10559.0,184.0,9169.0,11158.0,143.0,-96.0,-599.0,41.0,3.0,1.0,2.0,4.0,6.0,0.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,8,Red,mid,CptShrimps,oe:player:df4f91120caa080682bf595c5f7f2d3,Cloud9 Amateur,oe:team:0ceefa1371cd26b24911fa299937e9e,Sylas,Hecarim,Udyr,Tristana,Camille,Lillia,,,,,,2067,0,3,3,5,9,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2612,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6862.0,199.1872,0.152232,538.5776,400.8418,17.0,0.4935,9.0,0.2612,9.0,35.0,1.016,12344,7852.0,227.9245,0.253162,12475.0,,,240.0,230.0,10.0,10.0,0.0,6.9666,3078.0,4753.0,74.0,3556.0,5260.0,103.0,-478.0,-507.0,-29.0,0.0,1.0,0.0,0.0,0.0,0.0,5225.0,7719.0,131.0,5591.0,8097.0,162.0,-366.0,-378.0,-31.0,0.0,2.0,0.0,0.0,0.0,0.0,8089.0,10411.0,178.0,7608.0,11077.0,213.0,481.0,-666.0,-35.0,2.0,4.0,0.0,0.0,2.0,1.0,8989.0,11065.0,191.0,10494.0,14632.0,257.0,-1505.0,-3567.0,-66.0,2.0,4.0,1.0,1.0,6.0,1.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,9,Red,bot,Wixxi,oe:player:713fae3c1b605df4ee976c6188182a1,Cloud9 Amateur,oe:team:0ceefa1371cd26b24911fa299937e9e,Aphelios,Hecarim,Udyr,Tristana,Camille,Lillia,,,,,,2067,0,3,4,2,9,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,12422.0,360.5806,0.275579,425.225,339.4485,7.0,0.2032,9.0,0.2612,3.0,27.0,0.7837,13352,8860.0,257.1843,0.285663,12775.0,,,327.0,314.0,13.0,13.0,0.0,9.492,3046.0,2835.0,81.0,3328.0,3338.0,90.0,-282.0,-503.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4798.0,4556.0,129.0,5711.0,5576.0,146.0,-913.0,-1020.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,6991.0,7096.0,170.0,8561.0,8377.0,193.0,-1570.0,-1281.0,-23.0,2.0,1.0,2.0,3.0,0.0,1.0,8790.0,9268.0,220.0,11037.0,11492.0,227.0,-2247.0,-2224.0,-7.0,2.0,1.0,3.0,4.0,3.0,1.0
ESPORTSTMNT03/1810429,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1810429?gameHash=00aa9926b03c9b2d,NERD,2021,,0,2021-03-22 21:53:41,1.0,11.06,10,Red,sup,Breezy,oe:player:647116a60606bd44fb11a860da72776,Cloud9 Amateur,oe:team:0ceefa1371cd26b24911fa299937e9e,Thresh,Hecarim,Udyr,Tristana,Camille,Lillia,,,,,,2067,0,0,3,5,9,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612,0.8708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3124.0,90.6821,0.0693052,318.0261,271.0305,39.0,1.1321,11.0,0.3193,13.0,75.0,2.1771,6616,2124.0,61.6546,0.0684748,6075.0,,,36.0,36.0,0.0,0.0,0.0,1.045,2006.0,2617.0,13.0,2066.0,2450.0,12.0,-60.0,167.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.0,3957.0,22.0,3051.0,3489.0,19.0,23.0,468.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4140.0,6005.0,27.0,4354.0,5008.0,28.0,-214.0,997.0,-1.0,0.0,3.0,0.0,0.0,3.0,1.0,4892.0,7126.0,29.0,6004.0,7333.0,31.0,-1112.0,-207.0,-2.0,0.0,3.0,2.0,1.0,5.0,1.0
