gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,1,Blue,top,Alielie,oe:player:14eee49d63be67ce0baaa4f5ef10490,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Camille,Twisted Fate,Lucian,Ornn,Kalista,Ezreal,,,,,,2218,0,5,7,6,16,32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4328,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17662.0,477.7818,0.234437,995.8972,1009.6664,5.0,0.1353,5.0,0.1353,1.0,18.0,0.4869,14371,9571.0,258.9089,0.256419,14758.0,,,270.0,,11.0,10.0,0.0,,3715.0,4478.0,66.0,2918.0,4290.0,56.0,797.0,188.0,10.0,2.0,1.0,2.0,1.0,1.0,3.0,6031.0,7030.0,108.0,4290.0,6767.0,89.0,1741.0,263.0,19.0,2.0,2.0,2.0,1.0,1.0,4.0,8165.0,9313.0,147.0,6186.0,8750.0,112.0,1979.0,563.0,35.0,3.0,3.0,3.0,2.0,1.0,6.0,10007.0,10959.0,177.0,7818.0,10708.0,123.0,2189.0,251.0,54.0,4.0,4.0,4.0,3.0,2.0,7.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,2,Blue,jng,Meteor,oe:player:26cf32679ec486e40032e24fa39d15c,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Lillia,Twisted Fate,Lucian,Ornn,Kalista,Ezreal,,,,,,2218,0,8,5,6,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29881.0,808.3228,0.396626,875.1398,495.3381,12.0,0.3246,6.0,0.1623,0.0,30.0,0.8115,16959,12159.0,328.9179,0.325757,16550.0,,,304.0,,206.0,142.0,14.0,,3885.0,4455.0,79.0,3454.0,3524.0,69.0,431.0,931.0,10.0,1.0,1.0,1.0,1.0,2.0,0.0,6607.0,7114.0,117.0,5557.0,5836.0,113.0,1050.0,1278.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,8916.0,10187.0,163.0,7868.0,8592.0,140.0,1048.0,1595.0,23.0,4.0,2.0,2.0,2.0,7.0,0.0,10751.0,12317.0,198.0,10377.0,12160.0,183.0,374.0,157.0,15.0,5.0,3.0,3.0,4.0,8.0,0.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,3,Blue,mid,qingcheng,oe:player:caafa0b1e05197c4ef35ec2f277dc11,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Syndra,Twisted Fate,Lucian,Ornn,Kalista,Ezreal,,,,,,2218,0,1,6,6,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12263.0,331.7313,0.162773,479.1885,225.3381,19.0,0.514,8.0,0.2164,6.0,38.0,1.028,11103,6303.0,170.505,0.168862,10550.0,,,243.0,,12.0,8.0,0.0,,3347.0,4890.0,97.0,3584.0,4724.0,81.0,-237.0,166.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,4852.0,6832.0,137.0,5833.0,7331.0,140.0,-981.0,-499.0,-3.0,0.0,1.0,0.0,1.0,1.0,1.0,6049.0,7948.0,157.0,8646.0,10111.0,183.0,-2597.0,-2163.0,-26.0,0.0,3.0,2.0,3.0,4.0,1.0,7465.0,9574.0,184.0,10565.0,13458.0,214.0,-3100.0,-3884.0,-30.0,0.0,4.0,3.0,3.0,7.0,1.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,4,Blue,bot,Jinjiao,oe:player:efced9552c6030d0beaf318ee62926a,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Senna,Twisted Fate,Lucian,Ornn,Kalista,Ezreal,,,,,,2218,0,2,7,9,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11213.0,303.3273,0.148836,476.2399,182.8404,13.0,0.3517,7.0,0.1894,4.0,26.0,0.7033,11642,6842.0,185.0857,0.183303,10975.0,,,218.0,,4.0,4.0,0.0,,3141.0,3320.0,81.0,3539.0,3489.0,87.0,-398.0,-169.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,4880.0,5838.0,123.0,6080.0,5782.0,141.0,-1200.0,56.0,-18.0,0.0,2.0,1.0,1.0,0.0,0.0,6534.0,7619.0,146.0,9661.0,8943.0,188.0,-3127.0,-1324.0,-42.0,1.0,4.0,3.0,5.0,4.0,0.0,8056.0,9608.0,173.0,12725.0,11889.0,223.0,-4669.0,-2281.0,-50.0,1.0,6.0,4.0,7.0,6.0,0.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,5,Blue,sup,XinMo,oe:player:3895c059762370cf34b10e69640167f,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Sett,Twisted Fate,Lucian,Ornn,Kalista,Ezreal,,,,,,2218,0,0,7,6,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4328,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4319.0,116.835,0.0573283,677.0965,545.275,69.0,1.8665,19.0,0.514,18.0,111.0,3.0027,7251,2451.0,66.303,0.0656589,6820.0,,,40.0,,0.0,0.0,0.0,,1988.0,2496.0,11.0,2120.0,2745.0,10.0,-132.0,-249.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3111.0,3791.0,20.0,3223.0,4147.0,19.0,-112.0,-356.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4237.0,4838.0,25.0,4792.0,6141.0,24.0,-555.0,-1303.0,1.0,0.0,3.0,2.0,0.0,9.0,1.0,5136.0,5757.0,27.0,6549.0,8282.0,26.0,-1413.0,-2525.0,1.0,0.0,4.0,4.0,1.0,12.0,2.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,6,Red,top,BoWen,oe:player:de8ebdd94cf15e692de585f290ccf2d,Rogue Warriors,oe:team:746be9a4c3793ab321bba257c450864,Akali,Pantheon,Nidalee,Jhin,Ashe,Miss Fortune,,,,,,2218,1,9,9,3,32,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8656,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19953.0,539.7565,0.19884,815.3291,326.1317,9.0,0.2435,4.0,0.1082,5.0,26.0,0.7033,13747,8947.0,242.0289,0.173886,12285.0,,,185.0,,6.0,1.0,0.0,,2918.0,4290.0,56.0,3715.0,4478.0,66.0,-797.0,-188.0,-10.0,1.0,1.0,3.0,2.0,1.0,2.0,4290.0,6767.0,89.0,6031.0,7030.0,108.0,-1741.0,-263.0,-19.0,1.0,1.0,4.0,2.0,2.0,2.0,6186.0,8750.0,112.0,8165.0,9313.0,147.0,-1979.0,-563.0,-35.0,2.0,1.0,6.0,3.0,3.0,3.0,7818.0,10708.0,123.0,10007.0,10959.0,177.0,-2189.0,-251.0,-54.0,3.0,2.0,7.0,4.0,4.0,4.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,7,Red,jng,Youdang,oe:player:3e752f4ce84a615efa58e12cd31400e,Rogue Warriors,oe:team:746be9a4c3793ab321bba257c450864,Graves,Pantheon,Nidalee,Jhin,Ashe,Miss Fortune,,,,,,2218,1,6,2,14,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15148.0,409.7746,0.150956,731.9567,554.5807,14.0,0.3787,18.0,0.4869,13.0,56.0,1.5149,15996,11196.0,302.8674,0.217597,14562.0,,,282.0,,205.0,119.0,25.0,,3454.0,3524.0,69.0,3885.0,4455.0,79.0,-431.0,-931.0,-10.0,1.0,2.0,0.0,1.0,1.0,1.0,5557.0,5836.0,113.0,6607.0,7114.0,117.0,-1050.0,-1278.0,-4.0,1.0,2.0,0.0,3.0,1.0,1.0,7868.0,8592.0,140.0,8916.0,10187.0,163.0,-1048.0,-1595.0,-23.0,2.0,7.0,0.0,4.0,2.0,2.0,10377.0,12160.0,183.0,10751.0,12317.0,198.0,-374.0,-157.0,-15.0,4.0,8.0,0.0,5.0,3.0,3.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,8,Red,mid,Wuming,oe:player:0463af74e49dcdeb5fb77a8503f261a,Rogue Warriors,oe:team:746be9a4c3793ab321bba257c450864,Zoe,Pantheon,Nidalee,Jhin,Ashe,Miss Fortune,,,,,,2218,1,4,2,16,32,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25307.0,684.5897,0.252195,463.5257,225.9603,9.0,0.2435,4.0,0.1082,5.0,30.0,0.8115,15377,10577.0,286.1226,0.205566,14645.0,,,277.0,,34.0,24.0,5.0,,3584.0,4724.0,81.0,3347.0,4890.0,97.0,237.0,-166.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,5833.0,7331.0,140.0,4852.0,6832.0,137.0,981.0,499.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,8646.0,10111.0,183.0,6049.0,7948.0,157.0,2597.0,2163.0,26.0,3.0,4.0,1.0,0.0,3.0,2.0,10565.0,13458.0,214.0,7465.0,9574.0,184.0,3100.0,3884.0,30.0,3.0,7.0,1.0,0.0,4.0,3.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,9,Red,bot,ZWuJi,oe:player:c15ac850144ff24e71bb5f86f95a615,Rogue Warriors,oe:team:746be9a4c3793ab321bba257c450864,Kai'Sa,Pantheon,Nidalee,Jhin,Ashe,Miss Fortune,,,,,,2218,1,12,0,10,32,16,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33196.0,897.9982,0.330812,388.7556,241.5149,11.0,0.2976,24.0,0.6492,2.0,80.0,2.1641,19986,15186.0,410.8025,0.295146,18850.0,,,324.0,,46.0,25.0,21.0,,3539.0,3489.0,87.0,3141.0,3320.0,81.0,398.0,169.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6080.0,5782.0,141.0,4880.0,5838.0,123.0,1200.0,-56.0,18.0,1.0,0.0,0.0,0.0,2.0,1.0,9661.0,8943.0,188.0,6534.0,7619.0,146.0,3127.0,1324.0,42.0,5.0,4.0,0.0,1.0,4.0,3.0,12725.0,11889.0,223.0,8056.0,9608.0,173.0,4669.0,2281.0,50.0,7.0,6.0,0.0,1.0,6.0,4.0
66588-71184,complete,https://www.wanplus.com/schedule/66588.html,NEST,2020,,0,2020-11-09 08:13:00,1,10.19,10,Red,sup,Ley,oe:player:cfea3eab87c55ec70cd864aa8a1574c,Rogue Warriors,oe:team:746be9a4c3793ab321bba257c450864,Alistar,Pantheon,Nidalee,Jhin,Ashe,Miss Fortune,,,,,,2218,1,1,3,24,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656,1.2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6743.0,182.4076,0.0671968,512.3264,689.5942,56.0,1.5149,14.0,0.3787,16.0,106.0,2.8674,10347,5547.0,150.0541,0.107804,8800.0,,,40.0,,0.0,0.0,0.0,,2120.0,2745.0,10.0,1988.0,2496.0,11.0,132.0,249.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,3223.0,4147.0,19.0,3111.0,3791.0,20.0,112.0,356.0,-1.0,0.0,2.0,0.0,0.0,1.0,0.0,4792.0,6141.0,24.0,4237.0,4838.0,25.0,555.0,1303.0,-1.0,0.0,9.0,1.0,0.0,3.0,2.0,6549.0,8282.0,26.0,5136.0,5757.0,27.0,1413.0,2525.0,-1.0,1.0,12.0,2.0,0.0,4.0,4.0
