gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,1,Blue,top,LightFall,oe:player:6accf65e8e7af7f8bc77bbd817a00c2,Stormbringers,oe:team:b469fd5f0912d223dd70c3bbb5ddcb9,Camille,Nunu & Willump,Senna,Seraphine,Darius,Volibear,,,,,,1945,1,4,2,5,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,8425.0,259.8972,0.112091,640.072,673.8817,13.0,0.401,6.0,0.1851,6.0,29.0,0.8946,13106,8863.0,273.4087,0.214347,12133.0,,,219.0,211.0,8.0,,,6.7558,2950.0,4344.0,69.0,3241.0,4658.0,69.0,-291.0,-314.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4951.0,7611.0,116.0,5119.0,7410.0,119.0,-168.0,201.0,-3.0,1.0,0.0,1.0,1.0,0.0,1.0,7962.0,10698.0,161.0,6246.0,9193.0,143.0,1716.0,1505.0,18.0,3.0,3.0,1.0,1.0,1.0,2.0,10070.0,12175.0,185.0,7355.0,11467.0,169.0,2715.0,708.0,16.0,3.0,3.0,1.0,1.0,1.0,2.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,2,Blue,jng,Emvipi,oe:player:14775c5f3aa804d18189fde40649c5d,Stormbringers,oe:team:b469fd5f0912d223dd70c3bbb5ddcb9,Hecarim,Nunu & Willump,Senna,Seraphine,Darius,Volibear,,,,,,1945,1,4,2,11,22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,9995.0,308.329,0.132979,884.144,625.3573,16.0,0.4936,3.0,0.0925,14.0,31.0,0.9563,10959,6716.0,207.1774,0.16242,10183.0,,,156.0,13.0,143.0,,,4.8123,3297.0,3599.0,68.0,4145.0,4305.0,81.0,-848.0,-706.0,-13.0,0.0,2.0,0.0,2.0,0.0,1.0,5311.0,5561.0,97.0,6233.0,6381.0,118.0,-922.0,-820.0,-21.0,1.0,3.0,1.0,4.0,0.0,3.0,7421.0,7883.0,118.0,8097.0,8330.0,144.0,-676.0,-447.0,-26.0,3.0,7.0,1.0,6.0,0.0,5.0,8525.0,9177.0,136.0,9493.0,10630.0,179.0,-968.0,-1453.0,-43.0,3.0,8.0,1.0,6.0,0.0,5.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,3,Blue,mid,Serch,oe:player:ed0c1f77bbb19261fc9260bcf22bc65,Stormbringers,oe:team:b469fd5f0912d223dd70c3bbb5ddcb9,Ryze,Nunu & Willump,Senna,Seraphine,Darius,Volibear,,,,,,1945,1,7,0,7,22,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787,0.9871,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,27359.0,843.9794,0.364,597.8098,389.9229,13.0,0.401,2.0,0.0617,4.0,18.0,0.5553,15757,11514.0,355.1877,0.278463,14275.0,,,314.0,262.0,52.0,,,9.6864,4358.0,5322.0,85.0,2936.0,3890.0,67.0,1422.0,1432.0,18.0,4.0,0.0,0.0,0.0,1.0,2.0,7231.0,8320.0,141.0,4750.0,6450.0,116.0,2481.0,1870.0,25.0,4.0,2.0,0.0,0.0,3.0,2.0,9768.0,11060.0,187.0,5593.0,7835.0,130.0,4175.0,3225.0,57.0,6.0,5.0,0.0,0.0,3.0,3.0,12478.0,14211.0,255.0,6643.0,9295.0,150.0,5835.0,4916.0,105.0,6.0,6.0,0.0,0.0,3.0,4.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,4,Blue,bot,ChiQQQ,oe:player:1dfd00fc3e9c01aa0f8ec5560219f9a,Stormbringers,oe:team:b469fd5f0912d223dd70c3bbb5ddcb9,Caitlyn,Nunu & Willump,Senna,Seraphine,Darius,Volibear,,,,,,1945,1,5,1,8,22,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6787,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,25131.0,775.2494,0.334358,381.9949,188.7918,8.0,0.2468,13.0,0.401,3.0,36.0,1.1105,14013,9770.0,301.3882,0.236283,12900.0,,,297.0,263.0,34.0,,,9.162,3579.0,3725.0,93.0,3369.0,3609.0,80.0,210.0,116.0,13.0,0.0,2.0,0.0,0.0,1.0,0.0,5293.0,5558.0,138.0,4858.0,5660.0,121.0,435.0,-102.0,17.0,0.0,4.0,0.0,0.0,1.0,0.0,7688.0,8105.0,183.0,6645.0,8228.0,169.0,1043.0,-123.0,14.0,1.0,7.0,1.0,0.0,1.0,2.0,9549.0,10222.0,220.0,8237.0,9736.0,209.0,1312.0,486.0,11.0,2.0,7.0,1.0,0.0,1.0,2.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,5,Blue,sup,Miyuuri,oe:player:cb115764823d89eeff7246559315749,Stormbringers,oe:team:b469fd5f0912d223dd70c3bbb5ddcb9,Leona,Nunu & Willump,Senna,Seraphine,Darius,Volibear,,,,,,1945,1,2,5,14,22,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6787,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4252.0,131.1671,0.0565711,462.4781,452.545,42.0,1.2956,11.0,0.3393,17.0,91.0,2.8072,8729,4486.0,138.3856,0.108487,8085.0,,,37.0,37.0,0.0,,,1.1414,2685.0,2486.0,15.0,2278.0,2497.0,24.0,407.0,-11.0,-9.0,1.0,3.0,2.0,0.0,1.0,2.0,4206.0,4114.0,25.0,3571.0,3911.0,34.0,635.0,203.0,-9.0,2.0,4.0,3.0,0.0,3.0,2.0,5769.0,6086.0,31.0,4683.0,4777.0,44.0,1086.0,1309.0,-13.0,2.0,9.0,4.0,0.0,4.0,3.0,6732.0,6940.0,36.0,5430.0,5637.0,46.0,1302.0,1303.0,-10.0,2.0,10.0,4.0,0.0,4.0,3.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,6,Red,top,Knika,oe:player:daf00d15f9510d6b29e1f5403b334c1,Bis Esports,oe:team:588c0f09975443cbfbbe71a9ac1d75c,Karma,Jinx,Xin Zhao,Jayce,Zilean,Syndra,,,,,,1945,0,1,2,4,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,11044.0,340.6889,0.184174,373.8817,363.6093,19.0,0.5861,6.0,0.1851,10.0,36.0,1.1105,9343,5100.0,157.3265,0.180134,9000.0,,,189.0,189.0,0.0,,,5.8303,3241.0,4658.0,69.0,2950.0,4344.0,69.0,291.0,314.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5119.0,7410.0,119.0,4951.0,7611.0,116.0,168.0,-201.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,6246.0,9193.0,143.0,7962.0,10698.0,161.0,-1716.0,-1505.0,-18.0,1.0,1.0,2.0,3.0,3.0,1.0,7355.0,11467.0,169.0,10070.0,12175.0,185.0,-2715.0,-708.0,-16.0,1.0,1.0,2.0,3.0,3.0,1.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,7,Red,jng,Bruno,oe:player:54f7bf9e5906b3e25309575897000e1,Bis Esports,oe:team:588c0f09975443cbfbbe71a9ac1d75c,Olaf,Jinx,Xin Zhao,Jayce,Zilean,Syndra,,,,,,1945,0,6,6,3,10,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,13803.0,425.7995,0.230184,1090.982,1310.1902,4.0,0.1234,7.0,0.2159,7.0,21.0,0.6478,12340,8097.0,249.7789,0.285998,12400.0,,,238.0,76.0,162.0,,,7.3419,4145.0,4305.0,81.0,3297.0,3599.0,68.0,848.0,706.0,13.0,2.0,0.0,1.0,0.0,2.0,0.0,6233.0,6381.0,118.0,5311.0,5561.0,97.0,922.0,820.0,21.0,4.0,0.0,3.0,1.0,3.0,1.0,8097.0,8330.0,144.0,7421.0,7883.0,118.0,676.0,447.0,26.0,6.0,0.0,5.0,3.0,7.0,1.0,9493.0,10630.0,179.0,8525.0,9177.0,136.0,968.0,1453.0,43.0,6.0,0.0,5.0,3.0,8.0,1.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,8,Red,mid,Kokas,oe:player:9bb13d8190be088c48eeddd1ca2ced6,Bis Esports,oe:team:588c0f09975443cbfbbe71a9ac1d75c,Sylas,Jinx,Xin Zhao,Jayce,Zilean,Syndra,,,,,,1945,0,1,6,5,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,9109.0,280.9974,0.151905,657.4704,431.1979,17.0,0.5244,5.0,0.1542,6.0,24.0,0.7404,8926,4683.0,144.4627,0.165404,8700.0,,,178.0,178.0,0.0,,,5.491,2936.0,3890.0,67.0,4358.0,5322.0,85.0,-1422.0,-1432.0,-18.0,0.0,1.0,2.0,4.0,0.0,0.0,4750.0,6450.0,116.0,7231.0,8320.0,141.0,-2481.0,-1870.0,-25.0,0.0,3.0,2.0,4.0,2.0,0.0,5593.0,7835.0,130.0,9768.0,11060.0,187.0,-4175.0,-3225.0,-57.0,0.0,3.0,3.0,6.0,5.0,0.0,6643.0,9295.0,150.0,12478.0,14211.0,255.0,-5835.0,-4916.0,-105.0,0.0,3.0,4.0,6.0,6.0,0.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,9,Red,bot,Sh3ry,oe:player:e0a43168d41258cae77aed2b6126541,Bis Esports,oe:team:588c0f09975443cbfbbe71a9ac1d75c,Twitch,Jinx,Xin Zhao,Jayce,Zilean,Syndra,,,,,,1945,0,2,4,2,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19853.0,612.4319,0.331076,430.4884,234.8792,13.0,0.401,4.0,0.1234,5.0,19.0,0.5861,12034,7791.0,240.3393,0.275189,11975.0,,,270.0,262.0,8.0,,,8.329,3369.0,3609.0,80.0,3579.0,3725.0,93.0,-210.0,-116.0,-13.0,0.0,1.0,0.0,0.0,2.0,0.0,4858.0,5660.0,121.0,5293.0,5558.0,138.0,-435.0,102.0,-17.0,0.0,1.0,0.0,0.0,4.0,0.0,6645.0,8228.0,169.0,7688.0,8105.0,183.0,-1043.0,123.0,-14.0,0.0,1.0,2.0,1.0,7.0,1.0,8237.0,9736.0,209.0,9549.0,10222.0,220.0,-1312.0,-486.0,-11.0,0.0,1.0,2.0,2.0,7.0,1.0
ESPORTSTMNT03_2650253,complete,,NEXO,2022,Split 1,0,2022-03-15 16:32:38,1,12.05,10,Red,sup,BIS Men,,Bis Esports,oe:team:588c0f09975443cbfbbe71a9ac1d75c,Galio,Jinx,Xin Zhao,Jayce,Zilean,Syndra,,,,,,1945,0,0,4,7,10,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3085,0.9871,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6156.0,189.9023,0.10266,553.5733,754.7969,28.0,0.8638,7.0,0.2159,6.0,53.0,1.635,6884,2641.0,81.4704,0.0932745,6600.0,,,53.0,53.0,0.0,,,1.635,2278.0,2497.0,24.0,2685.0,2486.0,15.0,-407.0,11.0,9.0,0.0,1.0,2.0,1.0,3.0,2.0,3571.0,3911.0,34.0,4206.0,4114.0,25.0,-635.0,-203.0,9.0,0.0,3.0,2.0,2.0,4.0,3.0,4683.0,4777.0,44.0,5769.0,6086.0,31.0,-1086.0,-1309.0,13.0,0.0,4.0,3.0,2.0,9.0,4.0,5430.0,5637.0,46.0,6732.0,6940.0,36.0,-1302.0,-1303.0,10.0,0.0,4.0,3.0,2.0,10.0,4.0
