gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,1,Blue,top,Akkers,oe:player:2b3304094ff4e0d52c949a893b64b56,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,Renekton,Aatrox,K'Sante,Syndra,Rell,Leona,,,,,,1893,0,6,5,3,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,20964,664.4691,0.285263,1352.393,1212.2029,11,0.3487,7,0.2219,0,26,0.8241,13577,9440,299.2076,0.304051,13400,,,253.0,249.0,4,,,8.019,3248.0,4385.0,75.0,3830.0,4716.0,80.0,-582.0,-331.0,-5.0,1.0,0.0,2.0,2.0,0.0,1.0,5269.0,7376.0,121.0,5487.0,7150.0,125.0,-218.0,226.0,-4.0,2.0,0.0,2.0,2.0,0.0,2.0,7462.0,10608.0,184.0,7223.0,8712.0,146.0,239.0,1896.0,38.0,2.0,1.0,2.0,3.0,1.0,2.0,10523.0,12697.0,219.0,9544.0,11728.0,178.0,979.0,969.0,41.0,4.0,2.0,3.0,5.0,2.0,3.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,2,Blue,jng,Krisyss,oe:player:f46684e3ae43b3cf8cae5fb79d27c79,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,Jarvan IV,Aatrox,K'Sante,Syndra,Rell,Leona,,,,,,1893,0,0,6,6,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853,1.046,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,8897,281.9968,0.121064,790.0158,1108.0507,7,0.2219,9,0.2853,4,29,0.9192,9176,5039,159.7147,0.162295,8650,,,169.0,23.0,146,,,5.3566,2869.0,3356.0,57.0,4331.0,4253.0,76.0,-1462.0,-897.0,-19.0,0.0,0.0,1.0,2.0,3.0,0.0,4471.0,5368.0,89.0,5794.0,6284.0,111.0,-1323.0,-916.0,-22.0,0.0,1.0,1.0,2.0,3.0,0.0,5976.0,7490.0,122.0,7918.0,8257.0,130.0,-1942.0,-767.0,-8.0,0.0,1.0,3.0,3.0,5.0,1.0,7533.0,9634.0,146.0,10389.0,10975.0,155.0,-2856.0,-1341.0,-9.0,0.0,4.0,4.0,4.0,8.0,1.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,3,Blue,mid,Ketsuo,oe:player:da36e5cf72c5a1bbff37ea174b8138d,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,Orianna,Aatrox,K'Sante,Syndra,Rell,Leona,,,,,,1893,0,1,2,5,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2853,1.046,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,26215,830.9033,0.356715,419.271,393.5341,14,0.4437,8,0.2536,5,29,0.9192,11197,7060,223.7718,0.227391,10625,,,273.0,273.0,0,,,8.6529,3203.0,4651.0,81.0,3584.0,4935.0,85.0,-381.0,-284.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,4941.0,7527.0,137.0,5797.0,8079.0,145.0,-856.0,-552.0,-8.0,0.0,0.0,1.0,0.0,2.0,0.0,6983.0,10774.0,192.0,8068.0,10764.0,193.0,-1085.0,10.0,-1.0,0.0,1.0,1.0,0.0,4.0,0.0,8995.0,13508.0,234.0,10339.0,13756.0,227.0,-1344.0,-248.0,7.0,1.0,3.0,1.0,0.0,6.0,0.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,4,Blue,bot,Spark,oe:player:02f6ffdf4bd4b275598106ebe404502,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,Ashe,Aatrox,K'Sante,Syndra,Rell,Leona,,,,,,1893,0,2,6,3,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,11444,362.7258,0.155722,557.401,303.0745,6,0.1902,9,0.2853,0,22,0.6973,11180,7043,223.233,0.226844,10650,,,254.0,250.0,4,,,8.0507,3329.0,3561.0,92.0,3790.0,3749.0,82.0,-461.0,-188.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,4851.0,5108.0,133.0,6350.0,6315.0,142.0,-1499.0,-1207.0,-9.0,0.0,0.0,1.0,2.0,0.0,0.0,6593.0,6600.0,158.0,9883.0,9308.0,202.0,-3290.0,-2708.0,-44.0,1.0,0.0,3.0,5.0,1.0,0.0,7980.0,7826.0,181.0,12288.0,12275.0,242.0,-4308.0,-4449.0,-61.0,1.0,2.0,4.0,6.0,4.0,1.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,5,Blue,sup,Jamsu,oe:player:3a9ef94b7e6b38efae7dc169d89cbe1,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,Seraphine,Aatrox,K'Sante,Syndra,Rell,Leona,,,,,,1893,0,0,5,6,9,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,5970,189.2235,0.0812355,521.4263,397.8764,41,1.2995,13,0.412,7,89,2.8209,6603,2466,78.1616,0.0794192,6325,,,27.0,27.0,0,,,0.8558,2150.0,2452.0,12.0,2140.0,2440.0,11.0,10.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3232.0,3600.0,17.0,3818.0,3094.0,20.0,-586.0,506.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,4246.0,4428.0,22.0,5103.0,4493.0,23.0,-857.0,-65.0,-1.0,0.0,1.0,2.0,0.0,5.0,0.0,5332.0,6738.0,25.0,6661.0,6334.0,27.0,-1329.0,404.0,-2.0,0.0,4.0,3.0,0.0,9.0,1.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,6,Red,jng,hybradge,oe:player:9e239ff6abacdf305118af883b83db8,Nativz,oe:team:a73a242584df96b35d6e606d93608f8,Viego,Xin Zhao,Poppy,Skarner,Braum,Renata Glasc,,,,,,1893,1,5,1,12,24,9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7607,1.046,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,14465,458.4786,0.160957,1115.9429,744.5959,11,0.3487,7,0.2219,23,36,1.141,13563,9426,298.7639,0.211497,11750,,,190.0,19.0,171,,,6.0222,4331.0,4253.0,76.0,2869.0,3356.0,57.0,1462.0,897.0,19.0,2.0,3.0,0.0,0.0,0.0,1.0,5794.0,6284.0,111.0,4471.0,5368.0,89.0,1323.0,916.0,22.0,2.0,3.0,0.0,0.0,1.0,1.0,7918.0,8257.0,130.0,5976.0,7490.0,122.0,1942.0,767.0,8.0,3.0,5.0,1.0,0.0,1.0,3.0,10389.0,10975.0,155.0,7533.0,9634.0,146.0,2856.0,1341.0,9.0,4.0,8.0,1.0,0.0,4.0,4.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,7,Red,top,Archfiend,oe:player:1ed985bf5e092b7db1264cd79db60ea,Nativz,oe:team:a73a242584df96b35d6e606d93608f8,Ornn,Xin Zhao,Poppy,Skarner,Braum,Renata Glasc,,,,,,1893,1,6,3,8,24,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,21258,673.7876,0.236544,621.5214,1032.1712,11,0.3487,3,0.0951,2,23,0.729,13067,8930,283.0428,0.200368,11200,,,229.0,229.0,0,,,7.2583,3830.0,4716.0,80.0,3248.0,4385.0,75.0,582.0,331.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,5487.0,7150.0,125.0,5269.0,7376.0,121.0,218.0,-226.0,4.0,2.0,0.0,2.0,2.0,0.0,2.0,7223.0,8712.0,146.0,7462.0,10608.0,184.0,-239.0,-1896.0,-38.0,3.0,1.0,2.0,2.0,1.0,2.0,9544.0,11728.0,178.0,10523.0,12697.0,219.0,-979.0,-969.0,-41.0,5.0,2.0,3.0,4.0,2.0,3.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,8,Red,mid,D1verse,oe:player:e6d07e10777c4dbc47857a3ac2c66fe,Nativz,oe:team:a73a242584df96b35d6e606d93608f8,Yone,Xin Zhao,Poppy,Skarner,Braum,Renata Glasc,,,,,,1893,1,2,1,6,24,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7607,1.046,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,18484,585.8637,0.205677,836.9255,853.6609,14,0.4437,2,0.0634,7,24,0.7607,13264,9127,289.2868,0.204788,12425,,,267.0,251.0,16,,,8.4628,3584.0,4935.0,85.0,3203.0,4651.0,81.0,381.0,284.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,5797.0,8079.0,145.0,4941.0,7527.0,137.0,856.0,552.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,8068.0,10764.0,193.0,6983.0,10774.0,192.0,1085.0,-10.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,10339.0,13756.0,227.0,8995.0,13508.0,234.0,1344.0,248.0,-7.0,0.0,6.0,0.0,1.0,3.0,1.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,9,Red,bot,MKR,oe:player:c1353b4e2353fa3dc4e590d580ed9e5,Nativz,oe:team:a73a242584df96b35d6e606d93608f8,Ziggs,Xin Zhao,Poppy,Skarner,Braum,Renata Glasc,,,,,,1893,1,11,1,7,24,9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,30704,973.1854,0.341653,342.9477,221.3629,12,0.3803,6,0.1902,6,30,0.9509,16542,12405,393.1854,0.278342,13400,,,282.0,270.0,12,,,8.9382,3790.0,3749.0,82.0,3329.0,3561.0,92.0,461.0,188.0,-10.0,2.0,0.0,0.0,0.0,0.0,1.0,6350.0,6315.0,142.0,4851.0,5108.0,133.0,1499.0,1207.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,9883.0,9308.0,202.0,6593.0,6600.0,158.0,3290.0,2708.0,44.0,5.0,1.0,0.0,1.0,0.0,3.0,12288.0,12275.0,242.0,7980.0,7826.0,181.0,4308.0,4449.0,61.0,6.0,4.0,1.0,1.0,2.0,4.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,10,Red,sup,LeoLeCargo,oe:player:f6f8d33e55497cb40269be33f894ab6,Nativz,oe:team:a73a242584df96b35d6e606d93608f8,Rakan,Xin Zhao,Poppy,Skarner,Braum,Renata Glasc,,,,,,1893,1,0,3,15,24,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607,1.046,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,4958,157.1474,0.0551692,543.9937,593.0269,68,2.1553,12,0.3803,17,129,4.0887,8817,4680,148.336,0.105005,8375,,,29.0,29.0,0,,,0.9192,2140.0,2440.0,11.0,2150.0,2452.0,12.0,-10.0,-12.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,3818.0,3094.0,20.0,3232.0,3600.0,17.0,586.0,-506.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5103.0,4493.0,23.0,4246.0,4428.0,22.0,857.0,65.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,6661.0,6334.0,27.0,5332.0,6738.0,25.0,1329.0,-404.0,2.0,0.0,9.0,1.0,0.0,4.0,3.0
LOLTMNT06_78012,complete,,NLC Aurora Open,2024,,1,2024-10-01 16:09:52,1,14.19,100,Blue,team,,,Brod and Friends,oe:team:997d9733dcd8c9d22df400b39800ff7,,Aatrox,K'Sante,Syndra,Rell,Leona,Jarvan IV,Ashe,Orianna,Seraphine,Renekton,1893,0,9,24,23,9,24,0.0,0.0,0.0,0.0,0.0,,,,0.2853,1.046,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,1.0,8.0,0.0,3.0,73490,2329.3185,,3640.5071,3414.7385,79,2.504,46,1.458,16,195,6.1807,51733,31046,984.0254,,49650,-0.140449,-4.12,,822.0,154,,,30.935,14799.0,18405.0,317.0,17675.0,20093.0,334.0,-2876.0,-1688.0,-17.0,1.0,0.0,6.0,6.0,6.0,1.0,22764.0,28979.0,497.0,27246.0,30922.0,543.0,-4482.0,-1943.0,-46.0,2.0,1.0,6.0,6.0,6.0,2.0,31260.0,39900.0,678.0,38195.0,41534.0,694.0,-6935.0,-1634.0,-16.0,3.0,4.0,11.0,11.0,16.0,3.0,40363.0,50403.0,805.0,49221.0,55068.0,829.0,-8858.0,-4665.0,-24.0,6.0,15.0,15.0,15.0,29.0,6.0
