gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,1,Blue,top,Banderas,oe:player:57abe5a8958c15444e9103873f8565a,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,Fiora,Poppy,Maokai,Ryze,Kennen,Galio,,,,,,1873,1,5,3,5,14,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4485,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,19257.0,616.882,0.330094,928.6706,925.8195,11.0,0.3524,8.0,0.2563,4.0,45.0,1.4415,14531,10434,334.2445,0.259749,15070.0,,,288.0,276.0,12.0,,,9.2258,3428.0,4943.0,85.0,3124.0,4856.0,80.0,304.0,87.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,5080.0,7657.0,132.0,4890.0,7445.0,120.0,190.0,212.0,12.0,0.0,1.0,1.0,0.0,1.0,1.0,7585.0,10401.0,171.0,6073.0,8620.0,139.0,1512.0,1781.0,32.0,2.0,1.0,2.0,0.0,2.0,3.0,10005.0,13114.0,220.0,7630.0,11165.0,180.0,2375.0,1949.0,40.0,2.0,4.0,3.0,0.0,3.0,4.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,2,Blue,jng,Yohan,oe:player:cc00384e754d3b4db840275587813eb,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,Vi,Poppy,Maokai,Ryze,Kennen,Galio,,,,,,1873,1,4,2,8,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485,0.7368,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,7020.0,224.8799,0.120333,711.575,1281.6871,9.0,0.2883,12.0,0.3844,8.0,53.0,1.6978,12173,8076,258.708,0.201051,10700.0,,,209.0,17.0,192.0,,,6.6951,3487.0,3598.0,68.0,3013.0,3314.0,63.0,474.0,284.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,5781.0,5953.0,109.0,4351.0,5264.0,96.0,1430.0,689.0,13.0,3.0,1.0,1.0,0.0,2.0,1.0,7898.0,9143.0,151.0,6276.0,7848.0,130.0,1622.0,1295.0,21.0,3.0,3.0,1.0,1.0,2.0,1.0,9260.0,10834.0,171.0,8088.0,9656.0,152.0,1172.0,1178.0,19.0,3.0,5.0,2.0,2.0,3.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,3,Blue,mid,FireRain,oe:player:ee8d313390db21907037cef1c8d6f81,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,Syndra,Poppy,Maokai,Ryze,Kennen,Galio,,,,,,1873,1,3,1,4,14,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14133.0,452.7389,0.242261,310.5072,216.583,9.0,0.2883,4.0,0.1281,5.0,30.0,0.961,13499,9402,301.1853,0.234059,13025.0,,,280.0,268.0,12.0,,,8.9696,3261.0,4663.0,93.0,3558.0,4589.0,87.0,-297.0,74.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,5043.0,7319.0,141.0,5927.0,7568.0,139.0,-884.0,-249.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,7153.0,9589.0,187.0,7615.0,9784.0,180.0,-462.0,-195.0,7.0,0.0,1.0,1.0,3.0,2.0,0.0,9775.0,11933.0,219.0,8848.0,11546.0,205.0,927.0,387.0,14.0,2.0,2.0,1.0,3.0,4.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,4,Blue,bot,Reptile,oe:player:aa645186a4b5f3f27952c2fa5485fab,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,Zeri,Poppy,Maokai,Ryze,Kennen,Galio,,,,,,1873,1,2,1,7,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13495.0,432.3011,0.231324,203.1927,190.8275,13.0,0.4164,15.0,0.4805,4.0,49.0,1.5697,13352,9255,296.4762,0.2304,11500.0,,,286.0,270.0,16.0,,,9.1618,3182.0,3439.0,83.0,3401.0,3496.0,93.0,-219.0,-57.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,5210.0,5487.0,124.0,5399.0,5720.0,138.0,-189.0,-233.0,-14.0,1.0,2.0,1.0,1.0,3.0,1.0,7136.0,7819.0,174.0,8207.0,8789.0,215.0,-1071.0,-970.0,-41.0,1.0,2.0,1.0,1.0,3.0,1.0,9750.0,10496.0,229.0,10400.0,10998.0,260.0,-650.0,-502.0,-31.0,2.0,4.0,1.0,2.0,4.0,2.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,5,Blue,sup,kibah,oe:player:9f65f7ff237a92d74cf2bf2420f2751,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,Nautilus,Poppy,Maokai,Ryze,Kennen,Galio,,,,,,1873,1,0,2,8,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4433.0,142.0075,0.0759882,258.5798,368.7453,53.0,1.6978,11.0,0.3524,12.0,95.0,3.0432,7099,3002,96.1666,0.0747417,6200.0,,,30.0,30.0,0.0,,,0.961,2042.0,2334.0,12.0,2555.0,2807.0,14.0,-513.0,-473.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,3073.0,3813.0,19.0,3753.0,3955.0,21.0,-680.0,-142.0,-2.0,0.0,2.0,1.0,1.0,4.0,1.0,4177.0,4643.0,22.0,5116.0,5840.0,27.0,-939.0,-1197.0,-5.0,0.0,2.0,1.0,1.0,5.0,1.0,5314.0,6453.0,27.0,6118.0,7391.0,33.0,-804.0,-938.0,-6.0,0.0,5.0,1.0,1.0,7.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,6,Red,top,Lingwi,oe:player:ade06decf6a36427e564af1f48f0cf3,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,Gnar,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,,,,,,1873,0,0,6,4,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,9977.0,319.6049,0.218837,743.1287,652.9204,14.0,0.4485,4.0,0.1281,5.0,47.0,1.5056,9635,5538,177.4052,0.186321,9608.0,,,219.0,211.0,8.0,,,7.0155,3124.0,4856.0,80.0,3428.0,4943.0,85.0,-304.0,-87.0,-5.0,0.0,1.0,1.0,0.0,1.0,1.0,4890.0,7445.0,120.0,5080.0,7657.0,132.0,-190.0,-212.0,-12.0,0.0,1.0,1.0,0.0,1.0,1.0,6073.0,8620.0,139.0,7585.0,10401.0,171.0,-1512.0,-1781.0,-32.0,0.0,2.0,3.0,2.0,1.0,2.0,7630.0,11165.0,180.0,10005.0,13114.0,220.0,-2375.0,-1949.0,-40.0,0.0,3.0,4.0,2.0,4.0,3.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,7,Red,jng,Ploxy,oe:player:d9010060524eb15f81d4a5301286782,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,Wukong,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,,,,,,1873,0,2,2,4,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6182.0,198.0352,0.135597,733.4864,869.2152,5.0,0.1602,14.0,0.4485,3.0,42.0,1.3454,9485,5388,172.6001,0.181275,7925.0,,,175.0,32.0,143.0,,,5.606,3013.0,3314.0,63.0,3487.0,3598.0,68.0,-474.0,-284.0,-5.0,0.0,1.0,0.0,1.0,0.0,1.0,4351.0,5264.0,96.0,5781.0,5953.0,109.0,-1430.0,-689.0,-13.0,0.0,2.0,1.0,3.0,1.0,1.0,6276.0,7848.0,130.0,7898.0,9143.0,151.0,-1622.0,-1295.0,-21.0,1.0,2.0,1.0,3.0,3.0,1.0,8088.0,9656.0,152.0,9260.0,10834.0,171.0,-1172.0,-1178.0,-19.0,2.0,3.0,1.0,3.0,5.0,2.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,8,Red,mid,Luka,oe:player:24c8e8fdd203338d06e4330c28c90d1,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,Karma,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,,,,,,1873,0,3,1,5,9,14,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2883,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10258.0,328.6065,0.225001,323.0966,422.2744,12.0,0.3844,9.0,0.2883,5.0,43.0,1.3775,10614,6517,208.7667,0.219256,10660.0,,,244.0,239.0,5.0,,,7.8163,3558.0,4589.0,87.0,3261.0,4663.0,93.0,297.0,-74.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,5927.0,7568.0,139.0,5043.0,7319.0,141.0,884.0,249.0,-2.0,3.0,2.0,0.0,0.0,1.0,1.0,7615.0,9784.0,180.0,7153.0,9589.0,187.0,462.0,195.0,-7.0,3.0,2.0,0.0,0.0,1.0,1.0,8848.0,11546.0,205.0,9775.0,11933.0,219.0,-927.0,-387.0,-14.0,3.0,4.0,1.0,2.0,2.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,9,Red,bot,Chrisberg,oe:player:5bf1b803771e3a118a9db1fdfcbaa58,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,Varus,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,,,,,,1873,0,3,3,4,9,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2883,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14843.0,475.4832,0.325569,385.4992,406.7379,10.0,0.3203,12.0,0.3844,1.0,44.0,1.4095,13149,9052,289.9733,0.304537,12425.0,,,327.0,315.0,12.0,,,10.4752,3401.0,3496.0,93.0,3182.0,3439.0,83.0,219.0,57.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5399.0,5720.0,138.0,5210.0,5487.0,124.0,189.0,233.0,14.0,1.0,3.0,1.0,1.0,2.0,1.0,8207.0,8789.0,215.0,7136.0,7819.0,174.0,1071.0,970.0,41.0,1.0,3.0,1.0,1.0,2.0,1.0,10400.0,10998.0,260.0,9750.0,10496.0,229.0,650.0,502.0,31.0,2.0,4.0,2.0,2.0,4.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,10,Red,sup,Touch,oe:player:f0f31c9700c6b10d8a20dc487b2ae6a,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,Braum,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,,,,,,1873,0,1,2,8,9,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2883,0.7368,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4331.0,138.74,0.0949968,379.5408,421.9541,53.0,1.6978,16.0,0.5125,13.0,110.0,3.5238,7325,3228,103.4063,0.10861,6725.0,,,40.0,40.0,0.0,,,1.2814,2555.0,2807.0,14.0,2042.0,2334.0,12.0,513.0,473.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3753.0,3955.0,21.0,3073.0,3813.0,19.0,680.0,142.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,5116.0,5840.0,27.0,4177.0,4643.0,22.0,939.0,1197.0,5.0,1.0,5.0,1.0,0.0,2.0,1.0,6118.0,7391.0,33.0,5314.0,6453.0,27.0,804.0,938.0,6.0,1.0,7.0,1.0,0.0,5.0,1.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,100,Blue,team,,,Riddle Esports,oe:team:9eb531c72890b1ae7e50122f0884f37,,Poppy,Maokai,Ryze,Kennen,Galio,Fiora,Vi,Zeri,Syndra,Nautilus,1873,1,14,9,32,14,9,2.0,0.0,0.0,0.0,0.0,,,,0.4485,0.7368,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,0.0,,,1.0,1.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,58338.0,1868.8094,,2412.5254,2983.6626,95.0,3.0432,50.0,1.6017,33.0,272.0,8.7133,60654,40171,1286.8446,,56495.0,0.176275,0.1,,861.0,232.0,,,35.0133,15400.0,18977.0,341.0,15651.0,19062.0,337.0,-251.0,-85.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,24187.0,30229.0,525.0,24320.0,29952.0,514.0,-133.0,277.0,11.0,4.0,7.0,5.0,5.0,12.0,4.0,33949.0,41595.0,705.0,33287.0,40881.0,691.0,662.0,714.0,14.0,6.0,9.0,6.0,6.0,14.0,6.0,44104.0,52830.0,866.0,41084.0,50756.0,830.0,3020.0,2074.0,36.0,9.0,20.0,8.0,8.0,21.0,9.0
ESPORTSTMNT02_3139465,complete,,NLC,2023,Spring,0,2023-01-24 17:06:12,1,13.01,200,Red,team,,,Vanir,oe:team:ed2763d0f6ca9c05c17d888f3dc956e,,Nami,Heimerdinger,Sejuani,Lulu,Yuumi,Wukong,Varus,Karma,Gnar,Braum,1873,0,9,14,25,9,14,1.0,0.0,0.0,0.0,1.0,,,,0.2883,0.7368,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,1.0,1.0,2.0,11.0,1.0,0.0,4.0,0.0,0.0,1.0,45591.0,1460.4698,,2564.7517,2773.102,94.0,3.0112,55.0,1.7619,27.0,286.0,9.1618,50208,29725,952.2157,,47343.0,-0.176275,-0.1,,837.0,168.0,,,32.1943,15651.0,19062.0,337.0,15400.0,18977.0,341.0,251.0,85.0,-4.0,2.0,5.0,1.0,1.0,1.0,2.0,24320.0,29952.0,514.0,24187.0,30229.0,525.0,133.0,-277.0,-11.0,5.0,12.0,4.0,4.0,7.0,5.0,33287.0,40881.0,691.0,33949.0,41595.0,705.0,-662.0,-714.0,-14.0,6.0,14.0,6.0,6.0,9.0,6.0,41084.0,50756.0,830.0,44104.0,52830.0,866.0,-3020.0,-2074.0,-36.0,8.0,21.0,9.0,9.0,20.0,8.0
