gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,1,Blue,top,Baus,oe:player:7f77fb35ead1b44ec7cb3ebb5a395ac,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,Cho'Gath,Poppy,Kalista,Skarner,Renata Glasc,Braum,,,,,,1592,1,3,6,6,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,20287,764.5854,0.274787,1304.5101,1213.907,9,0.3392,2,0.0754,0,18,0.6784,12833,9310,350.8794,0.222627,11410,,,250.0,246.0,4,,,9.4221,3302.0,4681.0,87.0,3333.0,4831.0,87.0,-31.0,-150.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5096.0,7619.0,139.0,5280.0,7434.0,130.0,-184.0,185.0,9.0,0.0,0.0,5.0,1.0,1.0,1.0,8214.0,11378.0,206.0,7704.0,11148.0,194.0,510.0,230.0,12.0,0.0,0.0,5.0,2.0,1.0,1.0,11362.0,14129.0,243.0,9153.0,12063.0,203.0,2209.0,2066.0,40.0,2.0,3.0,6.0,3.0,1.0,3.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,2,Blue,jng,Velja,oe:player:a68581f40d30119bad63673b157e660,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,Jarvan IV,Poppy,Kalista,Skarner,Renata Glasc,Braum,,,,,,1592,1,0,1,17,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538,1.0176,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,8788,331.206,0.119033,1092.8518,1073.2915,7,0.2638,7,0.2638,4,33,1.2437,9692,6169,232.5,0.147515,8375,,,167.0,10.0,157,,,6.294,3210.0,3868.0,72.0,3903.0,4091.0,72.0,-693.0,-223.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5053.0,6283.0,112.0,5448.0,6358.0,109.0,-395.0,-75.0,3.0,0.0,4.0,0.0,2.0,2.0,1.0,6424.0,8237.0,131.0,7046.0,8560.0,146.0,-622.0,-323.0,-15.0,0.0,7.0,1.0,2.0,3.0,1.0,8533.0,11164.0,156.0,8223.0,9618.0,157.0,310.0,1546.0,-1.0,0.0,13.0,1.0,2.0,4.0,3.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,3,Blue,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,Galio,Poppy,Kalista,Skarner,Renata Glasc,Braum,,,,,,1592,1,2,0,14,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,15523,585.0377,0.210259,814.6357,1088.8191,7,0.2638,4,0.1508,2,18,0.6784,11025,7502,282.7387,0.179391,9450,,,226.0,226.0,0,,,8.5176,3454.0,4660.0,96.0,3406.0,5114.0,93.0,48.0,-454.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5510.0,7329.0,144.0,5131.0,7776.0,140.0,379.0,-447.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,7835.0,10654.0,196.0,6902.0,10613.0,188.0,933.0,41.0,8.0,1.0,5.0,0.0,0.0,1.0,2.0,9764.0,12965.0,218.0,8624.0,13086.0,229.0,1140.0,-121.0,-11.0,2.0,10.0,0.0,0.0,2.0,3.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,4,Blue,bot,Crownie,oe:player:1c51707d8fd9873c9fd184e2cd01b33,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,Corki,Poppy,Kalista,Skarner,Renata Glasc,Braum,,,,,,1592,1,12,0,5,20,7,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7538,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,20941,789.2337,0.283646,639.1583,363.505,9,0.3392,11,0.4146,0,28,1.0553,16116,12593,474.6106,0.301134,13883,,,306.0,278.0,28,,,11.5327,4348.0,3581.0,95.0,3222.0,3212.0,72.0,1126.0,369.0,23.0,2.0,0.0,0.0,1.0,0.0,1.0,7418.0,6478.0,154.0,5387.0,6166.0,128.0,2031.0,312.0,26.0,4.0,2.0,0.0,2.0,1.0,1.0,10384.0,9683.0,218.0,7001.0,8679.0,172.0,3383.0,1004.0,46.0,6.0,3.0,0.0,2.0,2.0,2.0,14401.0,13229.0,289.0,9015.0,11265.0,222.0,5386.0,1964.0,67.0,10.0,4.0,0.0,2.0,2.0,3.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,5,Blue,sup,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,Rell,Poppy,Kalista,Skarner,Renata Glasc,Braum,,,,,,1592,1,3,0,16,20,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7538,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,8289,312.3995,0.112274,359.2085,703.4548,46,1.7337,18,0.6784,11,101,3.8065,9768,6245,235.3643,0.149332,8175,,,46.0,46.0,0,,,1.7337,2792.0,3087.0,20.0,2415.0,2709.0,19.0,377.0,378.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,4791.0,4346.0,34.0,3487.0,3977.0,23.0,1304.0,369.0,11.0,1.0,5.0,0.0,0.0,3.0,2.0,6424.0,6381.0,41.0,4421.0,5229.0,26.0,2003.0,1152.0,15.0,2.0,7.0,0.0,0.0,4.0,3.0,8379.0,8884.0,46.0,5523.0,6174.0,29.0,2856.0,2710.0,17.0,2.0,13.0,0.0,0.0,4.0,4.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,6,Red,top,Vizicsacsi,oe:player:e0b008815ab05c5cdaf4d46ab61ff63,NORD Esports,oe:team:6ef01b22224b92f917d70dd9f33568b,K'Sante,Wukong,Gragas,Syndra,Akali,Rakan,,,,,,1592,0,3,4,1,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,15981,602.299,0.229204,972.0603,1020.0754,12,0.4523,2,0.0754,3,19,0.7161,9473,5950,224.2462,0.245738,9125,,,207.0,207.0,0,,,7.8015,3333.0,4831.0,87.0,3302.0,4681.0,87.0,31.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5280.0,7434.0,130.0,5096.0,7619.0,139.0,184.0,-185.0,-9.0,1.0,1.0,1.0,0.0,0.0,5.0,7704.0,11148.0,194.0,8214.0,11378.0,206.0,-510.0,-230.0,-12.0,2.0,1.0,1.0,0.0,0.0,5.0,9153.0,12063.0,203.0,11362.0,14129.0,243.0,-2209.0,-2066.0,-40.0,3.0,1.0,3.0,2.0,3.0,6.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,7,Red,jng,Santorin,oe:player:9772f394c5e44d54e76aae1647217d0,NORD Esports,oe:team:6ef01b22224b92f917d70dd9f33568b,Vi,Wukong,Gragas,Syndra,Akali,Rakan,,,,,,1592,0,2,4,4,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0,0.0,10182,383.7437,0.146033,1090.5151,915.3392,7,0.2638,11,0.4146,5,42,1.5829,8411,4888,184.2211,0.201875,8275,,,157.0,14.0,143,,,5.9171,3903.0,4091.0,72.0,3210.0,3868.0,72.0,693.0,223.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5448.0,6358.0,109.0,5053.0,6283.0,112.0,395.0,75.0,-3.0,2.0,2.0,1.0,0.0,4.0,0.0,7046.0,8560.0,146.0,6424.0,8237.0,131.0,622.0,323.0,15.0,2.0,3.0,1.0,0.0,7.0,1.0,8223.0,9618.0,157.0,8533.0,11164.0,156.0,-310.0,-1546.0,1.0,2.0,4.0,3.0,0.0,13.0,1.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,8,Red,mid,NoWay,oe:player:e0d8a0e1bd9f784fd175ff76b72102f,NORD Esports,oe:team:6ef01b22224b92f917d70dd9f33568b,Viktor,Wukong,Gragas,Syndra,Akali,Rakan,,,,,,1592,0,0,3,2,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,24177,911.1935,0.346753,450.1131,426.4824,9,0.3392,1,0.0377,3,16,0.603,8956,5433,204.7613,0.224385,8675,,,233.0,231.0,2,,,8.7814,3406.0,5114.0,93.0,3454.0,4660.0,96.0,-48.0,454.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5131.0,7776.0,140.0,5510.0,7329.0,144.0,-379.0,447.0,-4.0,0.0,0.0,1.0,1.0,2.0,0.0,6902.0,10613.0,188.0,7835.0,10654.0,196.0,-933.0,-41.0,-8.0,0.0,1.0,2.0,1.0,5.0,0.0,8624.0,13086.0,229.0,9764.0,12965.0,218.0,-1140.0,121.0,11.0,0.0,2.0,3.0,2.0,10.0,0.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,9,Red,bot,xMatty,oe:player:3a3cf889f1996110ab52915425d60b5,NORD Esports,oe:team:6ef01b22224b92f917d70dd9f33568b,Varus,Wukong,Gragas,Syndra,Akali,Rakan,,,,,,1592,0,2,4,2,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,13800,520.1005,0.197923,368.3291,153.3543,12,0.4523,2,0.0754,3,18,0.6784,9231,5708,215.1256,0.235743,9325,,,224.0,224.0,0,,,8.4422,3222.0,3212.0,72.0,4348.0,3581.0,95.0,-1126.0,-369.0,-23.0,1.0,0.0,1.0,2.0,0.0,0.0,5387.0,6166.0,128.0,7418.0,6478.0,154.0,-2031.0,-312.0,-26.0,2.0,1.0,1.0,4.0,2.0,0.0,7001.0,8679.0,172.0,10384.0,9683.0,218.0,-3383.0,-1004.0,-46.0,2.0,2.0,2.0,6.0,3.0,0.0,9015.0,11265.0,222.0,14401.0,13229.0,289.0,-5386.0,-1964.0,-67.0,2.0,2.0,3.0,10.0,4.0,0.0
LOLTMNT06_95254,complete,,NLC,2025,Winter,0,2025-01-15 17:08:03,1,15.01,10,Red,sup,Treatz,oe:player:8f7b1c81a23c62a54a6b663cf6badaa,NORD Esports,oe:team:6ef01b22224b92f917d70dd9f33568b,Alistar,Wukong,Gragas,Syndra,Akali,Rakan,,,,,,1592,0,0,5,4,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2638,1.0176,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,5584,210.4523,0.0800872,615.8291,620.3141,48,1.809,7,0.2638,10,79,2.9774,5757,2234,84.196,0.0922583,5300,,,29.0,29.0,0,,,1.093,2415.0,2709.0,19.0,2792.0,3087.0,20.0,-377.0,-378.0,-1.0,0.0,2.0,1.0,0.0,2.0,0.0,3487.0,3977.0,23.0,4791.0,4346.0,34.0,-1304.0,-369.0,-11.0,0.0,3.0,2.0,1.0,5.0,0.0,4421.0,5229.0,26.0,6424.0,6381.0,41.0,-2003.0,-1152.0,-15.0,0.0,4.0,3.0,2.0,7.0,0.0,5523.0,6174.0,29.0,8379.0,8884.0,46.0,-2856.0,-2710.0,-17.0,0.0,4.0,4.0,2.0,13.0,0.0
