gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,1,Blue,top,Frogadog,oe:player:e79c23b4614cdec99e3b239aee9a714,Alpha Sydney,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,Fiora,Gangplank,Bard,Nidalee,,,,,,,,1976,0,1,4,5,9,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17522.0,532.0445,0.245032,783.0364,0.0,18.0,0.5466,3.0,0.0911,4.0,0.0,0.0,11493.0,7207.0,218.836,0.223252,11000.0,,,267.0,257.0,10.0,10.0,0.0,8.1073,3102.0,4669.0,82.0,3057.0,4699.0,74.0,45.0,-30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5212.0,7654.0,137.0,4976.0,7469.0,119.0,236.0,185.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,7037.0,10113.0,177.0,7074.0,10062.0,159.0,-37.0,51.0,18.0,0.0,2.0,1.0,2.0,2.0,1.0,9013.0,12224.0,210.0,9073.0,11636.0,180.0,-60.0,588.0,30.0,1.0,4.0,2.0,3.0,3.0,2.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,2,Blue,jng,Only,oe:player:8392461cf759088854e16710b9b75d1,Alpha Sydney,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,Rek'Sai,Gangplank,Bard,Nidalee,,,,,,,,1976,0,2,0,5,9,19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2733,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7435.0,225.7591,0.103973,1107.4798,0.0,40.0,1.2146,13.0,0.3947,6.0,0.0,0.0,10926.0,6640.0,201.6194,0.205688,10675.0,,,153.0,55.0,98.0,85.0,13.0,4.6457,3091.0,3527.0,41.0,2997.0,3325.0,40.0,94.0,202.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4810.0,6012.0,67.0,4631.0,5259.0,57.0,179.0,753.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,6660.0,8511.0,90.0,6708.0,7821.0,80.0,-48.0,690.0,10.0,1.0,2.0,0.0,2.0,3.0,0.0,8520.0,10664.0,119.0,8661.0,10113.0,99.0,-141.0,551.0,20.0,1.0,4.0,0.0,2.0,5.0,1.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,3,Blue,mid,Btka,oe:player:678a51e5e7a63b88ffc0a8d938716c9,Alpha Sydney,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,Orianna,Gangplank,Bard,Nidalee,,,,,,,,1976,0,4,4,3,9,19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2733,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,25059.0,760.9008,0.350431,479.4231,0.0,18.0,0.5466,3.0,0.0911,3.0,0.0,0.0,12594.0,8308.0,252.2672,0.257359,11775.0,,,278.0,250.0,28.0,24.0,4.0,8.4413,3690.0,4978.0,91.0,3483.0,4293.0,80.0,207.0,685.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,5750.0,7919.0,153.0,5417.0,7003.0,132.0,333.0,916.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,8229.0,10281.0,190.0,7482.0,8791.0,158.0,747.0,1490.0,32.0,3.0,1.0,1.0,1.0,2.0,2.0,10190.0,11943.0,228.0,10795.0,12273.0,216.0,-605.0,-330.0,12.0,4.0,1.0,2.0,2.0,4.0,2.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,4,Blue,bot,Blinky,oe:player:71abdf09ea3f9efb2fc7abae36672b8,Alpha Sydney,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,Lucian,Gangplank,Bard,Nidalee,,,,,,,,1976,0,2,5,5,9,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,16959.0,514.9494,0.237159,474.5648,0.0,14.0,0.4251,10.0,0.3036,2.0,0.0,0.0,11111.0,6825.0,207.2368,0.211419,10500.0,,,227.0,218.0,9.0,8.0,1.0,6.8927,3166.0,3161.0,80.0,3268.0,3122.0,88.0,-102.0,39.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4780.0,4790.0,123.0,5121.0,5283.0,139.0,-341.0,-493.0,-16.0,0.0,0.0,1.0,0.0,2.0,0.0,6235.0,6037.0,145.0,7548.0,7437.0,182.0,-1313.0,-1400.0,-37.0,0.0,2.0,3.0,2.0,4.0,0.0,8358.0,8185.0,174.0,10004.0,9455.0,220.0,-1646.0,-1270.0,-46.0,1.0,4.0,3.0,3.0,6.0,1.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,5,Blue,sup,Newto,oe:player:9d27c7bc3965c0f3d9a9ddae031ebb2,Alpha Sydney,oe:team:1704188dc8a75f5d0c78f344b5b9e9c,Alistar,Gangplank,Bard,Nidalee,,,,,,,,1976,0,0,6,6,9,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4534.0,137.6721,0.0634046,813.1275,0.0,19.0,0.5769,3.0,0.0911,1.0,0.0,0.0,7588.0,3302.0,100.2632,0.102282,6475.0,,,34.0,34.0,0.0,0.0,0.0,1.0324,1933.0,3044.0,9.0,2102.0,3005.0,11.0,-169.0,39.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,4579.0,15.0,3287.0,4896.0,17.0,-266.0,-317.0,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,4184.0,5777.0,17.0,4800.0,6222.0,22.0,-616.0,-445.0,-5.0,0.0,1.0,2.0,0.0,6.0,1.0,5727.0,7437.0,23.0,6445.0,7643.0,28.0,-718.0,-206.0,-5.0,0.0,4.0,3.0,0.0,9.0,1.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,6,Red,top,Skwiggle,oe:player:dcddcc7e6055f66fa9bf8eb2b8d3fa1,Legacy Genesis,oe:team:638506106b833cf5649e0490244eed4,Tahm Kench,Lulu,Lissandra,Graves,,,,,,,,1976,1,5,2,8,19,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20925.0,635.3745,0.234759,926.2652,0.0,18.0,0.5466,8.0,0.2429,3.0,0.0,0.0,13948.0,9662.0,293.3806,0.210506,11075.0,,,247.0,247.0,0.0,0.0,0.0,7.5,3057.0,4699.0,74.0,3102.0,4669.0,82.0,-45.0,30.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4976.0,7469.0,119.0,5212.0,7654.0,137.0,-236.0,-185.0,-18.0,1.0,0.0,0.0,0.0,0.0,0.0,7074.0,10062.0,159.0,7037.0,10113.0,177.0,37.0,-51.0,-18.0,2.0,2.0,1.0,0.0,2.0,1.0,9073.0,11636.0,180.0,9013.0,12224.0,210.0,60.0,-588.0,-30.0,3.0,3.0,2.0,1.0,4.0,2.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,7,Red,jng,Babip,oe:player:cc75d3f9b862e7e5d667d1ce2430fbd,Legacy Genesis,oe:team:638506106b833cf5649e0490244eed4,Elise,Lulu,Lissandra,Graves,,,,,,,,1976,1,4,2,9,19,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12135.0,368.4717,0.136143,496.3968,0.0,20.0,0.6073,18.0,0.5466,3.0,0.0,0.0,12753.0,8467.0,257.0951,0.18447,11250.0,,,129.0,60.0,69.0,61.0,8.0,3.917,2997.0,3325.0,40.0,3091.0,3527.0,41.0,-94.0,-202.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,4631.0,5259.0,57.0,4810.0,6012.0,67.0,-179.0,-753.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,6708.0,7821.0,80.0,6660.0,8511.0,90.0,48.0,-690.0,-10.0,2.0,3.0,0.0,1.0,2.0,0.0,8661.0,10113.0,99.0,8520.0,10664.0,119.0,141.0,-551.0,-20.0,2.0,5.0,1.0,1.0,4.0,0.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,8,Red,mid,Psyker,oe:player:22a932dbdb2c8828a3a87e1c827fabb,Legacy Genesis,oe:team:638506106b833cf5649e0490244eed4,Twisted Fate,Lulu,Lissandra,Graves,,,,,,,,1976,1,2,3,9,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5769,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20325.0,617.1559,0.228027,538.7551,0.0,14.0,0.4251,3.0,0.0911,3.0,0.0,0.0,15011.0,10725.0,325.6579,0.233666,13395.0,,,266.0,246.0,20.0,20.0,0.0,8.0769,3483.0,4293.0,80.0,3690.0,4978.0,91.0,-207.0,-685.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,5417.0,7003.0,132.0,5750.0,7919.0,153.0,-333.0,-916.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,7482.0,8791.0,158.0,8229.0,10281.0,190.0,-747.0,-1490.0,-32.0,1.0,2.0,2.0,3.0,1.0,1.0,10795.0,12273.0,216.0,10190.0,11943.0,228.0,605.0,330.0,-12.0,2.0,4.0,2.0,4.0,1.0,2.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,9,Red,bot,Zammi,oe:player:cfcaf2ae7aefa4a63e893debafcd880,Legacy Genesis,oe:team:638506106b833cf5649e0490244eed4,Kalista,Lulu,Lissandra,Graves,,,,,,,,1976,1,7,1,10,19,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,24600.0,746.9636,0.275989,435.1215,0.0,12.0,0.3644,8.0,0.2429,2.0,0.0,0.0,15310.0,11024.0,334.7368,0.240181,12850.0,,,286.0,270.0,16.0,11.0,5.0,8.6842,3268.0,3122.0,88.0,3166.0,3161.0,80.0,102.0,-39.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5121.0,5283.0,139.0,4780.0,4790.0,123.0,341.0,493.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,7548.0,7437.0,182.0,6235.0,6037.0,145.0,1313.0,1400.0,37.0,2.0,4.0,0.0,0.0,2.0,3.0,10004.0,9455.0,220.0,8358.0,8185.0,174.0,1646.0,1270.0,46.0,3.0,6.0,1.0,1.0,4.0,3.0
TRNA1/1000980900,complete,http://matchhistory.oce.leagueoflegends.com/en/#match-details/TRNA1/1000980900?gameHash=d097947b332b1dde,OCS,2016,,0,2016-02-04 06:29:39,1,6.01,10,Red,sup,Spoil,oe:player:2bff3c8519c8d1ddb202745b8bcdd09,Legacy Genesis,oe:team:638506106b833cf5649e0490244eed4,Poppy,Lulu,Lissandra,Graves,,,,,,,,1976,1,1,1,17,19,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11149.0,338.5324,0.125081,649.7368,0.0,24.0,0.7287,13.0,0.3947,2.0,0.0,0.0,10307.0,6021.0,182.8239,0.131178,7950.0,,,42.0,41.0,1.0,1.0,0.0,1.2753,2102.0,3005.0,11.0,1933.0,3044.0,9.0,169.0,-39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.0,4896.0,17.0,3021.0,4579.0,15.0,266.0,317.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4800.0,6222.0,22.0,4184.0,5777.0,17.0,616.0,445.0,5.0,0.0,6.0,1.0,0.0,1.0,2.0,6445.0,7643.0,28.0,5727.0,7437.0,23.0,718.0,206.0,5.0,0.0,9.0,1.0,0.0,4.0,3.0
