gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,1,Blue,top,Berserker,oe:player:79fa5b84e0a8e644a0ea3751a2ed8f1,Emprox,oe:team:85fcd014fb0b98c94dcbf3f7f1f207d,Darius,Sona,Ornn,Morgana,Jayce,Syndra,,,,,,2028,1,4,0,5,15,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19438.0,575.0888,0.325546,738.1361,772.8698,13.0,0.3846,2.0,0.0592,3.0,22.0,0.6509,16136.0,11723.0,346.8343,0.273593,14675.0,,,327.0,315.0,12.0,1.0,4.0,9.6746,3843.0,4996.0,88.0,2843.0,3841.0,64.0,1000.0,1155.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,6904.0,7820.0,140.0,4259.0,6069.0,97.0,2645.0,1751.0,43.0,1.0,2.0,0.0,0.0,0.0,3.0,9112.0,10904.0,198.0,6009.0,8525.0,142.0,3103.0,2379.0,56.0,1.0,2.0,0.0,0.0,0.0,3.0,11696.0,14133.0,249.0,8105.0,11607.0,201.0,3591.0,2526.0,48.0,2.0,2.0,0.0,0.0,0.0,4.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,2,Blue,jng,Paladin,oe:player:65dfcaac279a0c161650ded4956976e,Emprox,oe:team:85fcd014fb0b98c94dcbf3f7f1f207d,Kindred,Sona,Ornn,Morgana,Jayce,Syndra,,,,,,2028,1,1,0,10,15,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4438,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9648.0,285.4438,0.161584,645.3846,357.3077,9.0,0.2663,17.0,0.503,8.0,52.0,1.5385,11805.0,7392.0,218.6982,0.172518,10675.0,,,196.0,45.0,151.0,89.0,11.0,5.7988,3430.0,3355.0,60.0,2900.0,2739.0,55.0,530.0,616.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5099.0,5646.0,87.0,4425.0,4848.0,90.0,674.0,798.0,-3.0,1.0,2.0,0.0,0.0,0.0,2.0,6480.0,7498.0,106.0,5717.0,6553.0,116.0,763.0,945.0,-10.0,1.0,3.0,0.0,0.0,0.0,3.0,8193.0,9380.0,142.0,7021.0,8705.0,140.0,1172.0,675.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,3,Blue,mid,Lived,oe:player:0579842ca3ad16b00b58a1c432faa1c,Emprox,oe:team:85fcd014fb0b98c94dcbf3f7f1f207d,Ryze,Sona,Ornn,Morgana,Jayce,Syndra,,,,,,2028,1,5,1,5,15,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4438,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14789.0,437.5444,0.247685,416.1243,374.0828,17.0,0.503,1.0,0.0296,7.0,32.0,0.9467,14017.0,9604.0,284.142,0.22414,12550.0,,,279.0,259.0,20.0,13.0,4.0,8.2544,3335.0,4509.0,83.0,3491.0,4830.0,99.0,-156.0,-321.0,-16.0,0.0,1.0,0.0,0.0,0.0,0.0,5937.0,7430.0,132.0,5552.0,7516.0,149.0,385.0,-86.0,-17.0,2.0,2.0,0.0,1.0,0.0,0.0,7892.0,10186.0,175.0,7441.0,9916.0,203.0,451.0,270.0,-28.0,3.0,3.0,0.0,1.0,0.0,0.0,9562.0,11992.0,207.0,9500.0,12114.0,257.0,62.0,-122.0,-50.0,3.0,3.0,0.0,1.0,0.0,0.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,4,Blue,bot,Lionel,oe:player:7761ed3cf0fa8202b8db185d57ad9be,Emprox,oe:team:85fcd014fb0b98c94dcbf3f7f1f207d,Kai'Sa,Sona,Ornn,Morgana,Jayce,Syndra,,,,,,2028,1,3,1,4,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9222.0,272.8402,0.154449,322.2485,166.2722,19.0,0.5621,3.0,0.0888,12.0,33.0,0.9763,13530.0,9117.0,269.7337,0.212775,12350.0,,,300.0,277.0,23.0,16.0,0.0,8.8757,3251.0,3212.0,83.0,3484.0,3288.0,91.0,-233.0,-76.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4941.0,4898.0,129.0,4985.0,5131.0,124.0,-44.0,-233.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,7230.0,7378.0,185.0,6457.0,7344.0,165.0,773.0,34.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,9182.0,9012.0,230.0,8331.0,9502.0,211.0,851.0,-490.0,19.0,1.0,0.0,1.0,0.0,1.0,1.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,5,Blue,sup,Artek,oe:player:931d6bea7b157a3cd3bf89892d84654,Emprox,oe:team:85fcd014fb0b98c94dcbf3f7f1f207d,Galio,Sona,Ornn,Morgana,Jayce,Syndra,,,,,,2028,1,2,1,7,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6612.0,195.6213,0.110737,423.8166,554.9408,46.0,1.3609,14.0,0.4142,13.0,100.0,2.9586,9425.0,5012.0,148.284,0.116974,9275.0,,,86.0,86.0,0.0,0.0,0.0,2.5444,2010.0,2973.0,18.0,2046.0,3082.0,15.0,-36.0,-109.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,4898.0,32.0,3127.0,4300.0,25.0,373.0,598.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,4690.0,6061.0,46.0,4299.0,5370.0,36.0,391.0,691.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,6252.0,7569.0,65.0,5588.0,6647.0,51.0,664.0,922.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,6,Red,top,Morg,oe:player:ae72e09a91c56e77a7228e4ecb0fc2e,ORDER Academy,oe:team:15cd04e605d88070159951f2801fa82,Dr. Mundo,Akali,Thresh,Jarvan IV,Varus,Heimerdinger,,,,,,2028,0,1,5,0,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0888,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10567.0,312.6331,0.235261,691.213,668.0769,13.0,0.3846,9.0,0.2663,5.0,39.0,1.1538,11616.0,7203.0,213.1065,0.227044,10725.0,,,274.0,258.0,16.0,13.0,0.0,8.1065,2843.0,3841.0,64.0,3843.0,4996.0,88.0,-1000.0,-1155.0,-24.0,0.0,0.0,2.0,1.0,0.0,0.0,4259.0,6069.0,97.0,6904.0,7820.0,140.0,-2645.0,-1751.0,-43.0,0.0,0.0,3.0,1.0,2.0,0.0,6009.0,8525.0,142.0,9112.0,10904.0,198.0,-3103.0,-2379.0,-56.0,0.0,0.0,3.0,1.0,2.0,0.0,8105.0,11607.0,201.0,11696.0,14133.0,249.0,-3591.0,-2526.0,-48.0,0.0,0.0,4.0,2.0,2.0,0.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,7,Red,jng,Harri,oe:player:4947ccbab20a26458a23e626d6da326,ORDER Academy,oe:team:15cd04e605d88070159951f2801fa82,Sejuani,Akali,Thresh,Jarvan IV,Varus,Heimerdinger,,,,,,2028,0,0,5,1,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4157.0,122.9882,0.0925505,929.645,685.4438,3.0,0.0888,9.0,0.2663,0.0,26.0,0.7692,8867.0,4454.0,131.7751,0.140397,8300.0,,,163.0,35.0,128.0,99.0,4.0,4.8225,2900.0,2739.0,55.0,3430.0,3355.0,60.0,-530.0,-616.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,4425.0,4848.0,90.0,5099.0,5646.0,87.0,-674.0,-798.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,5717.0,6553.0,116.0,6480.0,7498.0,106.0,-763.0,-945.0,10.0,0.0,0.0,3.0,1.0,3.0,0.0,7021.0,8705.0,140.0,8193.0,9380.0,142.0,-1172.0,-675.0,-2.0,0.0,0.0,3.0,1.0,3.0,0.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,8,Red,mid,JLKC,oe:player:d43e9ff55624238e69a03f016656af7,ORDER Academy,oe:team:15cd04e605d88070159951f2801fa82,Azir,Akali,Thresh,Jarvan IV,Varus,Heimerdinger,,,,,,2028,0,1,1,1,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13871.0,410.3846,0.308821,356.0059,199.0533,12.0,0.355,9.0,0.2663,6.0,31.0,0.9172,13271.0,8858.0,262.071,0.279208,12200.0,,,360.0,332.0,28.0,26.0,0.0,10.6509,3491.0,4830.0,99.0,3335.0,4509.0,83.0,156.0,321.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5552.0,7516.0,149.0,5937.0,7430.0,132.0,-385.0,86.0,17.0,1.0,0.0,0.0,2.0,2.0,0.0,7441.0,9916.0,203.0,7892.0,10186.0,175.0,-451.0,-270.0,28.0,1.0,0.0,0.0,3.0,3.0,0.0,9500.0,12114.0,257.0,9562.0,11992.0,207.0,-62.0,122.0,50.0,1.0,0.0,0.0,3.0,3.0,0.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,9,Red,bot,Ceres,oe:player:e39d9ffcf08b637ebf7ace59509ef5d,ORDER Academy,oe:team:15cd04e605d88070159951f2801fa82,Vayne,Akali,Thresh,Jarvan IV,Varus,Heimerdinger,,,,,,2028,0,1,3,2,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12869.0,380.7396,0.286513,410.5917,254.9112,13.0,0.3846,4.0,0.1183,3.0,25.0,0.7396,12465.0,8052.0,238.2249,0.253804,12125.0,,,282.0,259.0,23.0,18.0,0.0,8.3432,3484.0,3288.0,91.0,3251.0,3212.0,83.0,233.0,76.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4985.0,5131.0,124.0,4941.0,4898.0,129.0,44.0,233.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,6457.0,7344.0,165.0,7230.0,7378.0,185.0,-773.0,-34.0,-20.0,0.0,1.0,1.0,1.0,0.0,1.0,8331.0,9502.0,211.0,9182.0,9012.0,230.0,-851.0,490.0,-19.0,0.0,1.0,1.0,1.0,0.0,1.0
ESPORTSTMNT01/1110276,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1110276?gameHash=a9d9ef4e4fd38077,OCS,2019,,0,2019-05-02 06:49:27,1,9.08,10,Red,sup,Mog,oe:player:f43d6f61a162493a2444880464b4a0c,ORDER Academy,oe:team:15cd04e605d88070159951f2801fa82,Nautilus,Akali,Thresh,Jarvan IV,Varus,Heimerdinger,,,,,,2028,0,0,1,3,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3452.0,102.1302,0.0768546,266.1834,452.3373,49.0,1.4497,11.0,0.3254,9.0,85.0,2.5148,7571.0,3158.0,93.432,0.0995474,6975.0,,,68.0,68.0,0.0,0.0,0.0,2.0118,2046.0,3082.0,15.0,2010.0,2973.0,18.0,36.0,109.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3127.0,4300.0,25.0,3500.0,4898.0,32.0,-373.0,-598.0,-7.0,0.0,1.0,0.0,1.0,0.0,0.0,4299.0,5370.0,36.0,4690.0,6061.0,46.0,-391.0,-691.0,-10.0,0.0,1.0,0.0,1.0,1.0,0.0,5588.0,6647.0,51.0,6252.0,7569.0,65.0,-664.0,-922.0,-14.0,0.0,1.0,0.0,1.0,1.0,0.0
