gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,1,Blue,top,Duke,oe:player:1a8b6a662905090813591d4993feefa,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,Rumble,Azir,Lissandra,Gnar,,,,,,,,1963,1,5,0,14,28,6,0,0,0,0,1,1.0,0.0,0.0,0.8558,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21802,666.3882,0.29809,400.4687,0.0,8,0.2445,2,0.0611,2,0,0.0,12990,8956,273.7443,0.205107,11960,,,211.0,207,4,3,1,6.4493,3645,4755,73,2752,4133,64,893,622,9,2,0,0,0,0,1,5228,6675,94,4550,6572,105,678,103,-11,3,2,0,0,0,2,6894,9051,133,6684,8782,144,210,269,-11,3,5,0,2,0,3,9044.0,11316.0,168.0,8167.0,10891.0,177.0,877.0,425.0,-9.0,4.0,7.0,0.0,2.0,0.0,4.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,2,Blue,jng,Watch,oe:player:f20658650d987d31063b593c0598039,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,Jarvan IV,Azir,Lissandra,Gnar,,,,,,,,1963,1,4,2,17,28,6,0,0,0,0,0,0.0,0.0,0.0,0.8558,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7577,231.5945,0.103597,677.2695,0.0,37,1.1309,9,0.2751,5,0,0.0,10967,6933,211.9103,0.158778,10100,,,72.0,20,52,42,10,2.2007,2745,2619,31,2384,2671,33,361,-52,-2,0,1,0,0,0,1,4375,4301,42,3886,4166,48,489,135,-6,1,4,0,0,0,2,5974,5912,48,5020,5877,63,954,35,-15,3,7,1,0,2,4,7465.0,8188.0,56.0,6249.0,8011.0,81.0,1216.0,177.0,-25.0,3.0,10.0,1.0,0.0,2.0,4.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,3,Blue,mid,Ggoong,oe:player:d55620130ce20b8cb9a504b6b16f7a1,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,Zed,Azir,Lissandra,Gnar,,,,,,,,1963,1,13,1,7,28,6,3,0,0,0,1,0.0,1.0,0.0,0.8558,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21227,648.813,0.290228,528.0183,0.0,15,0.4585,4,0.1223,3,0,0.0,16034,12000,366.7855,0.274817,15065,,,263.0,246,17,12,5,8.0387,3327,4326,65,3265,4397,80,62,-71,-15,1,1,1,1,0,0,5523,7136,116,5675,7296,144,-152,-160,-28,2,2,1,1,0,0,8314,10395,157,7541,9299,195,773,1096,-38,6,4,1,1,2,1,10581.0,13169.0,201.0,9507.0,11799.0,252.0,1074.0,1370.0,-51.0,7.0,6.0,1.0,1.0,2.0,2.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,4,Blue,bot,Ohq,oe:player:0de81e3ca41d1649ba18c0cf62269b8,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,Sivir,Azir,Lissandra,Gnar,,,,,,,,1963,1,5,0,15,28,6,1,0,0,0,0,0.0,0.0,0.0,0.8558,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15911,486.3271,0.217545,326.4086,0.0,6,0.1834,3,0.0917,1,0,0.0,14875,10841,331.3602,0.248275,13055,,,274.0,246,28,24,4,8.3749,3359,3147,81,3220,3042,68,139,105,13,0,1,0,1,1,1,5109,5691,131,5416,5597,115,-307,94,16,0,2,0,1,1,1,7533,8094,175,6739,7634,150,794,460,25,1,6,0,1,1,3,9762.0,10075.0,209.0,8666.0,10092.0,197.0,1096.0,-17.0,12.0,2.0,8.0,0.0,1.0,1.0,3.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,5,Blue,sup,Cain,oe:player:4f6ec68ae65123ed9fadd77c07ca812,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,Annie,Azir,Lissandra,Gnar,,,,,,,,1963,1,1,3,10,28,6,0,0,0,0,0,0.0,0.0,0.0,0.8558,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6622,202.4045,0.0905399,325.5222,0.0,41,1.2532,11,0.3362,8,0,0.0,8969,4935,150.8406,0.113023,8085,,,27.0,26,1,0,1,0.8253,1979,2379,2,2091,3103,9,-112,-724,-7,0,0,1,0,2,0,3368,3731,8,3188,3384,11,180,347,-3,1,1,1,0,2,2,4700,5121,14,4108,4937,18,592,184,-4,1,5,2,0,3,3,6101.0,7014.0,22.0,4966.0,5835.0,22.0,1135.0,1179.0,0.0,1.0,6.0,2.0,0.0,3.0,4.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,6,Red,top,MaRin,oe:player:80a0409a4c898bd100c41af1cca5da1,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,Dr. Mundo,Janna,Kassadin,Maokai,,,,,,,,1963,0,2,7,1,6,28,1,0,0,0,0,0.0,0.0,0.0,0.1834,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9381,286.7346,0.19289,865.7056,0.0,13,0.3974,4,0.1223,1,0,0.0,9872,5838,178.4412,0.213579,9420,,,208.0,193,15,11,4,6.3576,2752,4133,64,3645,4755,73,-893,-622,-9,0,0,1,2,0,0,4550,6572,105,5228,6675,94,-678,-103,11,0,0,2,3,2,0,6684,8782,144,6894,9051,133,-210,-269,11,2,0,3,3,5,0,8167.0,10891.0,177.0,9044.0,11316.0,168.0,-877.0,-425.0,9.0,2.0,0.0,4.0,4.0,7.0,0.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,7,Red,jng,Bengi,oe:player:b7a96528935de93953af4738b9bd8e0,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,Lee Sin,Janna,Kassadin,Maokai,,,,,,,,1963,0,0,7,3,6,28,0,0,0,0,0,0.0,0.0,1.0,0.1834,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6642,203.0158,0.136571,799.5619,0.0,33,1.0087,9,0.2751,5,0,0.0,7710,3676,112.3586,0.134488,7355,,,96.0,24,72,67,5,2.9343,2384,2671,33,2745,2619,31,-361,52,2,0,0,1,0,1,0,3886,4166,48,4375,4301,42,-489,-135,6,0,0,2,1,4,0,5020,5877,63,5974,5912,48,-954,-35,15,0,2,4,3,7,1,6249.0,8011.0,81.0,7465.0,8188.0,56.0,-1216.0,-177.0,25.0,0.0,2.0,4.0,3.0,10.0,1.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,Xerath,Janna,Kassadin,Maokai,,,,,,,,1963,0,2,4,3,6,28,0,0,0,0,0,0.0,0.0,0.0,0.1834,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,21113,645.3286,0.43412,404.0448,0.0,8,0.2445,9,0.2751,1,0,0.0,11880,7846,239.8166,0.287037,11215,,,302.0,296,6,5,1,9.2308,3265,4397,80,3327,4326,65,-62,71,15,1,0,0,1,1,1,5675,7296,144,5523,7136,116,152,160,28,1,0,0,2,2,1,7541,9299,195,8314,10395,157,-773,-1096,38,1,2,1,6,4,1,9507.0,11799.0,252.0,10581.0,13169.0,201.0,-1074.0,-1370.0,51.0,1.0,2.0,2.0,7.0,6.0,1.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,9,Red,bot,Bang,oe:player:526e67744f0b90739ec17c191c62d24,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,Tristana,Janna,Kassadin,Maokai,,,,,,,,1963,0,1,5,3,6,28,0,0,0,0,0,0.0,0.0,0.0,0.1834,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8445,258.1253,0.173644,471.5639,0.0,4,0.1223,4,0.1223,1,0,0.0,11557,7523,229.944,0.275221,11220,,,278.0,267,11,11,0,8.4972,3220,3042,68,3359,3147,81,-139,-105,-13,1,1,1,0,1,0,5416,5597,115,5109,5691,131,307,-94,-16,1,1,1,0,2,0,6739,7634,150,7533,8094,175,-794,-460,-25,1,1,3,1,6,0,8666.0,10092.0,197.0,9762.0,10075.0,209.0,-1096.0,17.0,-12.0,1.0,1.0,3.0,2.0,8.0,0.0
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,10,Red,sup,Wolf,oe:player:f4e74388bb8ff2f8d88bfc579f7fb61,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,Thresh,Janna,Kassadin,Maokai,,,,,,,,1963,0,1,5,4,6,28,0,0,0,0,0,0.0,0.0,0.0,0.1834,1.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3053,93.3164,0.062775,463.3113,0.0,38,1.1615,8,0.2445,13,0,0.0,6485,2451,74.9159,0.0896746,6050,,,27.0,26,1,1,0,0.8253,2091,3103,9,1979,2379,2,112,724,7,0,2,0,0,0,1,3188,3384,11,3368,3731,8,-180,-347,3,0,2,2,1,1,1,4108,4937,18,4700,5121,14,-592,-184,4,0,3,3,1,5,2,4966.0,5835.0,22.0,6101.0,7014.0,22.0,-1135.0,-1179.0,0.0,0.0,3.0,4.0,1.0,6.0,2.0
