gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,1,Blue,top,Chippys,oe:player:d11c67c4c3a40031d66d32ecb806d53,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,Poppy,LeBlanc,Kha'Zix,Zyra,Cassiopeia,Taliyah,,,,,,2057,1,3,2,11,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15573.0,454.244,0.189561,678.1721,0.0,18.0,0.525,5.0,0.1458,4.0,0.0,0.0,14057.0,9606.0,280.1945,0.202151,12800.0,,,260.0,260.0,0.0,0.0,0.0,7.5839,3236.0,4758.0,86.0,3112.0,4382.0,81.0,124.0,376.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4801.0,6969.0,123.0,4841.0,6528.0,117.0,-40.0,441.0,6.0,0.0,3.0,0.0,1.0,0.0,1.0,6877.0,9287.0,167.0,6737.0,8917.0,157.0,140.0,370.0,10.0,0.0,3.0,1.0,1.0,1.0,1.0,9231.0,12294.0,198.0,8169.0,10647.0,180.0,1062.0,1647.0,18.0,1.0,5.0,2.0,1.0,3.0,2.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,2,Blue,jng,Sybol,oe:player:b1e626ea59ccc65957bf8beb11f7669,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,Rek'Sai,LeBlanc,Kha'Zix,Zyra,Cassiopeia,Taliyah,,,,,,2057,1,5,3,10,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12491.0,364.3461,0.152046,1158.2888,0.0,21.0,0.6125,16.0,0.4667,3.0,0.0,0.0,14531.0,10080.0,294.0204,0.212126,12300.0,,,216.0,85.0,131.0,78.0,53.0,6.3004,3434.0,4398.0,76.0,3456.0,3815.0,49.0,-22.0,583.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,5690.0,6281.0,97.0,5009.0,5518.0,74.0,681.0,763.0,23.0,3.0,3.0,2.0,2.0,2.0,1.0,7354.0,8660.0,120.0,6970.0,7808.0,95.0,384.0,852.0,25.0,3.0,3.0,2.0,2.0,5.0,1.0,9064.0,10884.0,134.0,8274.0,9785.0,113.0,790.0,1099.0,21.0,3.0,3.0,3.0,2.0,8.0,2.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,3,Blue,mid,Richard,oe:player:c51c8bbd9e8c8bc49042ccd5d3e9864,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,Ryze,LeBlanc,Kha'Zix,Zyra,Cassiopeia,Taliyah,,,,,,2057,1,10,4,5,21,13,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6125,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,28801.0,840.0875,0.350578,593.6121,0.0,17.0,0.4959,6.0,0.175,6.0,0.0,0.0,16028.0,11577.0,337.686,0.243631,14150.0,,,280.0,254.0,26.0,17.0,9.0,8.1672,3017.0,4102.0,72.0,3874.0,4882.0,91.0,-857.0,-780.0,-19.0,0.0,0.0,2.0,1.0,1.0,0.0,5639.0,7448.0,118.0,5735.0,7505.0,138.0,-96.0,-57.0,-20.0,3.0,2.0,2.0,1.0,2.0,2.0,7381.0,9535.0,163.0,8362.0,9862.0,184.0,-981.0,-327.0,-21.0,3.0,2.0,3.0,3.0,3.0,2.0,10569.0,13103.0,208.0,10673.0,11830.0,226.0,-104.0,1273.0,-18.0,6.0,3.0,3.0,5.0,4.0,3.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,4,Blue,bot,k1ng,oe:player:fb18ab6bf6bef08402a580d2a96c106,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,Ashe,LeBlanc,Kha'Zix,Zyra,Cassiopeia,Taliyah,,,,,,2057,1,0,2,17,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17937.0,523.1988,0.218337,523.0822,0.0,6.0,0.175,8.0,0.2333,1.0,0.0,0.0,14581.0,10130.0,295.4789,0.213179,13675.0,,,320.0,288.0,32.0,12.0,20.0,9.334,3354.0,3406.0,93.0,3302.0,3155.0,90.0,52.0,251.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.0,5864.0,136.0,5029.0,5375.0,140.0,291.0,489.0,-4.0,0.0,6.0,0.0,0.0,1.0,1.0,7433.0,7880.0,185.0,7481.0,7419.0,173.0,-48.0,461.0,12.0,0.0,6.0,0.0,1.0,3.0,1.0,9911.0,11354.0,230.0,9717.0,10366.0,222.0,194.0,988.0,8.0,0.0,10.0,0.0,2.0,5.0,1.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,5,Blue,sup,destiny,oe:player:6b2acf5555e281f3e64f9a338da6a66,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,Tahm Kench,LeBlanc,Kha'Zix,Zyra,Cassiopeia,Taliyah,,,,,,2057,1,3,2,14,21,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7351.0,214.4191,0.0894794,676.2178,0.0,41.0,1.1959,10.0,0.2917,10.0,0.0,0.0,10577.0,6126.0,178.6874,0.128913,9200.0,,,51.0,51.0,0.0,0.0,0.0,1.4876,1995.0,2990.0,17.0,1805.0,2743.0,4.0,190.0,247.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3534.0,4851.0,27.0,2833.0,3725.0,4.0,701.0,1126.0,23.0,1.0,4.0,0.0,0.0,1.0,2.0,4778.0,5883.0,36.0,4419.0,5166.0,8.0,359.0,717.0,28.0,1.0,4.0,1.0,0.0,2.0,2.0,6314.0,8449.0,39.0,5810.0,6459.0,8.0,504.0,1990.0,31.0,1.0,6.0,2.0,0.0,5.0,3.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,6,Red,top,Swip3rR,oe:player:b168931509a558db4b062201d259c45,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Maokai,Camille,Rengar,Elise,Malzahar,Miss Fortune,,,,,,2057,0,1,4,5,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3792,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13292.0,387.7103,0.145704,920.8848,0.0,19.0,0.5542,3.0,0.0875,4.0,0.0,0.0,10458.0,6007.0,175.2163,0.176436,10170.0,,,223.0,223.0,0.0,0.0,0.0,6.5046,3112.0,4382.0,81.0,3236.0,4758.0,86.0,-124.0,-376.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4841.0,6528.0,117.0,4801.0,6969.0,123.0,40.0,-441.0,-6.0,1.0,0.0,1.0,0.0,3.0,0.0,6737.0,8917.0,157.0,6877.0,9287.0,167.0,-140.0,-370.0,-10.0,1.0,1.0,1.0,0.0,3.0,1.0,8169.0,10647.0,180.0,9231.0,12294.0,198.0,-1062.0,-1647.0,-18.0,1.0,3.0,2.0,1.0,5.0,2.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,7,Red,jng,Spookz,oe:player:e1a40cd48a61080eedd106131598013,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Lee Sin,Camille,Rengar,Elise,Malzahar,Miss Fortune,,,,,,2057,0,2,4,11,13,21,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3792,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16173.0,471.7453,0.177285,851.93,0.0,37.0,1.0792,3.0,0.0875,7.0,0.0,0.0,10399.0,5948.0,173.4954,0.174703,9700.0,,,143.0,32.0,111.0,76.0,35.0,4.1711,3456.0,3815.0,49.0,3434.0,4398.0,76.0,22.0,-583.0,-27.0,1.0,1.0,0.0,0.0,0.0,0.0,5009.0,5518.0,74.0,5690.0,6281.0,97.0,-681.0,-763.0,-23.0,2.0,2.0,1.0,3.0,3.0,2.0,6970.0,7808.0,95.0,7354.0,8660.0,120.0,-384.0,-852.0,-25.0,2.0,5.0,1.0,3.0,3.0,2.0,8274.0,9785.0,113.0,9064.0,10884.0,134.0,-790.0,-1099.0,-21.0,2.0,8.0,2.0,3.0,3.0,3.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,8,Red,mid,Swiffer,oe:player:2c14d0f52bf1772e3353ce799537ad5,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Syndra,Camille,Rengar,Elise,Malzahar,Miss Fortune,,,,,,2057,0,6,5,6,13,21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3792,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29857.0,870.8896,0.327286,503.1308,0.0,13.0,0.3792,8.0,0.2333,2.0,0.0,0.0,13876.0,9425.0,274.9149,0.276837,12460.0,,,295.0,286.0,9.0,9.0,0.0,8.6048,3874.0,4882.0,91.0,3017.0,4102.0,72.0,857.0,780.0,19.0,1.0,1.0,0.0,0.0,0.0,2.0,5735.0,7505.0,138.0,5639.0,7448.0,118.0,96.0,57.0,20.0,1.0,2.0,2.0,3.0,2.0,2.0,8362.0,9862.0,184.0,7381.0,9535.0,163.0,981.0,327.0,21.0,3.0,3.0,2.0,3.0,2.0,3.0,10673.0,11830.0,226.0,10569.0,13103.0,208.0,104.0,-1273.0,18.0,5.0,4.0,3.0,6.0,3.0,3.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,9,Red,bot,Raes,oe:player:c2c140b8d1f76f3f79b1aba6bb08c37,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Jhin,Camille,Rengar,Elise,Malzahar,Miss Fortune,,,,,,2057,0,3,4,7,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3792,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23993.0,699.8444,0.263006,388.352,0.0,13.0,0.3792,1.0,0.0292,3.0,0.0,0.0,13097.0,8646.0,252.1925,0.253954,12625.0,,,299.0,284.0,15.0,4.0,11.0,8.7214,3302.0,3155.0,90.0,3354.0,3406.0,93.0,-52.0,-251.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5029.0,5375.0,140.0,5320.0,5864.0,136.0,-291.0,-489.0,4.0,0.0,1.0,1.0,0.0,6.0,0.0,7481.0,7419.0,173.0,7433.0,7880.0,185.0,48.0,-461.0,-12.0,1.0,3.0,1.0,0.0,6.0,0.0,9717.0,10366.0,222.0,9911.0,11354.0,230.0,-194.0,-988.0,-8.0,2.0,5.0,1.0,0.0,10.0,0.0
ESPORTSTMNT03/30521,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/30521?gameHash=9f8da1873985fb0f,OPL,2017,Split 1,0,2017-01-21 01:48:08,1,7.01,10,Red,sup,EGym,oe:player:12dac41a4031ae05b367bd98890b4ff,Chiefs Esports Club,oe:team:692bccdba8ec7050f5aeb916815439e,Karma,Camille,Rengar,Elise,Malzahar,Miss Fortune,,,,,,2057,0,1,4,7,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3792,0.9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7911.0,230.7535,0.0867187,304.142,0.0,45.0,1.3126,13.0,0.3792,15.0,0.0,0.0,8471.0,4020.0,117.2581,0.11807,7575.0,,,18.0,18.0,0.0,0.0,0.0,0.525,1805.0,2743.0,4.0,1995.0,2990.0,17.0,-190.0,-247.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,2833.0,3725.0,4.0,3534.0,4851.0,27.0,-701.0,-1126.0,-23.0,0.0,1.0,2.0,1.0,4.0,0.0,4419.0,5166.0,8.0,4778.0,5883.0,36.0,-359.0,-717.0,-28.0,0.0,2.0,2.0,1.0,4.0,1.0,5810.0,6459.0,8.0,6314.0,8449.0,39.0,-504.0,-1990.0,-31.0,0.0,5.0,3.0,1.0,6.0,2.0
