gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,1,Blue,top,Prime,oe:player:bc1ff0dd3fe1ee8abf9afa46ec9fdf0,Vanguard Esports,,Irelia,Olaf,Nautilus,Zoe,Miss Fortune,Varus,,,,,,1932,1,8,6,6,24,15,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7453,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17085.0,530.5901,0.209889,729.5342,535.0621,14.0,0.4348,5.0,0.1553,4.0,24.0,0.7453,14483,10266.0,318.8199,0.247761,14233.0,,,249.0,214.0,35.0,15.0,1.0,7.7329,3827.0,4363.0,74.0,3681.0,4681.0,69.0,146.0,-318.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0,5789.0,7154.0,117.0,5956.0,7237.0,109.0,-167.0,-83.0,8.0,2.0,2.0,3.0,4.0,0.0,3.0,7976.0,9654.0,162.0,8021.0,10141.0,170.0,-45.0,-487.0,-8.0,3.0,3.0,4.0,4.0,0.0,3.0,9713.0,11620.0,201.0,10749.0,13799.0,225.0,-1036.0,-2179.0,-24.0,3.0,3.0,5.0,5.0,0.0,3.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,2,Blue,jng,Koxi,oe:player:2968d2a9c89da75595ab32e4e936bf4,Vanguard Esports,,Gragas,Olaf,Nautilus,Zoe,Miss Fortune,Varus,,,,,,1932,1,3,4,12,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20715.0,643.323,0.254484,863.1988,607.7019,20.0,0.6211,7.0,0.2174,3.0,53.0,1.646,11365,7148.0,221.9876,0.172512,10875.0,,,159.0,23.0,136.0,94.0,4.0,4.9379,3538.0,3879.0,52.0,2917.0,3015.0,45.0,621.0,864.0,7.0,2.0,2.0,0.0,0.0,2.0,1.0,5283.0,6108.0,83.0,4094.0,4435.0,64.0,1189.0,1673.0,19.0,2.0,3.0,1.0,0.0,4.0,1.0,6916.0,8139.0,110.0,5757.0,6282.0,94.0,1159.0,1857.0,16.0,3.0,3.0,1.0,1.0,4.0,3.0,8427.0,10126.0,137.0,6942.0,8011.0,108.0,1485.0,2115.0,29.0,3.0,3.0,2.0,1.0,6.0,3.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,3,Blue,mid,,,Vanguard Esports,,Ryze,Olaf,Nautilus,Zoe,Miss Fortune,Varus,,,,,,1932,1,7,2,5,24,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24930.0,774.2236,0.306265,497.7329,216.8944,15.0,0.4658,5.0,0.1553,6.0,30.0,0.9317,14363,10146.0,315.0932,0.244865,11800.0,,,272.0,229.0,43.0,16.0,17.0,8.4472,3161.0,4578.0,77.0,3527.0,4953.0,88.0,-366.0,-375.0,-11.0,0.0,1.0,1.0,1.0,0.0,0.0,5862.0,8065.0,128.0,5308.0,7714.0,137.0,554.0,351.0,-9.0,2.0,1.0,1.0,1.0,2.0,1.0,7937.0,10677.0,177.0,7136.0,10812.0,194.0,801.0,-135.0,-17.0,2.0,2.0,1.0,1.0,2.0,1.0,9371.0,12040.0,207.0,8374.0,11504.0,205.0,997.0,536.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,4,Blue,bot,SkyOwnage,oe:player:c5a6a72ce18fada6aaba02c25fe18f6,Vanguard Esports,,Lucian,Olaf,Nautilus,Zoe,Miss Fortune,Varus,,,,,,1932,1,3,2,10,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14913.0,463.1366,0.183206,414.3789,341.8944,11.0,0.3416,16.0,0.4969,1.0,42.0,1.3043,13860,9643.0,299.472,0.232725,11875.0,,,281.0,257.0,24.0,16.0,4.0,8.7267,3518.0,3280.0,87.0,3163.0,3103.0,75.0,355.0,177.0,12.0,0.0,3.0,0.0,0.0,1.0,2.0,5150.0,5131.0,129.0,4905.0,4966.0,124.0,245.0,165.0,5.0,0.0,4.0,0.0,0.0,2.0,2.0,7480.0,7754.0,178.0,6789.0,7421.0,176.0,691.0,333.0,2.0,1.0,5.0,0.0,0.0,3.0,3.0,9226.0,9703.0,220.0,8487.0,9524.0,217.0,739.0,179.0,3.0,1.0,5.0,0.0,0.0,5.0,3.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,5,Blue,sup,Powages,oe:player:1bc692a52aedb1e7e64126d64ce31cd,Vanguard Esports,,Thresh,Olaf,Nautilus,Zoe,Miss Fortune,Varus,,,,,,1932,1,3,1,10,24,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3757.0,116.677,0.0461548,276.3975,314.3789,28.0,0.8696,10.0,0.3106,7.0,68.0,2.1118,8449,4232.0,131.4286,0.102137,7775.0,,,32.0,32.0,0.0,0.0,0.0,0.9938,2868.0,2856.0,12.0,2091.0,2244.0,12.0,777.0,612.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3938.0,4359.0,16.0,3110.0,3938.0,19.0,828.0,421.0,-3.0,3.0,1.0,0.0,0.0,0.0,2.0,5215.0,5724.0,24.0,3928.0,5630.0,21.0,1287.0,94.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,6282.0,6660.0,30.0,5366.0,7593.0,27.0,916.0,-933.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,6,Red,top,,,Absolute Legends Netherlands,oe:team:b351c67cd7c244b6f664bf5b246e952,Camille,Syndra,Lee Sin,Aphelios,Yasuo,Sett,,,,,,1932,0,8,5,1,15,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4658,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18984.0,589.5652,0.298961,785.0932,744.5652,16.0,0.4969,9.0,0.2795,8.0,39.0,1.2112,13986,9769.0,303.3851,0.31049,12433.0,,,266.0,258.0,8.0,8.0,0.0,8.2609,3681.0,4681.0,69.0,3827.0,4363.0,74.0,-146.0,318.0,-5.0,2.0,0.0,2.0,1.0,1.0,2.0,5956.0,7237.0,109.0,5789.0,7154.0,117.0,167.0,83.0,-8.0,4.0,0.0,3.0,2.0,2.0,3.0,8021.0,10141.0,170.0,7976.0,9654.0,162.0,45.0,487.0,8.0,4.0,0.0,3.0,3.0,3.0,4.0,10749.0,13799.0,225.0,9713.0,11620.0,201.0,1036.0,2179.0,24.0,5.0,0.0,3.0,3.0,3.0,5.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,7,Red,jng,QTKT,oe:player:421bd17dac8819ad37c21785a47b811,Absolute Legends Netherlands,oe:team:b351c67cd7c244b6f664bf5b246e952,Jarvan IV,Syndra,Lee Sin,Aphelios,Yasuo,Sett,,,,,,1932,0,2,6,10,15,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7833.0,243.2609,0.123354,805.3106,903.8199,15.0,0.4658,11.0,0.3416,13.0,46.0,1.4286,9720,5503.0,170.9006,0.174904,8975.0,,,136.0,27.0,109.0,76.0,4.0,4.2236,2917.0,3015.0,45.0,3538.0,3879.0,52.0,-621.0,-864.0,-7.0,0.0,2.0,1.0,2.0,2.0,0.0,4094.0,4435.0,64.0,5283.0,6108.0,83.0,-1189.0,-1673.0,-19.0,0.0,4.0,1.0,2.0,3.0,1.0,5757.0,6282.0,94.0,6916.0,8139.0,110.0,-1159.0,-1857.0,-16.0,1.0,4.0,3.0,3.0,3.0,1.0,6942.0,8011.0,108.0,8427.0,10126.0,137.0,-1485.0,-2115.0,-29.0,1.0,6.0,3.0,3.0,3.0,2.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,8,Red,mid,zhìì,oe:player:0fc8ccd22b98f8e767d7e2573cf40ec,Absolute Legends Netherlands,oe:team:b351c67cd7c244b6f664bf5b246e952,Rumble,Syndra,Lee Sin,Aphelios,Yasuo,Sett,,,,,,1932,0,2,4,4,15,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18240.0,566.4596,0.287244,649.8447,480.4658,12.0,0.3727,3.0,0.0932,7.0,28.0,0.8696,10434,6217.0,193.0745,0.197597,9225.0,,,243.0,239.0,4.0,1.0,0.0,7.5466,3527.0,4953.0,88.0,3161.0,4578.0,77.0,366.0,375.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,5308.0,7714.0,137.0,5862.0,8065.0,128.0,-554.0,-351.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,7136.0,10812.0,194.0,7937.0,10677.0,177.0,-801.0,135.0,17.0,1.0,2.0,1.0,2.0,2.0,1.0,8374.0,11504.0,205.0,9371.0,12040.0,207.0,-997.0,-536.0,-2.0,2.0,2.0,1.0,2.0,2.0,2.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,9,Red,bot,,,Absolute Legends Netherlands,oe:team:b351c67cd7c244b6f664bf5b246e952,Senna,Syndra,Lee Sin,Aphelios,Yasuo,Sett,,,,,,1932,0,1,5,9,15,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13100.0,406.8323,0.206299,504.0373,207.6398,11.0,0.3416,5.0,0.1553,6.0,17.0,0.528,11106,6889.0,213.9441,0.218955,10200.0,,,258.0,253.0,5.0,5.0,0.0,8.0124,3163.0,3103.0,75.0,3518.0,3280.0,87.0,-355.0,-177.0,-12.0,0.0,1.0,2.0,0.0,3.0,0.0,4905.0,4966.0,124.0,5150.0,5131.0,129.0,-245.0,-165.0,-5.0,0.0,2.0,2.0,0.0,4.0,0.0,6789.0,7421.0,176.0,7480.0,7754.0,178.0,-691.0,-333.0,-2.0,0.0,3.0,3.0,1.0,5.0,0.0,8487.0,9524.0,217.0,9226.0,9703.0,220.0,-739.0,-179.0,-3.0,0.0,5.0,3.0,1.0,5.0,0.0
EUW1/4414390620,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/4414390620/111785,OTBLX,2020,,0,2020-02-16 11:28:51,1,10.03,10,Red,sup,2Trick,oe:player:6ee53da978c322ca837620effc77faa,Absolute Legends Netherlands,oe:team:b351c67cd7c244b6f664bf5b246e952,Braum,Syndra,Lee Sin,Aphelios,Yasuo,Sett,,,,,,1932,0,2,4,5,15,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658,1.2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5343.0,165.9317,0.0841417,573.5093,775.4348,38.0,1.1801,5.0,0.1553,13.0,56.0,1.7391,7302,3085.0,95.8075,0.0980536,6850.0,,,30.0,30.0,0.0,0.0,0.0,0.9317,2091.0,2244.0,12.0,2868.0,2856.0,12.0,-777.0,-612.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3110.0,3938.0,19.0,3938.0,4359.0,16.0,-828.0,-421.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,3928.0,5630.0,21.0,5215.0,5724.0,24.0,-1287.0,-94.0,-3.0,0.0,1.0,2.0,3.0,3.0,0.0,5366.0,7593.0,27.0,6282.0,6660.0,30.0,-916.0,933.0,-3.0,1.0,2.0,2.0,3.0,3.0,0.0
