gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,1,Blue,top,Likai,oe:player:95a8aae7c0baf0df5110b78a8f80ae9,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Irelia,Aphelios,Lillia,Taliyah,Zoe,Azir,,,,,,1763,0,2,4,0,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6185.0,210.4935,0.151027,600.987,544.2541,13.0,0.4424,2.0,0.0681,4.0,19.0,0.6466,11108,7236.0,246.2621,0.280152,10400.0,,,282.0,268.0,14.0,7.0,0.0,9.5973,3336.0,4674.0,92.0,3165.0,4733.0,84.0,171.0,-59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5176.0,7401.0,141.0,5176.0,7388.0,136.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7565.0,10706.0,200.0,7612.0,10763.0,192.0,-47.0,-57.0,8.0,1.0,0.0,1.0,0.0,2.0,0.0,9415.0,13202.0,249.0,9275.0,13468.0,234.0,140.0,-266.0,15.0,1.0,0.0,2.0,0.0,4.0,0.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,2,Blue,jng,Gemini,oe:player:766cc4dd4d5005652e8514e3513683f,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Pantheon,Aphelios,Lillia,Taliyah,Zoe,Azir,,,,,,1763,0,0,6,4,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9966.0,339.1719,0.243352,964.3222,624.1974,13.0,0.4424,12.0,0.4084,12.0,37.0,1.2592,8265,4393.0,149.5065,0.170079,7700.0,,,155.0,24.0,131.0,110.0,0.0,5.2751,3267.0,3840.0,73.0,4100.0,4007.0,76.0,-833.0,-167.0,-3.0,0.0,0.0,0.0,2.0,1.0,0.0,4798.0,5687.0,105.0,6597.0,6748.0,114.0,-1799.0,-1061.0,-9.0,0.0,1.0,2.0,4.0,3.0,1.0,6208.0,7775.0,128.0,8467.0,8405.0,132.0,-2259.0,-630.0,-4.0,0.0,3.0,3.0,6.0,3.0,2.0,7328.0,8517.0,142.0,10281.0,10576.0,163.0,-2953.0,-2059.0,-21.0,0.0,3.0,4.0,7.0,4.0,2.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,3,Blue,mid,JimieN,oe:player:70e6d96860b77bb3e87663215b42a1f,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Viktor,Aphelios,Lillia,Taliyah,Zoe,Azir,,,,,,1763,0,2,5,2,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1702,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13429.0,457.0278,0.327912,380.7941,348.5649,12.0,0.4084,4.0,0.1361,5.0,19.0,0.6466,10040,6168.0,209.9149,0.238802,9755.0,,,253.0,241.0,12.0,12.0,0.0,8.6103,3478.0,4439.0,85.0,4122.0,4740.0,93.0,-644.0,-301.0,-8.0,1.0,0.0,1.0,1.0,1.0,0.0,5159.0,7508.0,140.0,6910.0,7433.0,137.0,-1751.0,75.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,7205.0,10015.0,189.0,9424.0,10275.0,186.0,-2219.0,-260.0,3.0,2.0,1.0,3.0,3.0,4.0,0.0,8938.0,12277.0,233.0,11655.0,12665.0,221.0,-2717.0,-388.0,12.0,2.0,1.0,3.0,5.0,5.0,0.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,4,Blue,bot,Atlen,oe:player:4e37c1c58905336b8f93d6bcabb5ad8,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Kai'Sa,Aphelios,Lillia,Taliyah,Zoe,Azir,,,,,,1763,0,0,3,2,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6523.0,221.9966,0.15928,392.8758,224.9915,22.0,0.7487,15.0,0.5105,4.0,42.0,1.4294,9510,5638.0,191.8775,0.218282,8650.0,,,253.0,247.0,6.0,6.0,0.0,8.6103,3030.0,2940.0,71.0,3529.0,3522.0,91.0,-499.0,-582.0,-20.0,0.0,1.0,1.0,0.0,2.0,0.0,4801.0,5524.0,124.0,5369.0,6356.0,150.0,-568.0,-832.0,-26.0,0.0,2.0,1.0,0.0,2.0,0.0,6510.0,7823.0,178.0,7913.0,8882.0,216.0,-1403.0,-1059.0,-38.0,0.0,2.0,1.0,0.0,2.0,0.0,8362.0,9862.0,231.0,10165.0,11963.0,282.0,-1803.0,-2101.0,-51.0,0.0,2.0,1.0,0.0,3.0,0.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,5,Blue,sup,Koala,oe:player:de6b46438c8c6889b6dbf0684b1effa,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Gragas,Aphelios,Lillia,Taliyah,Zoe,Azir,,,,,,1763,0,1,5,1,5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4850.0,165.0596,0.118428,546.2621,376.7782,47.0,1.5995,19.0,0.6466,12.0,78.0,2.6546,6266,2394.0,81.4748,0.092684,5600.0,,,46.0,46.0,0.0,0.0,0.0,1.5655,2036.0,2561.0,15.0,2453.0,2377.0,0.0,-417.0,184.0,15.0,0.0,0.0,2.0,1.0,2.0,1.0,3520.0,3527.0,28.0,3808.0,3583.0,5.0,-288.0,-56.0,23.0,1.0,0.0,2.0,1.0,5.0,1.0,4572.0,4613.0,34.0,5499.0,5172.0,19.0,-927.0,-559.0,15.0,1.0,1.0,2.0,1.0,5.0,2.0,5371.0,5645.0,38.0,6637.0,6646.0,24.0,-1266.0,-1001.0,14.0,1.0,1.0,3.0,1.0,8.0,2.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,6,Red,top,Hanabi,oe:player:68128d6a24caee5f69e1d31123cf149,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Gnar,Udyr,Seraphine,Rell,Camille,Alistar,,,,,,1763,1,2,0,8,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12089.0,411.4237,0.199124,449.9149,555.9614,12.0,0.4084,10.0,0.3403,6.0,41.0,1.3953,11991,8119.0,276.3131,0.191418,9400.0,,,252.0,229.0,23.0,1.0,3.0,8.5763,3165.0,4733.0,84.0,3336.0,4674.0,92.0,-171.0,59.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5176.0,7388.0,136.0,5176.0,7401.0,141.0,0.0,-13.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7612.0,10763.0,192.0,7565.0,10706.0,200.0,47.0,57.0,-8.0,0.0,2.0,0.0,1.0,0.0,1.0,9275.0,13468.0,234.0,9415.0,13202.0,249.0,-140.0,266.0,-15.0,0.0,4.0,0.0,1.0,0.0,2.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,7,Red,jng,River,oe:player:7c3395efccd48fe73592001501bef83,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Olaf,Udyr,Seraphine,Rell,Camille,Alistar,,,,,,1763,1,9,2,6,23,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7828,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14237.0,484.5264,0.234504,1079.5235,1076.0522,6.0,0.2042,14.0,0.4765,5.0,41.0,1.3953,12631,8759.0,298.0942,0.206507,11775.0,,,187.0,27.0,160.0,110.0,4.0,6.3642,4100.0,4007.0,76.0,3267.0,3840.0,73.0,833.0,167.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6597.0,6748.0,114.0,4798.0,5687.0,105.0,1799.0,1061.0,9.0,4.0,3.0,1.0,0.0,1.0,2.0,8467.0,8405.0,132.0,6208.0,7775.0,128.0,2259.0,630.0,4.0,6.0,3.0,2.0,0.0,3.0,3.0,10281.0,10576.0,163.0,7328.0,8517.0,142.0,2953.0,2059.0,21.0,7.0,4.0,2.0,0.0,3.0,4.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,8,Red,mid,Maple,oe:player:e3aa452243a476669824e52c1b7fc6b,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Twisted Fate,Udyr,Seraphine,Rell,Camille,Alistar,,,,,,1763,1,8,0,9,23,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7828,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14861.0,505.7629,0.244783,254.3959,219.8185,15.0,0.5105,9.0,0.3063,6.0,48.0,1.6336,15042,11170.0,380.1475,0.263351,12550.0,,,263.0,255.0,8.0,4.0,4.0,8.9507,4122.0,4740.0,93.0,3478.0,4439.0,85.0,644.0,301.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,6910.0,7433.0,137.0,5159.0,7508.0,140.0,1751.0,-75.0,-3.0,3.0,2.0,0.0,1.0,1.0,3.0,9424.0,10275.0,186.0,7205.0,10015.0,189.0,2219.0,260.0,-3.0,3.0,4.0,0.0,2.0,1.0,3.0,11655.0,12665.0,221.0,8938.0,12277.0,233.0,2717.0,388.0,-12.0,5.0,5.0,0.0,2.0,1.0,3.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,9,Red,bot,Unified,oe:player:1dbd464eef96e9cc4151734185a50c7,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Xayah,Udyr,Seraphine,Rell,Camille,Alistar,,,,,,1763,1,3,0,8,23,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,13160.0,447.8729,0.216765,195.2808,415.6778,12.0,0.4084,6.0,0.2042,3.0,26.0,0.8849,13542,9670.0,329.0981,0.227986,11575.0,,,319.0,276.0,43.0,27.0,16.0,10.8565,3529.0,3522.0,91.0,3030.0,2940.0,71.0,499.0,582.0,20.0,0.0,2.0,0.0,0.0,1.0,1.0,5369.0,6356.0,150.0,4801.0,5524.0,124.0,568.0,832.0,26.0,0.0,2.0,0.0,0.0,2.0,1.0,7913.0,8882.0,216.0,6510.0,7823.0,178.0,1403.0,1059.0,38.0,0.0,2.0,0.0,0.0,2.0,1.0,10165.0,11963.0,282.0,8362.0,9862.0,231.0,1803.0,2101.0,51.0,0.0,3.0,0.0,0.0,2.0,1.0
ESPORTSTMNT02/1698306,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1698306?gameHash=b951c50adc71bf83,PCS,2021,Spring,0,2021-02-19 07:47:45,1.0,11.02,10,Red,sup,Kaiwing,oe:player:0103d21d116b61eb55fa351242208cf,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Rakan,Udyr,Seraphine,Rell,Camille,Alistar,,,,,,1763,1,1,3,17,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6364.0,216.5854,0.104824,457.232,605.4453,72.0,2.4504,24.0,0.8168,16.0,119.0,4.0499,8569,4697.0,159.8525,0.110738,8200.0,,,30.0,30.0,0.0,0.0,0.0,1.021,2453.0,2377.0,0.0,2036.0,2561.0,15.0,417.0,-184.0,-15.0,1.0,2.0,1.0,0.0,0.0,2.0,3808.0,3583.0,5.0,3520.0,3527.0,28.0,288.0,56.0,-23.0,1.0,5.0,1.0,1.0,0.0,2.0,5499.0,5172.0,19.0,4572.0,4613.0,34.0,927.0,559.0,-15.0,1.0,5.0,2.0,1.0,1.0,2.0,6637.0,6646.0,24.0,5371.0,5645.0,38.0,1266.0,1001.0,-14.0,1.0,8.0,2.0,1.0,1.0,3.0
