gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,1,Blue,top,Kirito,oe:player:5c7b52c9f2f0ebfdd2128ceb0171c54,Samsung Morning Stars,oe:team:9efc9069228bc0817c7a9bac775daa7,Gragas,Jayce,Twisted Fate,Diana,Nidalee,Kennen,,,,,,1853,0,0,3,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,6654.0,215.456,0.164394,576.136,749.7248,12.0,0.3886,9.0,0.2914,7.0,30.0,0.9714,8943,4887.0,158.2407,0.192296,8775.0,,,203.0,185.0,18.0,,,6.5731,3111.0,4663.0,79.0,3302.0,4636.0,89.0,-191.0,27.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4498.0,7128.0,110.0,5739.0,7625.0,147.0,-1241.0,-497.0,-37.0,0.0,1.0,1.0,1.0,0.0,1.0,6104.0,9210.0,146.0,8010.0,10256.0,202.0,-1906.0,-1046.0,-56.0,0.0,1.0,1.0,1.0,0.0,1.0,7544.0,10789.0,179.0,9501.0,12324.0,242.0,-1957.0,-1535.0,-63.0,0.0,1.0,1.0,1.0,0.0,1.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,2,Blue,jng,Julbu,oe:player:fd78e127e45463dcfc2ea3836af0335,Samsung Morning Stars,oe:team:9efc9069228bc0817c7a9bac775daa7,Lee Sin,Jayce,Twisted Fate,Diana,Nidalee,Kennen,,,,,,1853,0,0,2,1,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6328.0,204.9002,0.15634,703.0977,808.721,16.0,0.5181,10.0,0.3238,8.0,34.0,1.1009,8628,4572.0,148.041,0.179902,8680.0,,,174.0,26.0,148.0,,,5.6341,3162.0,3397.0,68.0,3043.0,3117.0,65.0,119.0,280.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4556.0,5224.0,96.0,4883.0,5457.0,96.0,-327.0,-233.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,6170.0,7497.0,126.0,6505.0,8086.0,137.0,-335.0,-589.0,-11.0,0.0,1.0,1.0,0.0,2.0,0.0,7313.0,9505.0,149.0,7613.0,9467.0,154.0,-300.0,38.0,-5.0,0.0,1.0,1.0,0.0,2.0,0.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,3,Blue,mid,Sadaz,oe:player:55b9ef62724d0ff3f1bf9eb6f08f738,Samsung Morning Stars,oe:team:9efc9069228bc0817c7a9bac775daa7,Akali,Jayce,Twisted Fate,Diana,Nidalee,Kennen,,,,,,1853,0,1,1,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8356.0,270.5666,0.206443,376.3519,219.5035,10.0,0.3238,3.0,0.0971,3.0,32.0,1.0362,9377,5321.0,172.2936,0.209372,8610.0,,,225.0,220.0,5.0,,,7.2855,3122.0,4884.0,77.0,3473.0,4915.0,99.0,-351.0,-31.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,5217.0,8013.0,132.0,5662.0,8081.0,155.0,-445.0,-68.0,-23.0,1.0,0.0,0.0,0.0,1.0,0.0,6801.0,10318.0,171.0,7681.0,10753.0,209.0,-880.0,-435.0,-38.0,1.0,0.0,0.0,0.0,1.0,0.0,8188.0,12301.0,206.0,9839.0,13852.0,271.0,-1651.0,-1551.0,-65.0,1.0,0.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,4,Blue,bot,Counter,oe:player:64d129224a5377b63e9727479ec987d,Samsung Morning Stars,oe:team:9efc9069228bc0817c7a9bac775daa7,Caitlyn,Jayce,Twisted Fate,Diana,Nidalee,Kennen,,,,,,1853,0,0,2,1,2,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0648,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10861.0,351.6784,0.268332,287.9547,141.9212,13.0,0.4209,4.0,0.1295,7.0,22.0,0.7124,11898,7842.0,253.9234,0.308564,11325.0,,,278.0,267.0,11.0,,,9.0016,3754.0,3117.0,85.0,2788.0,2599.0,68.0,966.0,518.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,6019.0,5014.0,136.0,4643.0,4901.0,112.0,1376.0,113.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,8223.0,6613.0,186.0,6702.0,7145.0,164.0,1521.0,-532.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,9837.0,8267.0,228.0,8464.0,9131.0,213.0,1373.0,-864.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,5,Blue,sup,FlayStation,oe:player:4c6afafdf99002c90d836b5e8d1a097,Samsung Morning Stars,oe:team:9efc9069228bc0817c7a9bac775daa7,Lux,Jayce,Twisted Fate,Diana,Nidalee,Kennen,,,,,,1853,0,1,2,0,2,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0648,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8277.0,268.0086,0.204492,220.5397,157.9493,41.0,1.3276,4.0,0.1295,16.0,65.0,2.1047,6848,2792.0,90.4047,0.109866,6970.0,,,29.0,29.0,0.0,,,0.939,2409.0,2341.0,3.0,1708.0,2449.0,1.0,701.0,-108.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3832.0,4047.0,9.0,2678.0,3607.0,4.0,1154.0,440.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4870.0,5278.0,13.0,3734.0,5047.0,9.0,1136.0,231.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5817.0,6532.0,23.0,4607.0,5760.0,12.0,1210.0,772.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,6,Red,top,Conse,oe:player:2a2e8a4d073d7f10a9adb064fc8bd38,GGEsports,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,Gwen,Shen,Thresh,Jinx,LeBlanc,Ornn,,,,,,1853,1,2,1,3,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,11186.0,362.2018,0.244936,530.5451,412.1641,14.0,0.4533,8.0,0.259,4.0,38.0,1.2304,14877,10821.0,350.3832,0.285113,12750.0,,,311.0,289.0,22.0,,,10.0702,3302.0,4636.0,89.0,3111.0,4663.0,79.0,191.0,-27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,7625.0,147.0,4498.0,7128.0,110.0,1241.0,497.0,37.0,1.0,0.0,1.0,0.0,1.0,1.0,8010.0,10256.0,202.0,6104.0,9210.0,146.0,1906.0,1046.0,56.0,1.0,0.0,1.0,0.0,1.0,1.0,9501.0,12324.0,242.0,7544.0,10789.0,179.0,1957.0,1535.0,63.0,1.0,0.0,1.0,0.0,1.0,1.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,7,Red,jng,Music,oe:player:7bcd2e0ffb1e417c2aa64d08675ed2b,GGEsports,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,Xin Zhao,Shen,Thresh,Jinx,LeBlanc,Ornn,,,,,,1853,1,0,0,5,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238,0.3886,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,6797.0,220.0863,0.148832,971.0739,658.4781,9.0,0.2914,12.0,0.3886,8.0,47.0,1.5219,10011,5955.0,192.8225,0.156906,9050.0,,,190.0,21.0,169.0,,,6.1522,3043.0,3117.0,65.0,3162.0,3397.0,68.0,-119.0,-280.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4883.0,5457.0,96.0,4556.0,5224.0,96.0,327.0,233.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,6505.0,8086.0,137.0,6170.0,7497.0,126.0,335.0,589.0,11.0,0.0,2.0,0.0,0.0,1.0,1.0,7613.0,9467.0,154.0,7313.0,9505.0,149.0,300.0,-38.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,8,Red,mid,Six10,oe:player:325397710b4294aeb7a18881c34f33b,GGEsports,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,Irelia,Shen,Thresh,Jinx,LeBlanc,Ornn,,,,,,1853,1,5,0,4,10,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13713.0,444.0259,0.300269,657.5067,506.3249,11.0,0.3562,6.0,0.1943,4.0,34.0,1.1009,14839,10783.0,349.1527,0.284111,12730.0,,,334.0,302.0,32.0,,,10.8149,3473.0,4915.0,99.0,3122.0,4884.0,77.0,351.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5662.0,8081.0,155.0,5217.0,8013.0,132.0,445.0,68.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,7681.0,10753.0,209.0,6801.0,10318.0,171.0,880.0,435.0,38.0,0.0,1.0,0.0,1.0,0.0,0.0,9839.0,13852.0,271.0,8188.0,12301.0,206.0,1651.0,1551.0,65.0,0.0,1.0,0.0,1.0,0.0,0.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,9,Red,bot,Taba,oe:player:5d2965942385e09789bd79ebcb56a45,GGEsports,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,Jhin,Shen,Thresh,Jinx,LeBlanc,Ornn,,,,,,1853,1,2,1,4,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3238,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8383.0,271.4409,0.18356,298.0248,134.0853,15.0,0.4857,7.0,0.2267,7.0,36.0,1.1657,11222,7166.0,232.0345,0.188813,10075.0,,,245.0,237.0,8.0,,,7.9331,2788.0,2599.0,68.0,3754.0,3117.0,85.0,-966.0,-518.0,-17.0,0.0,0.0,1.0,0.0,1.0,0.0,4643.0,4901.0,112.0,6019.0,5014.0,136.0,-1376.0,-113.0,-24.0,1.0,0.0,1.0,0.0,1.0,0.0,6702.0,7145.0,164.0,8223.0,6613.0,186.0,-1521.0,532.0,-22.0,1.0,0.0,1.0,0.0,1.0,0.0,8464.0,9131.0,213.0,9837.0,8267.0,228.0,-1373.0,864.0,-15.0,1.0,0.0,1.0,0.0,1.0,0.0
ESPORTSTMNT01_2703490,complete,,PGN,2022,Spring,0,2022-01-18 17:48:54,1,12.01,10,Red,sup,Shredder,oe:player:4515c41bfcadfcf2e3c5880242f99a2,GGEsports,oe:team:23dda07cf3e2a786d6b300cc78a1cf6,Karma,Shen,Thresh,Jinx,LeBlanc,Ornn,,,,,,1853,1,1,0,8,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238,0.3886,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5590.0,181.0038,0.122403,153.3189,123.3999,29.0,0.939,13.0,0.4209,13.0,68.0,2.2018,7284,3228.0,104.5224,0.0850568,5945.0,,,19.0,19.0,0.0,,,0.6152,1708.0,2449.0,1.0,2409.0,2341.0,3.0,-701.0,108.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,2678.0,3607.0,4.0,3832.0,4047.0,9.0,-1154.0,-440.0,-5.0,0.0,1.0,0.0,1.0,0.0,0.0,3734.0,5047.0,9.0,4870.0,5278.0,13.0,-1136.0,-231.0,-4.0,0.0,1.0,0.0,1.0,0.0,0.0,4607.0,5760.0,12.0,5817.0,6532.0,23.0,-1210.0,-772.0,-11.0,0.0,1.0,0.0,1.0,0.0,0.0
