gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,1,Blue,top,Engo,oe:player:3f87e25690ea3bdeb998259fb45445c,Radiance,oe:team:955d9ba35580bdcc7bed3f11736b0f7,Maokai,Aatrox,Akali,Amumu,Aphelios,Aurelion Sol,,,,,,1779,1,3,7,12,21,14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7083,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18262.0,615.9191,0.246361,1082.1922,1081.4165,17.0,0.5734,4.0,0.1349,9.0,32.0,1.0793,9982,6077.0,204.9578,0.151208,7925.0,,,143.0,139.0,4.0,0.0,0.0,4.8229,3359.0,3398.0,38.0,3009.0,4020.0,52.0,350.0,-622.0,-14.0,2.0,1.0,4.0,0.0,4.0,2.0,4726.0,5519.0,72.0,5061.0,7023.0,104.0,-335.0,-1504.0,-32.0,2.0,1.0,6.0,0.0,5.0,2.0,6422.0,7626.0,106.0,6866.0,9711.0,153.0,-444.0,-2085.0,-47.0,2.0,4.0,6.0,0.0,5.0,2.0,7594.0,9258.0,125.0,8392.0,12199.0,164.0,-798.0,-2941.0,-39.0,2.0,6.0,7.0,0.0,11.0,2.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,2,Blue,jng,Avi,oe:player:75614c3fca429c06226ca2518abb73a,Radiance,oe:team:955d9ba35580bdcc7bed3f11736b0f7,Graves,Aatrox,Akali,Amumu,Aphelios,Aurelion Sol,,,,,,1779,1,6,2,12,21,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7083,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13598.0,458.6172,0.183442,678.8533,584.3508,7.0,0.2361,13.0,0.4384,6.0,47.0,1.5852,13008,9103.0,307.0152,0.226498,10925.0,,,199.0,33.0,166.0,98.0,21.0,6.7116,3776.0,3731.0,63.0,4092.0,3890.0,61.0,-316.0,-159.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,5905.0,6095.0,100.0,6656.0,6551.0,94.0,-751.0,-456.0,6.0,2.0,4.0,1.0,5.0,3.0,2.0,8278.0,8717.0,139.0,8076.0,8493.0,122.0,202.0,224.0,17.0,3.0,7.0,1.0,5.0,3.0,3.0,10109.0,10995.0,175.0,10942.0,11829.0,155.0,-833.0,-834.0,20.0,4.0,9.0,2.0,7.0,6.0,3.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,3,Blue,mid,Young,oe:player:aa7b13aaac8ab04283ce9626c6399d0,Radiance,oe:team:955d9ba35580bdcc7bed3f11736b0f7,Corki,Aatrox,Akali,Amumu,Aphelios,Aurelion Sol,,,,,,1779,1,3,2,6,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17132.0,577.8078,0.231117,463.5413,273.6256,8.0,0.2698,3.0,0.1012,4.0,15.0,0.5059,12727,8822.0,297.5379,0.219507,12563.0,,,255.0,242.0,13.0,8.0,5.0,8.6003,3572.0,5025.0,94.0,3503.0,4498.0,82.0,69.0,527.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,5505.0,7558.0,139.0,5643.0,7532.0,126.0,-138.0,26.0,13.0,0.0,0.0,1.0,2.0,2.0,0.0,8425.0,10575.0,192.0,7678.0,9790.0,185.0,747.0,785.0,7.0,2.0,0.0,1.0,2.0,2.0,1.0,10248.0,12654.0,222.0,10422.0,12691.0,227.0,-174.0,-37.0,-5.0,3.0,1.0,2.0,4.0,5.0,2.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,4,Blue,bot,AndyBendy,oe:player:f38b290539da4d4463b98ec1a3d2194,Radiance,oe:team:955d9ba35580bdcc7bed3f11736b0f7,Kalista,Aatrox,Akali,Amumu,Aphelios,Aurelion Sol,,,,,,1779,1,9,1,6,21,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18944.0,638.9207,0.255561,319.4941,411.8044,9.0,0.3035,4.0,0.1349,3.0,27.0,0.9106,15667,11762.0,396.6948,0.292657,13075.0,,,275.0,249.0,26.0,4.0,9.0,9.2749,4264.0,3334.0,92.0,2655.0,2877.0,8.0,1609.0,457.0,84.0,2.0,0.0,0.0,1.0,0.0,0.0,7059.0,5661.0,139.0,4336.0,4320.0,19.0,2723.0,1341.0,120.0,3.0,1.0,0.0,1.0,1.0,0.0,9689.0,8638.0,189.0,5591.0,5446.0,26.0,4098.0,3192.0,163.0,4.0,3.0,0.0,1.0,1.0,1.0,12128.0,11050.0,238.0,7492.0,8117.0,38.0,4636.0,2933.0,200.0,5.0,4.0,1.0,2.0,6.0,2.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,5,Blue,sup,Cao,oe:player:580f08754dbf1bc64145f212ed0170b,Radiance,oe:team:955d9ba35580bdcc7bed3f11736b0f7,Thresh,Aatrox,Akali,Amumu,Aphelios,Aurelion Sol,,,,,,1779,1,0,2,17,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6191.0,208.8027,0.0835188,431.3322,564.7555,45.0,1.5177,8.0,0.2698,13.0,75.0,2.5295,8331,4426.0,149.2749,0.11013,6375.0,,,32.0,32.0,0.0,0.0,0.0,1.0793,2542.0,2799.0,13.0,2863.0,2857.0,56.0,-321.0,-58.0,-43.0,0.0,2.0,0.0,0.0,1.0,1.0,4177.0,4507.0,26.0,4404.0,3798.0,78.0,-227.0,709.0,-52.0,0.0,4.0,0.0,0.0,1.0,3.0,5545.0,5789.0,28.0,5514.0,5055.0,93.0,31.0,734.0,-65.0,0.0,8.0,0.0,0.0,1.0,4.0,6395.0,7114.0,30.0,7503.0,7373.0,95.0,-1108.0,-259.0,-65.0,0.0,10.0,2.0,1.0,4.0,5.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,6,Red,top,Firetheft,oe:player:73221fb5f399e4d6e1967fd2409db8d,Dark Matter,oe:team:2360b31c1628a21ddd778891dabac91,Poppy,Ahri,Alistar,Anivia,Annie,Ashe,,,,,,1779,0,0,4,11,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4722,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18302.0,617.2681,0.283186,913.7943,1273.828,12.0,0.4047,3.0,0.1012,4.0,20.0,0.6745,9493,5588.0,188.4654,0.184545,9600.0,,,187.0,187.0,0.0,0.0,0.0,6.3069,3009.0,4020.0,52.0,3359.0,3398.0,38.0,-350.0,622.0,14.0,0.0,4.0,2.0,2.0,1.0,4.0,5061.0,7023.0,104.0,4726.0,5519.0,72.0,335.0,1504.0,32.0,0.0,5.0,2.0,2.0,1.0,6.0,6866.0,9711.0,153.0,6422.0,7626.0,106.0,444.0,2085.0,47.0,0.0,5.0,2.0,2.0,4.0,6.0,8392.0,12199.0,164.0,7594.0,9258.0,125.0,798.0,2941.0,39.0,0.0,11.0,2.0,2.0,6.0,7.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,7,Red,jng,Zile,oe:player:78c048012bab5e09a863c4754baa274,Dark Matter,oe:team:2360b31c1628a21ddd778891dabac91,Kindred,Ahri,Alistar,Anivia,Annie,Ashe,,,,,,1779,0,7,4,6,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16094.0,542.7993,0.249021,812.4789,424.4519,8.0,0.2698,7.0,0.2361,8.0,36.0,1.2142,12041,8136.0,274.4013,0.268689,11575.0,,,177.0,54.0,123.0,79.0,11.0,5.9696,4092.0,3890.0,61.0,3776.0,3731.0,63.0,316.0,159.0,-2.0,3.0,2.0,2.0,1.0,3.0,1.0,6656.0,6551.0,94.0,5905.0,6095.0,100.0,751.0,456.0,-6.0,5.0,3.0,2.0,2.0,4.0,1.0,8076.0,8493.0,122.0,8278.0,8717.0,139.0,-202.0,-224.0,-17.0,5.0,3.0,3.0,3.0,7.0,1.0,10942.0,11829.0,155.0,10109.0,10995.0,175.0,833.0,834.0,-20.0,7.0,6.0,3.0,4.0,9.0,2.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,8,Red,mid,Spirax,oe:player:b415fb792209708ad6921cca2e73aff,Dark Matter,oe:team:2360b31c1628a21ddd778891dabac91,Azir,Ahri,Alistar,Anivia,Annie,Ashe,,,,,,1779,0,4,3,5,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15720.0,530.1855,0.243234,457.032,255.312,14.0,0.4722,5.0,0.1686,7.0,26.0,0.8769,11823,7918.0,267.0489,0.26149,11875.0,,,258.0,254.0,4.0,4.0,0.0,8.7015,3503.0,4498.0,82.0,3572.0,5025.0,94.0,-69.0,-527.0,-12.0,1.0,1.0,0.0,0.0,0.0,0.0,5643.0,7532.0,126.0,5505.0,7558.0,139.0,138.0,-26.0,-13.0,2.0,2.0,0.0,0.0,0.0,1.0,7678.0,9790.0,185.0,8425.0,10575.0,192.0,-747.0,-785.0,-7.0,2.0,2.0,1.0,2.0,0.0,1.0,10422.0,12691.0,227.0,10248.0,12654.0,222.0,174.0,37.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,9,Red,bot,Spider,oe:player:b4d68660c4a56181cd886fe5ecc08f7,Dark Matter,oe:team:2360b31c1628a21ddd778891dabac91,Senna,Ahri,Alistar,Anivia,Annie,Ashe,,,,,,1779,0,2,3,6,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11033.0,372.1079,0.170713,371.1636,180.6071,28.0,0.9444,21.0,0.7083,8.0,84.0,2.8331,8346,4441.0,149.7808,0.146667,8010.0,,,46.0,44.0,2.0,0.0,0.0,1.5514,2655.0,2877.0,8.0,4264.0,3334.0,92.0,-1609.0,-457.0,-84.0,1.0,0.0,0.0,2.0,0.0,0.0,4336.0,4320.0,19.0,7059.0,5661.0,139.0,-2723.0,-1341.0,-120.0,1.0,1.0,0.0,3.0,1.0,0.0,5591.0,5446.0,26.0,9689.0,8638.0,189.0,-4098.0,-3192.0,-163.0,1.0,1.0,1.0,4.0,3.0,0.0,7492.0,8117.0,38.0,12128.0,11050.0,238.0,-4636.0,-2933.0,-200.0,2.0,6.0,2.0,5.0,4.0,1.0
NA1/3443274277,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/NA1/3443274277/34721678,RCL,2020,,0,2020-05-31 22:59:40,1,10.11,10,Red,sup,Saint Daniel,oe:player:9d725c685255624f25159a3493f0c5e,Dark Matter,oe:team:2360b31c1628a21ddd778891dabac91,Tahm Kench,Ahri,Alistar,Anivia,Annie,Ashe,,,,,,1779,0,1,7,4,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722,1.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3480.0,117.3693,0.0538458,728.6003,1259.2243,16.0,0.5396,2.0,0.0675,7.0,18.0,0.6071,8102,4197.0,141.5514,0.138609,7425.0,,,97.0,97.0,0.0,0.0,0.0,3.2715,2863.0,2857.0,56.0,2542.0,2799.0,13.0,321.0,58.0,43.0,0.0,1.0,1.0,0.0,2.0,0.0,4404.0,3798.0,78.0,4177.0,4507.0,26.0,227.0,-709.0,52.0,0.0,1.0,3.0,0.0,4.0,0.0,5514.0,5055.0,93.0,5545.0,5789.0,28.0,-31.0,-734.0,65.0,0.0,1.0,4.0,0.0,8.0,0.0,7503.0,7373.0,95.0,6395.0,7114.0,30.0,1108.0,259.0,65.0,1.0,4.0,5.0,0.0,10.0,2.0
