gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,1,Blue,top,Hanabi,oe:player:68128d6a24caee5f69e1d31123cf149,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Renekton,Azir,Corki,Syndra,Nautilus,Aatrox,,,,,,1769,1,3,1,11,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14089.0,477.8632,0.163826,1013.5896,1241.9898,15.0,0.5088,7.0,0.2374,6.0,37.0,1.2549,12610,8726.0,295.9638,0.219021,10150.0,,,237.0,212.0,25.0,4.0,9.0,8.0384,3489.0,4691.0,84.0,2741.0,4494.0,67.0,748.0,197.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,5727.0,7377.0,125.0,4352.0,6667.0,105.0,1375.0,710.0,20.0,0.0,4.0,0.0,0.0,1.0,4.0,7870.0,9936.0,176.0,5765.0,8665.0,141.0,2105.0,1271.0,35.0,0.0,4.0,0.0,0.0,1.0,4.0,9962.0,12991.0,208.0,7139.0,10484.0,178.0,2823.0,2507.0,30.0,1.0,6.0,0.0,0.0,1.0,5.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,2,Blue,jng,River,oe:player:7c3395efccd48fe73592001501bef83,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Nidalee,Azir,Corki,Syndra,Nautilus,Aatrox,,,,,,1769,1,10,1,12,25,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17792.0,603.4596,0.206884,888.7055,610.9893,28.0,0.9497,20.0,0.6783,4.0,78.0,2.6456,13333,9449.0,320.4862,0.237169,11200.0,,,208.0,56.0,152.0,88.0,19.0,7.0548,3334.0,3334.0,66.0,2681.0,2729.0,51.0,653.0,605.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,5428.0,5958.0,98.0,4494.0,4792.0,91.0,934.0,1166.0,7.0,3.0,3.0,1.0,0.0,1.0,0.0,7367.0,8114.0,137.0,5656.0,6228.0,114.0,1711.0,1886.0,23.0,3.0,4.0,1.0,0.0,1.0,0.0,9719.0,11451.0,176.0,6859.0,7597.0,140.0,2860.0,3854.0,36.0,5.0,7.0,1.0,0.0,1.0,1.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,3,Blue,mid,Candy,oe:player:fd964f4b80922071fac5c1485aa284e,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Lissandra,Azir,Corki,Syndra,Nautilus,Aatrox,,,,,,1769,1,5,1,8,25,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14488.0,491.3963,0.168465,539.2199,422.2046,8.0,0.2713,8.0,0.2713,5.0,32.0,1.0854,12627,8743.0,296.5404,0.219448,11150.0,,,234.0,214.0,20.0,12.0,8.0,7.9367,3250.0,4634.0,88.0,3380.0,4837.0,93.0,-130.0,-203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5693.0,6825.0,130.0,5307.0,7944.0,150.0,386.0,-1119.0,-20.0,2.0,1.0,0.0,0.0,0.0,0.0,7879.0,9327.0,173.0,7460.0,10215.0,192.0,419.0,-888.0,-19.0,3.0,2.0,0.0,1.0,0.0,1.0,10705.0,12659.0,211.0,8905.0,12030.0,222.0,1800.0,629.0,-11.0,5.0,5.0,0.0,1.0,0.0,2.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,4,Blue,bot,Unified,oe:player:1dbd464eef96e9cc4151734185a50c7,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Varus,Azir,Corki,Syndra,Nautilus,Aatrox,,,,,,1769,1,6,3,12,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8479,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27504.0,932.866,0.319814,412.0633,229.4517,13.0,0.4409,13.0,0.4409,4.0,45.0,1.5263,12790,8906.0,302.069,0.22354,10700.0,,,232.0,224.0,8.0,4.0,0.0,7.8689,2802.0,2714.0,68.0,4040.0,3344.0,95.0,-1238.0,-630.0,-27.0,0.0,0.0,2.0,2.0,0.0,0.0,5433.0,5451.0,116.0,6839.0,5205.0,142.0,-1406.0,246.0,-26.0,2.0,4.0,2.0,3.0,0.0,2.0,7499.0,6989.0,154.0,8821.0,7740.0,199.0,-1322.0,-751.0,-45.0,3.0,4.0,3.0,3.0,1.0,2.0,9801.0,10218.0,200.0,10577.0,9718.0,248.0,-776.0,500.0,-48.0,3.0,7.0,3.0,3.0,1.0,3.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,5,Blue,sup,Kaiwing,oe:player:0103d21d116b61eb55fa351242208cf,TALON,oe:team:6c41c4480bff43bc71e870013760b38,Yuumi,Azir,Corki,Syndra,Nautilus,Aatrox,,,,,,1769,1,1,0,22,25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12127.0,411.3171,0.141012,104.7711,166.0599,31.0,1.0514,4.0,0.1357,7.0,47.0,1.5941,7901,4017.0,136.2465,0.100821,6960.0,,,23.0,23.0,0.0,0.0,0.0,0.7801,1944.0,2504.0,11.0,2506.0,2833.0,13.0,-562.0,-329.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,3704.0,4777.0,20.0,3501.0,4332.0,20.0,203.0,445.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,4930.0,6346.0,22.0,4415.0,5310.0,27.0,515.0,1036.0,-5.0,1.0,7.0,0.0,0.0,3.0,3.0,6206.0,8923.0,22.0,5219.0,6248.0,29.0,987.0,2675.0,-7.0,1.0,12.0,0.0,0.0,3.0,4.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,6,Red,top,PK,oe:player:d71bdd22c8bb93b8d287dce6f46aed2,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Ornn,Pantheon,Galio,Zoe,Braum,Tahm Kench,,,,,,1769,0,0,7,3,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2035,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12962.0,439.6382,0.256034,914.1097,1036.4161,13.0,0.4409,4.0,0.1357,4.0,18.0,0.6105,8175,4291.0,145.5399,0.164404,7550.0,,,194.0,192.0,2.0,0.0,0.0,6.58,2741.0,4494.0,67.0,3489.0,4691.0,84.0,-748.0,-197.0,-17.0,0.0,0.0,1.0,0.0,1.0,0.0,4352.0,6667.0,105.0,5727.0,7377.0,125.0,-1375.0,-710.0,-20.0,0.0,1.0,4.0,0.0,4.0,0.0,5765.0,8665.0,141.0,7870.0,9936.0,176.0,-2105.0,-1271.0,-35.0,0.0,1.0,4.0,0.0,4.0,0.0,7139.0,10484.0,178.0,9962.0,12991.0,208.0,-2823.0,-2507.0,-30.0,0.0,1.0,5.0,1.0,6.0,0.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,7,Red,jng,Gemini,oe:player:766cc4dd4d5005652e8514e3513683f,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Graves,Pantheon,Galio,Zoe,Braum,Tahm Kench,,,,,,1769,0,1,3,2,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2035,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,10478.0,355.3872,0.206969,773.3861,449.5421,7.0,0.2374,12.0,0.407,7.0,37.0,1.2549,8704,4820.0,163.4822,0.184673,8200.0,,,153.0,38.0,115.0,73.0,9.0,5.1894,2681.0,2729.0,51.0,3334.0,3334.0,66.0,-653.0,-605.0,-15.0,0.0,0.0,0.0,1.0,0.0,0.0,4494.0,4792.0,91.0,5428.0,5958.0,98.0,-934.0,-1166.0,-7.0,0.0,1.0,0.0,3.0,3.0,1.0,5656.0,6228.0,114.0,7367.0,8114.0,137.0,-1711.0,-1886.0,-23.0,0.0,1.0,0.0,3.0,4.0,1.0,6859.0,7597.0,140.0,9719.0,11451.0,176.0,-2860.0,-3854.0,-36.0,0.0,1.0,1.0,5.0,7.0,1.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,8,Red,mid,Mission,oe:player:70d529695c253d17e992cb9265abc57,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,LeBlanc,Pantheon,Galio,Zoe,Braum,Tahm Kench,,,,,,1769,0,1,4,2,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2035,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12806.0,434.3471,0.252953,644.2284,393.6122,12.0,0.407,4.0,0.1357,3.0,25.0,0.8479,10365,6481.0,219.8191,0.248318,10160.0,,,250.0,238.0,12.0,12.0,0.0,8.4794,3380.0,4837.0,93.0,3250.0,4634.0,88.0,130.0,203.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5307.0,7944.0,150.0,5693.0,6825.0,130.0,-386.0,1119.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0,7460.0,10215.0,192.0,7879.0,9327.0,173.0,-419.0,888.0,19.0,1.0,0.0,1.0,3.0,2.0,0.0,8905.0,12030.0,222.0,10705.0,12659.0,211.0,-1800.0,-629.0,11.0,1.0,0.0,2.0,5.0,5.0,0.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,9,Red,bot,Bruce,oe:player:4be90ed9c41356ec34247e49aec714a,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Kalista,Pantheon,Galio,Zoe,Braum,Tahm Kench,,,,,,1769,0,4,6,2,6,25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2035,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11307.0,383.5048,0.223344,661.4924,472.7756,27.0,0.9158,14.0,0.4748,5.0,41.0,1.3906,12321,8437.0,286.1617,0.323265,12385.0,,,281.0,268.0,13.0,13.0,0.0,9.5308,4040.0,3344.0,95.0,2802.0,2714.0,68.0,1238.0,630.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,6839.0,5205.0,142.0,5433.0,5451.0,116.0,1406.0,-246.0,26.0,3.0,0.0,2.0,2.0,4.0,2.0,8821.0,7740.0,199.0,7499.0,6989.0,154.0,1322.0,751.0,45.0,3.0,1.0,2.0,3.0,4.0,3.0,10577.0,9718.0,248.0,9801.0,10218.0,200.0,776.0,-500.0,48.0,3.0,1.0,3.0,3.0,7.0,3.0
ESPORTSTMNT03/1381854,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1381854?gameHash=ec5067679172d77b,Riot,2020,,0,2020-05-27 08:46:58,1,10.1,10,Red,sup,Koala,oe:player:de6b46438c8c6889b6dbf0684b1effa,Machi Esports,oe:team:274c62a6d7e34e0e66e5f267a39d5f7,Thresh,Pantheon,Galio,Zoe,Braum,Tahm Kench,,,,,,1769,0,0,5,5,6,25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2035,1.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3073.0,104.2284,0.0607,527.3488,470.13,48.0,1.628,7.0,0.2374,18.0,61.0,2.069,5955,2071.0,70.2431,0.0793403,5750.0,,,30.0,30.0,0.0,0.0,0.0,1.0175,2506.0,2833.0,13.0,1944.0,2504.0,11.0,562.0,329.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3501.0,4332.0,20.0,3704.0,4777.0,20.0,-203.0,-445.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,4415.0,5310.0,27.0,4930.0,6346.0,22.0,-515.0,-1036.0,5.0,0.0,3.0,3.0,1.0,7.0,0.0,5219.0,6248.0,29.0,6206.0,8923.0,22.0,-987.0,-2675.0,7.0,0.0,3.0,4.0,1.0,12.0,0.0
