gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,1,Blue,top,FadeDrean,oe:player:617b8c1f4764afa72af02b1f17a1eea,Red Eye Esports,,Tahm Kench,Thresh,Volibear,Aphelios,Lissandra,Mordekaiser,,,,,,2097,1,4,3,14,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16125.0,461.3734,0.18762,832.4464,1147.8398,18.0,0.515,7.0,0.2003,11.0,45.0,1.2876,11988,7435.0,212.7325,0.188964,11125.0,,,190.0,185.0,5.0,,,5.4363,3013.0,4135.0,56.0,2857.0,3597.0,57.0,156.0,538.0,-1.0,1.0,2.0,0.0,0.0,1.0,2.0,4773.0,6981.0,99.0,4610.0,6043.0,100.0,163.0,938.0,-1.0,2.0,2.0,0.0,0.0,1.0,2.0,6940.0,8983.0,136.0,6890.0,8813.0,144.0,50.0,170.0,-8.0,3.0,2.0,1.0,1.0,4.0,2.0,8954.0,12090.0,173.0,8445.0,10965.0,183.0,509.0,1125.0,-10.0,3.0,7.0,2.0,1.0,4.0,3.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,2,Blue,jng,Kanguiox,oe:player:3d76d9ac079ff2033f4dadb9266f831,Red Eye Esports,,Rek'Sai,Thresh,Volibear,Aphelios,Lissandra,Mordekaiser,,,,,,2097,1,8,6,11,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6867,1.2303,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.0,24229.0,693.2475,0.281913,783.0615,651.4163,11.0,0.3147,21.0,0.6009,11.0,70.0,2.0029,14065,9512.0,272.1602,0.241754,12925.0,,,204.0,50.0,154.0,,,5.8369,3073.0,3149.0,48.0,4270.0,3351.0,59.0,-1197.0,-202.0,-11.0,0.0,4.0,2.0,4.0,1.0,1.0,5243.0,5266.0,77.0,5606.0,4940.0,80.0,-363.0,326.0,-3.0,2.0,5.0,2.0,4.0,1.0,1.0,6609.0,7522.0,107.0,7488.0,6930.0,105.0,-879.0,592.0,2.0,2.0,6.0,4.0,5.0,1.0,2.0,9578.0,10539.0,148.0,9607.0,9212.0,120.0,-29.0,1327.0,28.0,5.0,7.0,5.0,7.0,1.0,3.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,3,Blue,mid,Marti,oe:player:9b543c39feb02dfbd78b14721763a1e,Red Eye Esports,,LeBlanc,Thresh,Volibear,Aphelios,Lissandra,Mordekaiser,,,,,,2097,1,7,3,6,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,19015.0,544.0629,0.221246,554.7639,367.3247,23.0,0.6581,12.0,0.3433,5.0,61.0,1.7454,13766,9213.0,263.6052,0.234155,13275.0,,,234.0,230.0,4.0,,,6.6953,3309.0,4029.0,62.0,3191.0,4416.0,83.0,118.0,-387.0,-21.0,2.0,0.0,0.0,0.0,0.0,0.0,4813.0,6507.0,105.0,4674.0,6823.0,125.0,139.0,-316.0,-20.0,2.0,1.0,0.0,0.0,0.0,1.0,7136.0,9545.0,158.0,7559.0,10168.0,176.0,-423.0,-623.0,-18.0,2.0,2.0,1.0,2.0,4.0,1.0,8947.0,10907.0,175.0,9176.0,12625.0,204.0,-229.0,-1718.0,-29.0,4.0,3.0,2.0,3.0,5.0,1.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,4,Blue,bot,Lil Carry,oe:player:f9e979b704253c4e9a714baefb25263,Red Eye Esports,,Xayah,Thresh,Volibear,Aphelios,Lissandra,Mordekaiser,,,,,,2097,1,4,3,7,24,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16347.0,467.7253,0.190203,403.1187,228.9557,15.0,0.4292,11.0,0.3147,5.0,51.0,1.4592,13667,9114.0,260.7725,0.231638,13275.0,,,258.0,246.0,12.0,,,7.382,2938.0,2972.0,70.0,3602.0,2852.0,68.0,-664.0,120.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,4417.0,4935.0,115.0,5169.0,4519.0,112.0,-752.0,416.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,5973.0,6477.0,153.0,7447.0,7245.0,157.0,-1474.0,-768.0,-4.0,0.0,1.0,3.0,2.0,7.0,1.0,7703.0,8470.0,186.0,8840.0,8820.0,192.0,-1137.0,-350.0,-6.0,0.0,3.0,3.0,2.0,7.0,2.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,5,Blue,sup,Cassius,oe:player:9c8834ac0a7a7aaa66010ded94db1db,Red Eye Esports,,Sett,Thresh,Volibear,Aphelios,Lissandra,Mordekaiser,,,,,,2097,1,1,4,13,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10229.0,292.6753,0.119018,510.1288,745.98,53.0,1.5165,18.0,0.515,20.0,111.0,3.176,8625,4072.0,116.5093,0.103489,8650.0,,,50.0,50.0,0.0,,,1.4306,2448.0,2717.0,22.0,2292.0,2571.0,15.0,156.0,146.0,7.0,1.0,0.0,1.0,0.0,3.0,1.0,3965.0,4311.0,35.0,3653.0,4015.0,30.0,312.0,296.0,5.0,1.0,2.0,1.0,0.0,3.0,2.0,4897.0,5183.0,39.0,5235.0,6447.0,35.0,-338.0,-1264.0,4.0,1.0,3.0,2.0,1.0,7.0,2.0,6036.0,6720.0,44.0,6055.0,7522.0,40.0,-19.0,-802.0,4.0,1.0,5.0,2.0,1.0,7.0,4.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,6,Red,top,ByFalco,oe:player:5b4335a3832ac5a3bb3d24f8bb8687c,Sport Boys Association,oe:team:85cb0853a7598ed4d820f5381312634,Darius,Viego,Ziggs,Irelia,Varus,Tristana,,,,,,2097,0,3,5,7,19,24,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5436,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13249.0,379.0844,0.15857,745.9227,695.3648,17.0,0.4864,4.0,0.1144,6.0,44.0,1.2589,13036,8483.0,242.7182,0.235216,11900.0,,,246.0,235.0,11.0,,,7.0386,2857.0,3597.0,57.0,3013.0,4135.0,56.0,-156.0,-538.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,4610.0,6043.0,100.0,4773.0,6981.0,99.0,-163.0,-938.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6890.0,8813.0,144.0,6940.0,8983.0,136.0,-50.0,-170.0,8.0,1.0,4.0,2.0,3.0,2.0,1.0,8445.0,10965.0,183.0,8954.0,12090.0,173.0,-509.0,-1125.0,10.0,1.0,4.0,3.0,3.0,7.0,2.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,7,Red,jng,LeonHart,oe:player:d5f29d02c379345704b96e9ccf2c715,Sport Boys Association,oe:team:85cb0853a7598ed4d820f5381312634,Lee Sin,Viego,Ziggs,Irelia,Varus,Tristana,,,,,,2097,0,7,5,6,19,24,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5436,1.2303,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,1.0,12538.0,358.7411,0.15006,897.6538,780.7153,26.0,0.7439,7.0,0.2003,14.0,46.0,1.3162,12250,7697.0,220.2289,0.213421,11450.0,,,152.0,18.0,134.0,,,4.3491,4270.0,3351.0,59.0,3073.0,3149.0,48.0,1197.0,202.0,11.0,4.0,1.0,1.0,0.0,4.0,2.0,5606.0,4940.0,80.0,5243.0,5266.0,77.0,363.0,-326.0,3.0,4.0,1.0,1.0,2.0,5.0,2.0,7488.0,6930.0,105.0,6609.0,7522.0,107.0,879.0,-592.0,-2.0,5.0,1.0,2.0,2.0,6.0,4.0,9607.0,9212.0,120.0,9578.0,10539.0,148.0,29.0,-1327.0,-28.0,7.0,1.0,3.0,5.0,7.0,5.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,8,Red,mid,rhOm,oe:player:9c4c46683dfbaef8ff36e2786b4c931,Sport Boys Association,oe:team:85cb0853a7598ed4d820f5381312634,Viktor,Viego,Ziggs,Irelia,Varus,Tristana,,,,,,2097,0,4,3,8,19,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5436,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,27852.0,796.9099,0.333345,423.0901,331.1874,19.0,0.5436,4.0,0.1144,7.0,27.0,0.7725,12067,7514.0,214.9928,0.208346,10525.0,,,243.0,226.0,17.0,,,6.9528,3191.0,4416.0,83.0,3309.0,4029.0,62.0,-118.0,387.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,4674.0,6823.0,125.0,4813.0,6507.0,105.0,-139.0,316.0,20.0,0.0,0.0,1.0,2.0,1.0,0.0,7559.0,10168.0,176.0,7136.0,9545.0,158.0,423.0,623.0,18.0,2.0,4.0,1.0,2.0,2.0,1.0,9176.0,12625.0,204.0,8947.0,10907.0,175.0,229.0,1718.0,29.0,3.0,5.0,1.0,4.0,3.0,2.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,9,Red,bot,Iruga,oe:player:fb99274a8e3d3660c6d92bda37f2767,Sport Boys Association,oe:team:85cb0853a7598ed4d820f5381312634,Jinx,Viego,Ziggs,Irelia,Varus,Tristana,,,,,,2097,0,4,5,9,19,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5436,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,22282.0,637.5393,0.266681,473.3619,189.0987,17.0,0.4864,15.0,0.4292,5.0,53.0,1.5165,13510,8957.0,256.2804,0.248359,11925.0,,,262.0,258.0,4.0,,,7.4964,3602.0,2852.0,68.0,2938.0,2972.0,70.0,664.0,-120.0,-2.0,1.0,3.0,0.0,0.0,1.0,2.0,5169.0,4519.0,112.0,4417.0,4935.0,115.0,752.0,-416.0,-3.0,1.0,3.0,1.0,0.0,1.0,2.0,7447.0,7245.0,157.0,5973.0,6477.0,153.0,1474.0,768.0,4.0,2.0,7.0,1.0,0.0,1.0,3.0,8840.0,8820.0,192.0,7703.0,8470.0,186.0,1137.0,350.0,6.0,2.0,7.0,2.0,0.0,3.0,3.0
ESPORTSTMNT03_2140174,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/2140174?gameHash=63c094b7512245d6,SL (LATAM),2022,,0,2021-08-26 23:30:46,1.0,11.15,10,Red,sup,Kl,oe:player:b8b54fd7efb782dcb6b5ea010f3ecea,Sport Boys Association,oe:team:85cb0853a7598ed4d820f5381312634,Nautilus,Viego,Ziggs,Irelia,Varus,Tristana,,,,,,2097,0,1,6,9,19,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5436,1.2303,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7632.0,218.3691,0.0913432,507.9828,744.0057,60.0,1.7167,12.0,0.3433,20.0,78.0,2.2318,7967,3414.0,97.6824,0.0946584,7500.0,,,45.0,45.0,0.0,,,1.2876,2292.0,2571.0,15.0,2448.0,2717.0,22.0,-156.0,-146.0,-7.0,0.0,3.0,1.0,1.0,0.0,1.0,3653.0,4015.0,30.0,3965.0,4311.0,35.0,-312.0,-296.0,-5.0,0.0,3.0,2.0,1.0,2.0,1.0,5235.0,6447.0,35.0,4897.0,5183.0,39.0,338.0,1264.0,-4.0,1.0,7.0,2.0,1.0,3.0,2.0,6055.0,7522.0,40.0,6036.0,6720.0,44.0,19.0,802.0,-4.0,1.0,7.0,4.0,1.0,5.0,2.0
