gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,1,Blue,top,JuanDeDios,oe:player:dfeef0ad11329eb650c8146697b943e,Diamond Doves,oe:team:e40cdcb20302c0240d2084c909668aa,Wukong,Kha'Zix,Caitlyn,Karma,Kayn,Viego,,,,,,1750,1,3,1,11,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11556.0,396.2057,0.203748,654.5143,506.2286,10.0,0.3429,8.0,0.2743,5.0,39.0,1.3371,12537,8691.0,297.9771,0.199688,11255.0,,,233.0,233.0,0.0,,,7.9886,3484.0,4400.0,77.0,3517.0,4249.0,65.0,-33.0,151.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,5943.0,8099.0,134.0,5190.0,6805.0,108.0,753.0,1294.0,26.0,2.0,3.0,1.0,2.0,1.0,0.0,7524.0,10398.0,174.0,6618.0,8881.0,144.0,906.0,1517.0,30.0,2.0,3.0,1.0,2.0,1.0,0.0,9958.0,13406.0,196.0,8103.0,10738.0,169.0,1855.0,2668.0,27.0,2.0,7.0,1.0,3.0,1.0,1.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,2,Blue,jng,Leinad,oe:player:1c0bc319e4869b47fe4f29cc4923462,Diamond Doves,oe:team:e40cdcb20302c0240d2084c909668aa,Diana,Kha'Zix,Caitlyn,Karma,Kayn,Viego,,,,,,1750,1,5,4,16,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8229,1.2686,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,19460.0,667.2,0.343107,569.3486,838.1829,5.0,0.1714,5.0,0.1714,4.0,29.0,0.9943,13553,9707.0,332.8114,0.22303,11350.0,,,236.0,39.0,197.0,,,8.0914,4187.0,4199.0,82.0,3726.0,3476.0,70.0,461.0,723.0,12.0,2.0,1.0,2.0,2.0,0.0,1.0,6880.0,7071.0,120.0,5605.0,5809.0,108.0,1275.0,1262.0,12.0,4.0,4.0,3.0,2.0,1.0,3.0,8976.0,10281.0,168.0,7100.0,7409.0,135.0,1876.0,2872.0,33.0,4.0,8.0,3.0,3.0,1.0,4.0,11281.0,14113.0,206.0,8736.0,10302.0,172.0,2545.0,3811.0,34.0,4.0,11.0,4.0,3.0,2.0,5.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,3,Blue,mid,androM,oe:player:b8afbe551bc7e34507b9f12b7f83b42,Diamond Doves,oe:team:e40cdcb20302c0240d2084c909668aa,Yone,Kha'Zix,Caitlyn,Karma,Kayn,Viego,,,,,,1750,1,3,4,11,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9658.0,331.1314,0.170284,497.9657,459.9086,11.0,0.3771,6.0,0.2057,4.0,24.0,0.8229,13419,9573.0,328.2171,0.219952,12830.0,,,257.0,230.0,27.0,,,8.8114,3217.0,4497.0,74.0,3186.0,4697.0,72.0,31.0,-200.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,5109.0,7256.0,110.0,6073.0,7742.0,103.0,-964.0,-486.0,7.0,1.0,3.0,3.0,4.0,2.0,3.0,7290.0,10284.0,168.0,7381.0,9546.0,133.0,-91.0,738.0,35.0,1.0,6.0,3.0,4.0,3.0,4.0,10920.0,14190.0,217.0,8845.0,12241.0,173.0,2075.0,1949.0,44.0,2.0,9.0,3.0,4.0,4.0,5.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,4,Blue,bot,Piu Piu,oe:player:906a750d156649e250b3bddce54d4ee,Diamond Doves,oe:team:e40cdcb20302c0240d2084c909668aa,Jinx,Kha'Zix,Caitlyn,Karma,Kayn,Viego,,,,,,1750,1,13,0,3,24,13,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8229,1.2686,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,2.0,0.0,13492.0,462.5829,0.237883,253.4057,124.3543,10.0,0.3429,6.0,0.2057,3.0,36.0,1.2343,15600,11754.0,402.9943,0.270061,13175.0,,,257.0,233.0,24.0,,,8.8114,3363.0,3444.0,92.0,3402.0,3230.0,79.0,-39.0,214.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,6126.0,5525.0,144.0,5064.0,5464.0,128.0,1062.0,61.0,16.0,2.0,0.0,0.0,1.0,2.0,0.0,9212.0,7771.0,181.0,6792.0,7072.0,172.0,2420.0,699.0,9.0,6.0,0.0,0.0,1.0,3.0,1.0,12729.0,10964.0,223.0,8249.0,8781.0,205.0,4480.0,2183.0,18.0,10.0,1.0,0.0,1.0,4.0,2.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,5,Blue,sup,AdrYh,oe:player:f904062611b2ce16713e2429ed766c4,Diamond Doves,oe:team:e40cdcb20302c0240d2084c909668aa,Leona,Kha'Zix,Caitlyn,Karma,Kayn,Viego,,,,,,1750,1,0,4,11,24,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8229,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,2551.0,87.4629,0.0449777,333.5314,399.2571,29.0,0.9943,13.0,0.4457,12.0,68.0,2.3314,7644,3798.0,130.2171,0.0872699,6450.0,,,40.0,40.0,0.0,,,1.3714,2196.0,2300.0,18.0,2530.0,2641.0,12.0,-334.0,-341.0,6.0,0.0,1.0,2.0,1.0,3.0,1.0,3600.0,3677.0,28.0,3729.0,4381.0,19.0,-129.0,-704.0,9.0,0.0,2.0,3.0,1.0,5.0,3.0,4851.0,5431.0,35.0,4779.0,5850.0,25.0,72.0,-419.0,10.0,0.0,6.0,4.0,1.0,6.0,4.0,6293.0,6934.0,38.0,5532.0,7677.0,27.0,761.0,-743.0,11.0,0.0,6.0,4.0,1.0,6.0,5.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,6,Red,top,Zaary,oe:player:78a0e250b0d14670ab43e7edb4f8747,Deliverance Esports Peru,oe:team:fe59c993d0bda004e54eaecdd957f54,Gragas,Sett,Xin Zhao,Gwen,Lulu,Thresh,,,,,,1750,0,3,2,1,13,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4457,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8046.0,275.8629,0.192788,613.7829,696.1371,9.0,0.3086,3.0,0.1029,3.0,20.0,0.6857,9250,5404.0,185.28,0.205405,9235.0,,,197.0,193.0,4.0,,,6.7543,3517.0,4249.0,65.0,3484.0,4400.0,77.0,33.0,-151.0,-12.0,2.0,0.0,0.0,1.0,1.0,1.0,5190.0,6805.0,108.0,5943.0,8099.0,134.0,-753.0,-1294.0,-26.0,2.0,1.0,0.0,2.0,3.0,1.0,6618.0,8881.0,144.0,7524.0,10398.0,174.0,-906.0,-1517.0,-30.0,2.0,1.0,0.0,2.0,3.0,1.0,8103.0,10738.0,169.0,9958.0,13406.0,196.0,-1855.0,-2668.0,-27.0,3.0,1.0,1.0,2.0,7.0,1.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,7,Red,jng,Ruyi,oe:player:cd99932955b983ba7428c0219f7eb82,Deliverance Esports Peru,oe:team:fe59c993d0bda004e54eaecdd957f54,Graves,Sett,Xin Zhao,Gwen,Lulu,Thresh,,,,,,1750,0,4,6,2,13,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6873.0,235.6457,0.164682,643.8171,405.84,7.0,0.24,12.0,0.4114,6.0,39.0,1.3371,10247,6401.0,219.4629,0.243297,10200.0,,,187.0,33.0,154.0,,,6.4114,3726.0,3476.0,70.0,4187.0,4199.0,82.0,-461.0,-723.0,-12.0,2.0,0.0,1.0,2.0,1.0,2.0,5605.0,5809.0,108.0,6880.0,7071.0,120.0,-1275.0,-1262.0,-12.0,2.0,1.0,3.0,4.0,4.0,3.0,7100.0,7409.0,135.0,8976.0,10281.0,168.0,-1876.0,-2872.0,-33.0,3.0,1.0,4.0,4.0,8.0,3.0,8736.0,10302.0,172.0,11281.0,14113.0,206.0,-2545.0,-3811.0,-34.0,3.0,2.0,5.0,4.0,11.0,4.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,8,Red,mid,DVE Sann,,Deliverance Esports Peru,oe:team:fe59c993d0bda004e54eaecdd957f54,Vex,Sett,Xin Zhao,Gwen,Lulu,Thresh,,,,,,1750,0,4,6,5,13,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14163.0,485.5886,0.339355,509.1429,306.5143,16.0,0.5486,0.0,0.0,6.0,28.0,0.96,10164,6318.0,216.6171,0.240143,9550.0,,,199.0,193.0,6.0,,,6.8229,3186.0,4697.0,72.0,3217.0,4497.0,74.0,-31.0,200.0,-2.0,0.0,2.0,1.0,0.0,2.0,1.0,6073.0,7742.0,103.0,5109.0,7256.0,110.0,964.0,486.0,-7.0,4.0,2.0,3.0,1.0,3.0,3.0,7381.0,9546.0,133.0,7290.0,10284.0,168.0,91.0,-738.0,-35.0,4.0,3.0,4.0,1.0,6.0,3.0,8845.0,12241.0,173.0,10920.0,14190.0,217.0,-2075.0,-1949.0,-44.0,4.0,4.0,5.0,2.0,9.0,3.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,9,Red,bot,Nou,oe:player:7e93984bf8c59033ab2316dc6f004d1,Deliverance Esports Peru,oe:team:fe59c993d0bda004e54eaecdd957f54,Jhin,Sett,Xin Zhao,Gwen,Lulu,Thresh,,,,,,1750,0,1,3,4,13,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4457,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,2.0,7847.0,269.04,0.18802,343.9543,125.28,12.0,0.4114,4.0,0.1371,5.0,27.0,0.9257,9732,5886.0,201.8057,0.223724,9175.0,,,237.0,237.0,0.0,,,8.1257,3402.0,3230.0,79.0,3363.0,3444.0,92.0,39.0,-214.0,-13.0,1.0,1.0,0.0,0.0,0.0,0.0,5064.0,5464.0,128.0,6126.0,5525.0,144.0,-1062.0,-61.0,-16.0,1.0,2.0,0.0,2.0,0.0,0.0,6792.0,7072.0,172.0,9212.0,7771.0,181.0,-2420.0,-699.0,-9.0,1.0,3.0,1.0,6.0,0.0,0.0,8249.0,8781.0,205.0,12729.0,10964.0,223.0,-4480.0,-2183.0,-18.0,1.0,4.0,2.0,10.0,1.0,0.0
ESPORTSTMNT01_2707857,complete,,SL (LATAM),2022,,0,2022-01-27 23:29:40,1,12.01,10,Red,sup,LupinoBate,oe:player:fcc07158efd9ad098678e01721c2a9e,Deliverance Esports Peru,oe:team:fe59c993d0bda004e54eaecdd957f54,Nautilus,Sett,Xin Zhao,Gwen,Lulu,Thresh,,,,,,1750,0,1,7,6,13,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4457,1.2686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4806.0,164.7771,0.115155,468.8914,614.4343,35.0,1.2,6.0,0.2057,16.0,54.0,1.8514,6146,2300.0,78.8571,0.087432,6000.0,,,28.0,28.0,0.0,,,0.96,2530.0,2641.0,12.0,2196.0,2300.0,18.0,334.0,341.0,-6.0,1.0,3.0,1.0,0.0,1.0,2.0,3729.0,4381.0,19.0,3600.0,3677.0,28.0,129.0,704.0,-9.0,1.0,5.0,3.0,0.0,2.0,3.0,4779.0,5850.0,25.0,4851.0,5431.0,35.0,-72.0,419.0,-10.0,1.0,6.0,4.0,0.0,6.0,4.0,5532.0,7677.0,27.0,6293.0,6934.0,38.0,-761.0,743.0,-11.0,1.0,6.0,5.0,0.0,6.0,4.0
