gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,1,Blue,top,Werlyb,oe:player:69dc670d17874354602d0b4f2327e02,MAD Lions E.C.,oe:team:a6a9ea0fa71e2e96cf5d5eb6ce9a4e2,Vladimir,Galio,Xayah,Tahm Kench,Gangplank,Janna,,,,,,2189,1,4,1,3,12,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,12983.0,355.8611,0.172106,594.4632,241.8639,21.0,0.5756,4.0,0.1096,5.0,43.0,1.1786,15000.0,10259.0,281.1969,0.224457,12775.0,,,334.0,313.0,21.0,6.0,4.0,9.1549,3171.0,4485.0,84.0,3491.0,4964.0,99.0,-320.0,-479.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5231.0,7420.0,141.0,5289.0,7731.0,155.0,-58.0,-311.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,7291.0,10523.0,201.0,7261.0,10424.0,205.0,30.0,99.0,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,8768.0,12262.0,240.0,9810.0,13287.0,248.0,-1042.0,-1025.0,-8.0,0.0,1.0,1.0,1.0,1.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,2,Blue,jng,Selfmade,oe:player:96436efa39788172b8b2f90fc97e842,MAD Lions E.C.,oe:team:a6a9ea0fa71e2e96cf5d5eb6ce9a4e2,Zac,Galio,Xayah,Tahm Kench,Gangplank,Janna,,,,,,2189,1,2,1,5,12,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3289,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7104.0,194.719,0.0941725,926.0393,838.191,34.0,0.9319,20.0,0.5482,12.0,78.0,2.138,11237.0,6496.0,178.0539,0.142125,11200.0,,,158.0,26.0,132.0,105.0,3.0,4.3307,2941.0,3227.0,54.0,2803.0,2859.0,49.0,138.0,368.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,4657.0,4939.0,77.0,4475.0,5000.0,76.0,182.0,-61.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6228.0,6699.0,102.0,5881.0,7396.0,102.0,347.0,-697.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,7400.0,8725.0,124.0,8003.0,10320.0,132.0,-603.0,-1595.0,-8.0,2.0,1.0,1.0,1.0,5.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,3,Blue,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,MAD Lions E.C.,oe:team:a6a9ea0fa71e2e96cf5d5eb6ce9a4e2,Zoe,Galio,Xayah,Tahm Kench,Gangplank,Janna,,,,,,2189,1,3,2,7,12,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3289,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24695.0,676.8844,0.327364,379.735,111.8867,12.0,0.3289,8.0,0.2193,2.0,37.0,1.0142,15634.0,10893.0,298.5747,0.238328,14300.0,,,354.0,329.0,25.0,12.0,9.0,9.7031,3619.0,5045.0,100.0,3256.0,4853.0,86.0,363.0,192.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,5807.0,8080.0,159.0,4997.0,7489.0,134.0,810.0,591.0,25.0,0.0,2.0,1.0,0.0,1.0,1.0,7672.0,10818.0,213.0,6959.0,9861.0,178.0,713.0,957.0,35.0,0.0,3.0,2.0,0.0,2.0,1.0,9242.0,12530.0,255.0,10067.0,13786.0,224.0,-825.0,-1256.0,31.0,0.0,3.0,2.0,2.0,4.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,4,Blue,bot,Crownie,oe:player:1c51707d8fd9873c9fd184e2cd01b33,MAD Lions E.C.,oe:team:a6a9ea0fa71e2e96cf5d5eb6ce9a4e2,Caitlyn,Galio,Xayah,Tahm Kench,Gangplank,Janna,,,,,,2189,1,2,1,6,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,24457.0,670.3609,0.324209,358.6021,367.4829,11.0,0.3015,15.0,0.4111,5.0,30.0,0.8223,17208.0,12467.0,341.7177,0.272766,16025.0,,,415.0,391.0,24.0,16.0,0.0,11.3751,3408.0,3255.0,94.0,3173.0,3169.0,82.0,235.0,86.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5630.0,5241.0,143.0,4720.0,4642.0,113.0,910.0,599.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,7959.0,7919.0,212.0,6618.0,6705.0,172.0,1341.0,1214.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,9676.0,9786.0,259.0,9700.0,9849.0,211.0,-24.0,-63.0,48.0,0.0,1.0,1.0,3.0,2.0,0.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,5,Blue,sup,Falco,oe:player:e9615e1074483132750c63fc1137d99,MAD Lions E.C.,oe:team:a6a9ea0fa71e2e96cf5d5eb6ce9a4e2,Braum,Galio,Xayah,Tahm Kench,Gangplank,Janna,,,,,,2189,1,1,3,10,12,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3289,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6197.0,169.8584,0.0821491,469.7213,454.3719,52.0,1.4253,11.0,0.3015,13.0,86.0,2.3572,10332.0,5591.0,153.2481,0.122324,8875.0,,,62.0,58.0,4.0,0.0,0.0,1.6994,2483.0,3099.0,20.0,2013.0,3180.0,3.0,470.0,-81.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3906.0,3861.0,27.0,3165.0,4771.0,8.0,741.0,-910.0,19.0,1.0,0.0,1.0,0.0,2.0,0.0,5112.0,5754.0,37.0,4094.0,6479.0,10.0,1018.0,-725.0,27.0,1.0,1.0,1.0,0.0,3.0,0.0,6006.0,7434.0,45.0,6073.0,9100.0,13.0,-67.0,-1666.0,32.0,1.0,1.0,2.0,0.0,6.0,0.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,6,Red,top,Agresivoo,oe:player:5be118a1aa52664e1dff15ff96c1e67,G2 Vodafone,oe:team:a2bb57fa2128f7cab5d707d66540813,Jayce,Varus,Ryze,Azir,Jarvan IV,Kha'Zix,,,,,,2189,0,1,2,1,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16707.0,457.9351,0.234448,508.1224,414.7373,40.0,1.0964,7.0,0.1919,4.0,73.0,2.0009,14971.0,10230.0,280.402,0.258178,13175.0,,,370.0,352.0,18.0,17.0,0.0,10.1416,3491.0,4964.0,99.0,3171.0,4485.0,84.0,320.0,479.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5289.0,7731.0,155.0,5231.0,7420.0,141.0,58.0,311.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7261.0,10424.0,205.0,7291.0,10523.0,201.0,-30.0,-99.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,9810.0,13287.0,248.0,8768.0,12262.0,240.0,1042.0,1025.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,7,Red,jng,Hero,oe:player:6ff74798d43a519dd070b82c74f4f06,G2 Vodafone,oe:team:a2bb57fa2128f7cab5d707d66540813,Sejuani,Varus,Ryze,Azir,Jarvan IV,Kha'Zix,,,,,,2189,0,1,4,6,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2193,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4765.0,130.6076,0.0668669,913.4856,615.0206,69.0,1.8913,14.0,0.3837,17.0,126.0,3.4536,10557.0,5816.0,159.4153,0.146779,9325.0,,,158.0,29.0,129.0,97.0,0.0,4.3307,2803.0,2859.0,49.0,2941.0,3227.0,54.0,-138.0,-368.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,4475.0,5000.0,76.0,4657.0,4939.0,77.0,-182.0,61.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,5881.0,7396.0,102.0,6228.0,6699.0,102.0,-347.0,697.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,8003.0,10320.0,132.0,7400.0,8725.0,124.0,603.0,1595.0,8.0,1.0,5.0,1.0,2.0,1.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,8,Red,mid,Roison,oe:player:1428134d4ece3f00321b6b870ca2152,G2 Vodafone,oe:team:a2bb57fa2128f7cab5d707d66540813,Corki,Varus,Ryze,Azir,Jarvan IV,Kha'Zix,,,,,,2189,0,2,3,5,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,27627.0,757.2499,0.387688,525.418,261.407,14.0,0.3837,4.0,0.1096,3.0,31.0,0.8497,14200.0,9459.0,259.2691,0.23872,13358.0,,,317.0,281.0,36.0,20.0,8.0,8.6889,3256.0,4853.0,86.0,3619.0,5045.0,100.0,-363.0,-192.0,-14.0,0.0,0.0,0.0,0.0,1.0,0.0,4997.0,7489.0,134.0,5807.0,8080.0,159.0,-810.0,-591.0,-25.0,0.0,1.0,1.0,0.0,2.0,1.0,6959.0,9861.0,178.0,7672.0,10818.0,213.0,-713.0,-957.0,-35.0,0.0,2.0,1.0,0.0,3.0,2.0,10067.0,13786.0,224.0,9242.0,12530.0,255.0,825.0,1256.0,-31.0,2.0,4.0,1.0,0.0,3.0,2.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,9,Red,bot,Nixerino,oe:player:af0e03279f7636eaa685de5c737d42c,G2 Vodafone,oe:team:a2bb57fa2128f7cab5d707d66540813,Kog'Maw,Varus,Ryze,Azir,Jarvan IV,Kha'Zix,,,,,,2189,0,4,1,2,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,14228.0,389.9863,0.19966,305.4271,298.2732,12.0,0.3289,9.0,0.2467,2.0,47.0,1.2883,14890.0,10149.0,278.1818,0.256134,14850.0,,,337.0,320.0,17.0,14.0,3.0,9.2371,3173.0,3169.0,82.0,3408.0,3255.0,94.0,-235.0,-86.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.0,4642.0,113.0,5630.0,5241.0,143.0,-910.0,-599.0,-30.0,1.0,0.0,0.0,0.0,0.0,0.0,6618.0,6705.0,172.0,7959.0,7919.0,212.0,-1341.0,-1214.0,-40.0,1.0,0.0,0.0,0.0,1.0,0.0,9700.0,9849.0,211.0,9676.0,9786.0,259.0,24.0,63.0,-48.0,3.0,2.0,0.0,0.0,1.0,1.0
EUW1/3511957748,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/EUW1/3511957748,SLO,2018,Spring,0,2018-01-31 18:14:34,1,8.02,10,Red,sup,Homi,oe:player:76ef223f4368f01c3e7b4adbdc96c3e,G2 Vodafone,oe:team:a2bb57fa2128f7cab5d707d66540813,Bard,Varus,Ryze,Azir,Jarvan IV,Kha'Zix,,,,,,2189,0,0,2,7,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7934.0,217.4692,0.111337,462.7044,166.8159,60.0,1.6446,14.0,0.3837,14.0,103.0,2.8232,8711.0,3970.0,108.8168,0.10019,8500.0,,,24.0,24.0,0.0,0.0,0.0,0.6578,2013.0,3180.0,3.0,2483.0,3099.0,20.0,-470.0,81.0,-17.0,0.0,0.0,0.0,1.0,0.0,0.0,3165.0,4771.0,8.0,3906.0,3861.0,27.0,-741.0,910.0,-19.0,0.0,2.0,0.0,1.0,0.0,1.0,4094.0,6479.0,10.0,5112.0,5754.0,37.0,-1018.0,725.0,-27.0,0.0,3.0,0.0,1.0,1.0,1.0,6073.0,9100.0,13.0,6006.0,7434.0,45.0,67.0,1666.0,-32.0,0.0,6.0,0.0,1.0,1.0,2.0
