gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,1,Blue,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,Splyce Vipers,oe:team:2362f7eb0a254f874a322769e206a01,Poppy,Urgot,Lissandra,Ezreal,Caitlyn,Camille,,,,,,1851,0,0,2,0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6324.0,204.9919,0.219226,506.7747,860.1297,12.0,0.389,7.0,0.2269,3.0,30.0,0.9724,8558.0,4506.0,146.0616,0.160822,7875.0,,,203.0,197.0,6.0,3.0,0.0,6.5802,2900.0,4263.0,72.0,3266.0,4699.0,87.0,-366.0,-436.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4315.0,6646.0,112.0,5102.0,7216.0,141.0,-787.0,-570.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,5599.0,8546.0,140.0,6971.0,9803.0,187.0,-1372.0,-1257.0,-47.0,0.0,0.0,1.0,0.0,1.0,0.0,7218.0,11044.0,180.0,8662.0,11994.0,224.0,-1444.0,-950.0,-44.0,0.0,0.0,1.0,0.0,2.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,2,Blue,jng,Sharp,oe:player:276042e5c46f0f60737f727d12a2681,Splyce Vipers,oe:team:2362f7eb0a254f874a322769e206a01,Olaf,Urgot,Lissandra,Ezreal,Caitlyn,Camille,,,,,,1851,0,1,1,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5890.0,190.9238,0.204181,735.8833,757.2447,11.0,0.3566,13.0,0.4214,10.0,43.0,1.3938,9237.0,5185.0,168.0713,0.185054,8900.0,,,156.0,23.0,133.0,99.0,6.0,5.0567,2964.0,3002.0,54.0,3016.0,3184.0,57.0,-52.0,-182.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,4294.0,5007.0,77.0,4869.0,5700.0,103.0,-575.0,-693.0,-26.0,0.0,1.0,0.0,0.0,1.0,0.0,6065.0,7685.0,120.0,6649.0,7489.0,125.0,-584.0,196.0,-5.0,0.0,1.0,0.0,1.0,2.0,0.0,7252.0,9006.0,142.0,8118.0,9396.0,156.0,-866.0,-390.0,-14.0,0.0,1.0,0.0,1.0,3.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,3,Blue,mid,Hatrixx,oe:player:d284c886209920a7c477e95581cd099,Splyce Vipers,oe:team:2362f7eb0a254f874a322769e206a01,Akali,Urgot,Lissandra,Ezreal,Caitlyn,Camille,,,,,,1851,0,1,3,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5085.0,164.8298,0.176275,398.5413,466.1912,20.0,0.6483,10.0,0.3241,11.0,41.0,1.329,10664.0,6612.0,214.3274,0.23598,10610.0,,,274.0,254.0,20.0,20.0,0.0,8.8817,3359.0,4687.0,91.0,3331.0,4854.0,89.0,28.0,-167.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5363.0,7400.0,143.0,4751.0,7133.0,126.0,612.0,267.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,7249.0,10014.0,198.0,6312.0,9931.0,164.0,937.0,83.0,34.0,1.0,0.0,1.0,0.0,1.0,1.0,9081.0,12543.0,245.0,7962.0,12400.0,203.0,1119.0,143.0,42.0,1.0,0.0,1.0,0.0,2.0,1.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,4,Blue,bot,Freeze,oe:player:65467087a19145f43129bba42781aea,Splyce Vipers,oe:team:2362f7eb0a254f874a322769e206a01,Cassiopeia,Urgot,Lissandra,Ezreal,Caitlyn,Camille,,,,,,1851,0,0,1,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7383.0,239.3193,0.255937,391.1831,300.0648,9.0,0.2917,9.0,0.2917,3.0,25.0,0.8104,11465.0,7413.0,240.2917,0.264566,10675.0,,,310.0,293.0,17.0,11.0,0.0,10.0486,3217.0,3601.0,86.0,3505.0,3278.0,80.0,-288.0,323.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,4979.0,5691.0,137.0,5093.0,5636.0,122.0,-114.0,55.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,7164.0,8010.0,192.0,7380.0,8013.0,164.0,-216.0,-3.0,28.0,0.0,1.0,0.0,2.0,1.0,0.0,9069.0,9847.0,247.0,9707.0,10555.0,219.0,-638.0,-708.0,28.0,0.0,1.0,0.0,3.0,1.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,5,Blue,sup,Prime,oe:player:e038414b765a8bda52e602f7eaeff04,Splyce Vipers,oe:team:2362f7eb0a254f874a322769e206a01,Alistar,Urgot,Lissandra,Ezreal,Caitlyn,Camille,,,,,,1851,0,0,4,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0648,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4165.0,135.0081,0.144382,483.5332,659.0276,36.0,1.1669,4.0,0.1297,14.0,57.0,1.8476,8355.0,4303.0,139.4814,0.153577,6500.0,,,57.0,57.0,0.0,0.0,0.0,1.8476,2541.0,2546.0,16.0,2054.0,2582.0,1.0,487.0,-36.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,3725.0,3926.0,24.0,2846.0,2988.0,2.0,879.0,938.0,22.0,0.0,1.0,1.0,0.0,1.0,0.0,5384.0,5455.0,38.0,4098.0,4466.0,5.0,1286.0,989.0,33.0,0.0,1.0,1.0,0.0,3.0,0.0,7034.0,6808.0,50.0,5297.0,6321.0,6.0,1737.0,487.0,44.0,0.0,1.0,2.0,0.0,4.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,6,Red,top,Wardain,oe:player:8b9d3f48ed566e38a0e5877897d4b87,G2 Heretics,oe:team:1277180e600ca5f219e91d672a69f7f,Aatrox,Draven,Lee Sin,Lucian,Viktor,Xin Zhao,,,,,,1851,1,1,0,5,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,8906.0,288.6872,0.167914,422.4959,281.6856,14.0,0.4538,4.0,0.1297,6.0,26.0,0.8428,11941.0,7889.0,255.7212,0.214456,10100.0,,,266.0,266.0,0.0,0.0,0.0,8.6224,3266.0,4699.0,87.0,2900.0,4263.0,72.0,366.0,436.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5102.0,7216.0,141.0,4315.0,6646.0,112.0,787.0,570.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6971.0,9803.0,187.0,5599.0,8546.0,140.0,1372.0,1257.0,47.0,0.0,1.0,0.0,0.0,0.0,1.0,8662.0,11994.0,224.0,7218.0,11044.0,180.0,1444.0,950.0,44.0,0.0,2.0,0.0,0.0,0.0,1.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,7,Red,jng,Lamabear,oe:player:18b54e8c9a82b492feb24b1010cf45b,G2 Heretics,oe:team:1277180e600ca5f219e91d672a69f7f,Kha'Zix,Draven,Lee Sin,Lucian,Viktor,Xin Zhao,,,,,,1851,1,5,0,5,11,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3566,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12200.0,395.4619,0.230019,852.3501,491.1183,30.0,0.9724,12.0,0.389,10.0,65.0,2.107,12336.0,8284.0,268.5251,0.225193,9925.0,,,192.0,29.0,163.0,114.0,0.0,6.2237,3016.0,3184.0,57.0,2964.0,3002.0,54.0,52.0,182.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4869.0,5700.0,103.0,4294.0,5007.0,77.0,575.0,693.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,6649.0,7489.0,125.0,6065.0,7685.0,120.0,584.0,-196.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,8118.0,9396.0,156.0,7252.0,9006.0,142.0,866.0,390.0,14.0,1.0,3.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,8,Red,mid,Xico,oe:player:d9b34ab9d9fab2fac389f16f0817926,G2 Heretics,oe:team:1277180e600ca5f219e91d672a69f7f,Galio,Draven,Lee Sin,Lucian,Viktor,Xin Zhao,,,,,,1851,1,1,1,8,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16534.0,535.9481,0.311733,338.7358,615.8833,19.0,0.6159,2.0,0.0648,9.0,28.0,0.9076,11440.0,7388.0,239.4814,0.200837,8925.0,,,245.0,236.0,9.0,9.0,0.0,7.9417,3331.0,4854.0,89.0,3359.0,4687.0,91.0,-28.0,167.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4751.0,7133.0,126.0,5363.0,7400.0,143.0,-612.0,-267.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,6312.0,9931.0,164.0,7249.0,10014.0,198.0,-937.0,-83.0,-34.0,0.0,1.0,1.0,1.0,0.0,1.0,7962.0,12400.0,203.0,9081.0,12543.0,245.0,-1119.0,-143.0,-42.0,0.0,2.0,1.0,1.0,0.0,1.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,9,Red,bot,Smiley,oe:player:147a53ba717927e418ef4c86d4c9c18,G2 Heretics,oe:team:1277180e600ca5f219e91d672a69f7f,Xayah,Draven,Lee Sin,Lucian,Viktor,Xin Zhao,,,,,,1851,1,4,1,1,11,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3566,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12023.0,389.7245,0.226682,232.3177,244.8947,13.0,0.4214,12.0,0.389,5.0,43.0,1.3938,13624.0,9572.0,310.2755,0.260205,11700.0,,,277.0,277.0,0.0,0.0,0.0,8.9789,3505.0,3278.0,80.0,3217.0,3601.0,86.0,288.0,-323.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,5093.0,5636.0,122.0,4979.0,5691.0,137.0,114.0,-55.0,-15.0,1.0,0.0,0.0,0.0,1.0,0.0,7380.0,8013.0,164.0,7164.0,8010.0,192.0,216.0,3.0,-28.0,2.0,1.0,0.0,0.0,1.0,0.0,9707.0,10555.0,219.0,9069.0,9847.0,247.0,638.0,708.0,-28.0,3.0,1.0,0.0,0.0,1.0,0.0
ESPORTSTMNT01/1050631,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1050631?gameHash=ae7ae2211ac70780,SLO,2019,Spring,0,2019-01-30 16:34:27,1,9.02,10,Red,sup,Skain,oe:player:cc10763c093c9c82347764efaf6821a,G2 Heretics,oe:team:1277180e600ca5f219e91d672a69f7f,Thresh,Draven,Lee Sin,Lucian,Viktor,Xin Zhao,,,,,,1851,1,0,0,9,11,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3566,0.4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3376.0,109.4327,0.0636513,192.0908,177.5041,41.0,1.329,8.0,0.2593,13.0,67.0,2.1718,7705.0,3653.0,118.4117,0.099309,6425.0,,,9.0,9.0,0.0,0.0,0.0,0.2917,2054.0,2582.0,1.0,2541.0,2546.0,16.0,-487.0,36.0,-15.0,0.0,1.0,0.0,0.0,0.0,1.0,2846.0,2988.0,2.0,3725.0,3926.0,24.0,-879.0,-938.0,-22.0,0.0,1.0,0.0,0.0,1.0,1.0,4098.0,4466.0,5.0,5384.0,5455.0,38.0,-1286.0,-989.0,-33.0,0.0,3.0,0.0,0.0,1.0,1.0,5297.0,6321.0,6.0,7034.0,6808.0,50.0,-1737.0,-487.0,-44.0,0.0,4.0,0.0,0.0,1.0,2.0
