gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,1,Blue,top,Armut,oe:player:2d2b174e23f40f5ea3a0c4151349ca3,Royal Youth,oe:team:1fcd541d3a51d70860c46eaae858ba8,Urgot,Aatrox,Alistar,Lucian,Sion,Kennen,,,,,,1897,0,3,3,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8809.0,278.6189,0.274526,455.456,731.2283,16.0,0.5061,4.0,0.1265,7.0,31.0,0.9805,10921.0,6776.0,214.3173,0.241564,10775.0,,,196.0,191.0,5.0,3.0,0.0,6.1993,3922.0,4410.0,72.0,2837.0,3904.0,74.0,1085.0,506.0,-2.0,2.0,0.0,0.0,0.0,0.0,2.0,6297.0,6679.0,110.0,4152.0,5669.0,104.0,2145.0,1010.0,6.0,3.0,0.0,1.0,0.0,1.0,3.0,7573.0,8644.0,136.0,6112.0,8328.0,156.0,1461.0,316.0,-20.0,3.0,0.0,1.0,0.0,2.0,3.0,9042.0,10389.0,169.0,7734.0,10346.0,192.0,1308.0,43.0,-23.0,3.0,0.0,1.0,0.0,2.0,3.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,2,Blue,jng,Closer,oe:player:96da046ebab4cac9bcba2c9afd85999,Royal Youth,oe:team:1fcd541d3a51d70860c46eaae858ba8,Lee Sin,Aatrox,Alistar,Lucian,Sion,Kennen,,,,,,1897,0,0,3,4,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3788.0,119.8102,0.11805,627.2957,529.5308,23.0,0.7275,7.0,0.2214,6.0,36.0,1.1386,9143.0,4998.0,158.0812,0.178174,8375.0,,,145.0,39.0,106.0,83.0,0.0,4.5862,2990.0,3422.0,44.0,3614.0,4279.0,76.0,-624.0,-857.0,-32.0,0.0,2.0,0.0,0.0,1.0,0.0,5116.0,6117.0,73.0,5538.0,6651.0,114.0,-422.0,-534.0,-41.0,0.0,3.0,0.0,0.0,1.0,0.0,6368.0,7953.0,101.0,7282.0,9185.0,143.0,-914.0,-1232.0,-42.0,0.0,3.0,1.0,0.0,4.0,0.0,7523.0,9457.0,121.0,8793.0,11479.0,177.0,-1270.0,-2022.0,-56.0,0.0,3.0,1.0,0.0,4.0,0.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,3,Blue,mid,GBM,oe:player:f75ea237475cbf72461f5532b955aaf,Royal Youth,oe:team:1fcd541d3a51d70860c46eaae858ba8,Lissandra,Aatrox,Alistar,Lucian,Sion,Kennen,,,,,,1897,0,0,2,2,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10087.0,319.0406,0.314354,510.4586,193.6321,11.0,0.3479,2.0,0.0633,3.0,14.0,0.4428,10607.0,6462.0,204.3859,0.230369,10125.0,,,269.0,257.0,12.0,9.0,0.0,8.5082,3562.0,5013.0,102.0,3583.0,4975.0,100.0,-21.0,38.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5509.0,7485.0,150.0,5391.0,7268.0,140.0,118.0,217.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,7039.0,9457.0,188.0,7973.0,9667.0,179.0,-934.0,-210.0,9.0,0.0,0.0,1.0,3.0,3.0,0.0,8642.0,11984.0,228.0,9438.0,11608.0,215.0,-796.0,376.0,13.0,0.0,0.0,1.0,3.0,3.0,0.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,4,Blue,bot,Pilot,oe:player:ebec939da49d80219030b8441845ef9,Royal Youth,oe:team:1fcd541d3a51d70860c46eaae858ba8,Kai'Sa,Aatrox,Alistar,Lucian,Sion,Kennen,,,,,,1897,0,2,3,0,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1581,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6499.0,205.5561,0.202537,401.4655,165.0079,13.0,0.4112,4.0,0.1265,3.0,23.0,0.7275,11409.0,7264.0,229.7522,0.258962,11550.0,,,254.0,232.0,22.0,21.0,0.0,8.0337,3208.0,3133.0,82.0,3917.0,3607.0,94.0,-709.0,-474.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,4696.0,4922.0,120.0,6325.0,5577.0,138.0,-1629.0,-655.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0,6199.0,6370.0,158.0,8396.0,7340.0,171.0,-2197.0,-970.0,-13.0,0.0,0.0,1.0,2.0,2.0,0.0,8010.0,8643.0,204.0,10390.0,9377.0,216.0,-2380.0,-734.0,-12.0,0.0,0.0,1.0,2.0,2.0,0.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,5,Blue,sup,Dumbledoge,oe:player:7bd16068637ca7bbbed9db44008bda8,Royal Youth,oe:team:1fcd541d3a51d70860c46eaae858ba8,Thresh,Aatrox,Alistar,Lucian,Sion,Kennen,,,,,,1897,0,0,5,1,5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2905.0,91.8819,0.0905323,501.0648,372.5567,45.0,1.4233,4.0,0.1265,12.0,52.0,1.6447,6696.0,2551.0,80.6853,0.0909322,5450.0,,,41.0,41.0,0.0,0.0,0.0,1.2968,2415.0,2497.0,19.0,3335.0,2602.0,17.0,-920.0,-105.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3458.0,3695.0,25.0,5307.0,3860.0,30.0,-1849.0,-165.0,-5.0,0.0,0.0,1.0,2.0,1.0,0.0,4664.0,4884.0,33.0,6671.0,5337.0,34.0,-2007.0,-453.0,-1.0,0.0,0.0,3.0,2.0,5.0,0.0,5572.0,5870.0,37.0,8099.0,6191.0,45.0,-2527.0,-321.0,-8.0,0.0,0.0,3.0,2.0,5.0,0.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,6,Red,top,fabFabulous,oe:player:d12be4fd740afa31c400833bee2cba4,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,Irelia,Galio,Rakan,Akali,Nocturne,Kha'Zix,,,,,,1897,1,1,4,9,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5982.0,189.204,0.101679,458.2393,348.0443,14.0,0.4428,6.0,0.1898,4.0,29.0,0.9172,11227.0,7082.0,223.9958,0.173038,10583.0,,,235.0,223.0,12.0,4.0,0.0,7.4328,2837.0,3904.0,74.0,3922.0,4410.0,72.0,-1085.0,-506.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4152.0,5669.0,104.0,6297.0,6679.0,110.0,-2145.0,-1010.0,-6.0,0.0,1.0,3.0,3.0,0.0,1.0,6112.0,8328.0,156.0,7573.0,8644.0,136.0,-1461.0,-316.0,20.0,0.0,2.0,3.0,3.0,0.0,1.0,7734.0,10346.0,192.0,9042.0,10389.0,169.0,-1308.0,-43.0,23.0,0.0,2.0,3.0,3.0,0.0,1.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,7,Red,jng,Stomaged,oe:player:b287539666d56b6bf8155d3e4a8541d,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,Olaf,Galio,Rakan,Akali,Nocturne,Kha'Zix,,,,,,1897,1,0,0,9,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8613.0,272.4196,0.1464,711.6816,650.3848,14.0,0.4428,10.0,0.3163,12.0,49.0,1.5498,11506.0,7361.0,232.8202,0.179856,10350.0,,,208.0,37.0,171.0,96.0,26.0,6.5788,3614.0,4279.0,76.0,2990.0,3422.0,44.0,624.0,857.0,32.0,0.0,1.0,0.0,0.0,2.0,0.0,5538.0,6651.0,114.0,5116.0,6117.0,73.0,422.0,534.0,41.0,0.0,1.0,0.0,0.0,3.0,0.0,7282.0,9185.0,143.0,6368.0,7953.0,101.0,914.0,1232.0,42.0,0.0,4.0,0.0,0.0,3.0,1.0,8793.0,11479.0,177.0,7523.0,9457.0,121.0,1270.0,2022.0,56.0,0.0,4.0,0.0,0.0,3.0,1.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,8,Red,mid,Frozen,oe:player:e6044507491a7471342098b2fa21ce8,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,Zoe,Galio,Rakan,Akali,Nocturne,Kha'Zix,,,,,,1897,1,6,1,4,16,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20509.0,648.6769,0.348603,206.1571,72.6199,15.0,0.4744,6.0,0.1898,5.0,40.0,1.2652,12954.0,8809.0,278.6189,0.215238,11275.0,,,254.0,230.0,24.0,12.0,12.0,8.0337,3583.0,4975.0,100.0,3562.0,5013.0,102.0,21.0,-38.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,5391.0,7268.0,140.0,5509.0,7485.0,150.0,-118.0,-217.0,-10.0,0.0,2.0,0.0,0.0,0.0,0.0,7973.0,9667.0,179.0,7039.0,9457.0,188.0,934.0,210.0,-9.0,3.0,3.0,0.0,0.0,0.0,1.0,9438.0,11608.0,215.0,8642.0,11984.0,228.0,796.0,-376.0,-13.0,3.0,3.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,9,Red,bot,Zeitnot,oe:player:01cbcf0e395124de3b78817b75b878c,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,Ezreal,Galio,Rakan,Akali,Nocturne,Kha'Zix,,,,,,1897,1,7,0,5,16,5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5061,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,18544.0,586.5261,0.315203,265.8408,211.281,13.0,0.4112,16.0,0.5061,6.0,58.0,1.8345,14795.0,10650.0,336.8477,0.260223,13000.0,,,263.0,232.0,31.0,16.0,11.0,8.3184,3917.0,3607.0,94.0,3208.0,3133.0,82.0,709.0,474.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,6325.0,5577.0,138.0,4696.0,4922.0,120.0,1629.0,655.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,8396.0,7340.0,171.0,6199.0,6370.0,158.0,2197.0,970.0,13.0,2.0,2.0,0.0,0.0,0.0,1.0,10390.0,9377.0,216.0,8010.0,8643.0,204.0,2380.0,734.0,12.0,2.0,2.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/1010276,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1010276?gameHash=9a56c251686ef03d,TCL,2019,Winter,0,2019-01-19 09:33:35,1,9.01,10,Red,sup,Wolf,oe:player:f4e74388bb8ff2f8d88bfc579f7fb61,Papara SuperMassive,oe:team:5203ff881d5c82c5f720eb3a2f3b44c,Braum,Galio,Rakan,Akali,Nocturne,Kha'Zix,,,,,,1897,1,2,0,14,16,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5061,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5184.0,163.9642,0.0881153,303.8271,404.3753,42.0,1.3284,17.0,0.5377,14.0,88.0,2.7833,11170.0,7025.0,222.1929,0.171645,8650.0,,,64.0,64.0,0.0,0.0,0.0,2.0242,3335.0,2602.0,17.0,2415.0,2497.0,19.0,920.0,105.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,5307.0,3860.0,30.0,3458.0,3695.0,25.0,1849.0,165.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,6671.0,5337.0,34.0,4664.0,4884.0,33.0,2007.0,453.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,8099.0,6191.0,45.0,5572.0,5870.0,37.0,2527.0,321.0,8.0,2.0,5.0,0.0,0.0,0.0,3.0
