gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,1,Blue,top,Guilford,oe:player:09da0a7f09035cba943bd57e35ede40,Team Cappadocia,oe:team:8b83746d117ad44d17b689eab7cbc0e,Ornn,Nidalee,Braum,Ryze,Gnar,Jarvan IV,,,,,,2666,0,2,3,6,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2476,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13017.0,292.9557,0.114685,756.5716,1763.0233,21.0,0.4726,4.0,0.09,5.0,38.0,0.8552,15613.0,9899.0,222.7832,0.201122,15475.0,,,365.0,361.0,4.0,4.0,0.0,8.2146,3230.0,4669.0,85.0,3413.0,4728.0,91.0,-183.0,-59.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4817.0,7120.0,133.0,5730.0,7413.0,146.0,-913.0,-293.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,6890.0,10702.0,194.0,7884.0,10654.0,211.0,-994.0,48.0,-17.0,0.0,2.0,0.0,0.0,0.0,0.0,9196.0,13519.0,255.0,10252.0,14205.0,264.0,-1056.0,-686.0,-9.0,1.0,2.0,0.0,0.0,0.0,0.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,2,Blue,jng,Appen,oe:player:3abd71f80f2049f65dc4444a9df0cce,Team Cappadocia,oe:team:8b83746d117ad44d17b689eab7cbc0e,Sejuani,Nidalee,Braum,Ryze,Gnar,Jarvan IV,,,,,,2666,0,2,2,5,11,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2476,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8229.0,185.1988,0.0725009,962.1155,1521.3128,47.0,1.0578,30.0,0.6752,15.0,138.0,3.1058,14032.0,8318.0,187.2018,0.168999,13150.0,,,208.0,77.0,131.0,98.0,0.0,4.6812,3130.0,3719.0,61.0,3308.0,3800.0,67.0,-178.0,-81.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4583.0,5765.0,89.0,5506.0,6748.0,122.0,-923.0,-983.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,6399.0,7866.0,118.0,7569.0,9356.0,174.0,-1170.0,-1490.0,-56.0,1.0,1.0,0.0,0.0,0.0,0.0,7721.0,8614.0,134.0,9638.0,11814.0,211.0,-1917.0,-3200.0,-77.0,1.0,2.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,3,Blue,mid,KSAEZ,oe:player:4fadb7e6e30c736d1c3f976f89dd0c0,Team Cappadocia,oe:team:8b83746d117ad44d17b689eab7cbc0e,Xerath,Nidalee,Braum,Ryze,Gnar,Jarvan IV,,,,,,2666,0,4,1,7,11,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2476,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,47267.0,1063.7734,0.416442,382.4831,239.865,13.0,0.2926,11.0,0.2476,7.0,53.0,1.1928,17702.0,11988.0,269.7974,0.243566,16475.0,,,412.0,400.0,12.0,12.0,0.0,9.2723,3165.0,4851.0,78.0,3616.0,5052.0,97.0,-451.0,-201.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.0,7544.0,124.0,5989.0,8218.0,161.0,-1210.0,-674.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,6662.0,9749.0,159.0,7745.0,9992.0,203.0,-1083.0,-243.0,-44.0,1.0,2.0,0.0,0.0,0.0,1.0,8592.0,12507.0,212.0,10026.0,12591.0,232.0,-1434.0,-84.0,-20.0,1.0,3.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,4,Blue,bot,Pilter,oe:player:a241df6c8ac105eed0555a0cd8b2264,Team Cappadocia,oe:team:8b83746d117ad44d17b689eab7cbc0e,Kog'Maw,Nidalee,Braum,Ryze,Gnar,Jarvan IV,,,,,,2666,0,3,0,6,11,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2476,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,41463.0,933.1508,0.365306,233.4734,604.096,16.0,0.3601,11.0,0.2476,3.0,43.0,0.9677,18328.0,12614.0,283.886,0.256285,17275.0,,,398.0,370.0,28.0,28.0,0.0,8.9572,3355.0,3103.0,83.0,3682.0,3334.0,89.0,-327.0,-231.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5043.0,5004.0,129.0,6169.0,5490.0,150.0,-1126.0,-486.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,7213.0,7557.0,176.0,7840.0,6854.0,180.0,-627.0,703.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,8929.0,9320.0,209.0,10403.0,9473.0,230.0,-1474.0,-153.0,-21.0,1.0,1.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,5,Blue,sup,Vale,oe:player:a7dfb2a9d77e269b2b22052211a7154,Team Cappadocia,oe:team:8b83746d117ad44d17b689eab7cbc0e,Tahm Kench,Nidalee,Braum,Ryze,Gnar,Jarvan IV,,,,,,2666,0,0,3,9,11,9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2476,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3526.0,79.3548,0.0310655,715.3863,1479.3398,52.0,1.1703,8.0,0.18,10.0,92.0,2.0705,12114.0,6400.0,144.036,0.130029,10350.0,,,112.0,112.0,0.0,0.0,0.0,2.5206,2249.0,2746.0,28.0,2193.0,2686.0,13.0,56.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3438.0,4385.0,48.0,3872.0,4185.0,20.0,-434.0,200.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4609.0,5417.0,56.0,5393.0,5472.0,26.0,-784.0,-55.0,30.0,0.0,2.0,0.0,0.0,0.0,1.0,6027.0,6635.0,66.0,7136.0,7116.0,32.0,-1109.0,-481.0,34.0,0.0,3.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,6,Red,top,Splendor,oe:player:6bc5f8935eebe3fdc6fe73e8c61764f,ÇİLEKLER,oe:team:976f493ffced42aa45f10ce70339c46,Urgot,Azir,Kha'Zix,Kalista,Zoe,Cassiopeia,,,,,,2666,1,5,2,3,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21332.0,480.09,0.195114,789.2273,1596.3466,11.0,0.2476,14.0,0.3151,3.0,60.0,1.3503,18847.0,13133.0,295.5664,0.220486,17625.0,,,391.0,373.0,18.0,14.0,4.0,8.7997,3413.0,4728.0,91.0,3230.0,4669.0,85.0,183.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5730.0,7413.0,146.0,4817.0,7120.0,133.0,913.0,293.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7884.0,10654.0,211.0,6890.0,10702.0,194.0,994.0,-48.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,10252.0,14205.0,264.0,9196.0,13519.0,255.0,1056.0,686.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,7,Red,jng,MAXI,oe:player:09df7e1c00d361f40c47542ae02f736,ÇİLEKLER,oe:team:976f493ffced42aa45f10ce70339c46,Shyvana,Azir,Kha'Zix,Kalista,Zoe,Cassiopeia,,,,,,2666,1,1,2,8,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,14635.0,329.3698,0.13386,1222.3256,1730.8852,43.0,0.9677,17.0,0.3826,13.0,109.0,2.4531,16809.0,11095.0,249.6999,0.18627,15900.0,,,294.0,74.0,220.0,125.0,20.0,6.6167,3308.0,3800.0,67.0,3130.0,3719.0,61.0,178.0,81.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5506.0,6748.0,122.0,4583.0,5765.0,89.0,923.0,983.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,7569.0,9356.0,174.0,6399.0,7866.0,118.0,1170.0,1490.0,56.0,0.0,0.0,0.0,1.0,1.0,0.0,9638.0,11814.0,211.0,7721.0,8614.0,134.0,1917.0,3200.0,77.0,0.0,0.0,1.0,1.0,2.0,0.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,8,Red,mid,berbero,oe:player:f4e5484adfac6cea59e3d0acf7a766a,ÇİLEKLER,oe:team:976f493ffced42aa45f10ce70339c46,Malzahar,Azir,Kha'Zix,Kalista,Zoe,Cassiopeia,,,,,,2666,1,1,3,5,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,24148.0,543.4659,0.220871,533.0683,379.2648,21.0,0.4726,8.0,0.18,2.0,69.0,1.5529,19554.0,13840.0,311.4779,0.232356,17450.0,,,398.0,366.0,32.0,22.0,7.0,8.9572,3616.0,5052.0,97.0,3165.0,4851.0,78.0,451.0,201.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5989.0,8218.0,161.0,4779.0,7544.0,124.0,1210.0,674.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7745.0,9992.0,203.0,6662.0,9749.0,159.0,1083.0,243.0,44.0,0.0,0.0,1.0,1.0,2.0,0.0,10026.0,12591.0,232.0,8592.0,12507.0,212.0,1434.0,84.0,20.0,0.0,0.0,1.0,1.0,3.0,0.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,9,Red,bot,Drogo,oe:player:7a17e3da24a9b1909e60b73e1cada73,ÇİLEKLER,oe:team:976f493ffced42aa45f10ce70339c46,Ezreal,Azir,Kha'Zix,Kalista,Zoe,Cassiopeia,,,,,,2666,1,2,3,7,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2026,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,39730.0,894.1485,0.363392,489.2948,399.3398,26.0,0.5851,7.0,0.1575,1.0,82.0,1.8455,19024.0,13310.0,299.5499,0.223458,17400.0,,,365.0,335.0,30.0,16.0,5.0,8.2146,3682.0,3334.0,89.0,3355.0,3103.0,83.0,327.0,231.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6169.0,5490.0,150.0,5043.0,5004.0,129.0,1126.0,486.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7840.0,6854.0,180.0,7213.0,7557.0,176.0,627.0,-703.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,10403.0,9473.0,230.0,8929.0,9320.0,209.0,1474.0,153.0,21.0,0.0,0.0,1.0,1.0,1.0,0.0
ESPORTSTMNT03/530770,complete,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/530770?gameHash=8b6c4aa05c375468,TCS,2018,,0,2018-01-30 13:53:47,1,8.01,10,Red,sup,risdrengen,oe:player:71377313ba2d55840d31403fa81fd5b,ÇİLEKLER,oe:team:976f493ffced42aa45f10ce70339c46,Janna,Azir,Kha'Zix,Kalista,Zoe,Cassiopeia,,,,,,2666,1,0,1,9,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9486.0,213.4884,0.086764,313.0533,265.3863,49.0,1.1028,13.0,0.2926,11.0,95.0,2.138,13900.0,8186.0,184.2311,0.137431,12275.0,,,51.0,51.0,0.0,0.0,0.0,1.1478,2193.0,2686.0,13.0,2249.0,2746.0,28.0,-56.0,-60.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,3872.0,4185.0,20.0,3438.0,4385.0,48.0,434.0,-200.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,5393.0,5472.0,26.0,4609.0,5417.0,56.0,784.0,55.0,-30.0,0.0,0.0,1.0,0.0,2.0,0.0,7136.0,7116.0,32.0,6027.0,6635.0,66.0,1109.0,481.0,-34.0,0.0,0.0,1.0,0.0,3.0,0.0
