gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,1,Blue,top,Taegyeong,oe:player:ee75cdc0e3eb95a85c0b86439acc3a8,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,Renekton,Orianna,Rell,Viego,Viktor,Malphite,,,,,,1446,1,4,1,4,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11806,489.8755,0.192039,886.805,947.7593,7,0.2905,2,0.083,3,17,0.7054,10762,7537,312.7386,0.207072,9025,,,210.0,210.0,0,,,8.7137,3325.0,4805.0,84.0,3293.0,4921.0,87.0,32.0,-116.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5229.0,7644.0,136.0,5804.0,8247.0,144.0,-575.0,-603.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,7414.0,10282.0,178.0,7893.0,11109.0,191.0,-479.0,-827.0,-13.0,1.0,1.0,1.0,1.0,0.0,1.0,10762.0,13586.0,210.0,8834.0,12459.0,207.0,1928.0,1127.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,2,Blue,jng,CHEF,oe:player:3a36b513e63e14a1355896711a09362,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,Xin Zhao,Orianna,Rell,Viego,Viktor,Malphite,,,,,,1446,1,5,1,11,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299,1.1203,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,12455,516.805,0.202596,1089.5436,742.6556,7,0.2905,14,0.5809,7,40,1.6598,10895,7670,318.2573,0.210727,8625,,,154.0,27.0,127,,,6.39,3409.0,3166.0,67.0,3308.0,2837.0,54.0,101.0,329.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,5366.0,5342.0,99.0,5130.0,5449.0,105.0,236.0,-107.0,-6.0,2.0,2.0,1.0,1.0,1.0,0.0,7918.0,7822.0,141.0,6656.0,7866.0,138.0,1262.0,-44.0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,10895.0,11286.0,154.0,7952.0,9331.0,154.0,2943.0,1955.0,0.0,5.0,11.0,1.0,2.0,3.0,2.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,3,Blue,mid,Nakyung,oe:player:d20ff5c9f6086feee4a378eb0cfc2e4,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,LeBlanc,Orianna,Rell,Viego,Viktor,Malphite,,,,,,1446,1,1,3,8,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8299,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,14082,584.3154,0.229061,679.2531,316.4315,6,0.249,7,0.2905,3,24,0.9959,9560,6335,262.8631,0.174046,8075,,,208.0,208.0,0,,,8.6307,3310.0,4735.0,85.0,3521.0,4722.0,88.0,-211.0,13.0,-3.0,0.0,1.0,1.0,0.0,2.0,0.0,5015.0,7406.0,133.0,5424.0,7367.0,137.0,-409.0,39.0,-4.0,0.0,1.0,1.0,0.0,2.0,0.0,7253.0,10221.0,180.0,7553.0,9107.0,160.0,-300.0,1114.0,20.0,0.0,4.0,1.0,1.0,3.0,1.0,9560.0,13284.0,208.0,8900.0,11061.0,190.0,660.0,2223.0,18.0,1.0,8.0,3.0,1.0,4.0,3.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,4,Blue,bot,Ruep,oe:player:8784bcdcfb37672c12481c037ad8db4,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,Varus,Orianna,Rell,Viego,Viktor,Malphite,,,,,,1446,1,8,1,7,20,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,17295,717.6349,0.281325,334.0249,273.527,10,0.4149,9,0.3734,6,33,1.3693,13097,9872,409.6266,0.271228,10350,,,234.0,230.0,4,,,9.7095,4292.0,3166.0,81.0,2866.0,3153.0,69.0,1426.0,13.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,7296.0,5626.0,141.0,4485.0,4579.0,101.0,2811.0,1047.0,40.0,4.0,2.0,0.0,0.0,1.0,3.0,10041.0,8503.0,198.0,6547.0,7073.0,149.0,3494.0,1430.0,49.0,5.0,4.0,1.0,0.0,3.0,3.0,13097.0,11282.0,234.0,8081.0,8809.0,170.0,5016.0,2473.0,64.0,8.0,7.0,1.0,1.0,4.0,5.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,5,Blue,sup,Carry,oe:player:a02a243c98fb6794c2a303c5014567f,BoostGate Esports,oe:team:331c852427c61f82050b618c2b442c4,Renata Glasc,Orianna,Rell,Viego,Viktor,Malphite,,,,,,1446,1,2,1,17,20,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8299,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5839,242.2822,0.0949786,225.0207,271.7012,34,1.4108,7,0.2905,11,72,2.9876,8209,4984,206.805,0.136927,6650,,,25.0,25.0,0,,,1.0373,2668.0,2378.0,11.0,2652.0,2060.0,13.0,16.0,318.0,-2.0,0.0,3.0,1.0,1.0,0.0,3.0,4128.0,4003.0,21.0,3898.0,3430.0,20.0,230.0,573.0,1.0,0.0,5.0,1.0,1.0,1.0,3.0,5620.0,5600.0,21.0,5349.0,5135.0,30.0,271.0,465.0,-9.0,0.0,9.0,1.0,2.0,2.0,5.0,8209.0,8891.0,25.0,6015.0,5842.0,31.0,2194.0,3049.0,-6.0,2.0,17.0,1.0,2.0,2.0,7.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,6,Red,top,Luana,oe:player:a9eb1a93c73c55b9db59388be44206b,Dark Passage,oe:team:a42600a99997fca0d35f2821662b997,Jax,Rumble,Ashe,Nocturne,Poppy,Vi,,,,,,1446,0,1,3,1,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8873,368.1743,0.207619,648.0498,477.7593,8,0.332,2,0.083,2,18,0.7469,8834,5609,232.7386,0.2371,8350,,,207.0,207.0,0,,,8.5892,3293.0,4921.0,87.0,3325.0,4805.0,84.0,-32.0,116.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5804.0,8247.0,144.0,5229.0,7644.0,136.0,575.0,603.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,7893.0,11109.0,191.0,7414.0,10282.0,178.0,479.0,827.0,13.0,1.0,0.0,1.0,1.0,1.0,1.0,8834.0,12459.0,207.0,10762.0,13586.0,210.0,-1928.0,-1127.0,-3.0,1.0,1.0,3.0,4.0,4.0,1.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,7,Red,jng,Kireas,oe:player:f0d9ba082555d7aac872bc9e43226c2,Dark Passage,oe:team:a42600a99997fca0d35f2821662b997,Lee Sin,Rumble,Ashe,Nocturne,Poppy,Vi,,,,,,1446,0,2,2,3,7,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2905,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,6537,271.2448,0.152959,907.5519,1020.6639,9,0.3734,4,0.166,4,20,0.8299,7952,4727,196.1411,0.199814,7700,,,154.0,14.0,140,,,6.39,3308.0,2837.0,54.0,3409.0,3166.0,67.0,-101.0,-329.0,-13.0,1.0,1.0,0.0,1.0,1.0,0.0,5130.0,5449.0,105.0,5366.0,5342.0,99.0,-236.0,107.0,6.0,1.0,1.0,0.0,2.0,2.0,1.0,6656.0,7866.0,138.0,7918.0,7822.0,141.0,-1262.0,44.0,-3.0,1.0,2.0,0.0,4.0,3.0,1.0,7952.0,9331.0,154.0,10895.0,11286.0,154.0,-2943.0,-1955.0,0.0,2.0,3.0,2.0,5.0,11.0,1.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,8,Red,mid,Umut,oe:player:ecb29676899ee7344ee0f7db0278ae3,Dark Passage,oe:team:a42600a99997fca0d35f2821662b997,Neeko,Rumble,Ashe,Nocturne,Poppy,Vi,,,,,,1446,0,1,3,4,7,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2905,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12973,538.2988,0.303554,459.668,312.4896,8,0.332,4,0.166,4,19,0.7884,8900,5675,235.4772,0.23989,7700,,,190.0,190.0,0,,,7.8838,3521.0,4722.0,88.0,3310.0,4735.0,85.0,211.0,-13.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,5424.0,7367.0,137.0,5015.0,7406.0,133.0,409.0,-39.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,7553.0,9107.0,160.0,7253.0,10221.0,180.0,300.0,-1114.0,-20.0,1.0,3.0,1.0,0.0,4.0,1.0,8900.0,11061.0,190.0,9560.0,13284.0,208.0,-660.0,-2223.0,-18.0,1.0,4.0,3.0,1.0,8.0,3.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,9,Red,bot,Black,oe:player:dbc932ea3d30b98a49d66e17c6c4d62,Dark Passage,oe:team:a42600a99997fca0d35f2821662b997,Kalista,Rumble,Ashe,Nocturne,Poppy,Vi,,,,,,1446,0,1,5,4,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,10730,445.2282,0.25107,534.4813,290.4149,10,0.4149,4,0.166,3,22,0.9129,8081,4856,201.4938,0.205267,6775,,,170.0,170.0,0,,,7.0539,2866.0,3153.0,69.0,4292.0,3166.0,81.0,-1426.0,-13.0,-12.0,0.0,0.0,1.0,3.0,1.0,0.0,4485.0,4579.0,101.0,7296.0,5626.0,141.0,-2811.0,-1047.0,-40.0,0.0,1.0,3.0,4.0,2.0,0.0,6547.0,7073.0,149.0,10041.0,8503.0,198.0,-3494.0,-1430.0,-49.0,0.0,3.0,3.0,5.0,4.0,1.0,8081.0,8809.0,170.0,13097.0,11282.0,234.0,-5016.0,-2473.0,-64.0,1.0,4.0,5.0,8.0,7.0,1.0
LOLTMNT99_132542,complete,,TSC,2024,Winter,0,2024-01-05 14:08:39,1,14.01,10,Red,sup,Sparz,oe:player:f216690ac90e0a1c2097a616cb4453e,Dark Passage,oe:team:a42600a99997fca0d35f2821662b997,Nautilus,Rumble,Ashe,Nocturne,Poppy,Vi,,,,,,1446,0,2,7,2,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905,1.1203,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3624,150.3734,0.0847977,632.5726,756.639,35,1.4523,8,0.332,10,62,2.5726,6015,2790,115.7676,0.117928,5650,,,31.0,31.0,0,,,1.2863,2652.0,2060.0,13.0,2668.0,2378.0,11.0,-16.0,-318.0,2.0,1.0,0.0,3.0,0.0,3.0,1.0,3898.0,3430.0,20.0,4128.0,4003.0,21.0,-230.0,-573.0,-1.0,1.0,1.0,3.0,0.0,5.0,1.0,5349.0,5135.0,30.0,5620.0,5600.0,21.0,-271.0,-465.0,9.0,2.0,2.0,5.0,0.0,9.0,1.0,6015.0,5842.0,31.0,8209.0,8891.0,25.0,-2194.0,-3049.0,6.0,2.0,2.0,7.0,2.0,17.0,1.0
