gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,1,Blue,top,Akkers,oe:player:2b3304094ff4e0d52c949a893b64b56,DarkSpawn Gaming,oe:team:a71099f02ea48590446b27993a6732a,Urgot,Akali,Aatrox,Jayce,Thresh,Pyke,,,,,,1903,0,1,3,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,9845.0,310.4046,0.311403,487.1886,704.9606,17.0,0.536,3.0,0.0946,9.0,28.0,0.8828,11342.0,7184.0,226.5055,0.243846,10425.0,,,269.0,262.0,7.0,2.0,0.0,8.4813,3461.0,4763.0,89.0,3104.0,4434.0,72.0,357.0,329.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,7088.0,135.0,4579.0,6988.0,111.0,534.0,100.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,6762.0,9581.0,178.0,7118.0,10070.0,158.0,-356.0,-489.0,20.0,0.0,1.0,2.0,1.0,3.0,0.0,8214.0,11715.0,215.0,8281.0,11807.0,182.0,-67.0,-92.0,33.0,0.0,1.0,2.0,1.0,3.0,0.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,2,Blue,jng,PFI,oe:player:e71053411c724eb508181e56775fe3c,DarkSpawn Gaming,oe:team:a71099f02ea48590446b27993a6732a,Lee Sin,Akali,Aatrox,Jayce,Thresh,Pyke,,,,,,1903,0,2,4,1,3,16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0946,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3796.0,119.6847,0.12007,684.8135,693.4209,14.0,0.4414,8.0,0.2522,10.0,25.0,0.7882,8602.0,4444.0,140.1156,0.150846,8350.0,,,144.0,32.0,112.0,92.0,4.0,4.5402,3187.0,3153.0,50.0,3491.0,4062.0,69.0,-304.0,-909.0,-19.0,1.0,0.0,0.0,0.0,0.0,0.0,4522.0,5263.0,77.0,6060.0,6729.0,109.0,-1538.0,-1466.0,-32.0,1.0,0.0,1.0,1.0,1.0,0.0,6090.0,6971.0,101.0,8048.0,9017.0,141.0,-1958.0,-2046.0,-40.0,2.0,0.0,2.0,2.0,2.0,1.0,7296.0,8909.0,128.0,9158.0,10371.0,159.0,-1862.0,-1462.0,-31.0,2.0,0.0,2.0,2.0,2.0,1.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,3,Blue,mid,Beeley,oe:player:844f03915f463c4d1b250d4e5dfe4ce,DarkSpawn Gaming,oe:team:a71099f02ea48590446b27993a6732a,Lissandra,Akali,Aatrox,Jayce,Thresh,Pyke,,,,,,1903,0,0,3,2,3,16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0946,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7559.0,238.329,0.239095,498.413,274.6506,18.0,0.5675,10.0,0.3153,10.0,33.0,1.0405,10185.0,6027.0,190.0263,0.204575,10325.0,,,268.0,256.0,12.0,12.0,0.0,8.4498,3899.0,5155.0,109.0,3622.0,4798.0,104.0,277.0,357.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5776.0,7893.0,167.0,6413.0,7526.0,167.0,-637.0,367.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7223.0,9878.0,202.0,8818.0,10272.0,208.0,-1595.0,-394.0,-6.0,0.0,1.0,1.0,1.0,4.0,0.0,8468.0,11281.0,233.0,10751.0,12747.0,263.0,-2283.0,-1466.0,-30.0,0.0,1.0,1.0,1.0,4.0,0.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,4,Blue,bot,Flirt,oe:player:06ad413fdbb6f3771c694f36a6078af,DarkSpawn Gaming,oe:team:a71099f02ea48590446b27993a6732a,Kai'Sa,Akali,Aatrox,Jayce,Thresh,Pyke,,,,,,1903,0,0,3,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6851.0,216.0063,0.216701,382.5749,186.9364,10.0,0.3153,13.0,0.4099,4.0,33.0,1.0405,11199.0,7041.0,221.9968,0.238992,10600.0,,,292.0,276.0,16.0,16.0,0.0,9.2065,3231.0,3075.0,84.0,3816.0,3516.0,94.0,-585.0,-441.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5042.0,5057.0,137.0,5844.0,5660.0,146.0,-802.0,-603.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6589.0,6490.0,176.0,8259.0,8039.0,194.0,-1670.0,-1549.0,-18.0,0.0,0.0,1.0,1.0,3.0,0.0,8403.0,8315.0,227.0,10068.0,9663.0,241.0,-1665.0,-1348.0,-14.0,0.0,0.0,1.0,1.0,3.0,0.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,5,Blue,sup,Viggo,oe:player:fd3cc6e2d20bb27cb3f02e283e17f1c,DarkSpawn Gaming,oe:team:a71099f02ea48590446b27993a6732a,Braum,Akali,Aatrox,Jayce,Thresh,Pyke,,,,,,1903,0,0,3,1,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3564.0,112.3699,0.112731,392.9795,330.7094,43.0,1.3558,5.0,0.1576,13.0,63.0,1.9863,8923.0,4765.0,150.2365,0.161741,6975.0,,,60.0,60.0,0.0,0.0,0.0,1.8917,2421.0,2983.0,17.0,2088.0,2368.0,1.0,333.0,615.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3990.0,4522.0,29.0,3493.0,3908.0,2.0,497.0,614.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,5291.0,5327.0,35.0,5022.0,5199.0,4.0,269.0,128.0,31.0,0.0,0.0,1.0,2.0,3.0,1.0,6525.0,6603.0,46.0,5966.0,6454.0,11.0,559.0,149.0,35.0,0.0,0.0,1.0,2.0,3.0,1.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,6,Red,top,Shikari,oe:player:41f0dede57989f2777d3cfe2dbf6bac,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Sion,Cassiopeia,Lucian,Zoe,Nidalee,Zilean,,,,,,1903,1,2,0,8,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7291.0,229.8791,0.136444,556.1114,871.6868,16.0,0.5045,7.0,0.2207,8.0,29.0,0.9143,10867.0,6709.0,211.5292,0.17012,10400.0,,,201.0,201.0,0.0,0.0,0.0,6.3374,3104.0,4434.0,72.0,3461.0,4763.0,89.0,-357.0,-329.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4579.0,6988.0,111.0,5113.0,7088.0,135.0,-534.0,-100.0,-24.0,0.0,0.0,0.0,0.0,0.0,1.0,7118.0,10070.0,158.0,6762.0,9581.0,178.0,356.0,489.0,-20.0,1.0,3.0,0.0,0.0,1.0,2.0,8281.0,11807.0,182.0,8214.0,11715.0,215.0,67.0,92.0,-33.0,1.0,3.0,0.0,0.0,1.0,2.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,7,Red,jng,Dan,oe:player:7585ae00ba76b8424cd8cc4cb7c1d47,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Olaf,Cassiopeia,Lucian,Zoe,Nidalee,Zilean,,,,,,1903,1,3,1,9,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6312.0,199.0121,0.118123,806.6737,658.8334,25.0,0.7882,5.0,0.1576,12.0,54.0,1.7026,11859.0,7701.0,242.8061,0.195274,11100.0,,,185.0,13.0,172.0,93.0,12.0,5.8329,3491.0,4062.0,69.0,3187.0,3153.0,50.0,304.0,909.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,6060.0,6729.0,109.0,4522.0,5263.0,77.0,1538.0,1466.0,32.0,1.0,1.0,0.0,1.0,0.0,1.0,8048.0,9017.0,141.0,6090.0,6971.0,101.0,1958.0,2046.0,40.0,2.0,2.0,1.0,2.0,0.0,2.0,9158.0,10371.0,159.0,7296.0,8909.0,128.0,1862.0,1462.0,31.0,2.0,2.0,1.0,2.0,0.0,2.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,8,Red,mid,MagiFelix,oe:player:e2988afe5ce32f702241090f8b4d856,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Corki,Cassiopeia,Lucian,Zoe,Nidalee,Zilean,,,,,,1903,1,5,0,6,16,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16871.0,531.9285,0.315723,151.5607,322.0704,17.0,0.536,15.0,0.4729,7.0,54.0,1.7026,15474.0,11316.0,356.784,0.286936,15008.0,,,338.0,314.0,24.0,20.0,4.0,10.6569,3622.0,4798.0,104.0,3899.0,5155.0,109.0,-277.0,-357.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,6413.0,7526.0,167.0,5776.0,7893.0,167.0,637.0,-367.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8818.0,10272.0,208.0,7223.0,9878.0,202.0,1595.0,394.0,6.0,1.0,4.0,0.0,0.0,1.0,1.0,10751.0,12747.0,263.0,8468.0,11281.0,233.0,2283.0,1466.0,30.0,1.0,4.0,0.0,0.0,1.0,1.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,9,Red,bot,xMatty,oe:player:3a3cf889f1996110ab52915425d60b5,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Ezreal,Cassiopeia,Lucian,Zoe,Nidalee,Zilean,,,,,,1903,1,4,0,6,16,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16146.0,509.0699,0.302156,191.1929,117.6038,16.0,0.5045,6.0,0.1892,9.0,43.0,1.3558,13836.0,9678.0,305.1393,0.245402,13075.0,,,283.0,271.0,12.0,8.0,0.0,8.9228,3816.0,3516.0,94.0,3231.0,3075.0,84.0,585.0,441.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5844.0,5660.0,146.0,5042.0,5057.0,137.0,802.0,603.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8259.0,8039.0,194.0,6589.0,6490.0,176.0,1670.0,1549.0,18.0,1.0,3.0,0.0,0.0,0.0,1.0,10068.0,9663.0,241.0,8403.0,8315.0,227.0,1665.0,1348.0,14.0,1.0,3.0,0.0,0.0,0.0,1.0
ESPORTSTMNT01/1063669,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1063669?gameHash=da1cff601dd62beb,UKLC,2019,Spring,0,2019-02-13 17:51:03,1,9.02,10,Red,sup,Prosfair,oe:player:ea9c79afab53ee715ea4085c83a1862,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Morgana,Cassiopeia,Lucian,Zoe,Nidalee,Zilean,,,,,,1903,1,2,2,9,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5045,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6816.0,214.9028,0.127554,210.4572,156.2585,41.0,1.2927,10.0,0.3153,11.0,82.0,2.5854,8191.0,4033.0,127.1571,0.102268,7625.0,,,19.0,17.0,2.0,0.0,2.0,0.5991,2088.0,2368.0,1.0,2421.0,2983.0,17.0,-333.0,-615.0,-16.0,0.0,0.0,1.0,0.0,0.0,0.0,3493.0,3908.0,2.0,3990.0,4522.0,29.0,-497.0,-614.0,-27.0,1.0,0.0,1.0,0.0,0.0,0.0,5022.0,5199.0,4.0,5291.0,5327.0,35.0,-269.0,-128.0,-31.0,2.0,3.0,1.0,0.0,0.0,1.0,5966.0,6454.0,11.0,6525.0,6603.0,46.0,-559.0,-149.0,-35.0,2.0,3.0,1.0,0.0,0.0,1.0
