gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,1,Blue,top,Pride,oe:player:e5b3b161ff096a1dc71d9ea67c55897,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Sett,Qiyana,Soraka,Lee Sin,LeBlanc,Elise,,,,,,1403,1,7,1,6,21,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8981,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,16531.0,706.9565,0.275788,687.4555,810.6201,11.0,0.4704,0.0,0.0,4.0,18.0,0.7698,11098,7960.0,340.4134,0.252784,10383.0,,,195.0,171.0,24.0,13.0,0.0,8.3393,3202.0,4581.0,86.0,3101.0,4590.0,72.0,101.0,-9.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,7242.0,8081.0,133.0,4513.0,6514.0,110.0,2729.0,1567.0,23.0,4.0,1.0,1.0,0.0,1.0,2.0,9220.0,10765.0,172.0,5527.0,7596.0,128.0,3693.0,3169.0,44.0,5.0,2.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,2,Blue,jng,Dan,oe:player:7585ae00ba76b8424cd8cc4cb7c1d47,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Sejuani,Qiyana,Soraka,Lee Sin,LeBlanc,Elise,,,,,,1403,1,5,0,11,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7294.0,311.9316,0.121686,637.2488,558.3464,7.0,0.2994,6.0,0.2566,7.0,28.0,1.1974,8868,5730.0,245.0463,0.181969,8275.0,,,104.0,14.0,90.0,48.0,5.0,4.4476,3123.0,3421.0,55.0,3526.0,3754.0,71.0,-403.0,-333.0,-16.0,0.0,2.0,0.0,1.0,0.0,0.0,5527.0,5647.0,78.0,4800.0,5187.0,101.0,727.0,460.0,-23.0,2.0,6.0,0.0,1.0,0.0,2.0,7547.0,7613.0,99.0,6043.0,6663.0,125.0,1504.0,950.0,-26.0,3.0,7.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,3,Blue,mid,MagiFelix,oe:player:e2988afe5ce32f702241090f8b4d856,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Syndra,Qiyana,Soraka,Lee Sin,LeBlanc,Elise,,,,,,1403,1,5,0,7,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,15629.0,668.382,0.26074,334.8539,148.9522,11.0,0.4704,6.0,0.2566,6.0,22.0,0.9408,10987,7849.0,335.6664,0.249259,9950.0,,,233.0,217.0,16.0,8.0,4.0,9.9644,4012.0,5038.0,98.0,2656.0,4293.0,56.0,1356.0,745.0,42.0,2.0,0.0,0.0,0.0,0.0,2.0,6413.0,8150.0,153.0,4263.0,6958.0,106.0,2150.0,1192.0,47.0,3.0,3.0,0.0,0.0,0.0,3.0,9477.0,10806.0,210.0,6250.0,9979.0,163.0,3227.0,827.0,47.0,4.0,4.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,4,Blue,bot,xMatty,oe:player:3a3cf889f1996110ab52915425d60b5,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Ezreal,Qiyana,Soraka,Lee Sin,LeBlanc,Elise,,,,,,1403,1,3,0,8,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16139.0,690.1924,0.269248,233.9701,106.144,9.0,0.3849,2.0,0.0855,2.0,19.0,0.8125,9977,6839.0,292.4733,0.217186,9133.0,,,206.0,190.0,16.0,12.0,4.0,8.8097,3674.0,3593.0,88.0,3353.0,3049.0,85.0,321.0,544.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,6144.0,6068.0,136.0,4914.0,4880.0,130.0,1230.0,1188.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,8562.0,9084.0,199.0,6742.0,6947.0,178.0,1820.0,2137.0,21.0,1.0,4.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,5,Blue,sup,Bravado,oe:player:e0ce08383af4f1dd00356b110137338,Fnatic Rising,oe:team:eaa2452a5e851bc274666f41623143b,Leona,Qiyana,Soraka,Lee Sin,LeBlanc,Elise,,,,,,1403,1,1,0,14,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8981,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4348.0,185.9444,0.072538,287.6835,399.8147,29.0,1.2402,10.0,0.4277,10.0,60.0,2.5659,6249,3111.0,133.0435,0.0988009,5550.0,,,29.0,29.0,0.0,0.0,0.0,1.2402,2594.0,2827.0,16.0,2109.0,2515.0,13.0,485.0,312.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,4293.0,4129.0,23.0,3013.0,3706.0,19.0,1280.0,423.0,4.0,1.0,7.0,0.0,0.0,0.0,3.0,5387.0,5351.0,29.0,4069.0,4533.0,23.0,1318.0,818.0,6.0,1.0,8.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,6,Red,top,Only Angel,oe:player:2f460ea8bae954709293fc2c825a3ba,Enclave,oe:team:4f945c33c50d670037fb6dad4005b17,Aatrox,Akali,Taric,Mordekaiser,Senna,Cassiopeia,,,,,,1403,0,0,6,1,1,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0428,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6077.0,259.886,0.200449,838.9736,503.3927,12.0,0.5132,2.0,0.0855,6.0,21.0,0.8981,6297,3159.0,135.0962,0.180063,6200.0,,,141.0,135.0,6.0,6.0,0.0,6.0299,3101.0,4590.0,72.0,3202.0,4581.0,86.0,-101.0,9.0,-14.0,0.0,1.0,0.0,0.0,0.0,1.0,4513.0,6514.0,110.0,7242.0,8081.0,133.0,-2729.0,-1567.0,-23.0,0.0,1.0,2.0,4.0,1.0,1.0,5527.0,7596.0,128.0,9220.0,10765.0,172.0,-3693.0,-3169.0,-44.0,0.0,1.0,4.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,7,Red,jng,Cleanser,oe:player:89a981a8baa48e461072857327430d7,Enclave,oe:team:4f945c33c50d670037fb6dad4005b17,Olaf,Akali,Taric,Mordekaiser,Senna,Cassiopeia,,,,,,1403,0,1,4,0,1,22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0428,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3916.0,167.4697,0.129168,831.3186,540.9836,6.0,0.2566,8.0,0.3421,8.0,28.0,1.1974,6979,3841.0,164.2623,0.218934,6750.0,,,147.0,32.0,115.0,83.0,4.0,6.2865,3526.0,3754.0,71.0,3123.0,3421.0,55.0,403.0,333.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,4800.0,5187.0,101.0,5527.0,5647.0,78.0,-727.0,-460.0,23.0,1.0,0.0,2.0,2.0,6.0,0.0,6043.0,6663.0,125.0,7547.0,7613.0,99.0,-1504.0,-950.0,26.0,1.0,0.0,2.0,3.0,7.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,8,Red,mid,Air,oe:player:da74ad8e7849177db81fdfa5b50a189,Enclave,oe:team:4f945c33c50d670037fb6dad4005b17,Ekko,Akali,Taric,Mordekaiser,Senna,Cassiopeia,,,,,,1403,0,0,3,0,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,9317.0,398.4462,0.307319,850.0927,541.8817,8.0,0.3421,7.0,0.2994,3.0,22.0,0.9408,7400,4262.0,182.2666,0.242929,5925.0,,,186.0,180.0,6.0,5.0,0.0,7.9544,2656.0,4293.0,56.0,4012.0,5038.0,98.0,-1356.0,-745.0,-42.0,0.0,0.0,2.0,2.0,0.0,0.0,4263.0,6958.0,106.0,6413.0,8150.0,153.0,-2150.0,-1192.0,-47.0,0.0,0.0,3.0,3.0,3.0,0.0,6250.0,9979.0,163.0,9477.0,10806.0,210.0,-3227.0,-827.0,-47.0,0.0,0.0,3.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,9,Red,bot,Bung,oe:player:4d502cddb3e94cb64100be58f85e600,Enclave,oe:team:4f945c33c50d670037fb6dad4005b17,Lucian,Akali,Taric,Mordekaiser,Senna,Cassiopeia,,,,,,1403,0,0,3,0,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7439.0,318.1326,0.245374,426.928,211.2188,8.0,0.3421,3.0,0.1283,4.0,14.0,0.5987,8001,4863.0,207.9686,0.277183,7875.0,,,214.0,206.0,8.0,8.0,0.0,9.1518,3353.0,3049.0,85.0,3674.0,3593.0,88.0,-321.0,-544.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,4914.0,4880.0,130.0,6144.0,6068.0,136.0,-1230.0,-1188.0,-6.0,0.0,0.0,1.0,1.0,3.0,0.0,6742.0,6947.0,178.0,8562.0,9084.0,199.0,-1820.0,-2137.0,-21.0,0.0,0.0,2.0,1.0,4.0,0.0,,,,,,,,,,,,,,,
ESPORTSTMNT01/1302358,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1302358?gameHash=b906990d00112219,UKLC,2020,Spring,0,2020-02-04 17:47:30,1,10.02,10,Red,sup,TheHeathen,oe:player:20d1933d466c2177e9f261a3efa0dee,Enclave,oe:team:4f945c33c50d670037fb6dad4005b17,Braum,Akali,Taric,Mordekaiser,Senna,Cassiopeia,,,,,,1403,0,0,6,0,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428,0.9408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3568.0,152.5873,0.11769,495.0535,516.0086,22.0,0.9408,4.0,0.1711,7.0,44.0,1.8817,4557,1419.0,60.6842,0.0808919,4175.0,,,24.0,24.0,0.0,0.0,0.0,1.0264,2109.0,2515.0,13.0,2594.0,2827.0,16.0,-485.0,-312.0,-3.0,0.0,0.0,1.0,1.0,2.0,0.0,3013.0,3706.0,19.0,4293.0,4129.0,23.0,-1280.0,-423.0,-4.0,0.0,0.0,3.0,1.0,7.0,0.0,4069.0,4533.0,23.0,5387.0,5351.0,29.0,-1318.0,-818.0,-6.0,0.0,0.0,4.0,1.0,8.0,0.0,,,,,,,,,,,,,,,
