gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,1,Blue,top,DAMKEXHINO4,oe:player:c98df548b46d873a7994bbe27b43e35,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,Rumble,Akali,Jax,Ashe,Nautilus,Milio,,,,,,1960,0,1,4,0,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18068,553.102,0.290011,556.0102,540.7041,14,0.4286,3,0.0918,4,29,0.8878,10251,5977,182.9694,0.198849,10100,,,235.0,210.0,25,,,7.1939,3371.0,5200.0,93.0,3146.0,4989.0,82.0,225.0,211.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.0,8012.0,148.0,4797.0,7881.0,133.0,459.0,131.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6256.0,9195.0,160.0,7538.0,11700.0,187.0,-1282.0,-2505.0,-27.0,0.0,0.0,1.0,1.0,0.0,0.0,7696.0,11011.0,195.0,9537.0,14452.0,214.0,-1841.0,-3441.0,-19.0,0.0,0.0,2.0,1.0,3.0,0.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,2,Blue,jng,Lulas,oe:player:205f456adac22b2b8cb732651167215,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,Vi,Akali,Jax,Ashe,Nautilus,Milio,,,,,,1960,0,1,4,3,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1224,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,4344,132.9796,0.069726,838.9898,1147.4082,8,0.2449,9,0.2755,5,40,1.2245,9190,4916,150.4898,0.16355,8975,,,164.0,12.0,152,,,5.0204,3213.0,3208.0,60.0,3076.0,3360.0,68.0,137.0,-152.0,-8.0,0.0,2.0,0.0,0.0,0.0,0.0,4682.0,5168.0,91.0,4380.0,5007.0,98.0,302.0,161.0,-7.0,0.0,2.0,0.0,0.0,0.0,0.0,6152.0,7606.0,127.0,6182.0,7939.0,146.0,-30.0,-333.0,-19.0,0.0,2.0,1.0,0.0,2.0,0.0,7823.0,9317.0,157.0,7862.0,10352.0,162.0,-39.0,-1035.0,-5.0,1.0,2.0,2.0,0.0,7.0,0.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,3,Blue,mid,Furby,oe:player:fe9ef7441c7dd52bebd1ce72a43612b,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,Orianna,Akali,Jax,Ashe,Nautilus,Milio,,,,,,1960,0,0,0,2,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,2.0,15541,475.7449,0.24945,120.949,148.9898,16,0.4898,2,0.0612,4,32,0.9796,11842,7568,231.6735,0.25178,12150,,,308.0,308.0,0,,,9.4286,3356.0,4910.0,89.0,3287.0,5195.0,92.0,69.0,-285.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.0,7982.0,149.0,5225.0,8329.0,152.0,9.0,-347.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,7271.0,10606.0,199.0,7447.0,11435.0,214.0,-176.0,-829.0,-15.0,0.0,0.0,0.0,1.0,1.0,0.0,9042.0,13073.0,249.0,10635.0,15174.0,273.0,-1593.0,-2101.0,-24.0,0.0,1.0,0.0,4.0,1.0,0.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,4,Blue,bot,Faetski,oe:player:d13a22299df0cee586407b889fc69c2,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,Lucian,Akali,Jax,Ashe,Nautilus,Milio,,,,,,1960,0,2,4,2,4,15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1224,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,18774,574.7143,0.301343,702.8571,368.051,13,0.398,10,0.3061,2,40,1.2245,12982,8708,266.5714,0.289707,12650,,,293.0,291.0,2,,,8.9694,4181.0,3033.0,90.0,2657.0,2619.0,57.0,1524.0,414.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0,6168.0,5189.0,144.0,4610.0,4860.0,117.0,1558.0,329.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0,8529.0,7445.0,212.0,6464.0,6891.0,147.0,2065.0,554.0,65.0,2.0,0.0,0.0,1.0,1.0,1.0,9931.0,8622.0,237.0,8526.0,9499.0,181.0,1405.0,-877.0,56.0,2.0,1.0,2.0,2.0,2.0,2.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,5,Blue,sup,Dancer,oe:player:a4e7ab18a8d310e0e2f6d8a9d17f20f,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,Nami,Akali,Jax,Ashe,Nautilus,Milio,,,,,,1960,0,0,3,3,4,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1224,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5574,170.6327,0.0894689,362.7245,145.8061,42,1.2857,9,0.2755,7,91,2.7857,7163,2889,88.4388,0.0961142,6975,,,36.0,36.0,0,,,1.102,2574.0,2879.0,13.0,2231.0,2549.0,12.0,343.0,330.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3846.0,4205.0,22.0,3353.0,4197.0,18.0,493.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,4728.0,5841.0,24.0,4270.0,5619.0,18.0,458.0,222.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,5544.0,7471.0,26.0,6389.0,8579.0,20.0,-845.0,-1108.0,6.0,0.0,2.0,2.0,1.0,5.0,1.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,6,Red,top,Ariana,oe:player:20a8e429d58dfe01327b4e6f0a1cf05,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,K'Sante,Nocturne,Xin Zhao,Varus,Jayce,Tristana,,,,,,1960,1,2,1,7,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10220,312.8571,0.162055,724.5306,1948.1327,9,0.2755,5,0.1531,1,30,0.9184,13292,9018,276.0612,0.216031,13025,,,271.0,271.0,0,,,8.2959,3146.0,4989.0,82.0,3371.0,5200.0,93.0,-225.0,-211.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4797.0,7881.0,133.0,5256.0,8012.0,148.0,-459.0,-131.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,7538.0,11700.0,187.0,6256.0,9195.0,160.0,1282.0,2505.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,9537.0,14452.0,214.0,7696.0,11011.0,195.0,1841.0,3441.0,19.0,1.0,3.0,0.0,0.0,0.0,2.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,7,Red,jng,belit,oe:player:c2dd4ae1efb63bfc5d5f93c31618c08,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Maokai,Nocturne,Xin Zhao,Varus,Jayce,Tristana,,,,,,1960,1,1,0,12,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,0.5816,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,13196,403.9592,0.209244,1027.7143,728.4796,12,0.3673,16,0.4898,10,50,1.5306,11434,7160,219.1837,0.171522,9950,,,195.0,37.0,158,,,5.9694,3076.0,3360.0,68.0,3213.0,3208.0,60.0,-137.0,152.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4380.0,5007.0,98.0,4682.0,5168.0,91.0,-302.0,-161.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,6182.0,7939.0,146.0,6152.0,7606.0,127.0,30.0,333.0,19.0,0.0,2.0,0.0,0.0,2.0,1.0,7862.0,10352.0,162.0,7823.0,9317.0,157.0,39.0,1035.0,5.0,0.0,7.0,0.0,1.0,2.0,2.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,8,Red,mid,RAFBIN,oe:player:674c649305d6595b9b0788b13be9716,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Azir,Nocturne,Xin Zhao,Varus,Jayce,Tristana,,,,,,1960,1,6,0,2,15,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.0,0.0,15337,469.5,0.243194,409.8061,380.7857,13,0.398,5,0.1531,3,42,1.2857,16152,11878,363.6122,0.284544,13625,,,340.0,313.0,27,,,10.4082,3287.0,5195.0,92.0,3356.0,4910.0,89.0,-69.0,285.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5225.0,8329.0,152.0,5234.0,7982.0,149.0,-9.0,347.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7447.0,11435.0,214.0,7271.0,10606.0,199.0,176.0,829.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,10635.0,15174.0,273.0,9042.0,13073.0,249.0,1593.0,2101.0,24.0,4.0,1.0,0.0,0.0,1.0,0.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,9,Red,bot,wittman,oe:player:9ea81871d6eae77bf89f98d3b7ba544,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Aphelios,Nocturne,Xin Zhao,Varus,Jayce,Tristana,,,,,,1960,1,5,2,4,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4592,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,19229,588.6429,0.304908,512.5102,532.3776,9,0.2755,7,0.2143,1,21,0.6429,12942,8668,265.3469,0.207647,10800,,,238.0,212.0,26,,,7.2857,2657.0,2619.0,57.0,4181.0,3033.0,90.0,-1524.0,-414.0,-33.0,0.0,0.0,1.0,2.0,0.0,0.0,4610.0,4860.0,117.0,6168.0,5189.0,144.0,-1558.0,-329.0,-27.0,0.0,0.0,1.0,2.0,0.0,0.0,6464.0,6891.0,147.0,8529.0,7445.0,212.0,-2065.0,-554.0,-65.0,1.0,1.0,1.0,2.0,0.0,0.0,8526.0,9499.0,181.0,9931.0,8622.0,237.0,-1405.0,877.0,-56.0,2.0,2.0,2.0,2.0,1.0,2.0
LOLTMNT04_19084,complete,,UL,2024,Spring,0,2024-01-16 17:16:13,1,14.01,10,Red,sup,Crisma,oe:player:e15b1554a43df5867d68bd0bf921d78,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Lulu,Nocturne,Xin Zhao,Varus,Jayce,Tristana,,,,,,1960,1,1,1,12,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,0.5816,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5083,155.602,0.0805994,226.8367,123.8878,39,1.1939,3,0.0918,9,85,2.602,9294,5020,153.6735,0.120257,7425,,,24.0,24.0,0,,,0.7347,2231.0,2549.0,12.0,2574.0,2879.0,13.0,-343.0,-330.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,3353.0,4197.0,18.0,3846.0,4205.0,22.0,-493.0,-8.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,4270.0,5619.0,18.0,4728.0,5841.0,24.0,-458.0,-222.0,-6.0,0.0,2.0,1.0,0.0,2.0,1.0,6389.0,8579.0,20.0,5544.0,7471.0,26.0,845.0,1108.0,-6.0,1.0,5.0,1.0,0.0,2.0,2.0
