gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,1,Blue,top,Sinmivak,oe:player:a7b756e008bfcb7148cdb51f886c3fa,AGO ROGUE,oe:team:5a5f8cc0161f43afe3461b293535517,Camille,Maokai,Sejuani,Yuumi,Ornn,Gragas,,,,,,1536,1,6,1,10,28,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20765.0,811.1328,0.239554,851.9531,802.6563,8.0,0.3125,5.0,0.1953,4.0,21.0,0.8203,12938,9529.0,372.2266,0.236557,12200.0,,,202.0,190.0,12.0,,,7.8906,3159.0,4587.0,77.0,3139.0,4571.0,78.0,20.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5895.0,7472.0,124.0,4532.0,6827.0,118.0,1363.0,645.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,8347.0,9575.0,151.0,6522.0,9555.0,159.0,1825.0,20.0,-8.0,3.0,3.0,1.0,1.0,1.0,4.0,12232.0,13786.0,198.0,8166.0,11068.0,179.0,4066.0,2718.0,19.0,5.0,9.0,1.0,2.0,3.0,7.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,2,Blue,jng,Rabble,oe:player:6d630f0b571f8381f483b6a6941909a,AGO ROGUE,oe:team:5a5f8cc0161f43afe3461b293535517,Vi,Maokai,Sejuani,Yuumi,Ornn,Gragas,,,,,,1536,1,8,1,10,28,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938,1.4844,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,14819.0,578.8672,0.170958,879.6094,1099.8438,4.0,0.1563,5.0,0.1953,2.0,20.0,0.7813,12874,9465.0,369.7266,0.234969,11950.0,,,177.0,10.0,167.0,,,6.9141,3114.0,3190.0,63.0,3319.0,2950.0,56.0,-205.0,240.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,6153.0,6603.0,105.0,4671.0,4943.0,87.0,1482.0,1660.0,18.0,2.0,1.0,0.0,1.0,2.0,1.0,8987.0,9513.0,140.0,6438.0,7979.0,119.0,2549.0,1534.0,21.0,4.0,3.0,1.0,2.0,4.0,3.0,12302.0,13841.0,177.0,7992.0,9502.0,133.0,4310.0,4339.0,44.0,7.0,9.0,1.0,3.0,6.0,5.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,3,Blue,mid,Nite,oe:player:d7432b52de9ff23e6aa98374fe63375,AGO ROGUE,oe:team:5a5f8cc0161f43afe3461b293535517,Akali,Maokai,Sejuani,Yuumi,Ornn,Gragas,,,,,,1536,1,10,0,8,28,10,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,20626.0,805.7031,0.23795,548.5156,350.5859,7.0,0.2734,7.0,0.2734,3.0,27.0,1.0547,12852,9443.0,368.8672,0.234422,11745.0,,,220.0,212.0,8.0,,,8.5938,3405.0,4880.0,92.0,2944.0,4750.0,70.0,461.0,130.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5848.0,8131.0,151.0,4742.0,7485.0,125.0,1106.0,646.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,9089.0,11231.0,205.0,6037.0,9123.0,147.0,3052.0,2108.0,58.0,4.0,1.0,0.0,0.0,3.0,1.0,12412.0,14066.0,218.0,7659.0,11183.0,177.0,4753.0,2883.0,41.0,10.0,5.0,0.0,1.0,3.0,3.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,4,Blue,bot,Lucker,oe:player:0482daf6543f102a27a265342292bb7,AGO ROGUE,oe:team:5a5f8cc0161f43afe3461b293535517,Lucian,Maokai,Sejuani,Yuumi,Ornn,Gragas,,,,,,1536,1,3,4,16,28,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0938,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,23686.0,925.2344,0.273252,651.0156,315.0391,8.0,0.3125,4.0,0.1563,0.0,16.0,0.625,10916,7507.0,293.2422,0.186361,9350.0,,,181.0,177.0,4.0,,,7.0703,3299.0,2609.0,68.0,4060.0,3155.0,78.0,-761.0,-546.0,-10.0,1.0,0.0,2.0,2.0,1.0,0.0,5560.0,4812.0,114.0,5109.0,4335.0,98.0,451.0,477.0,16.0,2.0,2.0,2.0,2.0,1.0,1.0,7735.0,7199.0,143.0,7355.0,6979.0,136.0,380.0,220.0,7.0,2.0,7.0,3.0,4.0,3.0,2.0,10214.0,10817.0,176.0,9341.0,9370.0,188.0,873.0,1447.0,-12.0,2.0,15.0,4.0,4.0,4.0,4.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,5,Blue,sup,promisq,oe:player:3f6085758dbaaafd2cb21a4cc5d936e,AGO ROGUE,oe:team:5a5f8cc0161f43afe3461b293535517,Nami,Maokai,Sejuani,Yuumi,Ornn,Gragas,,,,,,1536,1,1,4,21,28,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0938,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,6786.0,265.0781,0.0782861,369.2578,184.8438,26.0,1.0156,10.0,0.3906,7.0,62.0,2.4219,7747,4338.0,169.4531,0.10769,6475.0,,,15.0,15.0,0.0,,,0.5859,2183.0,2705.0,5.0,2398.0,2485.0,1.0,-215.0,220.0,4.0,0.0,1.0,1.0,0.0,3.0,1.0,3714.0,4647.0,8.0,3410.0,3258.0,2.0,304.0,1389.0,6.0,0.0,5.0,1.0,0.0,3.0,2.0,5315.0,6307.0,14.0,4454.0,5122.0,5.0,861.0,1185.0,9.0,0.0,10.0,2.0,0.0,7.0,3.0,6884.0,8832.0,15.0,5566.0,7456.0,12.0,1318.0,1376.0,3.0,0.0,18.0,4.0,0.0,9.0,5.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,6,Red,top,Kakan,oe:player:cf9f681ba462478b3361e8912e5921b,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,Shen,Graves,Aatrox,Bel'Veth,Hecarim,Jarvan IV,,,,,,1536,0,2,7,3,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13342.0,521.1719,0.254008,952.9688,1105.0,9.0,0.3516,4.0,0.1563,3.0,20.0,0.7813,8240,4831.0,188.7109,0.219024,8025.0,,,179.0,175.0,4.0,,,6.9922,3139.0,4571.0,78.0,3159.0,4587.0,77.0,-20.0,-16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4532.0,6827.0,118.0,5895.0,7472.0,124.0,-1363.0,-645.0,-6.0,0.0,0.0,2.0,1.0,2.0,0.0,6522.0,9555.0,159.0,8347.0,9575.0,151.0,-1825.0,-20.0,8.0,1.0,1.0,4.0,3.0,3.0,1.0,8166.0,11068.0,179.0,12232.0,13786.0,198.0,-4066.0,-2718.0,-19.0,2.0,3.0,7.0,5.0,9.0,1.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,7,Red,jng,Gaboesh,oe:player:1803cfd1a017efe15edef6546bdac2b,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,Viego,Graves,Aatrox,Bel'Veth,Hecarim,Jarvan IV,,,,,,1536,0,3,6,6,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,10819.0,422.6172,0.205974,1073.2422,573.5156,3.0,0.1172,7.0,0.2734,8.0,31.0,1.2109,8066,4657.0,181.9141,0.211135,7600.0,,,133.0,17.0,116.0,,,5.1953,3319.0,2950.0,56.0,3114.0,3190.0,63.0,205.0,-240.0,-7.0,1.0,2.0,0.0,0.0,0.0,0.0,4671.0,4943.0,87.0,6153.0,6603.0,105.0,-1482.0,-1660.0,-18.0,1.0,2.0,1.0,2.0,1.0,0.0,6438.0,7979.0,119.0,8987.0,9513.0,140.0,-2549.0,-1534.0,-21.0,2.0,4.0,3.0,4.0,3.0,1.0,7992.0,9502.0,133.0,12302.0,13841.0,177.0,-4310.0,-4339.0,-44.0,3.0,6.0,5.0,7.0,9.0,1.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,8,Red,mid,Saulius,oe:player:df7fb677687a886fb22f75da316b949,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,Sylas,Graves,Aatrox,Bel'Veth,Hecarim,Jarvan IV,,,,,,1536,0,1,4,3,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10572.0,412.9688,0.201272,953.5938,539.4531,11.0,0.4297,2.0,0.0781,4.0,15.0,0.5859,7732,4323.0,168.8672,0.195992,6850.0,,,177.0,173.0,4.0,,,6.9141,2944.0,4750.0,70.0,3405.0,4880.0,92.0,-461.0,-130.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,4742.0,7485.0,125.0,5848.0,8131.0,151.0,-1106.0,-646.0,-26.0,0.0,0.0,0.0,1.0,1.0,0.0,6037.0,9123.0,147.0,9089.0,11231.0,205.0,-3052.0,-2108.0,-58.0,0.0,3.0,1.0,4.0,1.0,0.0,7659.0,11183.0,177.0,12412.0,14066.0,218.0,-4753.0,-2883.0,-41.0,1.0,3.0,3.0,10.0,5.0,0.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,9,Red,bot,Yashiro,oe:player:50cce5a33514ebe62201a0a45314eca,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,Aphelios,Graves,Aatrox,Bel'Veth,Hecarim,Jarvan IV,,,,,,1536,0,4,5,4,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3906,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,11547.0,451.0547,0.219834,598.0859,432.6563,7.0,0.2734,1.0,0.0391,1.0,8.0,0.3125,9414,6005.0,234.5703,0.27225,8725.0,,,188.0,180.0,8.0,,,7.3438,4060.0,3155.0,78.0,3299.0,2609.0,68.0,761.0,546.0,10.0,2.0,1.0,0.0,1.0,0.0,2.0,5109.0,4335.0,98.0,5560.0,4812.0,114.0,-451.0,-477.0,-16.0,2.0,1.0,1.0,2.0,2.0,2.0,7355.0,6979.0,136.0,7735.0,7199.0,143.0,-380.0,-220.0,-7.0,4.0,3.0,2.0,2.0,7.0,3.0,9341.0,9370.0,188.0,10214.0,10817.0,176.0,-873.0,-1447.0,12.0,4.0,4.0,4.0,2.0,15.0,4.0
ESPORTSTMNT04_2560039,complete,,USP,2022,,0,2022-10-25 14:37:10,1,12.2,10,Red,sup,Make,oe:player:529a05ca6c1263aab080ec4f2075441,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,Lulu,Graves,Aatrox,Bel'Veth,Hecarim,Jarvan IV,,,,,,1536,0,0,6,9,10,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3906,1.4844,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,6246.0,243.9844,0.118913,552.6172,282.1875,25.0,0.9766,11.0,0.4297,7.0,56.0,2.1875,5650,2241.0,87.5391,0.1016,5425.0,,,12.0,12.0,0.0,,,0.4688,2398.0,2485.0,1.0,2183.0,2705.0,5.0,215.0,-220.0,-4.0,0.0,3.0,1.0,0.0,1.0,1.0,3410.0,3258.0,2.0,3714.0,4647.0,8.0,-304.0,-1389.0,-6.0,0.0,3.0,2.0,0.0,5.0,1.0,4454.0,5122.0,5.0,5315.0,6307.0,14.0,-861.0,-1185.0,-9.0,0.0,7.0,3.0,0.0,10.0,2.0,5566.0,7456.0,12.0,6884.0,8832.0,15.0,-1318.0,-1376.0,-3.0,0.0,9.0,5.0,0.0,18.0,4.0
