gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,1,Blue,top,yeti,oe:player:e8c8d8ba3cafbcbc8a8d0d0ba7a2853,LODIS,oe:team:6d98739f80c37e5b5c2431950983a05,K'Sante,,,,,,,,,,,1742,1,2,0,6,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13364.0,460.2985,0.18338,457.6808,736.6361,13.0,0.4478,4.0,0.1378,5.0,26.0,0.8955,11346,7517,258.9093,0.198684,9275.0,,,195.0,195.0,0.0,,,6.7164,3651.0,5027.0,90.0,3043.0,4867.0,75.0,608.0,160.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5805.0,7074.0,126.0,4625.0,6859.0,113.0,1180.0,215.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,7191.0,9120.0,158.0,6168.0,9182.0,147.0,1023.0,-62.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,9373.0,11736.0,178.0,8383.0,11835.0,193.0,990.0,-99.0,-15.0,1.0,3.0,0.0,0.0,0.0,2.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,2,Blue,jng,Sh4dowUS,oe:player:318a60c20ad705c05ceb1e1b2067624,LODIS,oe:team:6d98739f80c37e5b5c2431950983a05,Maokai,,,,,,,,,,,1742,1,5,0,9,17,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5855,0.6889,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,0.0,0.0,13845.0,476.8657,0.18998,703.915,833.008,8.0,0.2755,4.0,0.1378,7.0,36.0,1.24,11585,7756,267.1412,0.205001,9025.0,,,176.0,20.0,156.0,,,6.062,3161.0,3213.0,61.0,2900.0,3110.0,61.0,261.0,103.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5030.0,5444.0,98.0,4408.0,5143.0,93.0,622.0,301.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,7236.0,8220.0,136.0,5701.0,6881.0,119.0,1535.0,1339.0,17.0,3.0,4.0,0.0,0.0,1.0,3.0,9358.0,11873.0,169.0,7133.0,8181.0,137.0,2225.0,3692.0,32.0,3.0,7.0,0.0,0.0,1.0,4.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,3,Blue,mid,DOMOLES,oe:player:fd232826ff3976840e994bb85a3bd46,LODIS,oe:team:6d98739f80c37e5b5c2431950983a05,Jayce,,,,,,,,,,,1742,1,3,1,7,17,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5855,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,20700.0,712.9736,0.284044,431.6073,420.2411,13.0,0.4478,8.0,0.2755,4.0,38.0,1.3088,12918,9089,313.054,0.240235,12350.0,,,271.0,271.0,0.0,,,9.3341,3363.0,4855.0,93.0,3347.0,4965.0,93.0,16.0,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5462.0,7476.0,146.0,5385.0,8072.0,148.0,77.0,-596.0,-2.0,0.0,2.0,1.0,1.0,0.0,0.0,7826.0,10477.0,206.0,7071.0,10216.0,194.0,755.0,261.0,12.0,0.0,3.0,1.0,1.0,0.0,1.0,10429.0,14004.0,259.0,9182.0,12249.0,234.0,1247.0,1755.0,25.0,1.0,4.0,1.0,1.0,0.0,3.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,4,Blue,bot,DAMKEXHINO4,oe:player:c98df548b46d873a7994bbe27b43e35,LODIS,oe:team:6d98739f80c37e5b5c2431950983a05,Kai'Sa,,,,,,,,,,,1742,1,5,2,10,17,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5855,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,18593.0,640.4018,0.255132,506.2457,308.3352,11.0,0.3789,9.0,0.31,3.0,30.0,1.0333,13219,9390,323.4214,0.248191,12625.0,,,247.0,230.0,17.0,,,8.5075,3185.0,2910.0,76.0,3499.0,3340.0,86.0,-314.0,-430.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,5807.0,4932.0,122.0,5108.0,5308.0,131.0,699.0,-376.0,-9.0,2.0,3.0,1.0,0.0,1.0,1.0,8208.0,7459.0,173.0,6786.0,7321.0,180.0,1422.0,138.0,-7.0,3.0,5.0,1.0,0.0,1.0,1.0,11170.0,11317.0,220.0,9359.0,9932.0,240.0,1811.0,1385.0,-20.0,5.0,7.0,1.0,0.0,1.0,1.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,5,Blue,sup,YuNIshinoya,oe:player:945f30b38a435b37c2e70d893cb6a72,LODIS,oe:team:6d98739f80c37e5b5c2431950983a05,Rakan,,,,,,,,,,,1742,1,2,0,11,17,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5855,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,6374.0,219.5408,0.0874636,403.0195,578.6452,57.0,1.9633,9.0,0.31,8.0,101.0,3.4788,7911,4082,140.597,0.107889,6600.0,,,32.0,32.0,0.0,,,1.1022,2494.0,2232.0,15.0,2068.0,2455.0,16.0,426.0,-223.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,4012.0,4034.0,26.0,3541.0,3969.0,27.0,471.0,65.0,-1.0,2.0,3.0,0.0,1.0,0.0,2.0,5136.0,5688.0,29.0,4477.0,5289.0,31.0,659.0,399.0,-2.0,2.0,6.0,0.0,1.0,0.0,2.0,6446.0,7531.0,31.0,5651.0,6512.0,36.0,795.0,1019.0,-5.0,2.0,6.0,0.0,1.0,0.0,2.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,6,Red,top,EL ZORA1,oe:player:4e5342cda54eb770b35829c14e8921a,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Nasus,,,,,,,,,,,1742,0,0,3,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,10328.0,355.729,0.255764,835.4535,906.9575,11.0,0.3789,2.0,0.0689,3.0,26.0,0.8955,9175,5346,184.1332,0.203309,8925.0,,,200.0,197.0,3.0,,,6.8886,3043.0,4867.0,75.0,3651.0,5027.0,90.0,-608.0,-160.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.0,6859.0,113.0,5805.0,7074.0,126.0,-1180.0,-215.0,-13.0,0.0,0.0,0.0,0.0,1.0,0.0,6168.0,9182.0,147.0,7191.0,9120.0,158.0,-1023.0,62.0,-11.0,0.0,0.0,1.0,0.0,2.0,0.0,8383.0,11835.0,193.0,9373.0,11736.0,178.0,-990.0,99.0,15.0,0.0,0.0,2.0,1.0,3.0,0.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,7,Red,jng,Sawyor,oe:player:6aec0ace4133efdcd6a8ac81eb48f47,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Jarvan IV,,,,,,,,,,,1742,0,0,5,2,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,0.0,0.0,3245.0,111.7681,0.0803596,928.3812,1135.4191,7.0,0.2411,11.0,0.3789,4.0,31.0,1.0677,8211,4382,150.93,0.166646,7900.0,,,159.0,14.0,145.0,,,5.4765,2900.0,3110.0,61.0,3161.0,3213.0,61.0,-261.0,-103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4408.0,5143.0,93.0,5030.0,5444.0,98.0,-622.0,-301.0,-5.0,0.0,1.0,2.0,1.0,3.0,0.0,5701.0,6881.0,119.0,7236.0,8220.0,136.0,-1535.0,-1339.0,-17.0,0.0,1.0,3.0,3.0,4.0,0.0,7133.0,8181.0,137.0,9358.0,11873.0,169.0,-2225.0,-3692.0,-32.0,0.0,1.0,4.0,3.0,7.0,0.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,8,Red,mid,Ribu,oe:player:78254fba153820035874ec50c87c941,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Syndra,,,,,,,,,,,1742,0,1,4,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,11076.0,381.4925,0.274287,512.9621,285.8439,8.0,0.2755,5.0,0.1722,0.0,13.0,0.4478,10515,6686,230.287,0.254272,9955.0,,,264.0,264.0,0.0,,,9.093,3347.0,4965.0,93.0,3363.0,4855.0,93.0,-16.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.0,8072.0,148.0,5462.0,7476.0,146.0,-77.0,596.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,7071.0,10216.0,194.0,7826.0,10477.0,206.0,-755.0,-261.0,-12.0,1.0,0.0,1.0,0.0,3.0,1.0,9182.0,12249.0,234.0,10429.0,14004.0,259.0,-1247.0,-1755.0,-25.0,1.0,0.0,3.0,1.0,4.0,1.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,9,Red,bot,Adison,oe:player:9bbe92a6cefce18d43887478b670435,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Jinx,,,,,,,,,,,1742,0,1,2,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,12241.0,421.6188,0.303138,427.3364,205.2468,9.0,0.31,11.0,0.3789,2.0,25.0,0.8611,11248,7419,255.5339,0.282149,11300.0,,,264.0,260.0,4.0,,,9.093,3499.0,3340.0,86.0,3185.0,2910.0,76.0,314.0,430.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5108.0,5308.0,131.0,5807.0,4932.0,122.0,-699.0,376.0,9.0,0.0,1.0,1.0,2.0,3.0,1.0,6786.0,7321.0,180.0,8208.0,7459.0,173.0,-1422.0,-138.0,7.0,0.0,1.0,1.0,3.0,5.0,1.0,9359.0,9932.0,240.0,11170.0,11317.0,220.0,-1811.0,-1385.0,20.0,0.0,1.0,1.0,5.0,7.0,1.0
ESPORTSTMNT05_3252044,complete,,USP,2023,,0,2023-11-07 15:55:44,1,13.21,10,Red,sup,ZaFiR,oe:player:ccd47b3ec9b7a034b2b71e8516427e3,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,Nautilus,,,,,,,,,,,1742,0,1,3,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1033,0.6889,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3491.0,120.2411,0.0864515,498.806,680.1837,41.0,1.4122,12.0,0.4133,10.0,80.0,2.7555,6291,2462,84.7991,0.0936243,6100.0,,,36.0,36.0,0.0,,,1.24,2068.0,2455.0,16.0,2494.0,2232.0,15.0,-426.0,223.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3541.0,3969.0,27.0,4012.0,4034.0,26.0,-471.0,-65.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,4477.0,5289.0,31.0,5136.0,5688.0,29.0,-659.0,-399.0,2.0,1.0,0.0,2.0,2.0,6.0,0.0,5651.0,6512.0,36.0,6446.0,7531.0,31.0,-795.0,-1019.0,5.0,1.0,0.0,2.0,2.0,6.0,0.0
