gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,1,Blue,top,Guachi,oe:player:23dac5db719cc3107fccd193eaf929f,Hooked Esports,oe:team:ea6fa09489335785c9921c1e427aea5,Gragas,Caitlyn,LeBlanc,Akali,Hecarim,Gangplank,,,,,,1753,0,0,5,2,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8528.0,291.8882,0.166595,887.3702,1117.1706,9.0,0.308,3.0,0.1027,1.0,17.0,0.5819,8821,4969.0,170.0742,0.196357,7325.0,,,178.0,174.0,4.0,,,6.0924,2653.0,4310.0,55.0,3665.0,4695.0,85.0,-1012.0,-385.0,-30.0,0.0,0.0,1.0,1.0,0.0,0.0,4505.0,6784.0,99.0,6049.0,7561.0,142.0,-1544.0,-777.0,-43.0,0.0,0.0,1.0,2.0,0.0,0.0,5691.0,8375.0,125.0,8950.0,10168.0,183.0,-3259.0,-1793.0,-58.0,0.0,0.0,2.0,4.0,3.0,0.0,7217.0,10293.0,150.0,11900.0,13279.0,213.0,-4683.0,-2986.0,-63.0,0.0,2.0,4.0,5.0,9.0,0.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,2,Blue,jng,Tiansito,oe:player:96ccfdf5a340e5e911f33bb93bc5a66,Hooked Esports,oe:team:ea6fa09489335785c9921c1e427aea5,Lee Sin,Caitlyn,LeBlanc,Akali,Hecarim,Gangplank,,,,,,1753,0,1,5,3,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711,0.9926,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,2.0,8604.0,294.4894,0.16808,960.6845,734.6834,24.0,0.8214,10.0,0.3423,14.0,41.0,1.4033,8383,4531.0,155.0827,0.17905,8300.0,,,137.0,17.0,120.0,,,4.6891,3124.0,3031.0,53.0,3502.0,3908.0,80.0,-378.0,-877.0,-27.0,1.0,0.0,0.0,0.0,1.0,1.0,4839.0,5088.0,85.0,5002.0,6212.0,115.0,-163.0,-1124.0,-30.0,1.0,1.0,1.0,0.0,1.0,2.0,6079.0,6873.0,115.0,9015.0,9517.0,160.0,-2936.0,-2644.0,-45.0,1.0,1.0,2.0,2.0,5.0,2.0,7249.0,8427.0,127.0,11470.0,12557.0,181.0,-4221.0,-4130.0,-54.0,1.0,3.0,4.0,4.0,11.0,3.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,3,Blue,mid,Jason,oe:player:033da1c048b5167836cef65227df6d4,Hooked Esports,oe:team:ea6fa09489335785c9921c1e427aea5,Viktor,Caitlyn,LeBlanc,Akali,Hecarim,Gangplank,,,,,,1753,0,0,5,5,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1711,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,21573.0,738.3799,0.42143,407.4729,320.81,13.0,0.445,3.0,0.1027,4.0,24.0,0.8214,9514,5662.0,193.7935,0.22374,8750.0,,,227.0,224.0,3.0,,,7.7695,3168.0,4001.0,80.0,2963.0,4145.0,59.0,205.0,-144.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,5100.0,7199.0,139.0,4570.0,6576.0,106.0,530.0,623.0,33.0,0.0,2.0,1.0,0.0,2.0,0.0,6711.0,9316.0,181.0,6347.0,8219.0,125.0,364.0,1097.0,56.0,0.0,2.0,2.0,1.0,6.0,0.0,7868.0,10679.0,198.0,8925.0,11094.0,148.0,-1057.0,-415.0,50.0,0.0,5.0,4.0,4.0,8.0,1.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,4,Blue,bot,Duel,oe:player:4bdde878ed635c8ecefec87b3556cb7,Hooked Esports,oe:team:ea6fa09489335785c9921c1e427aea5,Kai'Sa,Caitlyn,LeBlanc,Akali,Hecarim,Gangplank,,,,,,1753,0,4,5,1,5,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9440.0,323.1033,0.184411,379.6121,195.1284,11.0,0.3765,2.0,0.0685,3.0,17.0,0.5819,11571,7719.0,264.1985,0.305019,10145.0,,,223.0,208.0,15.0,,,7.6326,3009.0,2930.0,76.0,3119.0,3201.0,70.0,-110.0,-271.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4583.0,4270.0,106.0,4757.0,5510.0,115.0,-174.0,-1240.0,-9.0,1.0,1.0,0.0,0.0,1.0,0.0,6010.0,5955.0,142.0,6851.0,7466.0,144.0,-841.0,-1511.0,-2.0,1.0,1.0,2.0,1.0,4.0,0.0,9764.0,8861.0,185.0,9473.0,10961.0,187.0,291.0,-2100.0,-2.0,4.0,1.0,3.0,3.0,5.0,0.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,5,Blue,sup,Minalup,oe:player:d82d50ffc8310909af72ab68b2be94e,Hooked Esports,oe:team:ea6fa09489335785c9921c1e427aea5,Leona,Caitlyn,LeBlanc,Akali,Hecarim,Gangplank,,,,,,1753,0,0,4,4,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,3045.0,104.2213,0.0594843,336.2122,456.5203,26.0,0.8899,11.0,0.3765,7.0,58.0,1.9852,6277,2425.0,83.0006,0.0958346,5825.0,,,39.0,39.0,0.0,,,1.3349,2205.0,2319.0,15.0,2549.0,2126.0,14.0,-344.0,193.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3359.0,3570.0,27.0,3548.0,2923.0,20.0,-189.0,647.0,7.0,0.0,2.0,0.0,1.0,2.0,0.0,4202.0,4882.0,32.0,4903.0,4564.0,27.0,-701.0,318.0,5.0,0.0,2.0,1.0,1.0,5.0,0.0,5224.0,6488.0,36.0,6456.0,6702.0,28.0,-1232.0,-214.0,8.0,0.0,4.0,2.0,1.0,11.0,1.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,6,Red,top,Therru,oe:player:ce47492a8c1f083337c8571ca21551d,GeekSide Esports,oe:team:b1e4549272fe20b4c311674483d4d90,Renekton,Lucian,Xin Zhao,Viego,,Miss Fortune,,,,,,1753,1,5,0,11,24,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13035.0,446.1495,0.200885,722.7382,554.0331,12.0,0.4107,4.0,0.1369,3.0,29.0,0.9926,13325,9473.0,324.2327,0.250255,12775.0,,,233.0,225.0,8.0,,,7.9749,3665.0,4695.0,85.0,2653.0,4310.0,55.0,1012.0,385.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,6049.0,7561.0,142.0,4505.0,6784.0,99.0,1544.0,777.0,43.0,2.0,0.0,0.0,0.0,0.0,1.0,8950.0,10168.0,183.0,5691.0,8375.0,125.0,3259.0,1793.0,58.0,4.0,3.0,0.0,0.0,0.0,2.0,11900.0,13279.0,213.0,7217.0,10293.0,150.0,4683.0,2986.0,63.0,5.0,9.0,0.0,0.0,2.0,4.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,7,Red,jng,Sunriser,oe:player:1745bc6536d0f2755cd541a21de1847,GeekSide Esports,oe:team:b1e4549272fe20b4c311674483d4d90,Vi,Lucian,Xin Zhao,Viego,,Miss Fortune,,,,,,1753,1,6,3,15,24,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214,0.9926,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,0.0,19004.0,650.4507,0.292874,919.9886,1254.1814,4.0,0.1369,8.0,0.2738,4.0,34.0,1.1637,13502,9650.0,330.2909,0.254931,12200.0,,,193.0,31.0,162.0,,,6.6058,3502.0,3908.0,80.0,3124.0,3031.0,53.0,378.0,877.0,27.0,0.0,1.0,1.0,1.0,0.0,0.0,5002.0,6212.0,115.0,4839.0,5088.0,85.0,163.0,1124.0,30.0,0.0,1.0,2.0,1.0,1.0,1.0,9015.0,9517.0,160.0,6079.0,6873.0,115.0,2936.0,2644.0,45.0,2.0,5.0,2.0,1.0,1.0,2.0,11470.0,12557.0,181.0,7249.0,8427.0,127.0,4221.0,4130.0,54.0,4.0,11.0,3.0,1.0,3.0,4.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,8,Red,mid,Don Cholo,oe:player:31fe3c7c6c653dc8794b03656a53d3a,GeekSide Esports,oe:team:b1e4549272fe20b4c311674483d4d90,Corki,Lucian,Xin Zhao,Viego,,Miss Fortune,,,,,,1753,1,4,1,14,24,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8214,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13624.0,466.3092,0.209962,396.3833,178.4598,13.0,0.445,5.0,0.1711,3.0,29.0,0.9926,10649,6797.0,232.6412,0.179564,9275.0,,,167.0,159.0,8.0,,,5.7159,2963.0,4145.0,59.0,3168.0,4001.0,80.0,-205.0,144.0,-21.0,0.0,1.0,0.0,0.0,1.0,1.0,4570.0,6576.0,106.0,5100.0,7199.0,139.0,-530.0,-623.0,-33.0,0.0,2.0,0.0,0.0,2.0,1.0,6347.0,8219.0,125.0,6711.0,9316.0,181.0,-364.0,-1097.0,-56.0,1.0,6.0,0.0,0.0,2.0,2.0,8925.0,11094.0,148.0,7868.0,10679.0,198.0,1057.0,415.0,-50.0,4.0,8.0,1.0,0.0,5.0,4.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,9,Red,bot,Invek,oe:player:593d29a04b1c5a1f1ac6e8a308b2b62,GeekSide Esports,oe:team:b1e4549272fe20b4c311674483d4d90,Aphelios,Lucian,Xin Zhao,Viego,,Miss Fortune,,,,,,1753,1,6,0,7,24,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13241.0,453.2002,0.204059,273.5083,135.5391,18.0,0.6161,12.0,0.4107,9.0,50.0,1.7114,11647,7795.0,266.7998,0.205928,10125.0,,,203.0,180.0,23.0,,,6.9481,3119.0,3201.0,70.0,3009.0,2930.0,76.0,110.0,271.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,4757.0,5510.0,115.0,4583.0,4270.0,106.0,174.0,1240.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,6851.0,7466.0,144.0,6010.0,5955.0,142.0,841.0,1511.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,9473.0,10961.0,187.0,9764.0,8861.0,185.0,-291.0,2100.0,2.0,3.0,5.0,0.0,4.0,1.0,3.0
ESPORTSTMNT01_2707529,complete,,VL,2022,,0,2022-01-26 23:53:31,1,12.01,10,Red,sup,Macucho,oe:player:5e8af449b782efa399b019f68c06e24,GeekSide Esports,oe:team:b1e4549272fe20b4c311674483d4d90,Nautilus,Lucian,Xin Zhao,Viego,,Miss Fortune,,,,,,1753,1,3,1,13,24,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8214,0.9926,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5984.0,204.8146,0.0922204,301.9509,508.1346,35.0,1.1979,10.0,0.3423,10.0,79.0,2.7039,7990,4138.0,141.6315,0.109322,6700.0,,,28.0,28.0,0.0,,,0.9584,2549.0,2126.0,14.0,2205.0,2319.0,15.0,344.0,-193.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,3548.0,2923.0,20.0,3359.0,3570.0,27.0,189.0,-647.0,-7.0,1.0,2.0,0.0,0.0,2.0,0.0,4903.0,4564.0,27.0,4202.0,4882.0,32.0,701.0,-318.0,-5.0,1.0,5.0,0.0,0.0,2.0,1.0,6456.0,6702.0,28.0,5224.0,6488.0,36.0,1232.0,214.0,-8.0,1.0,11.0,1.0,0.0,4.0,2.0
