gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,1,Blue,top,Chanteur,oe:player:49a6d1dc1f443b7e2739a0dc681453e,Descuydado Aucas Esports,oe:team:66183b5685c9e0a01698642ff9bd420,Fiora,Heimerdinger,Gnar,Varus,Yuumi,Lulu,,,,,,1943,1,4,1,1,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9526.0,294.1637,0.199929,796.49,889.439,11.0,0.3397,6.0,0.1853,4.0,35.0,1.0808,13680,9441,291.5389,0.252807,12650.0,,,301.0,293.0,8.0,,,9.2949,3244.0,4806.0,88.0,3337.0,4740.0,90.0,-93.0,66.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,7795.0,138.0,5696.0,8025.0,156.0,-731.0,-230.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,6906.0,10301.0,182.0,8093.0,10547.0,204.0,-1187.0,-246.0,-22.0,1.0,0.0,0.0,0.0,0.0,0.0,8974.0,13186.0,225.0,9731.0,12549.0,242.0,-757.0,637.0,-17.0,2.0,1.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,2,Blue,jng,ImMine,oe:player:545a890a4f202c748ad4aad42168622,Descuydado Aucas Esports,oe:team:66183b5685c9e0a01698642ff9bd420,Vi,Heimerdinger,Gnar,Varus,Yuumi,Lulu,,,,,,1943,1,3,1,6,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088,0.4323,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,5848.0,180.5867,0.122736,655.5224,1073.5152,13.0,0.4014,12.0,0.3706,12.0,51.0,1.5749,11047,6808,210.2316,0.182299,9900.0,,,161.0,29.0,132.0,,,4.9717,2958.0,3375.0,60.0,3486.0,3773.0,69.0,-528.0,-398.0,-9.0,0.0,1.0,0.0,0.0,1.0,0.0,4126.0,5019.0,80.0,5283.0,5703.0,100.0,-1157.0,-684.0,-20.0,0.0,1.0,0.0,0.0,2.0,0.0,5994.0,7932.0,119.0,7236.0,8186.0,136.0,-1242.0,-254.0,-17.0,1.0,2.0,0.0,0.0,2.0,0.0,7700.0,9190.0,131.0,8762.0,9927.0,167.0,-1062.0,-737.0,-36.0,2.0,3.0,0.0,0.0,2.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,3,Blue,mid,Nishkyu,oe:player:d9a6c1455bde1956ebada6fafeefdf4,Descuydado Aucas Esports,oe:team:66183b5685c9e0a01698642ff9bd420,Taliyah,Heimerdinger,Gnar,Varus,Yuumi,Lulu,,,,,,1943,1,1,1,7,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3088,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16326.0,504.1482,0.342645,372.7844,229.0685,8.0,0.247,7.0,0.2162,2.0,27.0,0.8338,11996,7757,239.5368,0.207712,11150.0,,,275.0,258.0,17.0,,,8.492,3375.0,5040.0,83.0,3577.0,4727.0,88.0,-202.0,313.0,-5.0,1.0,0.0,1.0,1.0,0.0,1.0,4880.0,7242.0,126.0,5398.0,7145.0,132.0,-518.0,97.0,-6.0,1.0,0.0,1.0,2.0,0.0,1.0,6644.0,9573.0,169.0,7326.0,8994.0,175.0,-682.0,579.0,-6.0,1.0,2.0,1.0,2.0,0.0,2.0,8542.0,13792.0,216.0,8968.0,12512.0,222.0,-426.0,1280.0,-6.0,1.0,4.0,1.0,2.0,0.0,2.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,4,Blue,bot,Nickleaf,oe:player:731b38cf593d2cb10856ed561d6bcc6,Descuydado Aucas Esports,oe:team:66183b5685c9e0a01698642ff9bd420,Aphelios,Heimerdinger,Gnar,Varus,Yuumi,Lulu,,,,,,1943,1,2,1,5,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,11525.0,355.8929,0.241883,233.4534,512.3932,20.0,0.6176,14.0,0.4323,7.0,82.0,2.5322,13734,9495,293.2064,0.254253,13175.0,,,288.0,273.0,15.0,,,8.8935,3614.0,3454.0,86.0,2949.0,2879.0,73.0,665.0,575.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,6082.0,5571.0,142.0,4821.0,4952.0,122.0,1261.0,619.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,7985.0,7497.0,185.0,6529.0,6650.0,164.0,1456.0,847.0,21.0,1.0,2.0,1.0,0.0,1.0,1.0,9753.0,9689.0,230.0,8251.0,8616.0,204.0,1502.0,1073.0,26.0,1.0,4.0,1.0,0.0,1.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,5,Blue,sup,Mortuario,oe:player:835e6f063fe8970ade076ac746284db,Descuydado Aucas Esports,oe:team:66183b5685c9e0a01698642ff9bd420,Thresh,Heimerdinger,Gnar,Varus,Yuumi,Lulu,,,,,,1943,1,0,0,9,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3088,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4422.0,136.5517,0.0928075,322.2954,320.9367,32.0,0.9882,18.0,0.5558,10.0,90.0,2.7792,8083,3844,118.703,0.102928,7050.0,,,44.0,44.0,0.0,,,1.3587,2128.0,2350.0,17.0,1992.0,2062.0,14.0,136.0,288.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3245.0,3945.0,27.0,3083.0,3377.0,23.0,162.0,568.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4491.0,5395.0,33.0,4142.0,4860.0,28.0,349.0,535.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,5413.0,7193.0,35.0,5086.0,6526.0,34.0,327.0,667.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,6,Red,top,Joxardo,oe:player:4c60576a84396dfe98d541e0014fe48,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Jayce,Maokai,Nami,Caitlyn,Ashe,Nautilus,,,,,,1943,0,1,1,1,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,25827.0,797.5399,0.481012,285.826,266.3716,19.0,0.5867,7.0,0.2162,7.0,58.0,1.791,14406,10167,313.9578,0.302819,13625.0,,,318.0,302.0,16.0,,,9.8199,3337.0,4740.0,90.0,3244.0,4806.0,88.0,93.0,-66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5696.0,8025.0,156.0,4965.0,7795.0,138.0,731.0,230.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8093.0,10547.0,204.0,6906.0,10301.0,182.0,1187.0,246.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,9731.0,12549.0,242.0,8974.0,13186.0,225.0,757.0,-637.0,17.0,0.0,0.0,1.0,2.0,1.0,0.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,7,Red,jng,iFrix,oe:player:c7dfa76dc1551469068a4a375536e2c,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Wukong,Maokai,Nami,Caitlyn,Ashe,Nautilus,,,,,,1943,0,0,3,2,4,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1235,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,8170.0,252.2903,0.152161,918.3428,666.4231,10.0,0.3088,9.0,0.2779,10.0,45.0,1.3896,10167,5928,183.0571,0.176559,9630.0,,,180.0,15.0,165.0,,,5.5584,3486.0,3773.0,69.0,2958.0,3375.0,60.0,528.0,398.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,5283.0,5703.0,100.0,4126.0,5019.0,80.0,1157.0,684.0,20.0,0.0,2.0,0.0,0.0,1.0,0.0,7236.0,8186.0,136.0,5994.0,7932.0,119.0,1242.0,254.0,17.0,0.0,2.0,0.0,1.0,2.0,0.0,8762.0,9927.0,167.0,7700.0,9190.0,131.0,1062.0,737.0,36.0,0.0,2.0,1.0,2.0,3.0,0.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,8,Red,mid,Loers,oe:player:54c7fafa62a6b38cb0eaec1dd6638db,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Ryze,Maokai,Nami,Caitlyn,Ashe,Nautilus,,,,,,1943,0,3,3,1,4,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1235,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13020.0,402.0587,0.24249,458.7854,346.5054,11.0,0.3397,3.0,0.0926,3.0,23.0,0.7102,12052,7813,241.2661,0.232704,10525.0,,,274.0,246.0,28.0,,,8.4611,3577.0,4727.0,88.0,3375.0,5040.0,83.0,202.0,-313.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,5398.0,7145.0,132.0,4880.0,7242.0,126.0,518.0,-97.0,6.0,2.0,0.0,1.0,1.0,0.0,1.0,7326.0,8994.0,175.0,6644.0,9573.0,169.0,682.0,-579.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,8968.0,12512.0,222.0,8542.0,13792.0,216.0,426.0,-1280.0,6.0,2.0,0.0,2.0,1.0,4.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,9,Red,bot,Fiant,oe:player:c19ead1d5535efa0ba754ce9e55c2e2,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Zeri,Maokai,Nami,Caitlyn,Ashe,Nautilus,,,,,,1943,0,0,2,3,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,4860.0,150.0772,0.0905146,437.2002,244.6629,15.0,0.4632,16.0,0.4941,6.0,52.0,1.6058,11552,7313,225.826,0.217812,10575.0,,,275.0,271.0,4.0,,,8.492,2949.0,2879.0,73.0,3614.0,3454.0,86.0,-665.0,-575.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,4821.0,4952.0,122.0,6082.0,5571.0,142.0,-1261.0,-619.0,-20.0,0.0,1.0,0.0,1.0,0.0,1.0,6529.0,6650.0,164.0,7985.0,7497.0,185.0,-1456.0,-847.0,-21.0,0.0,1.0,1.0,1.0,2.0,1.0,8251.0,8616.0,204.0,9753.0,9689.0,230.0,-1502.0,-1073.0,-26.0,0.0,1.0,1.0,1.0,4.0,1.0
ESPORTSTMNT03_3086261,complete,,VL,2023,,0,2023-01-20 00:03:52,1,13.01,10,Red,sup,Davo,oe:player:5cd0e129e36a8c0829ba5f65a3fbe37,Waia Snikt,oe:team:4aaf7ff9e32dc4fee354958c19ba481,Renata Glasc,Maokai,Nami,Caitlyn,Ashe,Nautilus,,,,,,1943,0,0,1,2,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.4323,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,1816.0,56.0782,0.0338219,166.3819,135.0386,53.0,1.6366,6.0,0.1853,13.0,89.0,2.7483,6593,2354,72.6917,0.0701055,6310.0,,,42.0,42.0,0.0,,,1.297,1992.0,2062.0,14.0,2128.0,2350.0,17.0,-136.0,-288.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,3083.0,3377.0,23.0,3245.0,3945.0,27.0,-162.0,-568.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,4142.0,4860.0,28.0,4491.0,5395.0,33.0,-349.0,-535.0,-5.0,0.0,0.0,1.0,0.0,3.0,0.0,5086.0,6526.0,34.0,5413.0,7193.0,35.0,-327.0,-667.0,-1.0,0.0,0.0,1.0,0.0,5.0,0.0
