gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,1,Blue,top,Licorice,oe:player:e03d0722b6dce835cde3268c08c4f54,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Aatrox,Vel'Koz,Shen,Akali,Irelia,Braum,,,,,,1811,1,3,1,5,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,11334.0,375.5052,0.218676,569.0889,354.2352,13.0,0.4307,7.0,0.2319,5.0,34.0,1.1264,14404.0,10434.0,345.6875,0.252572,11725.0,,,314.0,274.0,40.0,13.0,12.0,10.4031,3463.0,5060.0,97.0,3044.0,4438.0,76.0,419.0,622.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.0,7802.0,156.0,4483.0,6817.0,117.0,1583.0,985.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8122.0,11114.0,217.0,6702.0,9405.0,168.0,1420.0,1709.0,49.0,0.0,0.0,1.0,1.0,0.0,0.0,10395.0,14674.0,286.0,8814.0,12502.0,231.0,1581.0,2172.0,55.0,0.0,0.0,1.0,1.0,0.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,2,Blue,jng,Blaber,oe:player:ed455f823b6586e9e3621dfb5aeb42e,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Xin Zhao,Vel'Koz,Shen,Akali,Irelia,Braum,,,,,,1811,1,4,2,4,13,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7941.0,263.0922,0.153212,905.7979,500.8062,9.0,0.2982,12.0,0.3976,7.0,57.0,1.8885,12060.0,8090.0,268.0287,0.195832,10608.0,,,181.0,23.0,158.0,95.0,16.0,5.9967,3034.0,3453.0,61.0,2968.0,3356.0,51.0,66.0,97.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4702.0,5995.0,90.0,4366.0,5480.0,82.0,336.0,515.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6369.0,8590.0,121.0,6074.0,8055.0,109.0,295.0,535.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,7800.0,10920.0,155.0,7188.0,9511.0,124.0,612.0,1409.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,3,Blue,mid,Jensen,oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Ryze,Vel'Koz,Shen,Akali,Irelia,Braum,,,,,,1811,1,2,1,5,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11482.0,380.4086,0.221532,284.2628,264.7156,14.0,0.4638,6.0,0.1988,10.0,31.0,1.0271,13040.0,9070.0,300.497,0.219554,11950.0,,,310.0,287.0,23.0,16.0,5.0,10.2706,3444.0,4949.0,95.0,3314.0,4971.0,92.0,130.0,-22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5650.0,8029.0,161.0,5204.0,8182.0,156.0,446.0,-153.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7694.0,11149.0,226.0,7298.0,11747.0,225.0,396.0,-598.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9724.0,14234.0,286.0,9063.0,14215.0,274.0,661.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,4,Blue,bot,Sneaky,oe:player:267b730dd2e2dcb97182a2795935491,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Kai'Sa,Vel'Koz,Shen,Akali,Irelia,Braum,,,,,,1811,1,4,0,6,13,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,17262.0,571.905,0.33305,245.4666,179.4699,12.0,0.3976,10.0,0.3313,4.0,33.0,1.0933,13546.0,9576.0,317.2612,0.231803,11150.0,,,296.0,288.0,8.0,4.0,0.0,9.8067,3161.0,3082.0,82.0,3151.0,3402.0,84.0,10.0,-320.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5483.0,5260.0,138.0,5082.0,5805.0,146.0,401.0,-545.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,7757.0,7419.0,193.0,7138.0,8246.0,190.0,619.0,-827.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,9997.0,9883.0,264.0,9135.0,10412.0,251.0,862.0,-529.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,5,Blue,sup,Zeyzal,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Leona,Vel'Koz,Shen,Akali,Irelia,Braum,,,,,,1811,1,0,2,10,13,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4307,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3811.0,126.2617,0.0735288,415.0966,533.8708,46.0,1.524,5.0,0.1657,19.0,70.0,2.3192,8111.0,4141.0,137.1949,0.100239,7425.0,,,60.0,60.0,0.0,0.0,0.0,1.9879,2065.0,2902.0,17.0,2018.0,2607.0,3.0,47.0,295.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3389.0,4881.0,29.0,3083.0,3944.0,8.0,306.0,937.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,4611.0,6291.0,37.0,4396.0,5429.0,12.0,215.0,862.0,25.0,0.0,2.0,1.0,1.0,1.0,2.0,5759.0,7987.0,54.0,5384.0,6921.0,14.0,375.0,1066.0,40.0,0.0,2.0,1.0,1.0,1.0,2.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,6,Red,top,Zantins,oe:player:ad3b41b0663f51490d31a84c75c9330,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,Urgot,Camille,Alistar,Kindred,Galio,Thresh,,,,,,1811,0,1,3,0,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5383.0,178.3435,0.129698,554.6107,867.2004,13.0,0.4307,2.0,0.0663,5.0,26.0,0.8614,10182.0,6212.0,205.8089,0.22793,9800.0,,,260.0,242.0,18.0,18.0,0.0,8.614,3044.0,4438.0,76.0,3463.0,5060.0,97.0,-419.0,-622.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,4483.0,6817.0,117.0,6066.0,7802.0,156.0,-1583.0,-985.0,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,6702.0,9405.0,168.0,8122.0,11114.0,217.0,-1420.0,-1709.0,-49.0,1.0,0.0,0.0,0.0,0.0,1.0,8814.0,12502.0,231.0,10395.0,14674.0,286.0,-1581.0,-2172.0,-55.0,1.0,0.0,0.0,0.0,0.0,1.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,7,Red,jng,Ranger,oe:player:b23f665210a1914cab61bc8eba4c9ae,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,Olaf,Camille,Alistar,Kindred,Galio,Thresh,,,,,,1811,0,2,2,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5701.0,188.8791,0.13736,702.1756,550.5356,13.0,0.4307,8.0,0.265,8.0,40.0,1.3252,8654.0,4684.0,155.185,0.171864,8600.0,,,138.0,16.0,122.0,91.0,2.0,4.5721,2968.0,3356.0,51.0,3034.0,3453.0,61.0,-66.0,-97.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.0,5480.0,82.0,4702.0,5995.0,90.0,-336.0,-515.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.0,8055.0,109.0,6369.0,8590.0,121.0,-295.0,-535.0,-12.0,1.0,1.0,0.0,0.0,0.0,1.0,7188.0,9511.0,124.0,7800.0,10920.0,155.0,-612.0,-1409.0,-31.0,1.0,1.0,0.0,0.0,0.0,1.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,8,Red,mid,dyNquedo,oe:player:127d6ec83484da3c8b39b70c70f1226,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,Viktor,Camille,Alistar,Kindred,Galio,Thresh,,,,,,1811,0,1,2,1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12578.0,416.72,0.303055,217.7361,211.9713,15.0,0.497,2.0,0.0663,8.0,29.0,0.9608,10501.0,6531.0,216.3777,0.239635,9600.0,,,296.0,288.0,8.0,8.0,0.0,9.8067,3314.0,4971.0,92.0,3444.0,4949.0,95.0,-130.0,22.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5204.0,8182.0,156.0,5650.0,8029.0,161.0,-446.0,153.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7298.0,11747.0,225.0,7694.0,11149.0,226.0,-396.0,598.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9063.0,14215.0,274.0,9724.0,14234.0,286.0,-661.0,-19.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,9,Red,bot,TitaN,oe:player:1c010180887360e5d6ab967fd93693d,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,Lucian,Camille,Alistar,Kindred,Galio,Thresh,,,,,,1811,0,1,2,4,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14546.0,481.9216,0.350472,534.1358,212.0707,15.0,0.497,7.0,0.2319,9.0,30.0,0.9939,11458.0,7488.0,248.0839,0.274749,11450.0,,,282.0,272.0,10.0,10.0,0.0,9.3429,3151.0,3402.0,84.0,3161.0,3082.0,82.0,-10.0,320.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5082.0,5805.0,146.0,5483.0,5260.0,138.0,-401.0,545.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,7138.0,8246.0,190.0,7757.0,7419.0,193.0,-619.0,827.0,-3.0,0.0,2.0,0.0,2.0,0.0,0.0,9135.0,10412.0,251.0,9997.0,9883.0,264.0,-862.0,529.0,-13.0,0.0,2.0,0.0,2.0,0.0,0.0
TRLH2/2002860105,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584,WLDs,2018,,0,2018-10-01 07:45:21,1,8.19,10,Red,sup,Riyev,oe:player:331d9c928188b8b132c13c143d070bb,KaBuM! Esports,oe:team:86e551648da70c86cb473ce5d5f26f7,Pyke,Camille,Alistar,Kindred,Galio,Thresh,,,,,,1811,0,1,4,3,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1988,0.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3296.0,109.1993,0.079414,428.3821,468.9674,34.0,1.1264,14.0,0.4638,13.0,71.0,2.3523,6309.0,2339.0,77.4931,0.0858214,6225.0,,,17.0,17.0,0.0,0.0,0.0,0.5632,2018.0,2607.0,3.0,2065.0,2902.0,17.0,-47.0,-295.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,3083.0,3944.0,8.0,3389.0,4881.0,29.0,-306.0,-937.0,-21.0,0.0,0.0,1.0,0.0,1.0,0.0,4396.0,5429.0,12.0,4611.0,6291.0,37.0,-215.0,-862.0,-25.0,1.0,1.0,2.0,0.0,2.0,1.0,5384.0,6921.0,14.0,5759.0,7987.0,54.0,-375.0,-1066.0,-40.0,1.0,1.0,2.0,0.0,2.0,1.0
