gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,1,Blue,top,Morgan,oe:player:f73dde2d8c7879ae8d1fcdc03c4ffeb,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Irelia,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,,,,,,2447,0,0,4,0,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.564,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,16459.0,403.5717,0.159095,810.3555,1202.1577,15.0,0.3678,9.0,0.2207,10.0,38.0,0.9318,14645,9379.0,229.9714,0.234032,14800.0,,,375.0,345.0,30.0,,,9.1949,3281.0,4688.0,88.0,3047.0,4411.0,80.0,234.0,277.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5288.0,7430.0,145.0,4781.0,6958.0,132.0,507.0,472.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7118.0,9800.0,191.0,6834.0,10093.0,198.0,284.0,-293.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,9331.0,12882.0,254.0,9154.0,13224.0,255.0,177.0,-342.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,2,Blue,jng,Willer,oe:player:baf26814ef7b2f10fac33a00c3d53a3,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Sejuani,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,,,,,,2447,0,0,4,5,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.564,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,1.0,10597.0,259.8365,0.102432,751.9984,1186.4405,22.0,0.5394,21.0,0.5149,20.0,74.0,1.8145,11325,6059.0,148.5656,0.151185,11300.0,,,220.0,37.0,183.0,,,5.3944,3029.0,3202.0,65.0,3784.0,4246.0,73.0,-755.0,-1044.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,4974.0,6002.0,112.0,5456.0,6777.0,114.0,-482.0,-775.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,6588.0,7797.0,142.0,7169.0,9162.0,158.0,-581.0,-1365.0,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,7915.0,10273.0,167.0,8279.0,10354.0,176.0,-364.0,-81.0,-9.0,0.0,3.0,0.0,1.0,0.0,1.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Tryndamere,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,,,,,,2447,0,1,3,4,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,22865.0,560.6457,0.221016,1285.1573,1555.611,14.0,0.3433,23.0,0.564,10.0,72.0,1.7654,16177,10911.0,267.5358,0.272262,16100.0,,,414.0,389.0,25.0,,,10.1512,3283.0,4614.0,90.0,3275.0,4825.0,89.0,8.0,-211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5547.0,7721.0,155.0,5419.0,7747.0,143.0,128.0,-26.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,7899.0,11259.0,227.0,7499.0,10853.0,203.0,400.0,406.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,10469.0,14117.0,278.0,8723.0,12979.0,230.0,1746.0,1138.0,48.0,1.0,2.0,0.0,1.0,1.0,1.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Ezreal,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,,,,,,2447,0,3,4,1,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1226,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,44350.0,1087.454,0.428693,518.6678,397.8341,23.0,0.564,6.0,0.1471,9.0,46.0,1.1279,15994,10728.0,263.0486,0.267695,14425.0,,,381.0,343.0,38.0,,,9.3421,3227.0,3462.0,79.0,2813.0,2673.0,60.0,414.0,789.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,4802.0,5327.0,124.0,5464.0,5619.0,125.0,-662.0,-292.0,-1.0,0.0,0.0,2.0,1.0,2.0,0.0,6856.0,7924.0,184.0,8028.0,8622.0,189.0,-1172.0,-698.0,-5.0,0.0,0.0,2.0,1.0,2.0,0.0,9558.0,10905.0,239.0,10056.0,11056.0,250.0,-498.0,-151.0,-11.0,2.0,1.0,2.0,1.0,2.0,1.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,5,Blue,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Karma,Ryze,Xin Zhao,Lucian,Azir,LeBlanc,,,,,,2447,0,1,3,3,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,9183.0,225.1655,0.0887641,265.5497,203.2693,67.0,1.6428,17.0,0.4168,25.0,119.0,2.9179,8265,2999.0,73.5349,0.0748254,8375.0,,,35.0,35.0,0.0,,,0.8582,2425.0,2189.0,9.0,2174.0,2147.0,13.0,251.0,42.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,3297.0,3427.0,12.0,3412.0,3566.0,25.0,-115.0,-139.0,-13.0,0.0,0.0,1.0,0.0,3.0,0.0,4159.0,4845.0,15.0,4372.0,4408.0,30.0,-213.0,437.0,-15.0,0.0,0.0,1.0,0.0,3.0,0.0,5164.0,6999.0,22.0,5282.0,5556.0,35.0,-118.0,1443.0,-13.0,0.0,2.0,1.0,0.0,3.0,0.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,6,Red,top,Ale,oe:player:f40f1b0923c35568f417aef1e01ca6b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Jax,Lee Sin,Yuumi,Sylas,Ziggs,Braum,,,,,,2447,1,6,0,8,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.564,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,31699.0,777.2538,0.281796,918.2918,1339.2971,18.0,0.4414,12.0,0.2942,5.0,45.0,1.1034,19128,13862.0,339.8937,0.26501,18025.0,,,395.0,338.0,57.0,,,9.6853,3047.0,4411.0,80.0,3281.0,4688.0,88.0,-234.0,-277.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,4781.0,6958.0,132.0,5288.0,7430.0,145.0,-507.0,-472.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,6834.0,10093.0,198.0,7118.0,9800.0,191.0,-284.0,293.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9154.0,13224.0,255.0,9331.0,12882.0,254.0,-177.0,342.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,7,Red,jng,Tarzan,oe:player:62922f2b370657a966de4d84f5586bf,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Qiyana,Lee Sin,Yuumi,Sylas,Ziggs,Braum,,,,,,2447,1,1,1,8,18,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4414,0.564,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,1.0,0.0,18054.0,442.6808,0.160496,998.0057,675.0552,12.0,0.2942,30.0,0.7356,13.0,92.0,2.2558,13499,8233.0,201.8717,0.157393,12375.0,,,258.0,48.0,210.0,,,6.3261,3784.0,4246.0,73.0,3029.0,3202.0,65.0,755.0,1044.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5456.0,6777.0,114.0,4974.0,6002.0,112.0,482.0,775.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7169.0,9162.0,158.0,6588.0,7797.0,142.0,581.0,1365.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,8279.0,10354.0,176.0,7915.0,10273.0,167.0,364.0,81.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,8,Red,mid,ICON,oe:player:dd912956b69fb3e570820021206968a,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Gragas,Lee Sin,Yuumi,Sylas,Ziggs,Braum,,,,,,2447,1,2,1,10,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,27552.0,675.5701,0.244931,636.3384,647.6911,10.0,0.2452,1.0,0.0245,3.0,20.0,0.4904,15853,10587.0,259.5913,0.202397,13975.0,,,359.0,332.0,27.0,,,8.8026,3275.0,4825.0,89.0,3283.0,4614.0,90.0,-8.0,211.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5419.0,7747.0,143.0,5547.0,7721.0,155.0,-128.0,26.0,-12.0,1.0,1.0,0.0,0.0,0.0,0.0,7499.0,10853.0,203.0,7899.0,11259.0,227.0,-400.0,-406.0,-24.0,1.0,1.0,0.0,0.0,0.0,0.0,8723.0,12979.0,230.0,10469.0,14117.0,278.0,-1746.0,-1138.0,-48.0,1.0,1.0,1.0,1.0,2.0,0.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,9,Red,bot,Light,oe:player:3c4d21c7addb20fea3fec30418ac3d3,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Miss Fortune,Lee Sin,Yuumi,Sylas,Ziggs,Braum,,,,,,2447,1,7,2,6,18,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4414,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,29230.0,716.7143,0.259848,435.9379,575.6518,14.0,0.3433,16.0,0.3923,3.0,46.0,1.1279,20128,14862.0,364.4136,0.284129,17275.0,,,419.0,380.0,39.0,,,10.2738,2813.0,2673.0,60.0,3227.0,3462.0,79.0,-414.0,-789.0,-19.0,0.0,1.0,0.0,0.0,0.0,1.0,5464.0,5619.0,125.0,4802.0,5327.0,124.0,662.0,292.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,8028.0,8622.0,189.0,6856.0,7924.0,184.0,1172.0,698.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,10056.0,11056.0,250.0,9558.0,10905.0,239.0,498.0,151.0,11.0,1.0,2.0,1.0,2.0,1.0,2.0
ESPORTSTMNT04_1970393,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1970393?gameHash=0a0c5586dde1ec10,WLDs,2021,,0,2021-10-05 11:09:47,1.0,11.19,10,Red,sup,Iwandy,oe:player:db820b983e253a5e5926aa8cd8d1a82,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Rakan,Lee Sin,Yuumi,Sylas,Ziggs,Braum,,,,,,2447,1,2,1,13,18,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4414,0.564,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,5954.0,145.991,0.0529296,463.5717,821.463,92.0,2.2558,20.0,0.4904,26.0,145.0,3.5554,10030,4764.0,116.8124,0.091071,10250.0,,,43.0,43.0,0.0,,,1.0544,2174.0,2147.0,13.0,2425.0,2189.0,9.0,-251.0,-42.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3412.0,3566.0,25.0,3297.0,3427.0,12.0,115.0,139.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,4372.0,4408.0,30.0,4159.0,4845.0,15.0,213.0,-437.0,15.0,0.0,3.0,0.0,0.0,0.0,1.0,5282.0,5556.0,35.0,5164.0,6999.0,22.0,118.0,-1443.0,13.0,0.0,3.0,0.0,0.0,2.0,1.0
